cd_conta,conta,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
2,Passivo Total,1025222.0,938013.0,907723.0,814031.0,756988.0,662215.0,639039.0,642290.0,645114.0,640025.0,651294.0,575280.0,572242.0,588833.0,593274.0,581725.0,570277.0,564433.0,498233.0,504628.0,507785.0,503109.0,503235.0,492609.0,497435.0,485215.0,512858.0,503026.0,501571.0,501609.0,505207.0,573102.0,546421.0,494157.0,497917.0,482769.0,491437.0,472162.0,459595.0,508795.0,503978.0,491172.0,488897.0
2.01,Passivo Circulante,370280.0,647065.0,760549.0,211624.0,213381.0,871198.0,886941.0,177222.0,184941.0,193282.0,239178.0,126620.0,116492.0,127569.0,135945.0,127989.0,134525.0,141812.0,79484.0,68364.0,67649.0,71939.0,80341.0,77081.0,81813.0,79824.0,85925.0,85303.0,97133.0,100854.0,104630.0,118650.0,103684.0,111849.0,109169.0,102918.0,115430.0,110874.0,106875.0,112399.0,128506.0,156729.0,161615.0
2.01.01,Obrigações Sociais e Trabalhistas,30932.0,35127.0,38898.0,23005.0,17634.0,10673.0,9210.0,8272.0,8638.0,9127.0,12465.0,9009.0,10379.0,12863.0,15482.0,12381.0,15181.0,15098.0,10167.0,7997.0,6167.0,6358.0,7251.0,9183.0,9071.0,7859.0,5713.0,4519.0,5374.0,6772.0,7777.0,5603.0,5530.0,6728.0,7370.0,5493.0,6153.0,7409.0,6610.0,3582.0,5509.0,6394.0,7551.0
2.01.02,Fornecedores,97822.0,114612.0,121749.0,29084.0,27978.0,147393.0,154124.0,25023.0,24710.0,26208.0,31740.0,32983.0,25948.0,33426.0,36389.0,31104.0,28025.0,31361.0,17473.0,11638.0,12268.0,12977.0,12659.0,11304.0,12236.0,11859.0,13168.0,11171.0,17842.0,15373.0,17639.0,16936.0,15736.0,16614.0,16407.0,15072.0,16530.0,15133.0,16315.0,17734.0,20944.0,22384.0,20299.0
2.01.03,Obrigações Fiscais,55297.0,58805.0,63279.0,61448.0,72015.0,62878.0,57851.0,60062.0,63145.0,67072.0,115463.0,22628.0,19354.0,21621.0,18961.0,20127.0,25084.0,27592.0,12353.0,13846.0,16100.0,17776.0,20269.0,12888.0,18271.0,14924.0,16046.0,17793.0,18273.0,19360.0,17065.0,25977.0,24101.0,24291.0,22851.0,22323.0,20326.0,20685.0,21114.0,22096.0,28435.0,55464.0,64195.0
2.01.04,Empréstimos e Financiamentos,127219.0,223121.0,242203.0,31145.0,27926.0,308534.0,319461.0,23411.0,25641.0,26992.0,31957.0,33358.0,45572.0,49369.0,51085.0,53040.0,53780.0,55196.0,26334.0,23381.0,23005.0,23782.0,27168.0,29994.0,27582.0,30280.0,35487.0,38231.0,41319.0,42841.0,45100.0,54308.0,39897.0,47520.0,44000.0,50633.0,61469.0,56651.0,52870.0,56264.0,58997.0,60999.0,57538.0
2.01.05,Outras Obrigações,59010.0,215400.0,294420.0,66942.0,67828.0,341720.0,346295.0,60454.0,62807.0,63883.0,47553.0,28642.0,15239.0,10290.0,14028.0,11337.0,12455.0,12565.0,13157.0,11502.0,10109.0,11046.0,12994.0,13712.0,14653.0,14902.0,15511.0,13589.0,14325.0,16508.0,17049.0,15826.0,18420.0,16696.0,18541.0,9397.0,10952.0,10996.0,9966.0,12723.0,14621.0,11488.0,12032.0
2.01.06,Provisões,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.02,Passivo Não Circulante,582939.0,346958.0,375225.0,509094.0,505805.0,179981.0,190346.0,420457.0,422081.0,423851.0,341343.0,336517.0,345623.0,325847.0,317756.0,320541.0,320581.0,321124.0,334113.0,336699.0,364535.0,376247.0,382252.0,275328.0,279091.0,287164.0,293749.0,272652.0,271729.0,275813.0,286831.0,266746.0,268215.0,225402.0,229540.0,220288.0,221662.0,229145.0,232565.0,258016.0,254230.0,227809.0,213958.0
2.02.01,Empréstimos e Financiamentos,150523.0,57539.0,56227.0,169203.0,166525.0,5161.0,5716.0,130855.0,130559.0,133871.0,130067.0,133790.0,134522.0,122929.0,124209.0,122691.0,124346.0,124827.0,134654.0,125395.0,142368.0,147886.0,152078.0,96377.0,101418.0,98639.0,103026.0,90587.0,92084.0,93477.0,100634.0,101346.0,103871.0,103532.0,104113.0,95027.0,96379.0,96863.0,101563.0,123437.0,121816.0,117634.0,115277.0
2.02.02,Outras Obrigações,270222.0,109087.0,110395.0,89983.0,91550.0,20254.0,15637.0,89919.0,84564.0,87983.0,78891.0,82487.0,85033.0,79160.0,77306.0,76365.0,76294.0,76048.0,78336.0,78162.0,83042.0,84596.0,85862.0,80234.0,81681.0,96601.0,99439.0,96785.0,97248.0,99326.0,104219.0,83441.0,53558.0,92537.0,96756.0,95432.0,97131.0,105527.0,104597.0,107385.0,105126.0,83133.0,71715.0
2.02.03,Tributos Diferidos,33179.0,32578.0,37631.0,120947.0,120155.0,25332.0,24889.0,56526.0,53935.0,52910.0,49120.0,49212.0,48607.0,51377.0,51189.0,54482.0,52050.0,51047.0,51600.0,67056.0,70563.0,70862.0,70714.0,57192.0,58051.0,55855.0,56322.0,46984.0,43515.0,44296.0,44431.0,46208.0,46133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.02.04,Provisões,129015.0,147754.0,170972.0,128961.0,127575.0,129234.0,144104.0,143157.0,153023.0,149087.0,83265.0,71028.0,77461.0,72381.0,65052.0,67003.0,67891.0,69202.0,69523.0,66086.0,68562.0,72903.0,73598.0,41525.0,37941.0,36069.0,34962.0,38296.0,38882.0,38714.0,37547.0,35751.0,64653.0,29333.0,28671.0,29829.0,28152.0,26755.0,26405.0,27194.0,27288.0,27042.0,26966.0
2.02.05,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.02.06,Lucros e Receitas a Apropriar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.03,Patrimônio Líquido Consolidado,72003.0,-56010.0,-228051.0,93313.0,37802.0,-388964.0,-438248.0,44611.0,38092.0,22892.0,70773.0,112143.0,110127.0,135417.0,139573.0,133195.0,115171.0,101497.0,84636.0,99565.0,75601.0,54923.0,40642.0,140200.0,136531.0,118227.0,133184.0,145071.0,132709.0,124942.0,113746.0,187706.0,174522.0,156906.0,159208.0,159563.0,154345.0,132143.0,120155.0,138380.0,121242.0,106634.0,113324.0
2.03.01,Capital Social Realizado,1853684.0,1853684.0,1853684.0,1853684.0,1853684.0,1853684.0,1853684.0,1853684.0,1853684.0,1853684.0,1853684.0,1853684.0,1870549.0,1871604.0,1872675.0,1873761.0,1874864.0,1875983.0,1884113.0,1885266.0,1889550.0,1890736.0,1891941.0,1893163.0,1894403.0,1896786.0,1897348.0,1897348.0,1897431.0,1897431.0,1898871.0,1898871.0,1899892.0,1904586.0,1918106.0,1920820.0,1920888.0,1921226.0,1922339.0,1922339.0,1922342.0,1924277.0,1927668.0
2.03.02,Reservas de Capital,149732.0,149732.0,149732.0,149732.0,149732.0,149732.0,149732.0,149732.0,156073.0,156073.0,156073.0,156073.0,156073.0,156073.0,156073.0,152607.0,152607.0,152607.0,152607.0,152658.0,152607.0,152607.0,152607.0,139789.0,139789.0,139789.0,139789.0,139795.0,139795.0,139795.0,139795.0,139150.0,139150.0,139150.0,143589.0,144754.0,144754.0,144754.0,144754.0,144754.0,144754.0,144754.0,144754.0
2.03.03,Reservas de Reavaliação,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.03.04,Reservas de Lucros,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.03.05,Lucros/Prejuízos Acumulados,-1978714.0,-2097716.0,-2327750.0,-1975076.0,-2059203.0,-2459214.0,-2509768.0,-2024422.0,-2028247.0,-2053885.0,-2009358.0,-1989908.0,-2010747.0,-2028846.0,-2054425.0,-2063442.0,-2083038.0,-2096153.0,-2076928.0,-2089620.0,-2153492.0,-2184094.0,-2206432.0,-2055403.0,-2098167.0,-2096178.0,-2096057.0,-2096743.0,-2081827.0,-2105481.0,-2123566.0,-2041877.0,-2051957.0,-2066468.0,-2087705.0,-1980690.0,-1988089.0,-2011348.0,-2021169.0,-2012461.0,-2023846.0,-2036490.0,-2031370.0
