cd_conta,conta,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
1,Ativo Total,2504341.0,4090778.0,4485932.0,4628627.0,4823278.0,4933164.0,5013821.0,5083102.0,5172372.0,5171451.0,5262841.0,4928878.0,4413599.0,4340852.0,4377367.0,4338669.0,4400937.0
1.01,Ativo Circulante,1712885.0,1749711.0,1423759.0,1211706.0,1209004.0,1160148.0,1148687.0,1230241.0,1308895.0,1258173.0,1285337.0,2113896.0,1544534.0,1477702.0,1518855.0,1499516.0,1562929.0
1.01.01,Caixa e Equivalentes de Caixa,865895.0,1000200.0,665115.0,393168.0,345909.0,246414.0,206968.0,223953.0,265675.0,227302.0,162407.0,269395.0,704454.0,622581.0,616113.0,613537.0,654027.0
1.01.02,Aplicações Financeiras,487562.0,278367.0,193682.0,208661.0,135626.0,131884.0,120785.0,92911.0,98061.0,91831.0,79168.0,55186.0,51460.0,52735.0,54300.0,24676.0,25516.0
1.01.03,Contas a Receber,289735.0,391222.0,451062.0,482111.0,562109.0,609347.0,655495.0,735657.0,790725.0,798581.0,871839.0,645825.0,653957.0,662537.0,688276.0,724418.0,742217.0
1.01.04,Estoques,27168.0,35339.0,43334.0,50453.0,56993.0,64286.0,57946.0,65156.0,60297.0,63165.0,77380.0,52801.0,48183.0,49757.0,62268.0,53674.0,64261.0
1.01.05,Ativos Biológicos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.01.06,Tributos a Recuperar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.01.07,Despesas Antecipadas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.01.08,Outros Ativos Circulantes,42525.0,44583.0,70566.0,77313.0,108367.0,108217.0,107493.0,112564.0,94137.0,77294.0,94543.0,1090689.0,86480.0,90092.0,97898.0,83211.0,76908.0
1.02,Ativo Não Circulante,791456.0,2341067.0,3062173.0,3416921.0,3614274.0,3773016.0,3865134.0,3852861.0,3863477.0,3913278.0,3977504.0,2814982.0,2869065.0,2863150.0,2858512.0,2839153.0,2838008.0
1.02.01,Ativo Realizável a Longo Prazo,627282.0,873219.0,951431.0,1101358.0,1101529.0,1219078.0,1281032.0,1277776.0,1273643.0,1276663.0,1294325.0,1255557.0,1289230.0,1277935.0,1283944.0,1278921.0,1280626.0
1.02.02,Investimentos,35.0,40144.0,40950.0,44212.0,45380.0,43626.0,45584.0,18757.0,18867.0,18812.0,18481.0,16820.0,15773.0,14332.0,12393.0,12174.0,11837.0
1.02.03,Imobilizado,156430.0,249977.0,424369.0,471320.0,513841.0,666011.0,694394.0,708395.0,719793.0,764594.0,811051.0,814346.0,835309.0,840594.0,832274.0,816386.0,814564.0
1.02.04,Intangível,7709.0,1177727.0,1645423.0,1800031.0,1953524.0,1844301.0,1844124.0,1847933.0,1851174.0,1853209.0,1853647.0,728259.0,728753.0,730289.0,729901.0,731672.0,730981.0
