cd_conta,conta,2010T4,2011T1,2011T2,2011T3,2011T4,2012T1,2012T2,2012T3,2012T4,2013T1,2013T2,2013T3,2013T4,2014T1,2014T2,2014T3,2014T4,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
2,Passivo Total,22599586.000,22403462.000,23168166.000,24168510.000,23823441.000,23712085.000,23511109.000,24327433.000,25589454.000,25756279.000,25885711.000,17949606.000,17827564.000,18162436.000,18441210.000,20173436.000,20185908.000,22002635.000,22760264.000,24057399.000,20915949.000,20337069.000,20412450.000,21226929.000,20258803.000,20322409.000,20797216.000,19942202.000,21301799.000,23454339.000,32613230.000,33458590.000,26504272.000,27897239.000,28629984.000,31414110.000,31572021.000,34883045.000,36771250.000,38294292.000,39507441.000,41711590.000,43706572.000,47109808.000,48003258.000,48561750.000,134003833.000,137191168.000,136104323.000,131530716.000,127044994.000,133956914.000,130954636.000,131283251.000,138374150.000,134858914.000,137510139.000,135354346.000,137817432.000,137444659.000
2.01,Passivo Circulante,6948559.000,6672066.000,6178095.000,6421899.000,6673099.000,6919804.000,6643549.000,7172350.000,7687320.000,7470827.000,9646918.000,4026376.000,3688566.000,3756739.000,3711030.000,4290048.000,4662465.000,5695882.000,7501325.000,5749350.000,5406649.000,7440016.000,7307924.000,8080298.000,7382969.000,4742165.000,5744248.000,5446869.000,6021169.000,8406397.000,16184570.000,17039055.000,8646390.000,9261505.000,8194167.000,8109271.000,10615048.000,12269450.000,11225471.000,11505816.000,13864388.000,14401555.000,16650372.000,16545159.000,17047662.000,16386124.000,37750753.000,40072595.000,40420580.000,36420086.000,38419618.000,44409987.000,42170873.000,41167423.000,45399409.000,44468735.000,42965775.000,41023517.000,43451265.000,47478294.000
2.01.01,Obrigações Sociais e Trabalhistas,537079.000,535192.000,568830.000,495207.000,483685.000,476932.000,483456.000,554634.000,506969.000,515051.000,329943.000,338778.000,337931.000,338380.000,339833.000,357158.000,341979.000,414390.000,296246.000,329966.000,338015.000,318869.000,311347.000,339926.000,346837.000,369484.000,380457.000,404473.000,251071.000,141775.000,508268.000,611461.000,564391.000,308132.000,430409.000,635612.000,757699.000,423809.000,1264461.000,1458854.000,1545664.000,872987.000,1400306.000,2069428.000,2374509.000,954220.000,2308894.000,2415184.000,2066326.000,1373925.000,1549656.000,1643575.000,1669658.000,1617704.000,1844058.000,2013342.000,2351893.000,2372190.000,1959479.000,2204875.000
2.01.02,Fornecedores,2310763.000,2366274.000,2314278.000,2604311.000,2783120.000,2521147.000,2027090.000,2418903.000,2580227.000,2452538.000,1549234.000,1600677.000,1596091.000,1600020.000,1765099.000,1856627.000,2028303.000,2253663.000,1495530.000,1644373.000,1818991.000,1560859.000,1699934.000,1886667.000,2002757.000,1632321.000,1907349.000,1966565.000,2354072.000,1248396.000,1821517.000,1856077.000,2331618.000,2350491.000,2519139.000,2427083.000,2847203.000,2727136.000,2527826.000,2524854.000,2768069.000,2554984.000,2784709.000,3097978.000,3826714.000,3924174.000,17406201.000,19085552.000,18824682.000,17470950.000,16863692.000,17747965.000,16706980.000,16165208.000,18255581.000,18072048.000,20261845.000,20897879.000,21678337.000,23146184.000
2.01.03,Obrigações Fiscais,171627.000,171404.000,198942.000,162722.000,171246.000,161846.000,144909.000,169550.000,187503.000,192294.000,104062.000,107184.000,114651.000,117100.000,147763.000,200120.000,200312.000,221111.000,146560.000,167890.000,182961.000,361454.000,338961.000,166986.000,175801.000,191339.000,278847.000,332339.000,312131.000,305664.000,336797.000,308665.000,345438.000,373147.000,433733.000,365999.000,407817.000,247408.000,807910.000,788944.000,509299.000,758396.000,1584899.000,1171772.000,950421.000,1669141.000,1235443.000,874905.000,673199.000,596436.000,752774.000,611570.000,763562.000,791271.000,868337.000,925254.000,1236661.000,1215626.000,1033110.000,1050220.000
2.01.04,Empréstimos e Financiamentos,3073579.000,3058689.000,2653907.000,2406720.000,2517245.000,3076958.000,3150487.000,3274856.000,3741780.000,3675372.000,2206368.000,1532460.000,1172905.000,1344421.000,1101846.000,1301513.000,1730048.000,2250194.000,1990849.000,2411754.000,2047384.000,2230937.000,1924670.000,2037993.000,1466538.000,1354937.000,1845028.000,1753285.000,1858127.000,1277055.000,6619717.000,7051610.000,3668664.000,4504524.000,3013130.000,2832302.000,4725537.000,6878231.000,4778222.000,4761522.000,6727521.000,7553243.000,8577371.000,7417777.000,7003326.000,6982499.000,11788410.000,13098732.000,12813280.000,11344364.000,14301520.000,9675432.000,8589712.000,7396614.000,8072570.000,7527386.000,9557317.000,7868391.000,9479780.000,12325428.000
2.01.05,Outras Obrigações,855511.000,540507.000,442138.000,752939.000,717803.000,682921.000,837607.000,754407.000,670841.000,635572.000,5457311.000,447277.000,466988.000,356818.000,356489.000,574630.000,361823.000,556524.000,3572140.000,1195367.000,1019298.000,2967897.000,3033012.000,3648726.000,3391036.000,1194084.000,1332567.000,990207.000,1245768.000,5433507.000,6898271.000,7211242.000,1736279.000,1725211.000,1797756.000,1848275.000,1876792.000,1992866.000,1847052.000,1971642.000,2313835.000,2661945.000,2303087.000,2788204.000,2892692.000,2856090.000,4067856.000,3674045.000,5175799.000,4862216.000,4226254.000,14012149.000,13720774.000,14413191.000,15614902.000,15184646.000,8773763.000,7948113.000,8569480.000,8053438.000
2.01.06,Provisões,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,943949.000,924177.000,867294.000,772195.000,725722.000,719296.000,720187.000,783435.000,743961.000,746059.000,784296.000,721318.000,731079.000,698149.000
2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.02,Passivo Não Circulante,9154614.000,9289614.000,10683593.000,11696495.000,13731128.000,13390617.000,13400425.000,13622900.000,13597042.000,13896985.000,12136726.000,10689936.000,11019976.000,11382665.000,11705560.000,13329274.000,13451718.000,15493669.000,14374687.000,17271348.000,14665668.000,11875993.000,11387848.000,11611527.000,11775032.000,12580758.000,12345533.000,11678342.000,12645920.000,12613587.000,13981237.000,14168646.000,13846325.000,14503267.000,16226540.000,19052317.000,19180632.000,22040608.000,22934675.000,24044694.000,22128990.000,23343895.000,21187322.000,23890822.000,25383873.000,27065586.000,66646571.000,68214084.000,69234134.000,70445199.000,65660017.000,63114444.000,63893928.000,65461797.000,69767452.000,67192172.000,74606252.000,74279957.000,74494694.000,75050141.000
2.02.01,Empréstimos e Financiamentos,6605437.000,6774074.000,8203325.000,9553300.000,9162817.000,8870485.000,8768750.000,9022336.000,8786467.000,9450853.000,9023495.000,7735621.000,7919618.000,8055085.000,8425862.000,9440382.000,9470851.000,11309767.000,9998308.000,12699609.000,10136409.000,9526233.000,9088278.000,9587933.000,9722359.000,10523190.000,10323324.000,9841995.000,10600853.000,10922862.000,12171480.000,12292305.000,11569997.000,12284963.000,14048896.000,16822224.000,17514576.000,20668872.000,21436385.000,22669156.000,20772056.000,21965686.000,19922750.000,22549573.000,23964934.000,25896859.000,48045004.000,49791716.000,51143062.000,52248620.000,47826183.000,46019884.000,47234441.000,48959515.000,53261101.000,51019319.000,56462514.000,55706464.000,56560214.000,57270332.000
2.02.02,Outras Obrigações,862055.000,903366.000,906108.000,542216.000,2963910.000,2932887.000,3121803.000,3075938.000,3098026.000,2755818.000,2501186.000,2323055.000,2427039.000,2659737.000,2628702.000,3219877.000,3304661.000,3392763.000,3812192.000,3890606.000,3875887.000,1671152.000,1630310.000,1352437.000,1695318.000,1584052.000,1648700.000,1479750.000,1705151.000,1587550.000,1689570.000,1667508.000,1855750.000,1686808.000,1635333.000,1618382.000,1167897.000,786466.000,876706.000,917510.000,829164.000,867461.000,771263.000,801261.000,1020851.000,807288.000,1617776.000,1741425.000,1511670.000,1814490.000,1677429.000,1629481.000,1644343.000,1718127.000,1881592.000,1825158.000,2780376.000,2415920.000,2008631.000,2146867.000
2.02.03,Tributos Diferidos,1463436.000,1402434.000,1368624.000,1421259.000,1415676.000,1376585.000,1290464.000,1300431.000,1474660.000,1446241.000,595712.000,611038.000,646857.000,640741.000,619599.000,633236.000,635758.000,745938.000,517968.000,634914.000,607153.000,582389.000,569656.000,585938.000,269616.000,386039.000,286673.000,270780.000,251088.000,13571.000,27108.000,116467.000,118911.000,151278.000,183731.000,241181.000,136275.000,189537.000,194587.000,96648.000,98831.000,87387.000,84112.000,103577.000,117279.000,98622.000,11008052.000,10765570.000,10719659.000,10529731.000,10386223.000,9755231.000,9553512.000,9360801.000,9210849.000,8984293.000,8755947.000,9525016.000,9323479.000,9126184.000
2.02.04,Provisões,223686.000,209740.000,205536.000,179720.000,188725.000,210660.000,219408.000,224195.000,237889.000,244073.000,16333.000,20222.000,26462.000,27102.000,31397.000,35779.000,40448.000,45201.000,46219.000,46219.000,46219.000,96219.000,99604.000,85219.000,87739.000,87477.000,86836.000,85817.000,88828.000,89604.000,93079.000,92366.000,301667.000,380218.000,358580.000,370530.000,361884.000,395733.000,426997.000,361380.000,428939.000,423361.000,409197.000,436411.000,280809.000,262817.000,5975739.000,5915373.000,5859743.000,5852358.000,5770182.000,5709848.000,5461632.000,5423354.000,5413910.000,5363402.000,6607415.000,6632557.000,6602370.000,6506758.000
2.02.05,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.02.06,Lucros e Receitas a Apropriar,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.03,Patrimônio Líquido Consolidado,6496413.000,6441782.000,6306478.000,6050116.000,3419214.000,3401664.000,3467135.000,3532183.000,4305092.000,4388467.000,4102067.000,3233294.000,3119022.000,3023032.000,3024620.000,2554114.000,2071725.000,813084.000,884252.000,1036701.000,843632.000,1021060.000,1716678.000,1535104.000,1100802.000,2999486.000,2707435.000,2816991.000,2634710.000,2434355.000,2447423.000,2250889.000,4011557.000,4132467.000,4209277.000,4252522.000,1776341.000,572987.000,2611104.000,2743782.000,3514063.000,3966140.000,5868878.000,6673827.000,5571723.000,5110040.000,29606509.000,28904489.000,26449609.000,24665431.000,22965359.000,26432483.000,24889835.000,24654031.000,23207289.000,23198007.000,19938112.000,20050872.000,19871473.000,14916224.000
2.03.01,Capital Social Realizado,3986518.000,3986518.000,3986518.000,3986518.000,3986518.000,3986518.000,3986518.000,3986518.000,4818468.000,5168468.000,5168468.000,5168468.000,5168468.000,5168468.000,5168468.000,5168468.000,5168468.000,5168468.000,5168468.000,5168468.000,5168468.000,5168468.000,5169321.000,5169917.000,5169917.000,7319467.000,7319467.000,7319467.000,7319467.000,7319467.000,7319467.000,7319467.000,7427677.000,7427677.000,7427677.000,7427677.000,8204391.000,8204391.000,8204391.000,8204391.000,8204391.000,8204391.000,8204391.000,8204391.000,8204391.000,8204391.000,8204391.000,8204391.000,8204391.000,8204391.000,8204391.000,10367391.000,10367391.000,10367391.000,10367391.000,10367391.000,10367391.000,10367391.000,10367391.000,15344594.000
2.03.02,Reservas de Capital,2468450.000,2468450.000,2468450.000,2460085.000,-19222.000,-19222.000,0.000,0.000,184800.000,184800.000,184800.000,184800.000,184800.000,184800.000,184642.000,184642.000,184642.000,184642.000,184642.000,184642.000,184642.000,184642.000,184642.000,184642.000,184642.000,184642.000,184642.000,184642.000,181224.000,181022.000,179928.000,179177.000,47614.000,46338.000,47861.000,-10408.000,-1271370.000,-1852617.000,-1991197.000,-2081336.000,-1684338.000,-1853134.000,-1775052.000,-1914295.000,-2467506.000,-2276064.000,-2442206.000,-2348305.000,-2434260.000,-2503201.000,-2464134.000,-1925622.000,-515881.000,-693328.000,-1190235.000,-1570649.000,-2141436.000,-1943472.000,-2413160.000,4899533.000
2.03.03,Reservas de Reavaliação,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.03.04,Reservas de Lucros,44476.000,45842.000,46787.000,47486.000,38122.000,31552.000,32736.000,33600.000,33604.000,34572.000,34994.000,35729.000,35773.000,35773.000,35774.000,36152.000,36449.000,36561.000,37013.000,39580.000,39580.000,40122.000,40122.000,40122.000,40122.000,34573.000,35430.000,38183.000,38362.000,35237.000,37784.000,34466.000,51824.000,51824.000,51824.000,51824.000,51824.000,51824.000,51824.000,51824.000,278300.000,278300.000,1166147.000,207758.000,2762558.000,2762558.000,2379408.000,2379408.000,5446537.000,5446537.000,5446537.000,5158214.000,3641641.000,3641641.000,3641641.000,3641641.000,4226280.000,4226280.000,4226280.000,1956987.000
2.03.05,Lucros/Prejuízos Acumulados,-563144.000,-524154.000,-605286.000,-1133788.000,-1259861.000,-1182739.000,-1153849.000,-1127125.000,-1395005.000,-1458070.000,-1868223.000,-2172707.000,-2259304.000,-2349366.000,-2414360.000,-2715510.000,-2998023.000,-3566815.000,-3570813.000,-3382687.000,-3575403.000,-3679459.000,-3809266.000,-3977559.000,-4246093.000,-4477236.000,-4642219.000,-4701831.000,-4721299.000,-4921964.000,-5457555.000,-5535957.000,-3317874.000,-3311710.000,-3223660.000,-3122186.000,-3094630.000,-3231220.000,-1548402.000,-874393.000,0.000,279696.000,1059271.000,2734839.000,0.000,109087.000,4364120.000,4295106.000,0.000,-633198.000,-1417258.000,-1528595.000,0.000,62847.000,138440.000,217810.000,0.000,88132.000,173577.000,190779.000
