cd_conta,conta,2010T4,2011T1,2011T2,2011T3,2011T4,2012T1,2012T2,2012T3,2012T4,2013T1,2013T2,2013T3,2013T4,2014T1,2014T2,2014T3,2014T4,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
1,Ativo Total,1655804.000,1951101.000,1971033.000,1934321.000,2011344.000,2157331.000,2288227.000,2127112.000,2029959.000,2054005.000,2277809.000,2186159.000,2218410.000,2339284.000,2333347.000,2318781.000,2399795.000,2405379.000,2519792.000,2630002.000,2422499.000,2470307.000,2575865.000,2552330.000,2323973.000,2289916.000,2291349.000,2166206.000,2191801.000,2161862.000,2141515.000,1958013.000,1835807.000,1861229.000,1947348.000,1864849.000,2242401.000,2217032.000,2116347.000,2108385.000,2077260.000,2179962.000,2325794.000,2462135.000,2693527.000,2613664.000,2655364.000,2805357.000,2819254.000,2920783.000,3077292.000,3248945.000,3438225.000,3512950.000,3629915.000,3982607.000,4148169.000,4210915.000,4576479.000,5489810.000
1.01,Ativo Circulante,1301858.000,1325502.000,1070753.000,1175508.000,1289606.000,1365925.000,1519963.000,1418801.000,1303214.000,1301747.000,1463514.000,1440831.000,1343806.000,1329218.000,1405065.000,1350247.000,1433919.000,1415418.000,1451839.000,1491947.000,1373544.000,1352885.000,1413527.000,1342403.000,1399122.000,1224743.000,1144881.000,1148548.000,1220391.000,1120019.000,1001569.000,974073.000,936984.000,1004516.000,865045.000,925432.000,1183730.000,1203071.000,1073811.000,959282.000,880470.000,918020.000,992355.000,1098011.000,1227498.000,1045538.000,1000374.000,1024479.000,1064763.000,1119825.000,1150722.000,1173461.000,1393879.000,1529193.000,1662523.000,1847843.000,1939944.000,2044848.000,2307959.000,2711155.000
1.01.01,Caixa e Equivalentes de Caixa,11620.000,36691.000,154656.000,118923.000,77272.000,87366.000,73974.000,29495.000,46447.000,51512.000,49202.000,62300.000,71845.000,67224.000,95936.000,59917.000,78072.000,81441.000,80924.000,163992.000,38310.000,37243.000,49725.000,32383.000,34422.000,28358.000,31367.000,15589.000,10091.000,35306.000,19830.000,11836.000,17334.000,48943.000,50749.000,21525.000,14168.000,10692.000,4878.000,42549.000,49538.000,31086.000,97921.000,116599.000,113881.000,139335.000,149042.000,179173.000,190174.000,206193.000,193381.000,174630.000,257113.000,214520.000,214811.000,316870.000,331069.000,203854.000,241887.000,355358.000
1.01.02,Aplicações Financeiras,576541.000,563353.000,164058.000,237092.000,311620.000,310343.000,362580.000,302247.000,238999.000,246901.000,299608.000,190337.000,129325.000,79324.000,108800.000,61622.000,86531.000,43775.000,96712.000,36496.000,58435.000,32345.000,67784.000,64567.000,69874.000,68449.000,57861.000,56543.000,48307.000,27086.000,19565.000,6497.000,1646.000,4044.000,1163.000,7581.000,15644.000,108962.000,100401.000,8513.000,8573.000,82361.000,32173.000,71282.000,71005.000,31200.000,32138.000,46785.000,63903.000,58241.000,72192.000,88457.000,45254.000,32256.000,26389.000,98496.000,73540.000,199036.000,74723.000,207039.000
1.01.03,Contas a Receber,335636.000,379237.000,348056.000,348024.000,379118.000,376706.000,428362.000,466218.000,540430.000,525244.000,543487.000,579134.000,523816.000,519799.000,520730.000,489349.000,517175.000,551086.000,546173.000,512745.000,544454.000,585218.000,604396.000,574083.000,601520.000,466958.000,412301.000,490447.000,561767.000,580302.000,500133.000,446450.000,432786.000,515009.000,400360.000,350494.000,354584.000,318267.000,290751.000,277493.000,224841.000,209799.000,269976.000,286342.000,308798.000,290180.000,302682.000,283626.000,315908.000,360676.000,343002.000,358395.000,370713.000,466348.000,554826.000,665309.000,659962.000,808996.000,910100.000,1022120.000
1.01.04,Estoques,340865.000,310340.000,358068.000,422697.000,437539.000,507732.000,532294.000,498119.000,380058.000,440464.000,497551.000,562459.000,590653.000,623840.000,590656.000,638145.000,671068.000,656525.000,674276.000,698658.000,674441.000,633193.000,630339.000,613632.000,620900.000,547991.000,548836.000,519695.000,553331.000,434980.000,420171.000,470339.000,465009.000,416348.000,396760.000,526573.000,757184.000,734016.000,665250.000,618730.000,587661.000,583471.000,578062.000,604305.000,712595.000,562122.000,489123.000,397888.000,391808.000,378063.000,407503.000,418063.000,618586.000,634778.000,609395.000,506755.000,541385.000,498708.000,745683.000,821379.000
1.01.05,Ativos Biológicos,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.01.06,Tributos a Recuperar,4380.000,6242.000,11715.000,13495.000,18873.000,19077.000,23149.000,28526.000,34803.000,18876.000,17389.000,15816.000,17760.000,17605.000,19879.000,18866.000,19362.000,21712.000,19084.000,20734.000,20511.000,20903.000,20930.000,17167.000,20875.000,21058.000,21597.000,22149.000,23188.000,21997.000,21084.000,20408.000,11718.000,11150.000,8390.000,6046.000,6013.000,6231.000,6751.000,6755.000,5132.000,5548.000,5502.000,5833.000,5847.000,6082.000,6475.000,7655.000,9051.000,9746.000,10279.000,8972.000,8418.000,8967.000,8346.000,7630.000,8820.000,9484.000,12536.000,14066.000
1.01.07,Despesas Antecipadas,8033.000,8635.000,11393.000,8542.000,11711.000,13146.000,16605.000,14509.000,12022.000,14772.000,18071.000,13457.000,10033.000,12119.000,12934.000,15814.000,16625.000,17572.000,17387.000,17057.000,17083.000,16617.000,16167.000,16309.000,0.000,15691.000,14883.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,16631.000,4933.000,4386.000,4199.000,4394.000,5261.000,8283.000,13190.000,15016.000,16171.000,20408.000,26531.000,11493.000,13537.000,14550.000,13959.000,15670.000,15052.000,16248.000,19000.000,21218.000,24754.000,21215.000,23088.000
1.01.08,Outros Ativos Circulantes,24783.000,21004.000,22807.000,26735.000,53473.000,51555.000,82999.000,79687.000,50455.000,3978.000,38206.000,17328.000,374.000,9307.000,56130.000,66534.000,45086.000,43307.000,17283.000,42265.000,20310.000,27366.000,24186.000,24262.000,51531.000,76238.000,58036.000,44125.000,23707.000,20348.000,20786.000,18543.000,8491.000,9022.000,7623.000,13213.000,19506.000,19970.000,1394.000,1043.000,331.000,494.000,438.000,460.000,356.000,448.000,506.000,82821.000,82426.000,93369.000,109815.000,110985.000,78125.000,157272.000,232508.000,233783.000,303950.000,300016.000,301815.000,268105.000
