cd_conta,conta,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
2,Passivo Total,2405379.0,2519792.0,2630002.0,2563850.0,2470307.0,2575865.0,2552330.0,2291264.0,2289916.0,2291349.0,2166206.0,2191801.0,2161862.0,2141515.0,1958013.0,1835807.0,1861229.0,1947348.0,1864849.0,2242401.0,2217032.0,2116347.0,2108385.0,2077260.0,2179962.0,2325794.0,2462135.0,2693527.0,2613664.0,2655364.0,2805357.0,2819254.0,2920783.0,3077292.0,3248945.0,3438225.0,3512950.0,3629915.0,3982607.0,4148169.0,4210915.0,4576479.0,5489810.0
2.01,Passivo Circulante,449710.0,485865.0,559643.0,487676.0,800755.0,882594.0,791361.0,963528.0,889126.0,774440.0,812910.0,913548.0,1409547.0,1358938.0,1362660.0,1377659.0,1397141.0,1385400.0,1244980.0,1227173.0,456123.0,485353.0,411953.0,416187.0,450703.0,451250.0,570052.0,663328.0,476780.0,395004.0,409593.0,382836.0,387689.0,416967.0,435881.0,584353.0,671710.0,713984.0,682258.0,787221.0,779113.0,908663.0,930372.0
2.01.01,Obrigações Sociais e Trabalhistas,0.0,0.0,0.0,0.0,48157.0,49960.0,59822.0,44524.0,0.0,0.0,40131.0,29457.0,39736.0,43494.0,48993.0,42112.0,42760.0,41771.0,51483.0,54213.0,46696.0,35811.0,34566.0,18199.0,20212.0,17902.0,21451.0,22180.0,25573.0,23847.0,26461.0,25714.0,31372.0,30261.0,35208.0,32164.0,38637.0,31963.0,39834.0,36020.0,43761.0,36665.0,49012.0
2.01.02,Fornecedores,71418.0,70558.0,65164.0,45830.0,59842.0,59414.0,53756.0,58440.0,28156.0,115999.0,39445.0,38150.0,67584.0,32286.0,36208.0,34057.0,23886.0,36757.0,36365.0,29796.0,23750.0,25539.0,15985.0,29502.0,39371.0,37836.0,39497.0,73563.0,64498.0,45594.0,50353.0,66202.0,60763.0,71699.0,73550.0,120972.0,115644.0,120725.0,118995.0,184092.0,164970.0,236856.0,269762.0
2.01.03,Obrigações Fiscais,5403.0,18299.0,5254.0,17518.0,4033.0,4537.0,4878.0,16264.0,66765.0,53922.0,7265.0,6192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17754.0,18270.0,16350.0,14824.0,15768.0,18798.0,17829.0,18469.0,19332.0,20398.0,20553.0,18097.0,14173.0,14869.0,15811.0,26751.0,22232.0,18324.0,21033.0,16350.0
2.01.04,Empréstimos e Financiamentos,266470.0,306711.0,367959.0,337161.0,631103.0,709650.0,613275.0,796831.0,729857.0,531684.0,664336.0,767199.0,1124621.0,1101402.0,1116955.0,1123398.0,1133438.0,1092057.0,1015954.0,850081.0,113313.0,136486.0,90608.0,63329.0,63094.0,51656.0,94270.0,85195.0,35145.0,30360.0,12854.0,17724.0,9873.0,26441.0,32397.0,93050.0,105028.0,78921.0,3669.0,171.0,12605.0,35504.0,34797.0
2.01.05,Outras Obrigações,77318.0,65354.0,81560.0,62811.0,57620.0,59033.0,59630.0,47469.0,64348.0,72835.0,61733.0,72550.0,177606.0,181756.0,160504.0,170735.0,189212.0,206347.0,133672.0,285943.0,265323.0,280439.0,263414.0,285226.0,302825.0,320011.0,391364.0,457524.0,324150.0,266998.0,291071.0,241409.0,252216.0,252488.0,260788.0,306453.0,394891.0,462119.0,488113.0,539456.0,533976.0,572223.0,553001.0
2.01.06,Provisões,29101.0,24943.0,39706.0,24356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7357.0,7845.0,8468.0,7506.0,7140.0,7041.0,7078.0,7380.0,2177.0,6931.0,7495.0,8646.0,9098.0,8616.0,10376.0,10385.0,12455.0,13067.0,15525.0,15841.0,17541.0,2641.0,4445.0,4896.0,5250.0,5477.0,6382.0,7450.0
2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.02,Passivo Não Circulante,1272981.0,1329325.0,1362260.0,1389812.0,1128040.0,1140748.0,1201719.0,912119.0,957966.0,1098310.0,957174.0,866759.0,365272.0,367046.0,299077.0,271111.0,265105.0,419213.0,498255.0,924965.0,684441.0,649752.0,700256.0,661266.0,711633.0,832442.0,831658.0,958436.0,1041879.0,1132768.0,1227710.0,1258392.0,1325386.0,1407360.0,1509996.0,1516291.0,1460832.0,1454134.0,1750666.0,1824880.0,1824108.0,1970580.0,2742202.0
