cd_conta,conta,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
2,Passivo Total,1224418.000,1287695.000,1456506.000,1978900.000,1790464.000,1835460.000,1846474.000,1969950.000,1951410.000,1994310.000,2060829.000,2198124.000,2301121.000,2317161.000,2402663.000,2434826.000,2421373.000,2451693.000,2455854.000,2520083.000,2594695.000,2489038.000,2596784.000,2692113.000
2.01,Passivo Circulante,482461.000,510626.000,611792.000,613443.000,503174.000,524829.000,531896.000,647469.000,665681.000,643973.000,655501.000,688254.000,601828.000,495455.000,634557.000,643319.000,685825.000,660094.000,721455.000,750949.000,677526.000,691239.000,730582.000,758956.000
2.01.01,Obrigações Sociais e Trabalhistas,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.01.02,Fornecedores,18195.000,15220.000,14514.000,22114.000,15697.000,22804.000,18746.000,23481.000,41916.000,46807.000,54699.000,39653.000,27915.000,30945.000,49107.000,52793.000,53465.000,41188.000,33947.000,32037.000,43081.000,57076.000,55741.000,47676.000
2.01.03,Obrigações Fiscais,15864.000,15874.000,20278.000,18438.000,15240.000,16858.000,17020.000,17542.000,19034.000,12299.000,18728.000,19895.000,21254.000,21224.000,21002.000,22322.000,27953.000,26588.000,21378.000,18415.000,23004.000,22852.000,24213.000,22115.000
2.01.04,Empréstimos e Financiamentos,88229.000,156604.000,124184.000,173006.000,56194.000,47647.000,50456.000,24785.000,6824.000,4114.000,2857.000,21736.000,46358.000,33162.000,47585.000,54640.000,145523.000,115564.000,160138.000,229298.000,125530.000,77407.000,96415.000,107467.000
2.01.05,Outras Obrigações,313888.000,268684.000,396953.000,339968.000,363668.000,379606.000,381253.000,514474.000,532121.000,493893.000,501774.000,526883.000,438714.000,348178.000,440073.000,460549.000,400127.000,417520.000,443155.000,409405.000,429282.000,472638.000,482587.000,499612.000
2.01.06,Provisões,46285.000,54244.000,55863.000,59917.000,52375.000,57914.000,64421.000,67187.000,65786.000,86860.000,77443.000,80087.000,67587.000,61946.000,76790.000,53015.000,58757.000,59234.000,62837.000,61794.000,56629.000,61266.000,71626.000,82086.000
2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.02,Passivo Não Circulante,241596.000,197481.000,224913.000,171482.000,88616.000,107175.000,102371.000,94648.000,86707.000,110394.000,150269.000,211522.000,404080.000,500935.000,475492.000,530427.000,410844.000,423398.000,447100.000,430152.000,549202.000,570948.000,648556.000,687724.000
