codigo,nome,categoria,unidade,2020,2021,2022,2023,2024,2025,LTM
P_L,P/L,Valuation,x,10.1709,4.7666,2.0894,12.5661,3.6028,6.321,5.9927
P_VPA,P/VPA,Valuation,x,0.6194,0.3365,0.2778,0.4547,0.3604,0.6429,0.6095
EV_EBITDA,EV/EBITDA,Valuation,x,1.9444,0.2235,2.2478,4.822,4.7828,7.7454,7.4067
EV_EBIT,EV/EBIT,Valuation,x,2.1972,0.2495,2.3693,5.0498,5.0378,8.1828,7.8249
EV_RECEITA,EV/Receita,Valuation,x,0.2066,0.0197,0.1674,0.4126,0.3795,0.7898,0.7553
DY,Dividend Yield,Valuation,%,,14.6082,12.1098,19.3741,16.8786,30.4987,32.1699
PAYOUT,Payout,Valuation,%,,68.2483,34.6911,76.7966,60.8103,194.3722,194.3722
ROE,ROE,Rentabilidade,%,4.7693,7.2035,10.0707,11.5995,10.1634,9.7224,9.7224
ROA,ROA,Rentabilidade,%,3.1929,4.6158,5.9067,6.4351,5.4558,4.8208,4.8208
ROIC,ROIC,Rentabilidade,%,6.2614,4.9598,4.3342,5.2719,4.0429,5.4958,5.4958
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,10.6267,8.8129,7.4478,8.5564,7.9352,10.1975,10.1975
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,9.832,11.189,12.1986,12.8367,13.2978,10.433,10.433
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,-10.0715,-5.708,-2.4442,-1.1247,-1.2547,1.2251,1.2251
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,-0.5192,-0.3238,-0.1447,-0.086,-0.0749,0.1208,0.1208
ICJ,ICJ,Endividamento,x,9.7905,12.5289,2.2377,2.0759,10.3003,13.0001,13.0001
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,70.9225,54.8818,28.0959,51.0143,34.8372,20.8577,20.8577
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,3.154,2.5382,3.0644,2.9037,2.9331,2.5978,2.5978
LIQ_SECA,Liquidez Seca,Liquidez,x,3.154,2.5382,3.0644,2.9037,2.9331,2.5978,2.5978
LIQ_GERAL,Liquidez Geral,Liquidez,x,3.013,2.569,2.2625,2.1764,2.0422,1.7573,1.7573
GIRO_ATIVO,Giro do Ativo,Eficiência,x,0.3247,0.3955,0.4474,0.4889,0.3966,0.4473,0.4473
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,535.7281,575.4743,508.9819,463.7759,514.0893,461.4097,461.4097
PME,PME,Eficiência,dias,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCG_RECEITA,NCG/Receita,Eficiência,%,75.4174,81.633,90.945,88.8698,94.5065,79.3304,79.3304
