data_fim,trimestre,cd_conta,ds_conta,valor_mil
2015-03-31,T1,6.01,Caixa Líquido Atividades Operacionais,-2884.0
2015-03-31,T1,6.01.01,Caixa Gerado nas Operações,-4487.0
2015-03-31,T1,6.01.01.01,Resultado liquido das operações continuadas,-60473.0
2015-03-31,T1,6.01.01.02,Depreciação e amortização,4894.0
2015-03-31,T1,6.01.01.03,Valor residual do permanente baixado,166.0
2015-03-31,T1,6.01.01.04,Provisão para contingencia,709.0
2015-03-31,T1,6.01.01.05,Provisão de juros sobre emprestimos e financiamentos,6453.0
2015-03-31,T1,6.01.01.06,Variação cambial emprestimos e financiamentos,43764.0
2015-03-31,T1,6.01.02,Variações nos Ativos e Passivos,1603.0
2015-03-31,T1,6.01.02.01,Fornecedores,3913.0
2015-03-31,T1,6.01.02.02,Impostos a recuperar,-559.0
2015-03-31,T1,6.01.02.03,Titulos e valores mobilários,143.0
2015-03-31,T1,6.01.02.04,Duplicatas a receber,-16004.0
2015-03-31,T1,6.01.02.05,Estoques,11077.0
2015-03-31,T1,6.01.02.06,Outros,3097.0
2015-03-31,T1,6.01.02.07,Contas a pagar da descontinuidade dos negocios,3353.0
2015-03-31,T1,6.01.02.08,Adiantamento a fornecedores,-3417.0
2015-03-31,T1,6.01.03,Outros,0.0
2015-03-31,T1,6.02,Caixa Líquido Atividades de Investimento,-1009.0
2015-03-31,T1,6.02.01,Compras do imobilizado,-952.0
2015-03-31,T1,6.02.02,Intangivel,-57.0
2015-03-31,T1,6.03,Caixa Líquido Atividades de Financiamento,1311.0
2015-03-31,T1,6.03.01,Emprestimos tomados,0.0
2015-03-31,T1,6.03.02,Juros pagos por emprestimos e financiamentos,-327.0
2015-03-31,T1,6.03.03,Outros direitos e obrigações de longo prazo,1638.0
2015-03-31,T1,6.04,Variação Cambial s/ Caixa e Equivalentes,0.0
2015-03-31,T1,6.05,Aumento (Redução) de Caixa e Equivalentes,-2582.0
2015-03-31,T1,6.05.01,Saldo Inicial de Caixa e Equivalentes,42631.0
2015-03-31,T1,6.05.02,Saldo Final de Caixa e Equivalentes,40049.0
2015-06-30,T2,6.01,Caixa Líquido Atividades Operacionais,3145.0
2015-06-30,T2,6.01.01,Caixa Gerado nas Operações,8323.0
2015-06-30,T2,6.01.01.01,Resultado liquido das operações continuadas,-56103.0
2015-06-30,T2,6.01.01.02,Depreciação e amortização,9833.0
2015-06-30,T2,6.01.01.03,Valor residual do permanente baixado,323.0
2015-06-30,T2,6.01.01.04,Provisão para contingencia,2135.0
2015-06-30,T2,6.01.01.05,Provisão de juros sobre emprestimos e financiamentos,16589.0
2015-06-30,T2,6.01.01.06,Variação cambial emprestimos e financiamentos,35546.0
2015-06-30,T2,6.01.02,Variações nos Ativos e Passivos,-5178.0
2015-06-30,T2,6.01.02.01,Fornecedores,-2725.0
