cd_conta,ds_conta,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T2,2019T3,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
3.01,Receita de Venda de Bens e/ou Serviços,114366.0,118842.0,103627.0,90642.0,123121.0,113159.0,103826.0,87427.0,115596.0,118941.0,112669.0,98777.0,115773.0,115006.0,129588.0,116371.0,148215.0,141657.0,147107.0,79640.0,152989.0,166716.0,203076.0,208192.0,237692.0,214014.0,260584.0,276628.0,263472.0,216502.0,235212.0,243545.0,238008.0,211106.0,226351.0,230787.0,259860.0,231040.0,245015.0,268368.0,288443.0
3.02,Custo dos Bens e/ou Serviços Vendidos,-113679.0,-101667.0,-92804.0,-85632.0,-109976.0,-99343.0,-93339.0,-79585.0,-103565.0,-104894.0,-97888.0,-82530.0,-98825.0,-99475.0,-109242.0,-101487.0,-125349.0,-121652.0,-124307.0,-80004.0,-124446.0,-137015.0,-169339.0,-177171.0,-198572.0,-187139.0,-218085.0,-228062.0,-227530.0,-199589.0,-203823.0,-207741.0,-212254.0,-177176.0,-206613.0,-201785.0,-227191.0,-198963.0,-222104.0,-232467.0,-252111.0
3.03,Resultado Bruto,687.0,17175.0,10823.0,5010.0,13145.0,13816.0,10487.0,7842.0,12031.0,14047.0,14781.0,16247.0,16948.0,15531.0,20346.0,14884.0,22866.0,20005.0,22800.0,364.0,28543.0,28973.0,33737.0,31021.0,39120.0,26875.0,42499.0,48566.0,35942.0,16913.0,31389.0,35804.0,25754.0,33930.0,19738.0,29002.0,32669.0,32077.0,22911.0,35901.0,36332.0
3.04,Despesas/Receitas Operacionais,-10310.0,-12953.0,-10050.0,-5004.0,-8749.0,-10116.0,-8517.0,-12648.0,-8302.0,-10292.0,-6431.0,-20202.0,-8522.0,-7615.0,-8950.0,-7585.0,-8095.0,-7371.0,-13767.0,-2529.0,-6789.0,-20981.0,-6521.0,-77130.0,-4161.0,-25421.0,-6926.0,-9559.0,-6744.0,-2560.0,-11762.0,-12944.0,-14284.0,-4651.0,-6855.0,-13770.0,-14094.0,-15500.0,-18382.0,-13777.0,-13473.0
3.04.02,Despesas Gerais e Administrativas,-8672.0,-8276.0,-9219.0,-6751.0,-8694.0,-7954.0,-8206.0,-9186.0,-8037.0,-7890.0,-7653.0,-7719.0,-7543.0,-7633.0,-7510.0,-7835.0,-6976.0,-7071.0,-6853.0,-5526.0,-6669.0,-7202.0,-6728.0,-7311.0,-7105.0,-7023.0,-7168.0,-8178.0,-6411.0,-9182.0,-8301.0,-9265.0,-9628.0,-7712.0,-9369.0,-9253.0,-9557.0,-9566.0,-2850.0,-10977.0,-11395.0
3.04.05,Outras Despesas Operacionais,-1344.0,-3520.0,-1515.0,-2011.0,-952.0,-1752.0,-1718.0,-2750.0,-911.0,-1935.0,-3080.0,-304.0,-575.0,-1065.0,-137.0,-1014.0,-206.0,-1150.0,-6768.0,-2719.0,-47103.0,-1564.0,-3479.0,-12149.0,-509.0,-5204.0,-2357.0,-2725.0,-364.0,-14547.0,-3761.0,-532.0,-3045.0,-3158.0,-1480.0,-3311.0,-430.0,-8848.0,-13561.0,-314.0,0.0
3.04.05.02,Depreciação e amortização,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.04.06,Resultado de Equivalência Patrimonial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.05,Resultado Antes do Resultado Financeiro e dos Tributos,-9623.0,4222.0,773.0,6.0,4396.0,3700.0,1970.0,-4806.0,3729.0,3755.0,8350.0,-3955.0,8426.0,7916.0,11396.0,7299.0,14771.0,12634.0,9033.0,2165.0,21754.0,45624.0,27216.0,108151.0,34959.0,22818.0,35573.0,39007.0,29198.0,14353.0,19627.0,22860.0,11470.0,29279.0,12883.0,15232.0,18575.0,16577.0,4529.0,22124.0,22859.0
3.06,Resultado Financeiro,-50766.0,240.0,-82863.0,-4350.0,15510.0,13066.0,-15451.0,-13392.0,-4681.0,-20902.0,499.0,-20548.0,-9143.0,-49234.0,-20468.0,-441.0,-5168.0,-36506.0,-99149.0,-27556.0,-16733.0,36364.0,-42098.0,90205.0,-39565.0,-11533.0,50823.0,-49873.0,-26520.0,-782.0,-4524.0,3758.0,-25454.0,-2565.0,-21653.0,-45966.0,-7395.0,-53172.0,9450.0,-1228.0,-9013.0
