cd_conta,conta,2010T4,2011T1,2011T2,2011T3,2011T4,2012T1,2012T2,2012T3,2012T4,2013T1,2013T2,2013T3,2013T4,2014T1,2014T2,2014T3,2014T4,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
1,Ativo Total,3927780.000,3681970.000,4402023.000,4439438.000,4877354.000,4854808.000,5118172.000,5229007.000,4107744.000,4109118.000,4291966.000,4351668.000,4713904.000,4475198.000,4487408.000,4656338.000,5290037.000,4832704.000,4656777.000,4780376.000,5588537.000,4984309.000,4978370.000,5200333.000,6100606.000,5273332.000,5271800.000,5947142.000,7419513.000,6901211.000,7038714.000,7134704.000,8796741.000,9741227.000,12082657.000,13252799.000,19791073.000,17710082.000,20558633.000,21814811.000,24647203.000,22610558.000,25066189.000,30549500.000,38384616.000,33761222.000,34500956.000,35976404.000,37765845.000,34216568.000,35598877.000,36918960.000,37455067.000,37218861.000,34977414.000,35703868.000,37311858.000,35577093.000,36913613.000,37221991.000
1.01,Ativo Circulante,2895585.000,2673821.000,3320699.000,3235354.000,3567127.000,3504614.000,3742741.000,3827405.000,2420578.000,2390970.000,2615181.000,2629047.000,2921990.000,2677980.000,2631090.000,2756424.000,3395922.000,2917622.000,2672208.000,2636572.000,3360515.000,2819393.000,2807439.000,3010297.000,3919843.000,3127783.000,3116317.000,3788465.000,5257617.000,4772292.000,4841942.000,4892255.000,6412390.000,5333105.000,6035612.000,6351223.000,12841161.000,10589868.000,13278766.000,14355926.000,16798810.000,14620966.000,15993091.000,19874006.000,24509810.000,19591272.000,20065629.000,20721960.000,21938136.000,18175897.000,19085538.000,19475826.000,20221163.000,20052486.000,17386347.000,17745212.000,19550824.000,18058921.000,19219372.000,19241455.000
1.01.01,Caixa e Equivalentes de Caixa,328865.000,125618.000,48311.000,77968.000,173117.000,176122.000,140300.000,99026.000,418879.000,152276.000,176574.000,260296.000,280306.000,235278.000,287368.000,132755.000,412170.000,282746.000,227137.000,270386.000,617465.000,411265.000,197501.000,234560.000,599141.000,255085.000,265061.000,178625.000,412707.000,775152.000,680451.000,419013.000,599087.000,293189.000,625705.000,221794.000,305746.000,388904.000,1103523.000,1190439.000,1681376.000,639869.000,1288341.000,751223.000,2566218.000,1407204.000,1710712.000,1812210.000,2420045.000,1784888.000,2100610.000,2804023.000,2593346.000,1978265.000,1207384.000,1538158.000,1827197.000,1532213.000,1969935.000,1424531.000
1.01.02,Aplicações Financeiras,46732.000,145338.000,655520.000,259474.000,74957.000,162701.000,255055.000,274331.000,126385.000,476231.000,539038.000,423487.000,491288.000,306269.000,283759.000,435164.000,450979.000,337433.000,238792.000,265143.000,497623.000,302246.000,464845.000,566954.000,818984.000,521375.000,596982.000,1043666.000,1259553.000,299345.000,182840.000,253756.000,409111.000,217285.000,441096.000,238717.000,4448158.000,2231269.000,1878803.000,1725599.000,1221779.000,745394.000,468466.000,1354190.000,1556371.000,584427.000,211313.000,293885.000,304298.000,447910.000,386194.000,480829.000,779072.000,352061.000,739117.000,269532.000,337894.000,201332.000,143683.000,155418.000
1.01.03,Contas a Receber,1524671.000,1522202.000,1630621.000,1758287.000,1927828.000,1884416.000,1966529.000,1963588.000,486474.000,448829.000,458447.000,463675.000,530620.000,510038.000,577419.000,583812.000,618276.000,480435.000,419449.000,431175.000,435225.000,389638.000,404297.000,423054.000,581001.000,578848.000,503849.000,663189.000,1241290.000,1410669.000,1507047.000,1657171.000,2051557.000,1761335.000,1460841.000,1874975.000,2915034.000,2147035.000,4386122.000,4033864.000,4761899.000,3714318.000,3779102.000,5427841.000,5650759.000,4801071.000,5621703.000,5486042.000,6760270.000,4720362.000,5532905.000,4838903.000,5885450.000,6046058.000,4544906.000,4778723.000,5833528.000,4947203.000,5740799.000,5329907.000
1.01.04,Estoques,849799.000,741126.000,876603.000,1001019.000,1264657.000,1134219.000,1131270.000,1306919.000,1068762.000,974924.000,1051127.000,1135483.000,1251362.000,1263953.000,1144160.000,1268406.000,1472738.000,1388569.000,1293376.000,1208123.000,1353092.000,1279280.000,1306703.000,1346252.000,1596743.000,1454088.000,1430332.000,1545502.000,1969333.000,1937287.000,2110415.000,2106439.000,2810248.000,2484630.000,2556337.000,2885737.000,3801763.000,4075499.000,4198175.000,5005934.000,5927236.000,6808443.000,7496866.000,8126343.000,9112214.000,8077255.000,7965704.000,8471338.000,7790069.000,7564070.000,7570170.000,7899395.000,7497299.000,7315166.000,7195243.000,7385346.000,7611132.000,7190650.000,7040005.000,7472113.000
1.01.05,Ativos Biológicos,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.01.06,Tributos a Recuperar,46524.000,31233.000,16755.000,26140.000,24608.000,27826.000,26499.000,42417.000,208503.000,190402.000,230455.000,214310.000,218554.000,224389.000,193428.000,211256.000,295595.000,291605.000,337574.000,311868.000,334344.000,320883.000,296916.000,293064.000,212151.000,195472.000,182714.000,188989.000,200678.000,191853.000,190422.000,226734.000,303691.000,221942.000,712697.000,745693.000,864144.000,877448.000,748944.000,932026.000,716118.000,895426.000,976377.000,1148146.000,1514143.000,1566894.000,1696967.000,1787602.000,1878645.000,1837826.000,1684020.000,1743370.000,1857535.000,1888508.000,1885548.000,1789828.000,1954246.000,1941906.000,1969601.000,2082407.000
1.01.07,Despesas Antecipadas,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.01.08,Outros Ativos Circulantes,98994.000,108304.000,92889.000,112466.000,101960.000,119330.000,223088.000,141124.000,111575.000,148308.000,159540.000,131796.000,149860.000,138053.000,144956.000,125031.000,146164.000,136834.000,155880.000,149877.000,122766.000,116081.000,137177.000,146413.000,111823.000,122915.000,137379.000,168494.000,174056.000,157986.000,170767.000,229142.000,238696.000,354724.000,238936.000,384307.000,506316.000,869713.000,963199.000,1468064.000,2490402.000,1817516.000,1983939.000,3066263.000,4110105.000,3154421.000,2859230.000,2870883.000,2784809.000,1820841.000,1811639.000,1709306.000,1608461.000,2472428.000,1814149.000,1983625.000,1986827.000,2245617.000,2355349.000,2777079.000
