data_fim,trimestre,cd_conta,ds_conta,valor_mil
2019-12-31,T4,2,Passivo Total,1375895.0
2019-12-31,T4,2.01,Passivo Circulante,174232.0
2019-12-31,T4,2.01.01,Obrigações Sociais e Trabalhistas,27908.0
2019-12-31,T4,2.01.01.01,Obrigações Sociais,0.0
2019-12-31,T4,2.01.01.02,Obrigações Trabalhistas,27908.0
2019-12-31,T4,2.01.02,Fornecedores,26670.0
2019-12-31,T4,2.01.02.01,Fornecedores Nacionais,26670.0
2019-12-31,T4,2.01.02.01.01,Contas a pagar a terceiros,26670.0
2019-12-31,T4,2.01.02.01.02,Contas a pagar a partes relacionadas,0.0
2019-12-31,T4,2.01.02.02,Fornecedores Estrangeiros,0.0
2019-12-31,T4,2.01.03,Obrigações Fiscais,10831.0
2019-12-31,T4,2.01.03.01,Obrigações Fiscais Federais,10269.0
2019-12-31,T4,2.01.03.01.01,Imposto de Renda e Contribuição Social a Pagar,0.0
2019-12-31,T4,2.01.03.01.02,Programa de Recuperação Fiscal  (REFIS),1434.0
2019-12-31,T4,2.01.03.01.03,Impostos Federais,8835.0
2019-12-31,T4,2.01.03.02,Obrigações Fiscais Estaduais,329.0
2019-12-31,T4,2.01.03.02.01,Impostos Estaduais,329.0
2019-12-31,T4,2.01.03.03,Obrigações Fiscais Municipais,233.0
2019-12-31,T4,2.01.03.03.01,Impostos municipais,233.0
2019-12-31,T4,2.01.04,Empréstimos e Financiamentos,99131.0
2019-12-31,T4,2.01.04.01,Empréstimos e Financiamentos,6543.0
2019-12-31,T4,2.01.04.01.01,Em Moeda Nacional,6543.0
2019-12-31,T4,2.01.04.01.02,Em Moeda Estrangeira,0.0
2019-12-31,T4,2.01.04.02,Debêntures,77417.0
2019-12-31,T4,2.01.04.03,Financiamento por Arrendamento,15171.0
2019-12-31,T4,2.01.04.03.01,Arrendamento a pagar,15171.0
2019-12-31,T4,2.01.05,Outras Obrigações,9692.0
2019-12-31,T4,2.01.05.01,Passivos com Partes Relacionadas,0.0
2019-12-31,T4,2.01.05.01.01,Débitos com Coligadas,0.0
2019-12-31,T4,2.01.05.01.03,Débitos com Controladores,0.0
2019-12-31,T4,2.01.05.01.04,Débitos com Outras Partes Relacionadas,0.0
2019-12-31,T4,2.01.05.02,Outros,9692.0
2019-12-31,T4,2.01.05.02.01,Dividendos e JCP a Pagar,3.0
2019-12-31,T4,2.01.05.02.02,Dividendo Mínimo Obrigatório a Pagar,0.0
2019-12-31,T4,2.01.05.02.03,Obrigações por Pagamentos Baseados em Ações,0.0
2019-12-31,T4,2.01.05.02.04,Participação nos  lucros a pagar,8840.0
2019-12-31,T4,2.01.05.02.06,Outros passivos,849.0
2019-12-31,T4,2.01.06,Provisões,0.0
2019-12-31,T4,2.01.06.01,Provisões Fiscais Previdenciárias Trabalhistas e Cíveis,0.0
2019-12-31,T4,2.01.06.01.01,Provisões Fiscais,0.0
2019-12-31,T4,2.01.06.01.02,Provisões Previdenciárias e Trabalhistas,0.0
2019-12-31,T4,2.01.06.01.03,Provisões para Benefícios a Empregados,0.0
2019-12-31,T4,2.01.06.01.04,Provisões Cíveis,0.0
2019-12-31,T4,2.01.06.02,Outras Provisões,0.0
2019-12-31,T4,2.01.06.02.01,Provisões para Garantias,0.0
2019-12-31,T4,2.01.06.02.02,Provisões para Reestruturação,0.0
2019-12-31,T4,2.01.06.02.03,Provisões para Passivos Ambientais e de Desativação,0.0
2019-12-31,T4,2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.0
2019-12-31,T4,2.01.07.01,Passivos sobre Ativos Não-Correntes a Venda,0.0
2019-12-31,T4,2.01.07.02,Passivos sobre Ativos de Operações Descontinuadas,0.0
2019-12-31,T4,2.02,Passivo Não Circulante,94290.0
2019-12-31,T4,2.02.01,Empréstimos e Financiamentos,51081.0
2019-12-31,T4,2.02.01.01,Empréstimos e Financiamentos,3671.0
2019-12-31,T4,2.02.01.01.01,Em Moeda Nacional,3671.0
2019-12-31,T4,2.02.01.01.02,Em Moeda Estrangeira,0.0
2019-12-31,T4,2.02.01.02,Debêntures,3926.0
2019-12-31,T4,2.02.01.03,Financiamento por Arrendamento,43484.0
2019-12-31,T4,2.02.01.03.01,Arrendamento a pagar,43484.0
2019-12-31,T4,2.02.02,Outras Obrigações,6915.0
2019-12-31,T4,2.02.02.01,Passivos com Partes Relacionadas,0.0
2019-12-31,T4,2.02.02.01.01,Débitos com Coligadas,0.0
2019-12-31,T4,2.02.02.01.03,Débitos com Controladores,0.0
2019-12-31,T4,2.02.02.01.04,Débitos com Outras Partes Relacionadas,0.0
2019-12-31,T4,2.02.02.02,Outros,6915.0
2019-12-31,T4,2.02.02.02.01,Obrigações por Pagamentos Baseados em Ações,0.0
2019-12-31,T4,2.02.02.02.02,Adiantamento para Futuro Aumento de Capital,0.0
2019-12-31,T4,2.02.02.02.03,Tributos  a pagar,641.0
2019-12-31,T4,2.02.02.02.04,Programa de recuperação fiscal (REFIS),5122.0
2019-12-31,T4,2.02.02.02.05,Outros passivos,1152.0
