data_fim,trimestre,cd_conta,ds_conta,valor_mil
2018-03-31,T1,6.01,Caixa Líquido Atividades Operacionais,-9824.0
2018-03-31,T1,6.01.01,Caixa Gerado nas Operações,68250.0
2018-03-31,T1,6.01.01.01,Lucro Líquido do Exercicio,63554.0
2018-03-31,T1,6.01.01.02,Depreciação e Amortização,2217.0
2018-03-31,T1,6.01.01.04,Resultado de Equivalência  Patrimonial,0.0
2018-03-31,T1,6.01.01.06,Imposto de Renda Diferido,2621.0
2018-03-31,T1,6.01.01.07,Baixa de Ativos e Ganhos (Perdas) nas Vendas,2648.0
2018-03-31,T1,6.01.01.11,Perda (Ganho) de Instrumentos Derivativos,804.0
2018-03-31,T1,6.01.01.13,"Provisões para Contigência, Liquida de Reversão e Juros",1067.0
2018-03-31,T1,6.01.01.14,Outras Provisões,-4661.0
2018-03-31,T1,6.01.01.15,Ganhos de Compra Vantajosa de Controlada,0.0
2018-03-31,T1,6.01.02,Variações nos Ativos e Passivos,-74476.0
2018-03-31,T1,6.01.02.01,Clientes,-3334.0
2018-03-31,T1,6.01.02.02,Estoque,-72708.0
2018-03-31,T1,6.01.02.05,Creditos Correntes a Recuperar,-8898.0
2018-03-31,T1,6.01.02.09,Outros,32057.0
2018-03-31,T1,6.01.02.10,Fornecedores,5516.0
2018-03-31,T1,6.01.02.11,Obrigações Fiscais,14617.0
2018-03-31,T1,6.01.02.14,Outras Obrigações,-41726.0
2018-03-31,T1,6.01.03,Outros,-3598.0
2018-03-31,T1,6.01.03.02,Imposto de Renda e Contribuição Social Pagos,-3598.0
2018-03-31,T1,6.02,Caixa Líquido Atividades de Investimento,-5860.0
2018-03-31,T1,6.02.01,Aquisição de Imobilizado,-5976.0
2018-03-31,T1,6.02.02,Aquisição de Intangivel,0.0
2018-03-31,T1,6.02.04,Resultado na Venda de Imobilizado,116.0
2018-03-31,T1,6.02.06,Investimento em Controladas,0.0
2018-03-31,T1,6.03,Caixa Líquido Atividades de Financiamento,-10743.0
2018-03-31,T1,6.03.05,Juros Pagos de Empréstimos e Financiamentos,-2598.0
2018-03-31,T1,6.03.06,Pagamento de Empréstimos e Financiamentos,-5145.0
2018-03-31,T1,6.03.09,Pagamento de Dividendo,-3000.0
2018-03-31,T1,6.04,Variação Cambial s/ Caixa e Equivalentes,0.0
2018-03-31,T1,6.05,Aumento (Redução) de Caixa e Equivalentes,-26427.0
2018-03-31,T1,6.05.01,Saldo Inicial de Caixa e Equivalentes,133168.0
2018-03-31,T1,6.05.02,Saldo Final de Caixa e Equivalentes,106741.0
2021-03-31,T1,6.01,Caixa Líquido Atividades Operacionais,-458960.0
2021-03-31,T1,6.01.01,Caixa Gerado nas Operações,191285.0
2021-03-31,T1,6.01.01.01,Lucro (Prejuízo) do período,193624.0
2021-03-31,T1,6.01.01.02,Imposto de renda e contribuição social diferidos,8299.0
2021-03-31,T1,6.01.01.03,Equivalência patrimonial,0.0
