data_fim,trimestre,cd_conta,ds_conta,valor_mil
2015-12-31,T4,1,Ativo Total,887634.0
2015-12-31,T4,1.01,Ativo Circulante,206622.0
2015-12-31,T4,1.01.01,Caixa e Equivalentes de Caixa,5495.0
2015-12-31,T4,1.01.02,Aplicações Financeiras,7222.0
2015-12-31,T4,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo,0.0
2015-12-31,T4,1.01.02.01.01,Títulos para Negociação,0.0
2015-12-31,T4,1.01.02.01.02,Títulos Disponíveis para Venda,0.0
2015-12-31,T4,1.01.02.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,7222.0
2015-12-31,T4,1.01.02.02.01,Títulos Mantidos até o Vencimento,7222.0
2015-12-31,T4,1.01.03,Contas a Receber,113914.0
2015-12-31,T4,1.01.03.01,Clientes,113914.0
2015-12-31,T4,1.01.03.01.01,Clientes,121222.0
2015-12-31,T4,1.01.03.01.02,Provisão para Crédito de Liquidação Duvidosa,-7308.0
2015-12-31,T4,1.01.03.02,Outras Contas a Receber,0.0
2015-12-31,T4,1.01.04,Estoques,55716.0
2015-12-31,T4,1.01.05,Ativos Biológicos,0.0
2015-12-31,T4,1.01.06,Tributos a Recuperar,3897.0
2015-12-31,T4,1.01.06.01,Tributos Correntes a Recuperar,3897.0
2015-12-31,T4,1.01.07,Despesas Antecipadas,0.0
2015-12-31,T4,1.01.08,Outros Ativos Circulantes,20378.0
2015-12-31,T4,1.01.08.01,Ativos Não-Correntes a Venda,0.0
2015-12-31,T4,1.01.08.02,Ativos de Operações Descontinuadas,0.0
2015-12-31,T4,1.01.08.03,Outros,20378.0
2015-12-31,T4,1.01.08.03.01,Títulos a Receber,2821.0
2015-12-31,T4,1.01.08.03.02,Outras Contas a Receber,16597.0
2015-12-31,T4,1.01.08.03.03,Debentures,960.0
2015-12-31,T4,1.02,Ativo Não Circulante,681012.0
2015-12-31,T4,1.02.01,Ativo Realizável a Longo Prazo,423751.0
2015-12-31,T4,1.02.01.01,Aplicações Financeiras Avaliadas a Valor Justo,0.0
2015-12-31,T4,1.02.01.01.01,Títulos para Negociação,0.0
2015-12-31,T4,1.02.01.01.02,Títulos Disponíveis para Venda,0.0
2015-12-31,T4,1.02.01.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,626.0
2015-12-31,T4,1.02.01.02.01,Títulos Mantidos até o Vencimento,626.0
2015-12-31,T4,1.02.01.03,Contas a Receber,0.0
2015-12-31,T4,1.02.01.03.01,Clientes,0.0
