data_fim,trimestre,cd_conta,ds_conta,valor_mil
2015-03-31,T1,6.01,Caixa Líquido Atividades Operacionais,-1222.0
2015-03-31,T1,6.01.01,Caixa Gerado nas Operações,2805.0
2015-03-31,T1,6.01.01.01,Resultado Liquido do Exercício,-5600.0
2015-03-31,T1,6.01.01.02,Depreciação e Amortização de Ativos Imobilizados e Intangíveis,3209.0
2015-03-31,T1,6.01.01.03,Equivalência Patrimonial,0.0
2015-03-31,T1,6.01.01.04,Provisões de Ativos e Passivos,15573.0
2015-03-31,T1,6.01.01.05,Variações Cambiais e Juros de Ativos e Passivos,-6147.0
2015-03-31,T1,6.01.01.06,Juros a Receber sobre Venda de Ativos,0.0
2015-03-31,T1,6.01.01.07,Imposto de Renda e Controbuição Social,-4230.0
2015-03-31,T1,6.01.02,Variações nos Ativos e Passivos,-4027.0
2015-03-31,T1,6.01.02.01,Diminuição (Aumento) de Clientes,6241.0
2015-03-31,T1,6.01.02.02,(Aumento) de Títulos a Receber,-777.0
2015-03-31,T1,6.01.02.03,(Aumento) de Estoques,-8866.0
2015-03-31,T1,6.01.02.04,Diminuição (Aumento) de Outras Contas a Receber,-10337.0
2015-03-31,T1,6.01.02.05,(Aumento) de Partes Relacionadas,-1410.0
2015-03-31,T1,6.01.02.07,Aumento (Diminuição) de Fornecedores,6067.0
2015-03-31,T1,6.01.02.08,Aumento (Diminuição) de Salários e Ordenados,-3579.0
2015-03-31,T1,6.01.02.10,Aumento (Diminuição) de Provisão para Contingências,-64.0
2015-03-31,T1,6.01.02.11,Aumento (Diminuição) de Outras Contas a Pagar,-4785.0
2015-03-31,T1,6.01.02.13,Aumento (Diminuição) em Impostos e Contribuições,13483.0
2015-03-31,T1,6.01.03,Outros,0.0
2015-03-31,T1,6.02,Caixa Líquido Atividades de Investimento,-3053.0
2015-03-31,T1,6.02.01,Imobilizado,-2954.0
2015-03-31,T1,6.02.02,Intangiveis,-99.0
2015-03-31,T1,6.03,Caixa Líquido Atividades de Financiamento,6103.0
2015-03-31,T1,6.03.01,Captação de Empréstimos,83339.0
2015-03-31,T1,6.03.02,Pagamentos de Empréstimos,-70373.0
2015-03-31,T1,6.03.03,Juros de Emprestimos Pagos,-6863.0
2015-03-31,T1,6.03.04,Pagamento de Debentures,0.0
2015-03-31,T1,6.03.05,Juros de Debentures Pagos,0.0
2015-03-31,T1,6.04,Variação Cambial s/ Caixa e Equivalentes,0.0
2015-03-31,T1,6.05,Aumento (Redução) de Caixa e Equivalentes,1828.0
2015-03-31,T1,6.05.01,Saldo Inicial de Caixa e Equivalentes,5217.0
2015-03-31,T1,6.05.02,Saldo Final de Caixa e Equivalentes,7045.0
2015-06-30,T2,6.01,Caixa Líquido Atividades Operacionais,14695.0
2015-06-30,T2,6.01.01,Caixa Gerado nas Operações,-1572.0
2015-06-30,T2,6.01.01.01,Resultado Liquido do Exercício,-25034.0
2015-06-30,T2,6.01.01.02,Depreciação e Amortização de Ativos Imobilizados e Intangíveis,6512.0
2015-06-30,T2,6.01.01.03,Equivalência Patrimonial,0.0
2015-06-30,T2,6.01.01.04,Provisões de Ativos e Passivos,34405.0
2015-06-30,T2,6.01.01.05,Variações Cambiais e Juros de Ativos e Passivos,-5447.0
2015-06-30,T2,6.01.01.06,Juros a Receber sobre Venda de Ativos,0.0
2015-06-30,T2,6.01.01.07,Imposto de Renda e Controbuição Social,-12008.0
2015-06-30,T2,6.01.02,Variações nos Ativos e Passivos,16267.0
2015-06-30,T2,6.01.02.01,(Aumento) Diminuição de Clientes,-807.0
2015-06-30,T2,6.01.02.02,(Aumento) de Títulos a Receber,-416.0
2015-06-30,T2,6.01.02.03,(Aumento) de Estoques,-3732.0
2015-06-30,T2,6.01.02.04,(Aumento) Diminuição de Outras Contas a Receber,-2072.0
2015-06-30,T2,6.01.02.05,(Aumento) Diminuição de Partes Relacionadas,-1931.0
2015-06-30,T2,6.01.02.07,Aumento (Diminuição) de Fornecedores,3375.0
2015-06-30,T2,6.01.02.08,(Diminuição) de Salários e Ordenados,-2559.0
2015-06-30,T2,6.01.02.09,(Diminuição) Aumento de Provisão de Contingências,-1771.0
2015-06-30,T2,6.01.02.11,(Diminuição) Aumento de Outras Contas a Pagar,-3801.0
2015-06-30,T2,6.01.02.13,Aumento em Impostos e Contribuições,29981.0
2015-06-30,T2,6.01.03,Outros,0.0
2015-06-30,T2,6.02,Caixa Líquido Atividades de Investimento,-5490.0
2015-06-30,T2,6.02.01,Imobilizado,-5337.0
2015-06-30,T2,6.02.02,Intangiveis,-153.0
2015-06-30,T2,6.02.04,Baixa de Imóveis Destinados a Venda,0.0
2015-06-30,T2,6.03,Caixa Líquido Atividades de Financiamento,-8477.0
2015-06-30,T2,6.03.01,Captação de emprestimos,154363.0
2015-06-30,T2,6.03.02,Pagamentos de Emprestimos,-148031.0
2015-06-30,T2,6.03.03,Juros Pagos de Emprestimos,-14809.0
2015-06-30,T2,6.03.04,Pagamento de Debentures,0.0
2015-06-30,T2,6.03.05,Juros de Debentures Pagos,0.0
2015-06-30,T2,6.03.06,Aumento de Capital,0.0
2015-06-30,T2,6.04,Variação Cambial s/ Caixa e Equivalentes,0.0
2015-06-30,T2,6.05,Aumento (Redução) de Caixa e Equivalentes,728.0
2015-06-30,T2,6.05.01,Saldo Inicial de Caixa e Equivalentes,5217.0
2015-06-30,T2,6.05.02,Saldo Final de Caixa e Equivalentes,5945.0
2015-09-30,T3,6.01,Caixa Líquido Atividades Operacionais,16528.0
2015-09-30,T3,6.01.01,Caixa Gerado nas Operações,-7256.0
2015-09-30,T3,6.01.01.01,Resultado Liquido do Exercício,-38129.0
2015-09-30,T3,6.01.01.02,Depreciação e Amortização de Ativos Imobilizados e Intangíveis,9875.0
2015-09-30,T3,6.01.01.03,Equivalência Patrimonial,0.0
2015-09-30,T3,6.01.01.04,Provisões de Ativos e Passivos,54806.0
2015-09-30,T3,6.01.01.05,Variações Cambiais e Juros de Ativos e Passivos,-15703.0
2015-09-30,T3,6.01.01.06,Juros a Receber sobre Venda de Ativos,0.0
