cd_conta,conta,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
2,Passivo Total,211029.0,218106.0,216800.0,214986.0,215687.0,211235.0,213306.0,208152.0,210842.0,214203.0,221810.0,171925.0,175547.0,181723.0,189005.0,183905.0,194102.0,191543.0,201116.0,199872.0,218094.0,227997.0,237888.0,244123.0,251241.0,248515.0,256856.0,266931.0,269626.0,292306.0,303779.0,297888.0,305854.0,322406.0,333340.0,327297.0,338027.0,332609.0,350745.0,375004.0,380495.0,428604.0,441203.0
2.01,Passivo Circulante,335549.0,351507.0,353062.0,353073.0,359106.0,364758.0,374215.0,372014.0,379521.0,37661.0,325387.0,351871.0,358001.0,356711.0,360049.0,419270.0,432095.0,434362.0,444115.0,480518.0,482514.0,493722.0,496963.0,511642.0,512050.0,506178.0,509109.0,513416.0,519443.0,522021.0,528224.0,539809.0,543963.0,555235.0,564417.0,560972.0,562896.0,568225.0,578214.0,592554.0,586673.0,74907.0,77526.0
2.01.01,Obrigações Sociais e Trabalhistas,9587.0,11296.0,14617.0,10853.0,11133.0,11502.0,14330.0,10221.0,11158.0,14013.0,15293.0,12650.0,12928.0,14555.0,15411.0,12229.0,12694.0,13968.0,16261.0,13063.0,14039.0,14197.0,15310.0,14065.0,14838.0,16459.0,16006.0,13820.0,14921.0,18257.0,20654.0,15565.0,17111.0,20548.0,20692.0,16680.0,18729.0,16282.0,18742.0,16105.0,17791.0,23106.0,25993.0
2.01.02,Fornecedores,8132.0,8767.0,8449.0,7545.0,7780.0,6854.0,6972.0,7668.0,6974.0,6761.0,6680.0,6710.0,7747.0,7692.0,8339.0,7531.0,8449.0,8991.0,9094.0,7660.0,8501.0,9656.0,10420.0,11234.0,11609.0,12637.0,12211.0,13386.0,14558.0,14575.0,13037.0,14975.0,16009.0,16627.0,17960.0,19916.0,17184.0,17827.0,21583.0,20467.0,20260.0,21045.0,19902.0
2.01.03,Obrigações Fiscais,300595.0,307047.0,314808.0,319781.0,327130.0,334591.0,342804.0,350528.0,356105.0,12228.0,300259.0,330331.0,335554.0,331796.0,334131.0,397609.0,403155.0,406258.0,414745.0,456541.0,458241.0,459584.0,458408.0,464433.0,467147.0,462522.0,465013.0,471237.0,474257.0,473167.0,478845.0,484005.0,488054.0,495830.0,504562.0,503470.0,507453.0,510802.0,515520.0,522908.0,528342.0,23004.0,24421.0
2.01.04,Empréstimos e Financiamentos,6297.0,12467.0,3172.0,1896.0,1848.0,1672.0,268.0,229.0,214.0,197.0,175.0,156.0,139.0,331.0,288.0,229.0,152.0,42.0,90.0,90.0,90.0,91.0,389.0,93.0,253.0,382.0,370.0,107.0,424.0,274.0,306.0,126.0,238.0,190.0,128.0,274.0,170.0,28.0,0.0,0.0,86.0,0.0,0.0
2.01.05,Outras Obrigações,10938.0,11930.0,12016.0,12998.0,11215.0,10139.0,9841.0,3368.0,5070.0,4462.0,2980.0,2024.0,1633.0,2337.0,1880.0,1672.0,7645.0,5103.0,3925.0,3164.0,1643.0,10194.0,12436.0,21817.0,18203.0,14178.0,15509.0,14866.0,15283.0,15748.0,15382.0,25138.0,22551.0,22040.0,21075.0,20632.0,19360.0,23286.0,22369.0,33074.0,20194.0,7752.0,7210.0
2.01.06,Provisões,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.02,Passivo Não Circulante,120080.0,113171.0,114139.0,116181.0,111089.0,106192.0,103417.0,103738.0,102378.0,449189.0,169289.0,113017.0,112201.0,126024.0,127755.0,124627.0,119547.0,109397.0,111481.0,112376.0,111681.0,110475.0,109737.0,108190.0,108118.0,113628.0,109061.0,97676.0,96085.0,96678.0,95739.0,94164.0,89437.0,94683.0,91642.0,90500.0,90421.0,91474.0,91994.0,94575.0,94574.0,162050.0,161888.0
2.02.01,Empréstimos e Financiamentos,9922.0,3672.0,2572.0,2704.0,2547.0,2370.0,2192.0,2016.0,1854.0,1675.0,1494.0,1317.0,1151.0,761.0,614.0,468.0,339.0,219.0,410.0,387.0,365.0,351.0,335.0,312.0,288.0,282.0,276.0,250.0,223.0,219.0,190.0,160.0,130.0,100.0,76.0,163.0,31.0,24.0,0.0,0.0,0.0,0.0,0.0
2.02.02,Outras Obrigações,70878.0,70774.0,70532.0,71118.0,67232.0,63300.0,60654.0,60002.0,59690.0,407355.0,124243.0,67998.0,67739.0,76276.0,77053.0,77601.0,76084.0,74924.0,75148.0,75371.0,74166.0,72792.0,72110.0,70817.0,69333.0,65496.0,63542.0,62327.0,61069.0,63054.0,62862.0,62278.0,58955.0,64449.0,65374.0,66376.0,67112.0,68920.0,71220.0,73789.0,72843.0,139982.0,140267.0
2.02.03,Tributos Diferidos,18420.0,17865.0,18193.0,17960.0,17756.0,17642.0,17443.0,17083.0,16973.0,17319.0,16736.0,16582.0,16464.0,16346.0,16226.0,16106.0,15993.0,15879.0,15759.0,15692.0,15619.0,15225.0,15121.0,17956.0,17815.0,17673.0,17530.0,17386.0,17249.0,17111.0,16972.0,16839.0,16691.0,16476.0,16274.0,16071.0,15893.0,15071.0,14884.0,14737.0,14602.0,14467.0,14332.0
2.02.04,Provisões,20860.0,20860.0,22842.0,24399.0,23554.0,22880.0,23128.0,24637.0,23861.0,22840.0,26816.0,27120.0,26847.0,32641.0,33862.0,30452.0,27131.0,18375.0,20164.0,20926.0,21531.0,22107.0,22171.0,19105.0,20682.0,30177.0,27713.0,17713.0,17544.0,16294.0,15715.0,14887.0,13661.0,13658.0,9918.0,7890.0,7385.0,7459.0,5890.0,6049.0,7129.0,7601.0,7289.0
2.02.05,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.02.06,Lucros e Receitas a Apropriar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.03,Patrimônio Líquido Consolidado,-244600.0,-246572.0,-250401.0,-254268.0,-254508.0,-259715.0,-264326.0,-267600.0,-271057.0,-272647.0,-272866.0,-292963.0,-294655.0,-301012.0,-298799.0,-359992.0,-357540.0,-352216.0,-354480.0,-393022.0,-376101.0,-376200.0,-368812.0,-375709.0,-368927.0,-371291.0,-361314.0,-344161.0,-345902.0,-326393.0,-320184.0,-336085.0,-327546.0,-327512.0,-322719.0,-324175.0,-315290.0,-327090.0,-319463.0,-312125.0,-300752.0,191647.0,201789.0
2.03.01,Capital Social Realizado,120108.0,120108.0,120108.0,120108.0,120108.0,120108.0,120108.0,120108.0,120108.0,120108.0,120108.0,120108.0,120108.0,120108.0,120108.0,120108.0,120108.0,120108.0,120108.0,120108.0,120108.0,120108.0,120108.0,120108.0,120108.0,120108.0,120108.0,120108.0,120108.0,120108.0,120108.0,120108.0,120108.0,120108.0,120108.0,120108.0,120108.0,120108.0,120108.0,120108.0,120108.0,120108.0,120108.0
2.03.02,Reservas de Capital,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.03.03,Reservas de Reavaliação,3666.0,3666.0,3666.0,3666.0,3666.0,3666.0,3666.0,3666.0,3666.0,3666.0,3666.0,3666.0,3666.0,3666.0,3666.0,3666.0,3666.0,3666.0,3666.0,3666.0,3666.0,3666.0,3666.0,3666.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.03.04,Reservas de Lucros,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2041.0,2425.0,3127.0,3793.0,4557.0,5151.0,5846.0,6234.0,6234.0,6234.0,6234.0,6234.0,6234.0,6234.0,6234.0,6234.0,6234.0,6234.0,6234.0
2.03.05,Lucros/Prejuízos Acumulados,-411118.0,-412172.0,-416741.0,-420889.0,-421524.0,-426947.0,-428624.0,-431197.0,-434436.0,-435816.0,-435788.0,-456160.0,-457850.0,-464202.0,-461991.0,-523126.0,-520675.0,-515358.0,-517620.0,-556124.0,-539079.0,-538416.0,-531036.0,-536844.0,-532715.0,-532557.0,-520941.0,-503787.0,-510853.0,-488242.0,-481533.0,-499180.0,-490501.0,-490379.0,-485592.0,-487051.0,-478179.0,-487604.0,-477394.0,-472284.0,-460799.0,31277.0,41535.0
2.03.06,Ajustes de Avaliação Patrimonial,44989.0,44072.0,44816.0,45098.0,45493.0,45714.0,42784.0,42086.0,41872.0,41663.0,41413.0,41710.0,41710.0,41710.0,41710.0,41710.0,41710.0,41710.0,41710.0,41710.0,41569.0,40805.0,40805.0,39723.0,40463.0,37866.0,37866.0,37581.0,37452.0,37320.0,37188.0,37067.0,36916.0,36824.0,36824.0,36823.0,36824.0,34457.0,31863.0,34081.0,33956.0,33832.0,33706.0
2.03.07,Ajustes Acumulados de Conversão,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.03.08,Outros Resultados Abrangentes,-1992.0,-1992.0,-1992.0,-1992.0,-1992.0,-1992.0,-1992.0,-1992.0,-1992.0,-1992.0,-1992.0,-1992.0,-1992.0,-1992.0,-1992.0,-1992.0,-1992.0,-1992.0,-1992.0,-1992.0,-1992.0,-1992.0,-1992.0,-1992.0,1537.0,1230.0,-1125.0,-1522.0,3171.0,-415.0,-1487.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.03.09,Participação dos Acionistas Não Controladores,-253.0,-254.0,-258.0,-259.0,-259.0,-264.0,-268.0,-271.0,-275.0,-276.0,-273.0,-295.0,-297.0,-302.0,-300.0,-358.0,-357.0,-350.0,-352.0,-390.0,-373.0,-371.0,-363.0,-370.0,-361.0,-363.0,-349.0,-334.0,-337.0,-315.0,-306.0,-314.0,-303.0,-299.0,-293.0,-289.0,-277.0,-285.0,-274.0,-264.0,-251.0,196.0,206.0
