data_fim,trimestre,cd_conta,ds_conta,valor_mil
2010-03-31,T1,6.01,Caixa Líquido Atividades Operacionais,3150.0
2010-03-31,T1,6.01.01,Caixa Gerado nas Operações,-19677.0
2010-03-31,T1,6.01.01.01,Resultado Líquido do Exercício,-21883.0
2010-03-31,T1,6.01.01.02,Depreciações e Amortizações,1624.0
2010-03-31,T1,6.01.01.03,Provisão (Reversão) para Contigências,0.0
2010-03-31,T1,6.01.01.04,Provisão (Reversão) para Riscos de Créditos,35.0
2010-03-31,T1,6.01.01.05,Resultado de Equivalencia Patrimonial,0.0
2010-03-31,T1,6.01.01.06,Participação de Minoritários,-859.0
2010-03-31,T1,6.01.01.07,Encargos Financeiros s/ Empréstimos,1209.0
2010-03-31,T1,6.01.01.08,Baixa de Investimentos,0.0
2010-03-31,T1,6.01.01.09,Custo Baixa Bens Ativo Imobilizado e Intangível,197.0
2010-03-31,T1,6.01.01.10,Outros resultados abrangentes,0.0
2010-03-31,T1,6.01.02,Variações nos Ativos e Passivos,22827.0
2010-03-31,T1,6.01.02.01,Clientes,-403.0
2010-03-31,T1,6.01.02.02,Estoques,6.0
2010-03-31,T1,6.01.02.03,Adiantamento a Fornecedores,-275.0
2010-03-31,T1,6.01.02.04,Impostos a Recuperar,45650.0
2010-03-31,T1,6.01.02.05,Outras Contas a Receber,-96.0
2010-03-31,T1,6.01.02.06,Faturamento antecipado,0.0
2010-03-31,T1,6.01.02.07,Partes Relacionadas,-3.0
2010-03-31,T1,6.01.02.08,Depósitos Judiciais,-16.0
2010-03-31,T1,6.01.02.09,Fornecedores,136.0
2010-03-31,T1,6.01.02.10,Fornecedores de Ativo Fixo,-1522.0
2010-03-31,T1,6.01.02.11,"Impostos, Taxas e Contribuições",38873.0
2010-03-31,T1,6.01.02.12,Salários a Pagar e Provisões,-4355.0
2010-03-31,T1,6.01.02.13,Adiantamento de Clientes,-29.0
2010-03-31,T1,6.01.02.14,Obrigações a Pagar por Contrato,-180.0
2010-03-31,T1,6.01.02.15,Provisão p/ Contigências,-55159.0
2010-03-31,T1,6.01.02.16,Outras Contas a Pagar,-1395.0
2010-03-31,T1,6.01.02.17,Despesas Pagas Antecipadamente,-12.0
2010-03-31,T1,6.01.02.18,Partes Relacionadas,1607.0
2010-03-31,T1,6.01.03,Outros,0.0
2010-03-31,T1,6.02,Caixa Líquido Atividades de Investimento,-644.0
2010-03-31,T1,6.02.01,Aquisição de Ativo Imobilizado,-644.0
2010-03-31,T1,6.02.02,Aquisição de Ativo Intangível,0.0
2010-03-31,T1,6.02.03,Recebimento por Venda Ativo Permanente,0.0
2010-03-31,T1,6.02.04,Dividendos Recebidos,0.0
2010-03-31,T1,6.03,Caixa Líquido Atividades de Financiamento,-2348.0
2010-03-31,T1,6.03.01,Aumento de Capital Social,0.0
2010-03-31,T1,6.03.02,Captação de Empréstimos e Financiamentos,2107.0
2010-03-31,T1,6.03.03,Pgto Empréstimos e Financiamentos,-3938.0
2010-03-31,T1,6.03.04,Dividendos Pagos,-517.0
2010-03-31,T1,6.03.05,Partes Relacionadas,0.0
2010-03-31,T1,6.03.06,Titulos Descontados,0.0
2010-03-31,T1,6.03.07,Saques Negociados,0.0
2010-03-31,T1,6.04,Variação Cambial s/ Caixa e Equivalentes,0.0
2010-03-31,T1,6.05,Aumento (Redução) de Caixa e Equivalentes,158.0
2010-03-31,T1,6.05.01,Saldo Inicial de Caixa e Equivalentes,379.0
2010-03-31,T1,6.05.02,Saldo Final de Caixa e Equivalentes,537.0
2010-06-30,T2,6.01,Caixa Líquido Atividades Operacionais,6080.0
2010-06-30,T2,6.01.01,Caixa Gerado nas Operações,-13261.0
2010-06-30,T2,6.01.01.01,Resultado Liquido do Exercício,-18677.0
2010-06-30,T2,6.01.01.02,Depreciações e Amortizações,3236.0
2010-06-30,T2,6.01.01.03,Provisão (Reversão) para Risco de Crédito,59.0
2010-06-30,T2,6.01.01.04,Encargos Financeiros s/ Empréstimos,2619.0
2010-06-30,T2,6.01.01.05,Outros Resultados Abrangentes,0.0
2010-06-30,T2,6.01.01.06,Participações de Minoritários,-719.0
2010-06-30,T2,6.01.01.07,Custo Baixa Bens Ativo Imobilizado,221.0
2010-06-30,T2,6.01.02,Variações nos Ativos e Passivos,19341.0
2010-06-30,T2,6.01.02.01,Variação Clientes,397.0
2010-06-30,T2,6.01.02.02,Variação Estoques,-13.0
2010-06-30,T2,6.01.02.03,Variação Adiantamento a Fornecedores,-61.0
2010-06-30,T2,6.01.02.04,Variação Impostos a Recuperar,52751.0
2010-06-30,T2,6.01.02.05,Variação Outras Contas a Receber,-205.0
2010-06-30,T2,6.01.02.06,Variação Depósitos Judiciais,-17.0
2010-06-30,T2,6.01.02.07,Variação Fornecedores,993.0
2010-06-30,T2,6.01.02.08,Variação Fornecedores de Ativo Fixo,-2782.0
2010-06-30,T2,6.01.02.09,Variação de Faturamento Antecipado,0.0
2010-06-30,T2,6.01.02.10,"Variação de Impostos, taxas e Contribuições",17602.0
2010-06-30,T2,6.01.02.11,Variação de Salários a Pagar e Provisões,1967.0
2010-06-30,T2,6.01.02.12,Variação de Adiantamento de Clientes,-175.0
2010-06-30,T2,6.01.02.13,Variação de Obrigações a Pagar por Contrato,-402.0
2010-06-30,T2,6.01.02.14,Variação de Outras Contas a Pagar,4002.0
2010-06-30,T2,6.01.02.15,Variação de Despesas Pagas Antecipadamente,-45.0
2010-06-30,T2,6.01.02.16,Variação de Partes Relacionadas,489.0
2010-06-30,T2,6.01.02.17,Variação de Provisão para Contigencias,-55160.0
2010-06-30,T2,6.01.03,Outros,0.0
2010-06-30,T2,6.02,Caixa Líquido Atividades de Investimento,-1122.0
2010-06-30,T2,6.02.01,Aquisição de Ativo Imobilizado,-1122.0
2010-06-30,T2,6.03,Caixa Líquido Atividades de Financiamento,-5012.0
2010-06-30,T2,6.03.01,Pagamento de Empréstimos e Financiamentos,-9906.0
2010-06-30,T2,6.03.02,Variação em Dividendos,-517.0
2010-06-30,T2,6.03.03,Variação em Partes Relacionaas,0.0
2010-06-30,T2,6.03.04,Titulos Descontados,0.0
2010-06-30,T2,6.03.05,Saques Negociados,0.0
2010-06-30,T2,6.03.06,Captação de Empréstimos e Financiamentos,5411.0
2010-06-30,T2,6.04,Variação Cambial s/ Caixa e Equivalentes,0.0
2010-06-30,T2,6.05,Aumento (Redução) de Caixa e Equivalentes,-54.0
2010-06-30,T2,6.05.01,Saldo Inicial de Caixa e Equivalentes,379.0
2010-06-30,T2,6.05.02,Saldo Final de Caixa e Equivalentes,325.0
2010-09-30,T3,6.01,Caixa Líquido Atividades Operacionais,7874.0
2010-09-30,T3,6.01.01,Caixa Gerado nas Operações,-18264.0
