data_fim,trimestre,cd_conta,ds_conta,valor_mil
2015-12-31,T4,3.01,Receita de Venda de Bens e/ou Serviços,207304.0
2015-12-31,T4,3.02,Custo dos Bens e/ou Serviços Vendidos,-160564.0
2015-12-31,T4,3.03,Resultado Bruto,46740.0
2015-12-31,T4,3.04,Despesas/Receitas Operacionais,-24846.0
2015-12-31,T4,3.04.01,Despesas com Vendas,-8968.0
2015-12-31,T4,3.04.02,Despesas Gerais e Administrativas,-7823.0
2015-12-31,T4,3.04.02.01,Honorários dos Administradores,0.0
2015-12-31,T4,3.04.02.02,Gastos Administrativos,-7823.0
2015-12-31,T4,3.04.03,Perdas pela Não Recuperabilidade de Ativos,0.0
2015-12-31,T4,3.04.04,Outras Receitas Operacionais,6010.0
2015-12-31,T4,3.04.04.01,Resultado dos Não Controladores,0.0
2015-12-31,T4,3.04.04.02,Outras Receitas Operacionais,6010.0
2015-12-31,T4,3.04.04.03,Resultado Adesões Parcelamentos Especiais,0.0
2015-12-31,T4,3.04.05,Outras Despesas Operacionais,-14065.0
2015-12-31,T4,3.04.05.01,Outras Despesas Operacionais,-14065.0
2015-12-31,T4,3.04.05.02,Resultado Adesão Parcelamentos Especiais,0.0
2015-12-31,T4,3.04.06,Resultado de Equivalência Patrimonial,0.0
2015-12-31,T4,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,21894.0
2015-12-31,T4,3.06,Resultado Financeiro,-32990.0
2015-12-31,T4,3.06.01,Receitas Financeiras,2282.0
2015-12-31,T4,3.06.02,Despesas Financeiras,-35272.0
2015-12-31,T4,3.07,Resultado Antes dos Tributos sobre o Lucro,-11096.0
2015-12-31,T4,3.08,Imposto de Renda e Contribuição Social sobre o Lucro,0.0
2015-12-31,T4,3.08.01,Corrente,0.0
2015-12-31,T4,3.08.02,Diferido,0.0
2015-12-31,T4,3.09,Resultado Líquido das Operações Continuadas,-11096.0
2015-12-31,T4,3.10,Resultado Líquido de Operações Descontinuadas,0.0
2015-12-31,T4,3.10.01,Lucro/Prejuízo Líquido das Operações Descontinuadas,0.0
2015-12-31,T4,3.10.02,Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas,0.0
2015-12-31,T4,3.11,Lucro/Prejuízo Consolidado do Período,-11096.0
2015-12-31,T4,3.11.01,Atribuído a Sócios da Empresa Controladora,-11087.0
2015-12-31,T4,3.11.02,Atribuído a Sócios Não Controladores,-9.0
2015-12-31,T4,3.99,Lucro por Ação - (Reais / Ação),0.0
2015-12-31,T4,3.99.01,Lucro Básico por Ação,0.0
2015-12-31,T4,3.99.01.01,ON,-0.01562
2015-12-31,T4,3.99.02,Lucro Diluído por Ação,0.0
2015-12-31,T4,3.99.02.01,ON,-0.01562
2016-12-31,T4,3.01,Receita de Venda de Bens e/ou Serviços,196298.0
2016-12-31,T4,3.01.01,Impostos e devoluções,0.0
2016-12-31,T4,3.02,Custo dos Bens e/ou Serviços Vendidos,-159391.0
2016-12-31,T4,3.03,Resultado Bruto,36907.0
2016-12-31,T4,3.04,Despesas/Receitas Operacionais,-13497.0
2016-12-31,T4,3.04.01,Despesas com Vendas,-8329.0
2016-12-31,T4,3.04.02,Despesas Gerais e Administrativas,-6784.0
2016-12-31,T4,3.04.02.01,Honorários dos Administradores,0.0
2016-12-31,T4,3.04.02.02,Gastos Administrativos,-6784.0
2016-12-31,T4,3.04.03,Perdas pela Não Recuperabilidade de Ativos,0.0
2016-12-31,T4,3.04.04,Outras Receitas Operacionais,10464.0
2016-12-31,T4,3.04.04.01,Resultado dos Não Controladores,0.0
2016-12-31,T4,3.04.04.02,Outras Receitas Operacionais,10464.0
2016-12-31,T4,3.04.04.03,Resultado Adesões Parcelamentos Especiais,0.0
2016-12-31,T4,3.04.05,Outras Despesas Operacionais,-8848.0
2016-12-31,T4,3.04.05.01,Outras Despesas Operacionais,-8848.0
2016-12-31,T4,3.04.05.02,Resultado Adesão Parcelamentos Especiais,0.0
2016-12-31,T4,3.04.06,Resultado de Equivalência Patrimonial,0.0
2016-12-31,T4,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,23410.0
2016-12-31,T4,3.06,Resultado Financeiro,-36742.0
2016-12-31,T4,3.06.01,Receitas Financeiras,113.0
2016-12-31,T4,3.06.02,Despesas Financeiras,-36855.0
2016-12-31,T4,3.07,Resultado Antes dos Tributos sobre o Lucro,-13332.0
2016-12-31,T4,3.08,Imposto de Renda e Contribuição Social sobre o Lucro,0.0
2016-12-31,T4,3.08.01,Corrente,0.0
2016-12-31,T4,3.08.02,Diferido,0.0
2016-12-31,T4,3.09,Resultado Líquido das Operações Continuadas,-13332.0
2016-12-31,T4,3.10,Resultado Líquido de Operações Descontinuadas,0.0
2016-12-31,T4,3.10.01,Lucro/Prejuízo Líquido das Operações Descontinuadas,0.0
2016-12-31,T4,3.10.02,Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas,0.0
2016-12-31,T4,3.11,Lucro/Prejuízo Consolidado do Período,-13332.0
2016-12-31,T4,3.11.01,Atribuído a Sócios da Empresa Controladora,-13320.0
2016-12-31,T4,3.11.02,Atribuído a Sócios Não Controladores,-12.0
2016-12-31,T4,3.99,Lucro por Ação - (Reais / Ação),0.0
2016-12-31,T4,3.99.01,Lucro Básico por Ação,0.0
2016-12-31,T4,3.99.01.01,ON,-1.87762
2016-12-31,T4,3.99.02,Lucro Diluído por Ação,0.0
2016-12-31,T4,3.99.02.01,ON,-1.87762
2017-12-31,T4,3.01,Receita de Venda de Bens e/ou Serviços,190423.0
2017-12-31,T4,3.01.01,Impostos e devoluções,0.0
2017-12-31,T4,3.02,Custo dos Bens e/ou Serviços Vendidos,-154623.0
2017-12-31,T4,3.03,Resultado Bruto,35800.0
2017-12-31,T4,3.04,Despesas/Receitas Operacionais,-30583.0
2017-12-31,T4,3.04.01,Despesas com Vendas,-8082.0
2017-12-31,T4,3.04.02,Despesas Gerais e Administrativas,-7244.0
2017-12-31,T4,3.04.02.01,Honorários dos Administradores,0.0
2017-12-31,T4,3.04.02.02,Gastos Administrativos,-7244.0
2017-12-31,T4,3.04.03,Perdas pela Não Recuperabilidade de Ativos,0.0
2017-12-31,T4,3.04.04,Outras Receitas Operacionais,27318.0
2017-12-31,T4,3.04.04.01,Resultado dos Não Controladores,0.0
2017-12-31,T4,3.04.04.02,Outras Receitas Operacionais,27318.0
2017-12-31,T4,3.04.04.03,Resultado Adesões Parcelamentos Especiais,0.0
2017-12-31,T4,3.04.05,Outras Despesas Operacionais,-42575.0
2017-12-31,T4,3.04.05.01,Outras Despesas Operacionais,-42575.0
2017-12-31,T4,3.04.05.02,Resultado Adesão Parcelamentos Especiais,0.0
2017-12-31,T4,3.04.06,Resultado de Equivalência Patrimonial,0.0
2017-12-31,T4,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,5217.0
2017-12-31,T4,3.06,Resultado Financeiro,-31417.0
2017-12-31,T4,3.06.01,Receitas Financeiras,392.0
2017-12-31,T4,3.06.02,Despesas Financeiras,-31809.0
2017-12-31,T4,3.07,Resultado Antes dos Tributos sobre o Lucro,-26200.0
2017-12-31,T4,3.08,Imposto de Renda e Contribuição Social sobre o Lucro,837.0
2017-12-31,T4,3.08.01,Corrente,-7008.0
2017-12-31,T4,3.08.02,Diferido,7845.0
2017-12-31,T4,3.09,Resultado Líquido das Operações Continuadas,-25363.0
2017-12-31,T4,3.10,Resultado Líquido de Operações Descontinuadas,0.0
2017-12-31,T4,3.10.01,Lucro/Prejuízo Líquido das Operações Descontinuadas,0.0
2017-12-31,T4,3.10.02,Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas,0.0
2017-12-31,T4,3.11,Lucro/Prejuízo Consolidado do Período,-25363.0
2017-12-31,T4,3.11.01,Atribuído a Sócios da Empresa Controladora,-25339.0
2017-12-31,T4,3.11.02,Atribuído a Sócios Não Controladores,-24.0
2017-12-31,T4,3.99,Lucro por Ação - (Reais / Ação),0.0
2017-12-31,T4,3.99.01,Lucro Básico por Ação,0.0
2017-12-31,T4,3.99.01.01,ON,-3.5722
2017-12-31,T4,3.99.02,Lucro Diluído por Ação,0.0
2017-12-31,T4,3.99.02.01,ON,-3.5722
2018-12-31,T4,3.01,Receita de Venda de Bens e/ou Serviços,199562.0
2018-12-31,T4,3.01.01,Impostos e devoluções,0.0
2018-12-31,T4,3.02,Custo dos Bens e/ou Serviços Vendidos,-154817.0
2018-12-31,T4,3.03,Resultado Bruto,44745.0
2018-12-31,T4,3.04,Despesas/Receitas Operacionais,-35096.0
2018-12-31,T4,3.04.01,Despesas com Vendas,-9378.0
2018-12-31,T4,3.04.02,Despesas Gerais e Administrativas,-7283.0
2018-12-31,T4,3.04.02.01,Honorários dos Administradores,0.0
2018-12-31,T4,3.04.02.02,Gastos Administrativos,-7283.0
2018-12-31,T4,3.04.03,Perdas pela Não Recuperabilidade de Ativos,0.0
2018-12-31,T4,3.04.04,Outras Receitas Operacionais,1587.0
2018-12-31,T4,3.04.04.01,Resultado dos Não Controladores,0.0
2018-12-31,T4,3.04.04.02,Outras Receitas Operacionais,1587.0
2018-12-31,T4,3.04.04.03,Resultado Adesões Parcelamentos Especiais,0.0
2018-12-31,T4,3.04.05,Outras Despesas Operacionais,-20022.0
2018-12-31,T4,3.04.05.01,Outras Despesas Operacionais,-20022.0
2018-12-31,T4,3.04.05.02,Resultado Adesão Parcelamentos Especiais,0.0
2018-12-31,T4,3.04.06,Resultado de Equivalência Patrimonial,0.0
2018-12-31,T4,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,9649.0
2018-12-31,T4,3.06,Resultado Financeiro,-76676.0
2018-12-31,T4,3.06.01,Receitas Financeiras,418.0
2018-12-31,T4,3.06.02,Despesas Financeiras,-77094.0
2018-12-31,T4,3.07,Resultado Antes dos Tributos sobre o Lucro,-67027.0
2018-12-31,T4,3.08,Imposto de Renda e Contribuição Social sobre o Lucro,0.0
2018-12-31,T4,3.08.01,Corrente,0.0
2018-12-31,T4,3.08.02,Diferido,0.0
2018-12-31,T4,3.09,Resultado Líquido das Operações Continuadas,-67027.0
2018-12-31,T4,3.10,Resultado Líquido de Operações Descontinuadas,0.0
2018-12-31,T4,3.10.01,Lucro/Prejuízo Líquido das Operações Descontinuadas,0.0
2018-12-31,T4,3.10.02,Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas,0.0
2018-12-31,T4,3.11,Lucro/Prejuízo Consolidado do Período,-67027.0
2018-12-31,T4,3.11.01,Atribuído a Sócios da Empresa Controladora,-66966.0
2018-12-31,T4,3.11.02,Atribuído a Sócios Não Controladores,-61.0
2018-12-31,T4,3.99,Lucro por Ação - (Reais / Ação),0.0
2018-12-31,T4,3.99.01,Lucro Básico por Ação,0.0
2018-12-31,T4,3.99.01.01,ON,-9.44029
2018-12-31,T4,3.99.02,Lucro Diluído por Ação,0.0
2018-12-31,T4,3.99.02.01,ON,-9.44029
2019-12-31,T4,3.01,Receita de Venda de Bens e/ou Serviços,235584.0
2019-12-31,T4,3.01.01,Impostos e devoluções,0.0
2019-12-31,T4,3.02,Custo dos Bens e/ou Serviços Vendidos,-168746.0
2019-12-31,T4,3.03,Resultado Bruto,66838.0
2019-12-31,T4,3.04,Despesas/Receitas Operacionais,-33554.0
2019-12-31,T4,3.04.01,Despesas com Vendas,-10155.0
2019-12-31,T4,3.04.02,Despesas Gerais e Administrativas,-8908.0
2019-12-31,T4,3.04.02.01,Honorários dos Administradores,0.0
2019-12-31,T4,3.04.02.02,Gastos Administrativos,-8908.0
