data_fim,trimestre,cd_conta,ds_conta,valor_mil
2015-03-31,T1,3.01,Receita de Venda de Bens e/ou Serviços,0.0
2015-03-31,T1,3.02,Custo dos Bens e/ou Serviços Vendidos,0.0
2015-03-31,T1,3.03,Resultado Bruto,0.0
2015-03-31,T1,3.04,Despesas/Receitas Operacionais,0.0
2015-03-31,T1,3.04.01,Despesas com Vendas,0.0
2015-03-31,T1,3.04.02,Despesas Gerais e Administrativas,0.0
2015-03-31,T1,3.04.03,Perdas pela Não Recuperabilidade de Ativos,0.0
2015-03-31,T1,3.04.04,Outras Receitas Operacionais,0.0
2015-03-31,T1,3.04.05,Outras Despesas Operacionais,0.0
2015-03-31,T1,3.04.06,Resultado de Equivalência Patrimonial,0.0
2015-03-31,T1,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,0.0
2015-03-31,T1,3.06,Resultado Financeiro,0.0
2015-03-31,T1,3.06.01,Receitas Financeiras,0.0
2015-03-31,T1,3.06.02,Despesas Financeiras,0.0
2015-03-31,T1,3.07,Resultado Antes dos Tributos sobre o Lucro,0.0
2015-03-31,T1,3.08,Imposto de Renda e Contribuição Social sobre o Lucro,0.0
2015-03-31,T1,3.08.01,Corrente,0.0
2015-03-31,T1,3.08.02,Diferido,0.0
2015-03-31,T1,3.09,Resultado Líquido das Operações Continuadas,0.0
2015-03-31,T1,3.10,Resultado Líquido de Operações Descontinuadas,0.0
2015-03-31,T1,3.10.01,Lucro/Prejuízo Líquido das Operações Descontinuadas,0.0
2015-03-31,T1,3.10.02,Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas,0.0
2015-03-31,T1,3.11,Lucro/Prejuízo Consolidado do Período,0.0
2015-03-31,T1,3.11.01,Atribuído a Sócios da Empresa Controladora,0.0
2015-03-31,T1,3.11.02,Atribuído a Sócios Não Controladores,0.0
2015-03-31,T1,3.99,Lucro por Ação - (Reais / Ação),0.0
2015-03-31,T1,3.99.01,Lucro Básico por Ação,0.0
2015-03-31,T1,3.99.01.01,ON,0.0
2015-03-31,T1,3.99.02,Lucro Diluído por Ação,0.0
2015-03-31,T1,3.99.02.01,ON,0.0
2015-06-30,T2,3.01,Receita de Venda de Bens e/ou Serviços,49747.0
2015-06-30,T2,3.02,Custo dos Bens e/ou Serviços Vendidos,-39049.0
2015-06-30,T2,3.03,Resultado Bruto,10698.0
2015-06-30,T2,3.04,Despesas/Receitas Operacionais,-5147.0
2015-06-30,T2,3.04.01,Despesas com Vendas,-2067.0
2015-06-30,T2,3.04.02,Despesas Gerais e Administrativas,-1918.0
2015-06-30,T2,3.04.03,Perdas pela Não Recuperabilidade de Ativos,0.0
2015-06-30,T2,3.04.04,Outras Receitas Operacionais,1104.0
2015-06-30,T2,3.04.05,Outras Despesas Operacionais,-2266.0
2015-06-30,T2,3.04.06,Resultado de Equivalência Patrimonial,0.0
2015-06-30,T2,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,5551.0
2015-06-30,T2,3.06,Resultado Financeiro,-7635.0
2015-06-30,T2,3.06.01,Receitas Financeiras,420.0
2015-06-30,T2,3.06.02,Despesas Financeiras,-8055.0
2015-06-30,T2,3.07,Resultado Antes dos Tributos sobre o Lucro,-2084.0
2015-06-30,T2,3.08,Imposto de Renda e Contribuição Social sobre o Lucro,0.0
2015-06-30,T2,3.08.01,Corrente,0.0
2015-06-30,T2,3.08.02,Diferido,0.0
2015-06-30,T2,3.09,Resultado Líquido das Operações Continuadas,-2084.0
2015-06-30,T2,3.10,Resultado Líquido de Operações Descontinuadas,0.0
2015-06-30,T2,3.10.01,Lucro/Prejuízo Líquido das Operações Descontinuadas,0.0
2015-06-30,T2,3.10.02,Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas,0.0
2015-06-30,T2,3.11,Lucro/Prejuízo Consolidado do Período,-2084.0
2015-06-30,T2,3.11.01,Atribuído a Sócios da Empresa Controladora,-2082.0
2015-06-30,T2,3.11.02,Atribuído a Sócios Não Controladores,-2.0
2015-06-30,T2,3.99,Lucro por Ação - (Reais / Ação),0.0
2015-06-30,T2,3.99.01,Lucro Básico por Ação,0.0
2015-06-30,T2,3.99.01.01,ON,-0.00293
2015-06-30,T2,3.99.02,Lucro Diluído por Ação,0.0
2015-06-30,T2,3.99.02.01,ON,-0.00293
2015-09-30,T3,3.01,Receita de Venda de Bens e/ou Serviços,54717.0
2015-09-30,T3,3.02,Custo dos Bens e/ou Serviços Vendidos,-42299.0
2015-09-30,T3,3.03,Resultado Bruto,12418.0
2015-09-30,T3,3.04,Despesas/Receitas Operacionais,-7197.0
2015-09-30,T3,3.04.01,Despesas com Vendas,-2432.0
2015-09-30,T3,3.04.02,Despesas Gerais e Administrativas,-2090.0
2015-09-30,T3,3.04.03,Perdas pela Não Recuperabilidade de Ativos,0.0
2015-09-30,T3,3.04.04,Outras Receitas Operacionais,1332.0
2015-09-30,T3,3.04.05,Outras Despesas Operacionais,-4007.0
2015-09-30,T3,3.04.06,Resultado de Equivalência Patrimonial,0.0
2015-09-30,T3,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,5221.0
2015-09-30,T3,3.06,Resultado Financeiro,-9050.0
2015-09-30,T3,3.06.01,Receitas Financeiras,1005.0
2015-09-30,T3,3.06.02,Despesas Financeiras,-10055.0
2015-09-30,T3,3.07,Resultado Antes dos Tributos sobre o Lucro,-3829.0
