cd_conta,ds_conta,2015T2,2015T3,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
3.01,Receita de Venda de Bens e/ou Serviços,49747.0,54717.0,51528.0,49132.0,48829.0,46809.0,47779.0,48463.0,53225.0,40956.0,49257.0,52090.0,56172.0,42043.0,57258.0,58419.0,59423.0,60484.0,62914.0,57785.0,64658.0,74456.0,73680.0,73117.0,83164.0,89683.0,82221.0,95224.0,95530.0,92765.0,99849.0,95412.0,90762.0,82043.0,97489.0,69157.0,87292.0,100950.0,105476.0,116568.0,104923.0
3.02,Custo dos Bens e/ou Serviços Vendidos,-39049.0,-42299.0,-39678.0,-41074.0,-39421.0,-39218.0,-39436.0,-39958.0,-40292.0,-34937.0,-39961.0,-41474.0,-42218.0,-31164.0,-39741.0,-41704.0,-43672.0,-43629.0,-43357.0,-39651.0,-46956.0,-56392.0,-54938.0,-56088.0,-63528.0,-65029.0,-60786.0,-66764.0,-67389.0,-66561.0,-69898.0,-71373.0,-65297.0,-66342.0,-72157.0,-55570.0,-63791.0,-69604.0,-73856.0,-82042.0,-78881.0
3.03,Resultado Bruto,10698.0,12418.0,11850.0,8058.0,9408.0,7591.0,8343.0,8505.0,12933.0,6019.0,9296.0,10616.0,13954.0,10879.0,17517.0,16715.0,15751.0,16855.0,19557.0,18134.0,17702.0,18064.0,18742.0,17029.0,19636.0,24654.0,21435.0,28460.0,28141.0,26204.0,29951.0,24039.0,25465.0,15701.0,25332.0,13587.0,23501.0,31346.0,31620.0,34526.0,26042.0
3.04,Despesas/Receitas Operacionais,-5147.0,-7197.0,-2768.0,-3887.0,-4806.0,-2036.0,-4098.0,-3713.0,-8361.0,-14411.0,-4066.0,-10618.0,-6636.0,-13776.0,-8250.0,-5359.0,-9392.0,-10553.0,-4956.0,-14271.0,-8053.0,-8304.0,-9551.0,-6512.0,-6511.0,-1974.0,-9425.0,-7994.0,-10956.0,-31939.0,-16050.0,-13769.0,-12432.0,-10570.0,-7904.0,-19691.0,-8154.0,-11980.0,-8652.0,-102540.0,-10379.0
3.04.02,Despesas Gerais e Administrativas,-1918.0,-2090.0,-1314.0,-2179.0,-1682.0,-1609.0,-1791.0,-1790.0,-1756.0,-1907.0,-1575.0,-1746.0,-1843.0,-2119.0,-1939.0,-2254.0,-2112.0,-2603.0,-2408.0,-2362.0,-2479.0,-3098.0,-2547.0,-2739.0,-3174.0,-4039.0,-2944.0,-3169.0,-3491.0,-4746.0,-3741.0,-4245.0,-4306.0,-6179.0,-4597.0,-4617.0,-3129.0,-6654.0,-3718.0,-11099.0,-4833.0
3.04.05,Outras Despesas Operacionais,-2266.0,-4007.0,-1922.0,-1910.0,-3399.0,-1617.0,-971.0,-150.0,-4760.0,-36694.0,-870.0,-6949.0,-2454.0,-9749.0,-4351.0,-655.0,-4778.0,-13900.0,-1267.0,-9619.0,-3769.0,-3522.0,-3055.0,-5577.0,-388.0,-26.0,-1663.0,-1791.0,-1298.0,-22203.0,-10090.0,-4715.0,-6833.0,-4959.0,-3750.0,-14235.0,-3102.0,-1462.0,-1510.0,-2213.0,-1647.0
3.04.05.02,Depreciação e amortização,,,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,
3.04.06,Resultado de Equivalência Patrimonial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.05,Resultado Antes do Resultado Financeiro e dos Tributos,5551.0,5221.0,9082.0,4171.0,4602.0,5555.0,4245.0,4792.0,4572.0,-8392.0,5230.0,-2.0,7318.0,-2897.0,9267.0,11356.0,6359.0,6302.0,14601.0,3863.0,9649.0,9760.0,9191.0,10517.0,13125.0,22680.0,12010.0,20466.0,17185.0,-5735.0,13901.0,10270.0,13033.0,5131.0,17428.0,-6104.0,15347.0,19366.0,22968.0,137066.0,15663.0
3.06,Resultado Financeiro,-7635.0,-9050.0,-9322.0,-9378.0,-9213.0,-8829.0,-7701.0,-6386.0,-12635.0,-4695.0,-6921.0,-6355.0,-5105.0,-58295.0,-6421.0,-6031.0,-8523.0,-44585.0,2320.0,-3962.0,-2261.0,-10447.0,496.0,-12476.0,303.0,-1157.0,-17401.0,4899.0,-7730.0,-10702.0,-9336.0,-10452.0,-8440.0,-7358.0,-8701.0,-6607.0,-7907.0,-6564.0,-8397.0,217119.0,-1678.0
