cd_conta,conta,2014T4,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
2,Passivo Total,1373003.000,1424616.000,1809210.000,2338561.000,2618610.000,2571513.000,2482124.000,2563567.000,2789713.000,3313640.000,3611178.000,4078874.000,4006470.000,3915850.000,4766879.000,4850556.000,5192301.000,5878790.000,6998380.000,7511569.000,7242817.000,7290565.000,7460748.000,7734620.000,8502627.000,13041956.000,14204671.000,19735813.000,21715852.000,20955436.000,23372858.000,26410233.000,26248880.000,22682038.000,21069948.000,21734567.000,25119493.000,26185577.000,27684239.000,28574186.000,30573857.000,29211368.000,29775568.000,29641564.000
2.01,Passivo Circulante,572083.000,510778.000,793135.000,1168178.000,1130403.000,1121302.000,1026658.000,1244918.000,1497200.000,1399689.000,1558867.000,1927671.000,1615777.000,1670389.000,1576641.000,1225650.000,1642881.000,2192999.000,2520518.000,2547267.000,2239379.000,2327232.000,2183540.000,2303817.000,2448236.000,1806874.000,2216308.000,2296080.000,3751192.000,3412913.000,4495197.000,3900987.000,5896026.000,3727171.000,3052301.000,3914120.000,7455025.000,7759725.000,7199073.000,7274519.000,9252585.000,8375944.000,9838899.000,10594822.000
2.01.01,Obrigações Sociais e Trabalhistas,6767.000,9161.000,12990.000,16223.000,14194.000,17022.000,19914.000,25054.000,21221.000,24602.000,28426.000,31606.000,29142.000,33890.000,41658.000,50468.000,48425.000,47922.000,48559.000,55540.000,43063.000,45811.000,48565.000,51318.000,50475.000,60032.000,70925.000,73609.000,66977.000,80682.000,75787.000,92790.000,106456.000,129605.000,136441.000,151666.000,155655.000,142042.000,120107.000,116491.000,97953.000,95866.000,111777.000,124925.000
2.01.02,Fornecedores,474117.000,397732.000,660018.000,1006388.000,335761.000,425343.000,535929.000,564240.000,848919.000,742381.000,873248.000,741395.000,716062.000,701899.000,716119.000,912970.000,972671.000,1348560.000,1683817.000,1603101.000,1404469.000,1536704.000,1245528.000,1372972.000,1321967.000,945486.000,1343416.000,1360476.000,2316752.000,1725608.000,2454363.000,1654353.000,2306508.000,1111127.000,952350.000,2146542.000,4813621.000,4122812.000,3666923.000,3778826.000,5348501.000,3497195.000,4508837.000,4474786.000
2.01.03,Obrigações Fiscais,2319.000,4215.000,4337.000,3816.000,8518.000,8207.000,2967.000,5936.000,8130.000,8106.000,11256.000,8909.000,14849.000,8384.000,13732.000,15328.000,17204.000,17316.000,19255.000,14612.000,15528.000,7502.000,12292.000,8584.000,17579.000,15726.000,47546.000,41165.000,26601.000,25379.000,41630.000,25262.000,64333.000,38664.000,34806.000,58453.000,71861.000,104396.000,72267.000,121003.000,133709.000,132151.000,120860.000,108833.000
2.01.04,Empréstimos e Financiamentos,75810.000,81924.000,102965.000,127798.000,715506.000,606467.000,403156.000,590668.000,511157.000,611974.000,636745.000,1127710.000,823628.000,838692.000,728814.000,174860.000,483380.000,637171.000,639071.000,769283.000,647212.000,633058.000,773187.000,760355.000,947562.000,601841.000,561304.000,607380.000,758094.000,830085.000,1145412.000,1276480.000,2043320.000,1128707.000,998643.000,822606.000,1281459.000,1493265.000,1336080.000,1759999.000,2376606.000,2695457.000,3379163.000,3759985.000
2.01.05,Outras Obrigações,13070.000,17746.000,12825.000,13953.000,56424.000,64263.000,64692.000,59020.000,107773.000,12626.000,9192.000,18051.000,32096.000,87524.000,76318.000,72024.000,121201.000,142030.000,129816.000,104731.000,129107.000,104157.000,103968.000,110588.000,110653.000,183789.000,193117.000,213450.000,582768.000,751159.000,778005.000,852102.000,1375409.000,1319068.000,930061.000,734853.000,1132429.000,1897210.000,2003696.000,1498200.000,1295816.000,1955275.000,1718262.000,2126293.000
2.01.06,Provisões,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.02,Passivo Não Circulante,173036.000,196602.000,231634.000,373682.000,693718.000,689124.000,679681.000,559333.000,570748.000,665055.000,798143.000,882419.000,1105853.000,953820.000,1673878.000,1987236.000,1890578.000,2004966.000,2776445.000,2716490.000,2702439.000,2783690.000,3097934.000,3213542.000,3695711.000,8885531.000,9429517.000,14261608.000,14680188.000,14301237.000,16023123.000,19732168.000,17584171.000,16123995.000,14945550.000,14792757.000,15142331.000,15912032.000,17981980.000,18641447.000,18828780.000,18227748.000,17287694.000,16258108.000
