cd_conta,conta,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
2,Passivo Total,342376.0,355126.0,366392.0,396035.0,1247396.0,1229418.0,1295694.0,1321191.0,1329386.0,1350180.0,1491102.0,1585090.0,1611936.0,1804680.0,2046311.0,2061151.0,2092133.0,2165804.0,2171092.0,2165237.0,2059207.0,2051480.0,2102967.0,2200285.0,2224496.0,2310159.0,2253318.0
2.01,Passivo Circulante,138271.0,192981.0,192159.0,223219.0,174818.0,164295.0,216219.0,212583.0,251077.0,270221.0,322966.0,371544.0,383173.0,378978.0,513833.0,526628.0,613464.0,603229.0,680409.0,631277.0,613844.0,657304.0,694869.0,752901.0,735205.0,804470.0,742659.0
2.01.01,Obrigações Sociais e Trabalhistas,2264.0,2706.0,3748.0,4223.0,5182.0,6147.0,10482.0,9993.0,11408.0,9717.0,10524.0,13920.0,16804.0,15615.0,16830.0,19802.0,21682.0,16334.0,20440.0,20570.0,26697.0,21000.0,21099.0,23429.0,25692.0,21301.0,21680.0
2.01.02,Fornecedores,8575.0,8531.0,6627.0,11666.0,13952.0,9861.0,12478.0,12636.0,15161.0,26137.0,18961.0,35284.0,29287.0,38684.0,45152.0,51125.0,35996.0,43390.0,58894.0,62398.0,42704.0,60052.0,67203.0,88851.0,53083.0,64171.0,60584.0
2.01.03,Obrigações Fiscais,4268.0,4920.0,6156.0,6911.0,5334.0,5511.0,5941.0,5969.0,6513.0,7904.0,9708.0,12015.0,11756.0,10379.0,11147.0,14566.0,18773.0,19801.0,22280.0,21523.0,21739.0,24717.0,24200.0,22945.0,28378.0,30070.0,27683.0
2.01.04,Empréstimos e Financiamentos,42403.0,96426.0,96273.0,104674.0,62543.0,54220.0,37397.0,26624.0,35985.0,44073.0,62114.0,89954.0,88570.0,81353.0,157740.0,183772.0,220632.0,244041.0,292532.0,305188.0,297545.0,309750.0,373550.0,371435.0,373140.0,413619.0,327999.0
2.01.05,Outras Obrigações,78466.0,77875.0,77616.0,94180.0,85860.0,86800.0,148559.0,156091.0,180762.0,180254.0,219226.0,219140.0,233527.0,231071.0,280887.0,254925.0,314078.0,277726.0,284145.0,219194.0,222516.0,239028.0,206149.0,243489.0,252364.0,270728.0,299936.0
2.01.06,Provisões,2295.0,2523.0,1739.0,1565.0,1947.0,1756.0,1362.0,1270.0,1248.0,2136.0,2433.0,1231.0,3229.0,1876.0,2077.0,2438.0,2303.0,1937.0,2118.0,2404.0,2643.0,2757.0,2668.0,2752.0,2548.0,4581.0,4777.0
2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.02,Passivo Não Circulante,159987.0,105394.0,113884.0,109491.0,111758.0,94344.0,84644.0,101174.0,81740.0,96533.0,177885.0,218613.0,235006.0,431959.0,528462.0,530490.0,479272.0,499607.0,480591.0,507751.0,433188.0,372820.0,370912.0,405386.0,437305.0,462972.0,472470.0
2.02.01,Empréstimos e Financiamentos,101871.0,44767.0,30172.0,17293.0,18330.0,10202.0,15929.0,18804.0,3821.0,14071.0,32299.0,16574.0,44992.0,199713.0,314748.0,315230.0,304204.0,336999.0,327707.0,351479.0,293405.0,270227.0,266224.0,255067.0,252162.0,253705.0,282292.0
2.02.02,Outras Obrigações,48208.0,48486.0,71061.0,78689.0,79409.0,69710.0,52800.0,64800.0,63538.0,66499.0,130444.0,187269.0,173716.0,213190.0,193512.0,195085.0,154602.0,141031.0,128894.0,131334.0,113313.0,78074.0,75756.0,116865.0,154496.0,178383.0,155770.0
2.02.03,Tributos Diferidos,1238.0,1819.0,1624.0,1688.0,1769.0,2184.0,3435.0,4864.0,3972.0,5010.0,3984.0,3009.0,3825.0,6513.0,6809.0,6620.0,5006.0,5024.0,6949.0,7606.0,8594.0,6416.0,9020.0,12996.0,9423.0,9048.0,11296.0
2.02.04,Provisões,8670.0,10322.0,11027.0,11821.0,12250.0,12248.0,12480.0,12706.0,10409.0,10953.0,11158.0,11761.0,12473.0,12543.0,13393.0,13555.0,15460.0,16553.0,17041.0,17332.0,17876.0,18103.0,19912.0,20458.0,21224.0,21836.0,23112.0
2.02.05,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.02.06,Lucros e Receitas a Apropriar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.03,Patrimônio Líquido Consolidado,44118.0,56751.0,60349.0,63325.0,960820.0,970779.0,994831.0,1007434.0,996569.0,983426.0,990251.0,994933.0,993757.0,993743.0,1004016.0,1004033.0,999397.0,1062968.0,1010092.0,1026209.0,1012175.0,1021356.0,1037186.0,1041998.0,1051986.0,1042717.0,1038189.0
2.03.01,Capital Social Realizado,26084.0,26084.0,56100.0,56100.0,959493.0,959493.0,959493.0,959493.0,959493.0,959493.0,959493.0,959493.0,959493.0,959493.0,959493.0,959493.0,959493.0,959493.0,959493.0,959493.0,959493.0,959493.0,959493.0,959493.0,959493.0,959493.0,959493.0
2.03.02,Reservas de Capital,4491.0,5259.0,4205.0,4188.0,4741.0,4741.0,5661.0,0.0,8030.0,9492.0,0.0,0.0,13754.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.03.03,Reservas de Reavaliação,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.03.04,Reservas de Lucros,7642.0,4223.0,0.0,2993.0,2993.0,2993.0,2993.0,46951.0,27885.0,12471.0,28081.0,28317.0,12636.0,25501.0,35696.0,35028.0,11712.0,68721.0,17353.0,30914.0,17303.0,17627.0,34706.0,38427.0,37662.0,33055.0,29713.0
2.03.05,Lucros/Prejuízos Acumulados,5264.0,21151.0,0.0,0.0,-6423.0,3530.0,26074.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18862.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.03.06,Ajustes de Avaliação Patrimonial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.03.07,Ajustes Acumulados de Conversão,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.03.08,Outros Resultados Abrangentes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.03.09,Participação dos Acionistas Não Controladores,637.0,34.0,44.0,44.0,16.0,22.0,610.0,990.0,1161.0,1970.0,2677.0,7123.0,7874.0,8749.0,8827.0,9512.0,9330.0,34754.0,33246.0,35802.0,35379.0,44236.0,42987.0,44078.0,54831.0,50169.0,48983.0
