cd_conta,conta,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
2,Passivo Total,427731.884,412538.574,438324.152,415828.138,373380.58,368403.847,330048.762,316950.097,296481.072,316390.495,276394.115,272052.911,280004.821,293903.644,313709.411,279987.207,294204.442,297714.432,331054.974,308829.927,333400.593,382047.543,385412.289,356264.039,413864.537,414025.804,455897.386,467874.465,468995.108,547048.328,569725.535,530103.263,556718.494,547745.311,560544.712,550294.389,552232.351,563356.891,585942.863,555656.591,554426.334,579784.157,571177.067
2.01,Passivo Circulante,105230.783,86063.665,166253.007,153558.192,120256.789,112568.489,108580.333,97290.003,75260.514,91991.586,46956.975,42650.876,47128.195,56792.277,70366.478,39482.996,49386.977,52290.675,81056.797,57668.105,83777.198,98626.273,94129.311,64759.076,113488.936,102018.855,133906.885,142147.386,130008.828,187679.16,188154.982,132540.046,143685.615,117771.982,115775.212,96293.601,94873.841,101639.89,116631.275,85804.358,78915.109,99057.632,87990.389
2.01.01,Obrigações Sociais e Trabalhistas,4239.95,3326.477,3353.949,2894.506,3089.885,3384.166,3625.027,3427.126,3428.213,3541.232,3660.418,3188.318,3656.115,3641.688,3869.16,3581.73,3758.723,3920.239,4015.365,3583.04,3784.382,6125.66,5775.163,4348.892,4633.711,5143.866,5316.692,4703.872,6335.643,7573.754,8263.39,8185.965,7108.133,7718.109,8085.454,7825.93,6578.757,6751.993,7697.746,7261.42,7181.733,7696.82,8181.668
2.01.02,Fornecedores,8772.311,6884.967,3431.262,2859.494,4205.52,6518.556,8718.801,4905.864,6913.877,5773.764,5264.084,3233.32,7774.011,8136.955,11453.829,2636.291,11585.386,9900.322,6528.7,3406.564,9363.54,10561.867,9206.501,5315.517,18302.821,20355.839,33951.925,22019.801,38405.698,46351.363,47504.396,18176.943,31848.906,30554.049,25793.4,9633.285,23302.0,21847.197,26988.73,10635.244,24521.787,28271.654,28074.938
2.01.03,Obrigações Fiscais,5018.657,8057.925,10908.271,2091.903,4251.607,6105.706,7826.324,1962.428,2199.885,4404.797,6932.024,2041.035,3064.523,5738.121,8604.772,2403.033,4393.59,3513.153,4692.121,2456.847,2658.025,21497.503,8892.498,4792.614,7730.604,10031.712,9049.093,7370.139,10064.855,14778.731,15833.958,7333.52,12963.469,2525.987,3369.629,17194.681,3463.389,7486.132,11189.305,2800.677,5952.223,6961.375,7801.104
2.01.04,Empréstimos e Financiamentos,76513.458,56934.888,135791.779,136782.83,98621.838,86342.523,76075.442,78659.645,53602.425,68577.135,18720.977,26301.653,22816.391,27702.661,32113.872,21338.127,18199.507,22783.446,51345.054,37826.823,56510.376,44448.616,49358.002,22735.869,50630.131,43408.469,55146.876,76148.756,38531.195,79720.639,65643.325,51403.977,42734.366,35753.353,35891.459,26031.761,29874.417,46844.123,38747.162,46133.895,16085.062,28131.907,9881.962
2.01.05,Outras Obrigações,8140.906,6418.525,12767.746,8929.459,10087.939,10217.538,12334.739,8334.94,9116.114,9694.658,12379.472,7886.55,9817.155,11572.852,14324.845,9523.815,11449.771,12173.515,14475.557,10394.831,11460.875,15992.627,20897.147,27566.184,32191.669,23078.969,30442.299,31904.818,36671.437,39254.673,50909.913,47439.641,49030.741,41220.484,42635.27,35607.944,31655.278,18710.445,32008.332,18973.122,25174.304,27995.876,34050.717
2.01.06,Provisões,2545.501,4440.883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.02,Passivo Não Circulante,125467.553,125503.264,68231.32,59583.174,48080.289,48078.135,8771.166,8165.967,8487.279,8958.882,9209.204,9485.121,10006.815,9656.458,9844.006,9864.054,10150.355,10191.17,10100.821,9649.59,8508.199,12101.21,12199.292,12538.42,12250.5,12087.747,11521.391,9833.884,9434.593,9104.846,9115.026,14331.372,13395.889,12386.537,13262.984,9996.68,10637.351,10685.929,10757.846,10508.841,10889.01,11109.512,12032.281
