cd_conta,conta,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
2,Passivo Total,6697108.0,6696584.0,6702244.0,7014259.0,7094249.0,7040433.0,7452967.0,7954446.0,8650829.0,8604258.0,8724975.0,8644402.0,8536529.0,8825800.0,8819852.0,8875258.0,9023956.0,9353538.0,9454659.0,9576749.0,10411516.0,10526478.0,11137563.0,10564284.0,10525682.0,10715399.0,10916974.0,10662460.0,10743345.0,10797797.0,10980656.0,10877311.0,11050632.0,10687174.0,10817862.0,11536924.0,11564392.0,11699312.0,12383349.0,12511801.0,12620490.0,12311269.0,12802394.0
2.01,Passivo Circulante,494697.0,488691.0,611678.0,540258.0,546242.0,451025.0,469607.0,717024.0,729372.0,693976.0,679949.0,699364.0,514126.0,518942.0,446670.0,713933.0,737606.0,683949.0,769944.0,928678.0,1119217.0,942628.0,974001.0,998406.0,1192793.0,808592.0,877021.0,1058157.0,1072441.0,1552361.0,1694118.0,1295160.0,1352516.0,1221811.0,1277777.0,1402204.0,1292932.0,1368363.0,1457800.0,1543893.0,1544853.0,1391142.0,1429269.0
2.01.01,Obrigações Sociais e Trabalhistas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.01.02,Fornecedores,90023.0,70240.0,78317.0,87864.0,94949.0,80684.0,88376.0,147526.0,104402.0,81047.0,118891.0,102199.0,99432.0,83698.0,103408.0,120345.0,128480.0,102141.0,111039.0,193202.0,116357.0,98445.0,104866.0,138895.0,106252.0,107738.0,138262.0,137434.0,108181.0,111007.0,119684.0,140568.0,110655.0,132860.0,173286.0,223361.0,149828.0,210867.0,238420.0,294238.0,284142.0,203383.0,242722.0
2.01.03,Obrigações Fiscais,49568.0,33395.0,38726.0,47003.0,28980.0,36092.0,29319.0,39381.0,28858.0,40527.0,34536.0,38011.0,34181.0,40355.0,36635.0,28944.0,27471.0,24080.0,25546.0,26021.0,22609.0,11154.0,68804.0,48943.0,8266.0,15129.0,18130.0,15332.0,20847.0,21409.0,21421.0,34049.0,15712.0,23738.0,23522.0,36127.0,31254.0,28356.0,26108.0,58727.0,31903.0,26333.0,27685.0
2.01.04,Empréstimos e Financiamentos,229926.0,221289.0,335941.0,177025.0,196314.0,170292.0,194214.0,380778.0,404829.0,378119.0,283290.0,265777.0,266519.0,231672.0,181321.0,396588.0,422969.0,401613.0,407135.0,500163.0,525747.0,519230.0,471454.0,396555.0,664757.0,298166.0,329193.0,429509.0,478434.0,746067.0,811056.0,461332.0,512700.0,470114.0,501263.0,470495.0,485702.0,472171.0,532505.0,579020.0,634113.0,594616.0,615956.0
2.01.05,Outras Obrigações,125180.0,163767.0,158694.0,228366.0,225999.0,163957.0,157698.0,149339.0,191283.0,194283.0,243232.0,293377.0,113994.0,163217.0,125306.0,168056.0,158686.0,156115.0,226224.0,209292.0,454504.0,313799.0,328877.0,414013.0,413518.0,387559.0,391436.0,475882.0,464979.0,673878.0,741957.0,659211.0,713449.0,595099.0,579706.0,672221.0,626148.0,656969.0,660767.0,611908.0,594695.0,566810.0,542906.0
2.01.06,Provisões,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.02,Passivo Não Circulante,2045050.0,2053543.0,1908339.0,2286600.0,2282280.0,2306902.0,2614537.0,2781062.0,2807086.0,2789616.0,2906118.0,2744725.0,2731562.0,3010466.0,3066500.0,2809138.0,2835767.0,3181147.0,3144077.0,3057070.0,3482980.0,3696115.0,3751977.0,3332855.0,3052295.0,3524721.0,3574918.0,3241110.0,3189049.0,2766254.0,2742726.0,2999608.0,2974632.0,2653073.0,2640198.0,3200722.0,3183713.0,3166201.0,3584598.0,5322139.0,5328877.0,5014766.0,5353211.0
2.02.01,Empréstimos e Financiamentos,1857977.0,1825812.0,1685727.0,1996039.0,1994258.0,2014450.0,2329306.0,2501511.0,2486008.0,2474044.0,2602877.0,2467936.0,2460283.0,2750432.0,2702204.0,2417144.0,2394097.0,2719816.0,2696273.0,2603274.0,2821128.0,3008168.0,3060055.0,2724744.0,2451342.0,2874977.0,2852121.0,2594203.0,2570412.0,2248579.0,2226200.0,2502280.0,2479487.0,2156355.0,2133254.0,2695802.0,2664524.0,2641512.0,3071978.0,4851912.0,4840866.0,4529820.0,4873724.0
2.02.02,Outras Obrigações,13313.0,60766.0,51883.0,123155.0,116845.0,119784.0,114316.0,103471.0,152836.0,138700.0,127485.0,95245.0,84026.0,54083.0,153027.0,183355.0,229522.0,247185.0,229646.0,244437.0,399136.0,373549.0,349841.0,330665.0,307740.0,346214.0,410607.0,363907.0,343778.0,243490.0,241654.0,228589.0,214686.0,215834.0,213841.0,218821.0,197740.0,182955.0,171627.0,88514.0,84288.0,77699.0,75054.0
