data_fim,trimestre,cd_conta,ds_conta,valor_mil
2015-12-31,T4,6.01,Caixa Líquido Atividades Operacionais,656113.0
2015-12-31,T4,6.01.01,Caixa Gerado nas Operações,818354.0
2015-12-31,T4,6.01.01.01,Lucro antes dos impostos,442531.0
2015-12-31,T4,6.01.01.02,Depreciações e amortizações,153838.0
2015-12-31,T4,6.01.01.03,Equivalência patrimonial,-7730.0
2015-12-31,T4,6.01.01.04,Remuneração baseada em opção de ações,12227.0
2015-12-31,T4,6.01.01.05,Participação de não controladores,226.0
2015-12-31,T4,6.01.01.06,Apropriação da receita e custos diferidos,-23308.0
2015-12-31,T4,6.01.01.07,Atualização de debêntures,55095.0
2015-12-31,T4,6.01.01.08,Atualização de empréstimos e financiamentos,186368.0
2015-12-31,T4,6.01.01.09,Atualizações de obrigações por aquisição de bens,663.0
2015-12-31,T4,6.01.01.10,Atualizações de transações com partes relacionadas,-3018.0
2015-12-31,T4,6.01.01.11,Ajuste a valor presente,29.0
2015-12-31,T4,6.01.01.12,Atualização de contas a receber,0.0
2015-12-31,T4,6.01.01.13,Outros,5452.0
2015-12-31,T4,6.01.01.14,Apropriação das recompras de ponto,8641.0
2015-12-31,T4,6.01.01.15,Provisão para devedores duvidosos,-12660.0
2015-12-31,T4,6.01.02,Variações nos Ativos e Passivos,-162241.0
2015-12-31,T4,6.01.02.01,Terrenos e imóveis a comercializar,-40401.0
2015-12-31,T4,6.01.02.02,Contas a receber,6836.0
2015-12-31,T4,6.01.02.03,Impostos a recuperar,0.0
2015-12-31,T4,6.01.02.04,Depósitos judiciais,-246.0
2015-12-31,T4,6.01.02.05,Outros ativos,-7902.0
2015-12-31,T4,6.01.02.06,Contas a pagar,-1552.0
2015-12-31,T4,6.01.02.07,Obrigações por aquisição de bens,-40550.0
2015-12-31,T4,6.01.02.08,Impostos e contribuilções a recolher,-20930.0
2015-12-31,T4,6.01.02.09,Parcelamento de impostos,0.0
2015-12-31,T4,6.01.02.10,Provisão para contingências,0.0
2015-12-31,T4,6.01.02.11,Receitas diferidas,19519.0
2015-12-31,T4,6.01.02.12,Adiantamentos diversos,-4212.0
2015-12-31,T4,6.01.02.13,Outras obrigações,2444.0
2015-12-31,T4,6.01.02.14,Impostos pagos,-75282.0
2015-12-31,T4,6.01.02.15,Custos Diferidos,35.0
2015-12-31,T4,6.01.03,Outros,0.0
2015-12-31,T4,6.02,Caixa Líquido Atividades de Investimento,-269011.0
2015-12-31,T4,6.02.01,Redução (aumento) nas transações com partes relacionadas,1396.0
2015-12-31,T4,6.02.02,Redução de capital,0.0
2015-12-31,T4,6.02.03,Recebimento dos juros de transações com partes relacionadas,0.0
2015-12-31,T4,6.02.04,(Aumento) redução em investimentos,5000.0
2015-12-31,T4,6.02.05,Adições em imobilizado,-3224.0
2015-12-31,T4,6.02.06,Adições em Propriedades para investimento,-215745.0
2015-12-31,T4,6.02.07,Adições em intangível,-8120.0
2015-12-31,T4,6.02.08,Baixas em Propriedade para investimento,123.0
2015-12-31,T4,6.02.09,Aplicações financeiras,-58301.0
2015-12-31,T4,6.02.10,Dividendos recebidos,9860.0
2015-12-31,T4,6.03,Caixa Líquido Atividades de Financiamento,-399028.0
2015-12-31,T4,6.03.01,Captação de empréstimos e financiamentos,208610.0
2015-12-31,T4,6.03.02,Pagamento empréstimos e financiamentos,-178805.0
2015-12-31,T4,6.03.03,Pagamento de juros dos empréstimos e financiamentos obtidos,-177386.0
2015-12-31,T4,6.03.04,Aumento (redução) do valor a pagar a partes relacionadas,0.0
2015-12-31,T4,6.03.05,Recompra p/manutenção em tesouraria,-44002.0
2015-12-31,T4,6.03.06,Entrada de caixa decorrente de exercício de opção de ações,24955.0
2015-12-31,T4,6.03.07,Pagamento de encargos sobre debêntures,-52798.0
2015-12-31,T4,6.03.08,Aumento de capital social,0.0
