data_fim,trimestre,cd_conta,ds_conta,valor_mil
2015-03-31,T1,6.01,Caixa Líquido Atividades Operacionais,181191.0
2015-03-31,T1,6.01.01,Caixa Gerado nas Operações,197712.0
2015-03-31,T1,6.01.01.01,Lucro antes dos impostos,108911.0
2015-03-31,T1,6.01.01.02,Depreciações e amortizações,38257.0
2015-03-31,T1,6.01.01.03,Equivalência patrimonial,-1285.0
2015-03-31,T1,6.01.01.04,Remuneração baseada em opção de ações,3930.0
2015-03-31,T1,6.01.01.05,Participação de não controladores,-18.0
2015-03-31,T1,6.01.01.06,Apropriação das receitas e custos diferidos,-7480.0
2015-03-31,T1,6.01.01.07,Apropriação das recompras de ponto,1841.0
2015-03-31,T1,6.01.01.08,Atualização de debêntures,12116.0
2015-03-31,T1,6.01.01.09,Atualização de empréstimos e financiamentos,45642.0
2015-03-31,T1,6.01.01.10,Atualizações de obrigações por aquisição de bens,329.0
2015-03-31,T1,6.01.01.11,Atualização de transações com partes relacionadas,-394.0
2015-03-31,T1,6.01.01.12,Ajuste a valor presente,-6.0
2015-03-31,T1,6.01.01.13,Outros,-4131.0
2015-03-31,T1,6.01.02,Variações nos Ativos e Passivos,-16521.0
2015-03-31,T1,6.01.02.01,Estoques,-5708.0
2015-03-31,T1,6.01.02.02,Contas a receber,29779.0
2015-03-31,T1,6.01.02.03,Impostos a recuperar,0.0
2015-03-31,T1,6.01.02.04,Depósitos judiciais,-29.0
2015-03-31,T1,6.01.02.05,Outros ativos,-6769.0
2015-03-31,T1,6.01.02.06,Contas a pagar,607.0
2015-03-31,T1,6.01.02.07,Amortizações de obrigações por aquisição de bens,-10763.0
2015-03-31,T1,6.01.02.08,Impostos e contribuições a recolher,-20219.0
2015-03-31,T1,6.01.02.09,Impostos pagos,-9521.0
2015-03-31,T1,6.01.02.10,Receitas e custos diferidos,4632.0
2015-03-31,T1,6.01.02.11,Outras obrigações,1470.0
2015-03-31,T1,6.01.03,Outros,0.0
2015-03-31,T1,6.02,Caixa Líquido Atividades de Investimento,-127590.0
2015-03-31,T1,6.02.01,Recebimento (pagamento) nas transações com partes relacionadas,2636.0
2015-03-31,T1,6.02.02,Baixa de propriedades para investimento,0.0
2015-03-31,T1,6.02.03,(Aumento) redução em investimentos,0.0
2015-03-31,T1,6.02.04,Adições em imobilizado,-881.0
2015-03-31,T1,6.02.05,Adições em Propriedades para investimento,-29506.0
2015-03-31,T1,6.02.06,Adições em intangível,-2127.0
2015-03-31,T1,6.02.07,Aplicações financeiras,-97712.0
2015-03-31,T1,6.02.08,Redução de capital,0.0
2015-03-31,T1,6.03,Caixa Líquido Atividades de Financiamento,-78080.0
2015-03-31,T1,6.03.01,Pagamento empréstimos e financiamentos,-49694.0
2015-03-31,T1,6.03.02,Pagamento de juros dos empréstimos e financiamentos obtidos,-40176.0
2015-03-31,T1,6.03.03,Recompra p/ manutenção em tesouraria,0.0
2015-03-31,T1,6.03.04,Pagamento de encargos sobre debêntures,0.0
2015-03-31,T1,6.03.05,Dividendos e juros sobre capital próprio pagos,0.0
2015-03-31,T1,6.03.06,Entrada de caixa decorrente de exercício de opção de ações,11790.0
2015-03-31,T1,6.04,Variação Cambial s/ Caixa e Equivalentes,0.0
2015-03-31,T1,6.05,Aumento (Redução) de Caixa e Equivalentes,-24479.0
2015-03-31,T1,6.05.01,Saldo Inicial de Caixa e Equivalentes,170926.0
2015-03-31,T1,6.05.02,Saldo Final de Caixa e Equivalentes,146447.0
2015-06-30,T2,6.01,Caixa Líquido Atividades Operacionais,272067.0
2015-06-30,T2,6.01.01,Caixa Gerado nas Operações,392795.0
2015-06-30,T2,6.01.01.01,Lucro antes dos impostos,211852.0
2015-06-30,T2,6.01.01.02,Depreciações e amortizações,76602.0
