cd_conta,conta,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
2,Passivo Total,224933.0,221177.0,215843.0,185098.0,188519.0,192213.0,188474.0,195649.0,193433.0,189899.0,181420.0,179515.0,181159.0,184966.0,186683.0,178886.0,181551.0,179898.0,178774.0,173583.0,174879.0,169897.0,182239.0,183884.0,190136.0,223614.0,230297.0,223858.0,240417.0,238699.0,265229.0,267741.0,278395.0,277771.0,285371.0,299742.0,315920.0,334398.0,347666.0,352234.0,305655.0,314708.0,320069.0
2.01,Passivo Circulante,99084.0,102501.0,111449.0,116701.0,122601.0,132480.0,137968.0,141530.0,151703.0,154812.0,135631.0,119725.0,113714.0,126082.0,131314.0,136605.0,144522.0,152175.0,159533.0,161462.0,168566.0,168964.0,179546.0,121409.0,129805.0,112298.0,94942.0,91546.0,112498.0,119435.0,121974.0,106455.0,119279.0,128008.0,136747.0,116089.0,145322.0,165972.0,162464.0,157131.0,143954.0,162246.0,147215.0
2.01.01,Obrigações Sociais e Trabalhistas,14846.0,18596.0,22667.0,18944.0,24759.0,29300.0,33006.0,32367.0,36463.0,39117.0,30749.0,20615.0,16276.0,20055.0,24250.0,25561.0,29065.0,34297.0,38801.0,40630.0,43143.0,45268.0,50264.0,51300.0,57604.0,35404.0,19657.0,17000.0,17413.0,20016.0,21520.0,19292.0,20577.0,23076.0,24739.0,22910.0,27306.0,27930.0,24801.0,28175.0,18007.0,18784.0,20308.0
2.01.02,Fornecedores,26773.0,25759.0,24833.0,21916.0,25365.0,26687.0,25623.0,24813.0,26543.0,27380.0,22231.0,26440.0,26696.0,30456.0,28363.0,27147.0,30516.0,30972.0,29044.0,25605.0,28412.0,25934.0,31623.0,13980.0,19906.0,26638.0,26769.0,22384.0,34626.0,29907.0,28885.0,26501.0,27617.0,27783.0,28491.0,22209.0,26578.0,28854.0,30092.0,36746.0,28996.0,25732.0,28027.0
2.01.03,Obrigações Fiscais,6221.0,8573.0,11635.0,12710.0,16059.0,18475.0,21079.0,21770.0,23858.0,26865.0,23262.0,10889.0,7281.0,10022.0,12098.0,14253.0,17017.0,18324.0,20338.0,22943.0,23421.0,25089.0,27455.0,34313.0,29334.0,21183.0,14791.0,15473.0,17377.0,18839.0,19439.0,19511.0,20035.0,20682.0,20915.0,20991.0,30929.0,37595.0,25902.0,28601.0,27924.0,30894.0,25886.0
2.01.04,Empréstimos e Financiamentos,38329.0,37664.0,39854.0,50822.0,45687.0,48059.0,49714.0,54808.0,56984.0,57010.0,55098.0,57346.0,58311.0,60085.0,61245.0,65306.0,63282.0,64306.0,66430.0,68039.0,66958.0,65919.0,62611.0,18131.0,18404.0,24059.0,28826.0,32119.0,37616.0,45665.0,47057.0,37095.0,46351.0,51154.0,56838.0,43660.0,54825.0,64793.0,75062.0,59052.0,64362.0,82050.0,67933.0
2.01.05,Outras Obrigações,12915.0,11909.0,12460.0,12309.0,10731.0,9959.0,8546.0,7772.0,7855.0,4440.0,4291.0,4435.0,5150.0,5464.0,5358.0,4338.0,4642.0,4276.0,4920.0,4245.0,6632.0,6754.0,7593.0,3685.0,4557.0,5014.0,4899.0,4570.0,5466.0,5008.0,5073.0,4056.0,4699.0,5313.0,5764.0,6319.0,5684.0,6800.0,6607.0,4557.0,4665.0,4786.0,5061.0
2.01.06,Provisões,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.02,Passivo Não Circulante,184163.0,186466.0,184772.0,191698.0,200489.0,197888.0,195445.0,198894.0,196591.0,194693.0,196660.0,198167.0,210423.0,208833.0,207789.0,213082.0,214974.0,218059.0,219261.0,222043.0,223139.0,222943.0,228903.0,247503.0,241530.0,163030.0,184935.0,181987.0,178558.0,173546.0,167257.0,171069.0,169075.0,163310.0,160598.0,189445.0,175959.0,169732.0,186595.0,168911.0,141866.0,141030.0,164438.0
2.02.01,Empréstimos e Financiamentos,36217.0,37632.0,35651.0,27897.0,29895.0,26995.0,24019.0,21534.0,18950.0,15762.0,15902.0,14200.0,12596.0,12660.0,11508.0,11787.0,13733.0,12770.0,10939.0,10239.0,9203.0,8835.0,14682.0,28327.0,27475.0,25846.0,25945.0,24079.0,23053.0,21443.0,22261.0,21573.0,23579.0,20951.0,20385.0,36499.0,36501.0,35794.0,35899.0,25372.0,23798.0,23554.0,40703.0
2.02.02,Outras Obrigações,88159.0,89285.0,89402.0,102177.0,108466.0,108377.0,108629.0,109183.0,109107.0,110620.0,113035.0,113372.0,127141.0,125181.0,114603.0,117882.0,130305.0,134283.0,137190.0,142153.0,141909.0,142008.0,142090.0,145589.0,137953.0,97666.0,119438.0,116753.0,114568.0,111740.0,104881.0,109435.0,105636.0,102656.0,100514.0,111364.0,98316.0,92425.0,108830.0,114865.0,89020.0,87942.0,93752.0
2.02.03,Tributos Diferidos,27901.0,27724.0,27939.0,28025.0,28533.0,28934.0,29217.0,32771.0,33129.0,32906.0,33257.0,33871.0,34137.0,34472.0,34701.0,33785.0,33949.0,34099.0,34234.0,34399.0,34499.0,34572.0,34603.0,37482.0,37640.0,37678.0,37712.0,39307.0,39089.0,39098.0,39172.0,39161.0,39138.0,39130.0,39176.0,40787.0,40801.0,41208.0,41579.0,28050.0,28513.0,29340.0,29896.0
2.02.04,Provisões,31886.0,31825.0,31780.0,33599.0,33595.0,33582.0,33580.0,35406.0,35405.0,35405.0,34466.0,36724.0,36549.0,36520.0,46977.0,49628.0,36987.0,36907.0,36898.0,35252.0,37528.0,37528.0,37528.0,36105.0,38462.0,1840.0,1840.0,1848.0,1848.0,1265.0,943.0,900.0,722.0,573.0,523.0,795.0,341.0,305.0,287.0,624.0,535.0,194.0,87.0
2.02.05,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.02.06,Lucros e Receitas a Apropriar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.03,Patrimônio Líquido Consolidado,-58314.0,-67790.0,-80378.0,-123301.0,-134571.0,-138155.0,-144939.0,-144775.0,-154861.0,-159606.0,-150871.0,-138377.0,-142978.0,-149949.0,-152420.0,-170801.0,-177945.0,-190336.0,-200020.0,-209922.0,-216826.0,-222010.0,-226210.0,-185028.0,-181199.0,-51714.0,-49580.0,-49675.0,-50639.0,-54282.0,-24002.0,-9783.0,-9959.0,-13547.0,-11974.0,-5792.0,-5361.0,-1306.0,-1393.0,26192.0,19835.0,11432.0,8416.0
2.03.01,Capital Social Realizado,47147.0,47147.0,47147.0,47147.0,47147.0,47147.0,47147.0,47147.0,47147.0,47147.0,47147.0,47147.0,47147.0,47147.0,47147.0,47147.0,47147.0,47147.0,47147.0,47147.0,47147.0,47147.0,47147.0,47147.0,47147.0,47147.0,47147.0,47147.0,47147.0,47147.0,47147.0,47147.0,47147.0,47147.0,47147.0,47147.0,47147.0,47147.0,47147.0,47147.0,47147.0,47147.0,47147.0
2.03.02,Reservas de Capital,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,10105.0,10105.0,10105.0,10105.0,10105.0,10105.0,10105.0,10105.0,105.0,105.0,105.0,105.0
2.03.03,Reservas de Reavaliação,897.0,846.0,795.0,386.0,359.0,332.0,323.0,628.0,621.0,614.0,609.0,600.0,596.0,573.0,566.0,560.0,552.0,545.0,540.0,534.0,528.0,522.0,516.0,510.0,504.0,498.0,492.0,486.0,480.0,474.0,468.0,462.0,456.0,451.0,445.0,439.0,433.0,427.0,421.0,359.0,359.0,358.0,358.0
2.03.04,Reservas de Lucros,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.03.05,Lucros/Prejuízos Acumulados,-127477.0,-136822.0,-149120.0,-189488.0,-200722.0,-204220.0,-210887.0,-210994.0,-221039.0,-225669.0,-216900.0,-204375.0,-208950.0,-215858.0,-218198.0,-235536.0,-242649.0,-255006.0,-264668.0,-274537.0,-281441.0,-286604.0,-290779.0,-249554.0,-245721.0,-116190.0,-114039.0,-114106.0,-115018.0,-118644.0,-88336.0,-84081.0,-84223.0,-87803.0,-86198.0,-81578.0,-81121.0,-77038.0,-77097.0,-29602.0,-35868.0,-44252.0,-47255.0
