data_fim,trimestre,cd_conta,ds_conta,valor_mil
2015-12-31,T4,3.01,Receita de Venda de Bens e/ou Serviços,151711.0
2015-12-31,T4,3.02,Custo dos Bens e/ou Serviços Vendidos,-145285.0
2015-12-31,T4,3.03,Resultado Bruto,6426.0
2015-12-31,T4,3.04,Despesas/Receitas Operacionais,-58256.0
2015-12-31,T4,3.04.01,Despesas com Vendas,-13420.0
2015-12-31,T4,3.04.02,Despesas Gerais e Administrativas,-17879.0
2015-12-31,T4,3.04.03,Perdas pela Não Recuperabilidade de Ativos,-14060.0
2015-12-31,T4,3.04.04,Outras Receitas Operacionais,0.0
2015-12-31,T4,3.04.05,Outras Despesas Operacionais,-12897.0
2015-12-31,T4,3.04.06,Resultado de Equivalência Patrimonial,0.0
2015-12-31,T4,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,-51830.0
2015-12-31,T4,3.06,Resultado Financeiro,-24023.0
2015-12-31,T4,3.06.01,Receitas Financeiras,1729.0
2015-12-31,T4,3.06.02,Despesas Financeiras,-25752.0
2015-12-31,T4,3.06.02.01,Despesas Financeiras,-23320.0
2015-12-31,T4,3.06.02.02,Despesas Financeiras - REFIS,-2432.0
2015-12-31,T4,3.07,Resultado Antes dos Tributos sobre o Lucro,-75853.0
2015-12-31,T4,3.08,Imposto de Renda e Contribuição Social sobre o Lucro,6244.0
2015-12-31,T4,3.08.01,Corrente,0.0
2015-12-31,T4,3.08.02,Diferido,6244.0
2015-12-31,T4,3.09,Resultado Líquido das Operações Continuadas,-69609.0
2015-12-31,T4,3.10,Resultado Líquido de Operações Descontinuadas,-968.0
2015-12-31,T4,3.10.01,Lucro/Prejuízo Líquido das Operações Descontinuadas,0.0
2015-12-31,T4,3.10.02,Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas,-968.0
2015-12-31,T4,3.11,Lucro/Prejuízo Consolidado do Período,-70577.0
2015-12-31,T4,3.11.01,Atribuído a Sócios da Empresa Controladora,-69778.0
2015-12-31,T4,3.11.02,Atribuído a Sócios Não Controladores,-799.0
2015-12-31,T4,3.99,Lucro por Ação - (Reais / Ação),0.0
2015-12-31,T4,3.99.01,Lucro Básico por Ação,0.0
2015-12-31,T4,3.99.01.01,ON,-33.9057
2015-12-31,T4,3.99.01.02,PN,-33.9057
2015-12-31,T4,3.99.02,Lucro Diluído por Ação,0.0
2016-12-31,T4,3.01,Receita de Venda de Bens e/ou Serviços,121671.0
2016-12-31,T4,3.02,Custo dos Bens e/ou Serviços Vendidos,-111113.0
2016-12-31,T4,3.03,Resultado Bruto,10558.0
2016-12-31,T4,3.04,Despesas/Receitas Operacionais,-9386.0
2016-12-31,T4,3.04.01,Despesas com Vendas,-10098.0
2016-12-31,T4,3.04.02,Despesas Gerais e Administrativas,-13652.0
2016-12-31,T4,3.04.03,Perdas pela Não Recuperabilidade de Ativos,4056.0
2016-12-31,T4,3.04.04,Outras Receitas Operacionais,10308.0
2016-12-31,T4,3.04.05,Outras Despesas Operacionais,0.0
2016-12-31,T4,3.04.06,Resultado de Equivalência Patrimonial,0.0
2016-12-31,T4,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,1172.0
2016-12-31,T4,3.06,Resultado Financeiro,-14877.0
2016-12-31,T4,3.06.01,Receitas Financeiras,974.0
2016-12-31,T4,3.06.02,Despesas Financeiras,-15851.0
2016-12-31,T4,3.06.02.01,Despesas Financeiras,-13000.0
2016-12-31,T4,3.06.02.02,Despesas Financeiras - REFIS,-2851.0
2016-12-31,T4,3.07,Resultado Antes dos Tributos sobre o Lucro,-13705.0
2016-12-31,T4,3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-7278.0
2016-12-31,T4,3.08.01,Corrente,-8.0
2016-12-31,T4,3.08.02,Diferido,-7270.0
2016-12-31,T4,3.09,Resultado Líquido das Operações Continuadas,-20983.0
2016-12-31,T4,3.10,Resultado Líquido de Operações Descontinuadas,-155.0
2016-12-31,T4,3.10.01,Lucro/Prejuízo Líquido das Operações Descontinuadas,0.0
2016-12-31,T4,3.10.02,Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas,-155.0
2016-12-31,T4,3.11,Lucro/Prejuízo Consolidado do Período,-21138.0
2016-12-31,T4,3.11.01,Atribuído a Sócios da Empresa Controladora,-21023.0
2016-12-31,T4,3.11.02,Atribuído a Sócios Não Controladores,-115.0
2016-12-31,T4,3.99,Lucro por Ação - (Reais / Ação),0.0
2016-12-31,T4,3.99.01,Lucro Básico por Ação,0.0
2016-12-31,T4,3.99.01.01,ON,-10.2153
2016-12-31,T4,3.99.01.02,PN,-10.2153
2016-12-31,T4,3.99.02,Lucro Diluído por Ação,0.0
2017-12-31,T4,3.01,Receita de Venda de Bens e/ou Serviços,121573.0
2017-12-31,T4,3.02,Custo dos Bens e/ou Serviços Vendidos,-114804.0
2017-12-31,T4,3.03,Resultado Bruto,6769.0
