cd_conta,ds_conta,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
3.01,Receita de Venda de Bens e/ou Serviços,44125.0,39560.0,41588.0,26438.0,31097.0,36329.0,31828.0,22417.0,29576.0,29963.0,32111.0,29923.0,37877.0,41346.0,42766.0,41007.0,45107.0,45078.0,48539.0,40420.0,40026.0,24685.0,38734.0,42819.0,51970.0,64423.0,68550.0,59230.0,66797.0,72304.0,81838.0,72085.0,69109.0,66539.0,71383.0,61065.0,62226.0,70549.0,76832.0,70172.0,51481.0,55218.0,47318.0
3.02,Custo dos Bens e/ou Serviços Vendidos,-38586.0,-36828.0,-38610.0,-31261.0,-30261.0,-30525.0,-27043.0,-23284.0,-27860.0,-28191.0,-29975.0,-28778.0,-34027.0,-38017.0,-39167.0,-37972.0,-42055.0,-42627.0,-45163.0,-34209.0,-35335.0,-22961.0,-33839.0,-37786.0,-44623.0,-53645.0,-55140.0,-52058.0,-56199.0,-61877.0,-65258.0,-62875.0,-58259.0,-58783.0,-61849.0,-55133.0,-53151.0,-62444.0,-66783.0,-80852.0,-43438.0,-45415.0,-34322.0
3.03,Resultado Bruto,5539.0,2732.0,2978.0,-4823.0,836.0,5804.0,4785.0,-867.0,1716.0,1772.0,2136.0,1145.0,3850.0,3329.0,3599.0,3035.0,3052.0,2451.0,3376.0,6211.0,4691.0,1724.0,4895.0,5033.0,7347.0,10778.0,13410.0,7172.0,10598.0,10427.0,16580.0,9210.0,10850.0,7756.0,9534.0,5932.0,9075.0,8105.0,10049.0,-10680.0,8043.0,9803.0,12996.0
3.04,Despesas/Receitas Operacionais,-7253.0,-7850.0,-8078.0,-35075.0,-6575.0,-6072.0,-6038.0,-9299.0,-5233.0,-4854.0,-5828.0,-6789.0,-6461.0,-7080.0,-6934.0,-10433.0,-6693.0,-7439.0,-7310.0,-7219.0,-6540.0,-4839.0,-6091.0,-12838.0,-6160.0,-22679.0,-33153.0,-41700.0,-8588.0,-9251.0,-4330.0,-16706.0,-10802.0,-8111.0,-11408.0,-15798.0,-2563.0,-1063.0,-7432.0,-37381.0,-7478.0,-9286.0,-9204.0
3.04.02,Despesas Gerais e Administrativas,-4105.0,-4794.0,-4278.0,-4702.0,-3653.0,-3494.0,-3406.0,-3099.0,-2931.0,-3562.0,-3468.0,-4330.0,-3339.0,-3668.0,-3464.0,-3590.0,-3524.0,-3856.0,-3828.0,-3778.0,-3556.0,-2677.0,-2893.0,-5189.0,-1974.0,-3713.0,-5351.0,-3686.0,-4214.0,-3772.0,-4847.0,-6272.0,-5394.0,-4706.0,-4939.0,-5915.0,-4547.0,-5329.0,-5608.0,-9711.0,-3912.0,-3737.0,-3924.0
3.04.05,Outras Despesas Operacionais,0.0,0.0,0.0,-12897.0,-589.0,-500.0,0.0,-1089.0,-349.0,0.0,0.0,-349.0,-11.0,0.0,-66.0,-4162.0,-86.0,-178.0,0.0,-242.0,-66.0,0.0,0.0,-45357.0,-347.0,-347.0,0.0,-604.0,0.0,-13.0,0.0,-160.0,0.0,0.0,0.0,-3686.0,0.0,0.0,0.0,0.0,0.0,-669.0,-109.0
3.04.05.02,Depreciação e amortização,,,,,,,,,,,,,,,,,,,,,,,,45423.0,,,,90.0,,,,1795.0,,,,50.0,,,,0.0,,,
3.04.06,Resultado de Equivalência Patrimonial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-128.0,0.0,2008.0,20.0,0.0,-6.0,10.0,-4.0,-5.0,-7.0
3.05,Resultado Antes do Resultado Financeiro e dos Tributos,-1714.0,-5118.0,-5100.0,-39898.0,-5739.0,-268.0,-1253.0,8432.0,-3517.0,-3082.0,-3692.0,-5644.0,-2611.0,-3751.0,-3335.0,-7398.0,-3641.0,-4988.0,-3934.0,-1008.0,-1849.0,-3115.0,-1196.0,52811.0,1187.0,33457.0,-19743.0,3514.0,2010.0,1176.0,12250.0,-7496.0,48.0,-355.0,-1874.0,-9866.0,6512.0,9168.0,2617.0,46691.0,565.0,517.0,3792.0
3.06,Resultado Financeiro,-5133.0,-4677.0,-7124.0,-7089.0,-4058.0,-2606.0,-4584.0,-3629.0,-2405.0,-2239.0,2392.0,2410.0,-1859.0,-2837.0,-2117.0,-8032.0,-3404.0,-7266.0,-5650.0,-8780.0,-5303.0,-2568.0,-3253.0,-2032.0,-2334.0,104887.0,13928.0,-2021.0,-3297.0,-4529.0,17874.0,-6434.0,-5731.0,-6173.0,-7103.0,-7989.0,-5984.0,-6786.0,-8007.0,-6024.0,-6574.0,-8414.0,-10533.0
3.06.01,Receitas Financeiras,800.0,130.0,323.0,476.0,447.0,223.0,129.0,175.0,102.0,108.0,62.0,2416.0,59.0,181.0,47.0,75.0,142.0,49.0,37.0,54.0,43.0,31.0,18.0,97.0,17.0,110556.0,17064.0,124631.0,1022.0,858.0,24298.0,1472.0,644.0,722.0,526.0,410.0,615.0,791.0,414.0,2566.0,662.0,702.0,466.0
3.06.02,Despesas Financeiras,-5933.0,-4807.0,-7447.0,-7565.0,-4505.0,-2829.0,-4713.0,-3804.0,-2507.0,-2347.0,-2330.0,-4654.0,-1918.0,-3018.0,-2164.0,-8107.0,-3546.0,-7315.0,-5687.0,-8834.0,-5346.0,-2599.0,-3271.0,-2129.0,-2351.0,-5669.0,-3136.0,-100298.0,-4319.0,-5387.0,-6424.0,-7906.0,-6375.0,-6895.0,-7629.0,-8399.0,-6599.0,-7577.0,-8421.0,-8590.0,-7236.0,-9116.0,-10999.0
3.07,Resultado Antes dos Tributos sobre o Lucro,-6847.0,-9795.0,-12224.0,-46987.0,-9797.0,-2874.0,-5837.0,4803.0,-5922.0,-5321.0,-1300.0,-3234.0,-4470.0,-6588.0,-5452.0,-15430.0,-7045.0,-12254.0,-9584.0,-9788.0,-7152.0,-5683.0,-4449.0,50779.0,-1147.0,138344.0,-5815.0,1493.0,-1287.0,-3353.0,30124.0,-13930.0,-5683.0,-6528.0,-8977.0,-17855.0,528.0,2382.0,-5390.0,40667.0,-6009.0,-7897.0,-6741.0
3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-743.0,-322.0,-388.0,-4791.0,-1506.0,-790.0,-661.0,-4321.0,-4158.0,-547.0,-10037.0,-7410.0,-134.0,-396.0,-3325.0,-3722.0,-99.0,-134.0,-109.0,-111.0,-218.0,-492.0,-245.0,-7668.0,-578.0,-8842.0,-7937.0,-14284.0,-344.0,-303.0,-151.0,-11690.0,-5508.0,-2941.0,-3711.0,-1545.0,-109.0,-1674.0,-1877.0,-1647.0,-3258.0,-4211.0,-3718.0
3.09,Resultado Líquido das Operações Continuadas,7590.0,9473.0,12612.0,39934.0,11303.0,3664.0,6498.0,-482.0,10080.0,4774.0,8737.0,-17216.0,4604.0,6984.0,2127.0,18358.0,7144.0,12388.0,9693.0,9899.0,6934.0,5191.0,4204.0,8543.0,1725.0,129502.0,2122.0,-3547.0,943.0,3656.0,30275.0,-10832.0,175.0,3587.0,5266.0,16310.0,419.0,4056.0,3513.0,24892.0,2751.0,3686.0,3023.0
3.10,Resultado Líquido de Operações Descontinuadas,0.0,0.0,0.0,-968.0,42.0,90.0,-287.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,-348.0,-20.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-8.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3651.0,-4724.0,0.0
3.11,Lucro/Prejuízo Consolidado do Período,7590.0,9473.0,12612.0,40902.0,11261.0,3574.0,6785.0,-482.0,10080.0,4750.0,8737.0,-17168.0,4604.0,6984.0,2475.0,18378.0,7144.0,12388.0,9693.0,9898.0,6934.0,5191.0,4204.0,8535.0,1694.0,129502.0,2122.0,-3485.0,943.0,3656.0,30275.0,-10832.0,175.0,3587.0,5266.0,16310.0,419.0,4056.0,3513.0,24892.0,6402.0,8410.0,3023.0
3.11.01,Atribuído a Sócios da Empresa Controladora,-7447.0,-9452.0,-12403.0,-40476.0,-11282.0,-3544.0,-6695.0,498.0,-10071.0,-4657.0,8743.0,12498.0,-4601.0,-6951.0,-2368.0,-18366.0,-7141.0,-12385.0,-9690.0,-9896.0,-6932.0,-5190.0,-4203.0,41198.0,-1706.0,129503.0,2124.0,-95.0,-939.0,-3654.0,30280.0,4229.0,-171.0,-3584.0,-5262.0,-16287.0,430.0,4055.0,-3507.0,31908.0,0.0,-14802.0,-3016.0
3.11.02,Atribuído a Sócios Não Controladores,-143.0,-21.0,-209.0,-426.0,21.0,-30.0,-90.0,-16.0,-9.0,-93.0,-6.0,-6.0,-3.0,-33.0,-107.0,-12.0,-3.0,-3.0,-3.0,-2.0,-2.0,-1.0,-1.0,-5.0,12.0,-1.0,-2.0,-2.0,-4.0,-2.0,-5.0,-3.0,-4.0,3.0,-4.0,5.0,-11.0,-5.0,-6.0,22.0,-4.0,-6.0,-7.0
3.99,Lucro por Ação (Reais/Ação),-0.3619,-0.4593,-6.12828,-26.95622,-0.5482,-0.1722,3.29688538,-9.4949,-4.8936,-0.2263,4.2483,4.0363,-2.2371,-0.3378,-1.1506,-11.9625,-3.4699,-0.6018,-4.7085,-10.2247,-3.3683,-0.2522,-2.0423,17.7488,-0.829,6.2927,1.0321,56.5878,-0.4563,-0.1776,14.7133,0.457,-0.0831,-0.1741,-2.5569,-9.4813,0.20359543,0.197,-1.7041,17.4867,-3.1088,-0.4084,1.46889971
