cd_conta,conta,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2
2,Passivo Total,1.104,21184512.0,56058741.0,61092922.0,64320627.0,60917597.0,61818156.0,58602504.0,58635276.0,60448490.0,52223939.0,54330870.0,54500819.0,54685390.0,53192432.0,50593543.0,50570786.0,42747015.0,41646394.0,40759305.0,32355596.628,37133423.0,35159234.0,34864573.0
2.01,Passivo Circulante,1.004,7518423.0,11533584.0,12863889.0,16717348.0,16159586.0,15006149.0,14471149.0,12747056.0,13693877.0,14285550.0,11638867.0,12303579.0,13337868.0,13104600.0,11952136.0,9610365.0,10413499.0,10296063.0,9476477.0,8333116.628,9607489.0,9353246.0,11220430.0
2.01.01,Obrigações Sociais e Trabalhistas,0.0,560376.0,985965.0,1111576.0,1345816.0,1340683.0,1242475.0,1217500.0,1342367.0,1255348.0,951320.0,961855.0,985351.0,1276977.0,1087841.0,941267.0,1072729.0,1019688.0,1138553.0,954649.0,735334.0,1200874.0,1224607.0,650197.0
2.01.02,Fornecedores,0.0,1829756.0,5104782.0,5709969.0,6745145.0,6774205.0,6555155.0,6094344.0,6301066.0,6770579.0,5490082.0,5716513.0,5984920.0,6375930.0,5592284.0,5648892.0,5516965.0,5302478.0,5350677.0,5757738.0,5368348.0,6341783.0,6014248.0,5031727.0
2.01.03,Obrigações Fiscais,0.0,709128.0,733864.0,804587.0,1115055.0,1226620.0,1030998.0,1294994.0,971670.0,1131887.0,885398.0,854847.0,914813.0,898419.0,924649.0,780675.0,716028.0,1543202.0,818616.0,746516.0,576672.628,731572.0,705569.0,581354.0
2.01.04,Empréstimos e Financiamentos,0.0,3354355.0,1942527.0,2631068.0,4535614.0,3805649.0,3234540.0,3071848.0,1155701.0,945069.0,3863522.0,725988.0,429265.0,331151.0,289223.0,362680.0,141128.0,163844.0,128090.0,92038.0,813615.0,55890.0,137328.0,88276.0
2.01.05,Outras Obrigações,1.004,1046158.0,2719400.0,2478864.0,2792697.0,2953673.0,2883592.0,2731804.0,2910636.0,3360897.0,2890405.0,3120261.0,3668078.0,3991736.0,3439909.0,2552566.0,1742204.0,1892986.0,2267092.0,1416267.0,827742.0,1257420.0,1252995.0,841406.0
2.01.06,Provisões,0.0,18650.0,47046.0,127825.0,183021.0,58756.0,59389.0,60659.0,65616.0,230097.0,204823.0,259403.0,321152.0,463655.0,454005.0,419114.0,421311.0,491301.0,593035.0,509269.0,11405.0,19950.0,18499.0,11920.0
2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1316689.0,1246942.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4015550.0
2.02,Passivo Não Circulante,0.0,10303744.0,24229684.0,24955570.0,22977145.0,17370903.0,18097839.0,17802928.0,18023661.0,18187888.0,14098044.0,18442505.0,19194874.0,18996338.0,18061601.0,18081183.0,12915177.0,9213051.0,9262936.0,9027228.0,8489519.0,11854347.0,10710684.0,8601185.0
2.02.01,Empréstimos e Financiamentos,0.0,7432019.0,17390539.0,18035031.0,15982423.0,10017264.0,10776351.0,11070510.0,11538120.0,11771763.0,8003454.0,12313549.0,13278745.0,13261135.0,12965727.0,13026120.0,6069775.0,5947858.0,6059054.0,5653754.0,6251032.0,6786795.0,6467300.0,6270844.0
2.02.02,Outras Obrigações,0.0,2098046.0,3137997.0,3155828.0,3183811.0,2952011.0,2955849.0,2571091.0,2669824.0,2710884.0,2368839.0,2587366.0,2578268.0,2984331.0,2209776.0,1988164.0,2004879.0,1375279.0,1353861.0,1424325.0,955465.0,1835469.0,1480979.0,1073115.0
2.02.03,Tributos Diferidos,0.0,450561.0,1504910.0,1413471.0,1490702.0,1288045.0,1186850.0,1239102.0,932710.0,994041.0,803949.0,906889.0,895244.0,934414.0,879154.0,898407.0,3244415.0,328090.0,361124.0,404880.0,194501.0,1356206.0,1313322.0,135029.0
