cd_conta,ds_conta,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2
3.01,Receita de Venda de Bens e/ou Serviços,7517994.0,6987180.0,10419530.0,11997276.0,9455073.0,9517166.0,9549225.0,11643223.0,8253296.0,8702411.0,9003732.0,10390184.0,7320156.0,7773542.0,7517260.0,4126319.0,6105253.0,7352632.0,5976377.0,4655542.0,6679433.0,4150831.0
3.02,Custo dos Bens e/ou Serviços Vendidos,-2878722.0,-2375507.0,-3695440.0,-4280046.0,-3322467.0,-3318287.0,-3313070.0,-4057701.0,-2945608.0,-3216805.0,-3229676.0,-3762930.0,-2494683.0,-2687948.0,-2610993.0,-1881811.0,-2127080.0,-2610972.0,-1954040.0,-1680505.0,-2253340.0,-1331463.0
3.03,Resultado Bruto,4639272.0,4611673.0,6724090.0,7717230.0,6132606.0,6198879.0,6236155.0,7585522.0,5307688.0,5485606.0,5774056.0,6627254.0,4825473.0,5085594.0,4906267.0,2244508.0,3978173.0,4741660.0,4022337.0,2975037.0,4426093.0,2819368.0
3.04,Despesas/Receitas Operacionais,-5141813.0,-4663640.0,-5978238.0,-7118977.0,-5999908.0,-6251865.0,-5946623.0,-6836536.0,-5441219.0,-5624599.0,-5806879.0,-6779688.0,-4798037.0,-5217711.0,-4954916.0,-2246026.0,-3822938.0,-4477834.0,-3590975.0,-2917389.0,-4167101.0,-2200176.0
3.04.02,Despesas Gerais e Administrativas,-1266091.0,-1337544.0,-1567189.0,-1785172.0,-1627686.0,-1816331.0,-1790778.0,-1724071.0,-1533300.0,-1729442.0,-1555264.0,-1893527.0,-1381014.0,-1400982.0,-1275426.0,-167605.0,-1043043.0,-1207831.0,-777037.0,-330436.0,-1049511.0,-550102.0
3.04.05,Outras Despesas Operacionais,0.0,0.0,0.0,-516190.0,0.0,0.0,-132505.0,-106514.0,-58713.0,-38414.0,-131742.0,-551419.0,-96642.0,-319325.0,-284759.0,-669123.0,-46936.0,-119993.0,0.0,-166929.0,-161465.0,-16524.0
3.04.05.02,Depreciação e amortização,,,,,,,,,,,,,,,,,,,,,,
3.04.06,Resultado de Equivalência Patrimonial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.05,Resultado Antes do Resultado Financeiro e dos Tributos,-502541.0,-51967.0,745852.0,598253.0,132698.0,-52986.0,289532.0,748986.0,-133531.0,-138993.0,-32823.0,-152434.0,27436.0,-132117.0,-48649.0,-1518.0,155235.0,263826.0,431362.0,57648.0,258992.0,619192.0
3.06,Resultado Financeiro,-227595.0,-268541.0,-290353.0,-248930.0,-227906.0,-205501.0,-293015.0,-300555.0,-386567.0,-426787.0,-563947.0,-523560.0,-476329.0,-402088.0,-1064904.0,-570178.0,-361215.0,-135325.0,-170461.0,-25808.0,-250936.0,-76876.0
3.06.01,Receitas Financeiras,1560184.0,665538.0,1328788.0,1183881.0,1038944.0,1225453.0,874568.0,867598.0,1354372.0,1960362.0,876748.0,1189316.0,1005725.0,1854564.0,0.0,2860289.0,0.0,0.0,0.0,0.0,0.0,0.0
3.06.02,Despesas Financeiras,-1787779.0,-934079.0,-1619141.0,-1432811.0,-1266850.0,-1430954.0,-1167583.0,-1168153.0,-1740939.0,-2387149.0,-1440695.0,-1712876.0,-1482054.0,-2256652.0,-1064904.0,-2290111.0,-361215.0,-135325.0,-170461.0,-25808.0,-250936.0,-76876.0
3.07,Resultado Antes dos Tributos sobre o Lucro,-730136.0,-320508.0,455499.0,349323.0,-95208.0,-258487.0,-3483.0,448431.0,-520098.0,-565780.0,-596770.0,-675994.0,-448893.0,-534205.0,-1113553.0,-571696.0,-205980.0,128501.0,260901.0,31840.0,8056.0,542316.0
3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-94803.0,-44853.0,-53105.0,-81983.0,-90093.0,-527439.0,-311984.0,-118470.0,-82488.0,-135116.0,-112828.0,-210864.0,-82777.0,-98617.0,-961953.0,-1056947.0,-237073.0,-976764.0,-41087.0,-297554.0,-159503.0,-4560.0
3.09,Resultado Líquido das Operações Continuadas,824939.0,365361.0,402394.0,-1072128.0,185301.0,268952.0,308501.0,376485.0,602586.0,700896.0,483942.0,690786.0,531670.0,632822.0,151600.0,1265855.0,443053.0,848263.0,301988.0,-851196.0,151447.0,546876.0
