data_fim,trimestre,cd_conta,ds_conta,valor_mil
2010-03-31,T1,3.01,Receita de Venda de Bens e/ou Serviços,2036861.0
2010-03-31,T1,3.01.01,Receita Bruta,2982763.0
2010-03-31,T1,3.01.06,(-) Deduções da receita bruta,-945902.0
2010-03-31,T1,3.02,Custo dos Bens e/ou Serviços Vendidos,-1200763.0
2010-03-31,T1,3.03,Resultado Bruto,836098.0
2010-03-31,T1,3.04,Despesas/Receitas Operacionais,-214656.0
2010-03-31,T1,3.04.01,Despesas com Vendas,-82558.0
2010-03-31,T1,3.04.02,Despesas Gerais e Administrativas,-106616.0
2010-03-31,T1,3.04.03,Perdas pela Não Recuperabilidade de Ativos,-25482.0
2010-03-31,T1,3.04.03.01,Amortização de ágio,-25482.0
2010-03-31,T1,3.04.04,Outras Receitas Operacionais,0.0
2010-03-31,T1,3.04.05,Outras Despesas Operacionais,0.0
2010-03-31,T1,3.04.06,Resultado de Equivalência Patrimonial,0.0
2010-03-31,T1,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,621442.0
2010-03-31,T1,3.06,Resultado Financeiro,1759.0
2010-03-31,T1,3.06.01,Receitas Financeiras,172357.0
2010-03-31,T1,3.06.02,Despesas Financeiras,-170598.0
2010-03-31,T1,3.07,Resultado Antes dos Tributos sobre o Lucro,623201.0
2010-03-31,T1,3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-121270.0
2010-03-31,T1,3.08.01,Corrente,-87626.0
2010-03-31,T1,3.08.02,Diferido,-33644.0
2010-03-31,T1,3.09,Resultado Líquido das Operações Continuadas,501931.0
2010-03-31,T1,3.10,Resultado Líquido de Operações Descontinuadas,0.0
2010-03-31,T1,3.10.01,Lucro/Prejuízo Líquido das Operações Descontinuadas,0.0
2010-03-31,T1,3.10.02,Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas,0.0
2010-03-31,T1,3.11,Lucro/Prejuízo Consolidado do Período,501931.0
2010-03-31,T1,3.11.01,Atribuído a Sócios da Empresa Controladora,442928.0
2010-03-31,T1,3.11.02,Atribuído a Sócios Não Controladores,59003.0
2010-03-31,T1,3.99,Lucro por Ação - (Reais / Ação),0.0
2010-03-31,T1,3.99.01,Lucro Básico por Ação,0.0
2010-03-31,T1,3.99.02,Lucro Diluído por Ação,0.0
2010-06-30,T2,3.01,Receita de Venda de Bens e/ou Serviços,2665622.0
2010-06-30,T2,3.01.01,Receita bruta,3643094.0
2010-06-30,T2,3.01.06,(-) Deduções da receita bruta,-977472.0
2010-06-30,T2,3.02,Custo dos Bens e/ou Serviços Vendidos,-1789089.0
2010-06-30,T2,3.03,Resultado Bruto,876533.0
2010-06-30,T2,3.04,Despesas/Receitas Operacionais,-221618.0
2010-06-30,T2,3.04.01,Despesas com Vendas,-81371.0
2010-06-30,T2,3.04.02,Despesas Gerais e Administrativas,-114765.0
2010-06-30,T2,3.04.03,Perdas pela Não Recuperabilidade de Ativos,-25482.0
2010-06-30,T2,3.04.03.01,Amortização de ágio,-25482.0
2010-06-30,T2,3.04.04,Outras Receitas Operacionais,0.0
2010-06-30,T2,3.04.05,Outras Despesas Operacionais,0.0
2010-06-30,T2,3.04.06,Resultado de Equivalência Patrimonial,0.0
2010-06-30,T2,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,654915.0
2010-06-30,T2,3.06,Resultado Financeiro,-41179.0
2010-06-30,T2,3.06.01,Receitas Financeiras,170693.0
2010-06-30,T2,3.06.02,Despesas Financeiras,-211872.0
2010-06-30,T2,3.07,Resultado Antes dos Tributos sobre o Lucro,613736.0
2010-06-30,T2,3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-89665.0
2010-06-30,T2,3.08.01,Corrente,-80227.0
2010-06-30,T2,3.08.02,Diferido,-9438.0
2010-06-30,T2,3.09,Resultado Líquido das Operações Continuadas,524071.0
2010-06-30,T2,3.10,Resultado Líquido de Operações Descontinuadas,0.0
