data_fim,trimestre,cd_conta,ds_conta,valor_mil
2015-03-31,T1,3.01,Receita de Venda de Bens e/ou Serviços,302163.0
2015-03-31,T1,3.01.01,Contraprestações Líquidas,315301.0
2015-03-31,T1,3.01.02,Venda de Bens e Serviços,1818.0
2015-03-31,T1,3.01.03,Variação das Provisões Técnicas,0.0
2015-03-31,T1,3.01.04,Tributos Diretos de Operações com Planos de Assistência à Saúde,-13168.0
2015-03-31,T1,3.01.05,Imposto sobre Vendas de Bens e Serviços,-1788.0
2015-03-31,T1,3.02,Custo dos Bens e/ou Serviços Vendidos,-124224.0
2015-03-31,T1,3.02.01,Eventos Indenizáveis Líquidos,-118529.0
2015-03-31,T1,3.02.02,Encargos Sociais sobre Serviços,-7800.0
2015-03-31,T1,3.02.03,Materiais Odontológicos,-1051.0
2015-03-31,T1,3.02.04,Outras Receitas (Despesas) Operacionais,-3657.0
2015-03-31,T1,3.02.05,Variação da Provisão de Eventos Ocorridos e não Avisados (PEONA),6813.0
2015-03-31,T1,3.03,Resultado Bruto,177939.0
2015-03-31,T1,3.04,Despesas/Receitas Operacionais,-82109.0
2015-03-31,T1,3.04.01,Despesas com Vendas,-28216.0
2015-03-31,T1,3.04.01.01,Despesas de Comercialização,-28216.0
2015-03-31,T1,3.04.02,Despesas Gerais e Administrativas,-40852.0
2015-03-31,T1,3.04.03,Perdas pela Não Recuperabilidade de Ativos,0.0
2015-03-31,T1,3.04.04,Outras Receitas Operacionais,0.0
2015-03-31,T1,3.04.05,Outras Despesas Operacionais,-12031.0
2015-03-31,T1,3.04.05.01,Outorga de Opções de Ações,-1270.0
2015-03-31,T1,3.04.05.02,Provisão para Perdas sobre Créditos,-7895.0
2015-03-31,T1,3.04.05.03,Participações no Resultado,-2866.0
2015-03-31,T1,3.04.06,Resultado de Equivalência Patrimonial,-1010.0
2015-03-31,T1,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,95830.0
2015-03-31,T1,3.06,Resultado Financeiro,5119.0
2015-03-31,T1,3.06.01,Receitas Financeiras,17632.0
2015-03-31,T1,3.06.01.01,Receitas Financeiras,9748.0
2015-03-31,T1,3.06.01.02,Reversão dos Juros sobre Capital Próprio,7884.0
2015-03-31,T1,3.06.02,Despesas Financeiras,-12513.0
2015-03-31,T1,3.07,Resultado Antes dos Tributos sobre o Lucro,100949.0
2015-03-31,T1,3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-33074.0
2015-03-31,T1,3.08.01,Corrente,-30836.0
2015-03-31,T1,3.08.02,Diferido,-2238.0
2015-03-31,T1,3.09,Resultado Líquido das Operações Continuadas,67875.0
2015-03-31,T1,3.10,Resultado Líquido de Operações Descontinuadas,0.0
2015-03-31,T1,3.10.01,Lucro/Prejuízo Líquido das Operações Descontinuadas,0.0
2015-03-31,T1,3.10.02,Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas,0.0
2015-03-31,T1,3.11,Lucro/Prejuízo Consolidado do Período,67875.0
2015-03-31,T1,3.11.01,Atribuído a Sócios da Empresa Controladora,67817.0
2015-03-31,T1,3.11.02,Atribuído a Sócios Não Controladores,58.0
2015-03-31,T1,3.99,Lucro por Ação - (Reais / Ação),0.0
2015-03-31,T1,3.99.01,Lucro Básico por Ação,0.0
2015-03-31,T1,3.99.01.01,ON,0.12862
2015-03-31,T1,3.99.02,Lucro Diluído por Ação,0.0
2015-03-31,T1,3.99.02.01,ON,0.12762
2015-06-30,T2,3.01,Receita de Venda de Bens e/ou Serviços,301790.0
2015-06-30,T2,3.01.01,Contraprestações Líquidas,314487.0
2015-06-30,T2,3.01.02,Venda de Bens e Serviços,1565.0
2015-06-30,T2,3.01.03,Variação das Provisões Técnicas,0.0
2015-06-30,T2,3.01.04,Tributos Diretos de Operações com Planos de Assistência à Saúde,-11864.0
2015-06-30,T2,3.01.05,Imposto sobre Vendas de Bens e Serviços,-2398.0
2015-06-30,T2,3.02,Custo dos Bens e/ou Serviços Vendidos,-148564.0
2015-06-30,T2,3.02.01,Eventos Indenizáveis Líquidos,-123050.0
2015-06-30,T2,3.02.02,Encargos Sociais sobre Serviços,-8106.0
2015-06-30,T2,3.02.03,Materiais Odontológicos,-1971.0
2015-06-30,T2,3.02.04,Outras Receitas (Despesas) Operacionais,-6078.0
2015-06-30,T2,3.02.05,Variação da Provisão de Eventos Ocorridos e não Avisados (PEONA),-9359.0
2015-06-30,T2,3.03,Resultado Bruto,153226.0
2015-06-30,T2,3.04,Despesas/Receitas Operacionais,-83786.0
2015-06-30,T2,3.04.01,Despesas com Vendas,-28598.0
2015-06-30,T2,3.04.01.01,Despesas de Comercialização,-28598.0
2015-06-30,T2,3.04.02,Despesas Gerais e Administrativas,-44836.0
2015-06-30,T2,3.04.03,Perdas pela Não Recuperabilidade de Ativos,0.0
2015-06-30,T2,3.04.04,Outras Receitas Operacionais,0.0
2015-06-30,T2,3.04.05,Outras Despesas Operacionais,-10206.0
2015-06-30,T2,3.04.05.01,Outorga de Opções de Ações,-1549.0
2015-06-30,T2,3.04.05.02,Provisão para Perdas sobre Créditos,-6786.0
2015-06-30,T2,3.04.05.03,Participações no Resultado,-1871.0
2015-06-30,T2,3.04.06,Resultado de Equivalência Patrimonial,-146.0
2015-06-30,T2,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,69440.0
2015-06-30,T2,3.06,Resultado Financeiro,4098.0
2015-06-30,T2,3.06.01,Receitas Financeiras,19979.0
2015-06-30,T2,3.06.01.01,Receitas Financeiras,10098.0
2015-06-30,T2,3.06.01.02,Reversão dos Juros sobre Capital Próprio,9881.0
2015-06-30,T2,3.06.02,Despesas Financeiras,-15881.0
2015-06-30,T2,3.07,Resultado Antes dos Tributos sobre o Lucro,73538.0
2015-06-30,T2,3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-23867.0
2015-06-30,T2,3.08.01,Corrente,-19826.0
2015-06-30,T2,3.08.02,Diferido,-4041.0
2015-06-30,T2,3.09,Resultado Líquido das Operações Continuadas,49671.0
2015-06-30,T2,3.10,Resultado Líquido de Operações Descontinuadas,0.0
2015-06-30,T2,3.10.01,Lucro/Prejuízo Líquido das Operações Descontinuadas,0.0
2015-06-30,T2,3.10.02,Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas,0.0
2015-06-30,T2,3.11,Lucro/Prejuízo Consolidado do Período,49671.0
2015-06-30,T2,3.11.01,Atribuído a Sócios da Empresa Controladora,49620.0
2015-06-30,T2,3.11.02,Atribuído a Sócios Não Controladores,51.0
2015-06-30,T2,3.99,Lucro por Ação - (Reais / Ação),0.0
2015-06-30,T2,3.99.01,Lucro Básico por Ação,0.0
2015-06-30,T2,3.99.01.01,ON,0.09409
2015-06-30,T2,3.99.02,Lucro Diluído por Ação,0.0
2015-06-30,T2,3.99.02.01,ON,0.09289
2015-09-30,T3,3.01,Receita de Venda de Bens e/ou Serviços,317653.0
2015-09-30,T3,3.01.01,Contraprestações Líquidas,330208.0
2015-09-30,T3,3.01.02,Venda de Bens e Serviços,2175.0
2015-09-30,T3,3.01.03,Variação das Provisões Técnicas,0.0
2015-09-30,T3,3.01.04,Tributos Diretos de Operações com Planos de Assistência à Saúde,-12396.0
2015-09-30,T3,3.01.05,Imposto sobre Vendas de Bens e Serviços,-2334.0
2015-09-30,T3,3.02,Custo dos Bens e/ou Serviços Vendidos,-158103.0
2015-09-30,T3,3.02.01,Eventos Indenizáveis Líquidos,-136890.0
2015-09-30,T3,3.02.02,Encargos Sociais sobre Serviços,-9246.0
2015-09-30,T3,3.02.03,Materiais Odontológicos,-1704.0
2015-09-30,T3,3.02.04,Outras Receitas (Despesas) Operacionais,-6698.0
2015-09-30,T3,3.02.05,Variação da Provisão de Eventos Ocorridos e não Avisados (PEONA),-3565.0
2015-09-30,T3,3.03,Resultado Bruto,159550.0
2015-09-30,T3,3.04,Despesas/Receitas Operacionais,-92451.0
2015-09-30,T3,3.04.01,Despesas com Vendas,-31671.0
2015-09-30,T3,3.04.01.01,Despesas de Comercialização,-31671.0
2015-09-30,T3,3.04.02,Despesas Gerais e Administrativas,-47760.0
2015-09-30,T3,3.04.03,Perdas pela Não Recuperabilidade de Ativos,0.0
2015-09-30,T3,3.04.04,Outras Receitas Operacionais,0.0
2015-09-30,T3,3.04.05,Outras Despesas Operacionais,-12223.0
2015-09-30,T3,3.04.05.01,Outorga de Opções de Ações,-2651.0
2015-09-30,T3,3.04.05.02,Provisão para Perdas sobre Créditos,-7905.0
2015-09-30,T3,3.04.05.03,Participações no Resultado,-1667.0
2015-09-30,T3,3.04.06,Resultado de Equivalência Patrimonial,-797.0
2015-09-30,T3,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,67099.0
2015-09-30,T3,3.06,Resultado Financeiro,4223.0
2015-09-30,T3,3.06.01,Receitas Financeiras,21151.0
2015-09-30,T3,3.06.01.01,Receitas Financeiras,11477.0
2015-09-30,T3,3.06.01.02,Reversão dos Juros sobre Capital Próprio,9674.0
2015-09-30,T3,3.06.02,Despesas Financeiras,-16928.0
2015-09-30,T3,3.07,Resultado Antes dos Tributos sobre o Lucro,71322.0
2015-09-30,T3,3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-27730.0
2015-09-30,T3,3.08.01,Corrente,-28470.0
2015-09-30,T3,3.08.02,Diferido,740.0
2015-09-30,T3,3.09,Resultado Líquido das Operações Continuadas,43592.0
2015-09-30,T3,3.10,Resultado Líquido de Operações Descontinuadas,0.0
2015-09-30,T3,3.10.01,Lucro/Prejuízo Líquido das Operações Descontinuadas,0.0
2015-09-30,T3,3.10.02,Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas,0.0
2015-09-30,T3,3.11,Lucro/Prejuízo Consolidado do Período,43592.0
2015-09-30,T3,3.11.01,Atribuído a Sócios da Empresa Controladora,43482.0
2015-09-30,T3,3.11.02,Atribuído a Sócios Não Controladores,110.0
2015-09-30,T3,3.99,Lucro por Ação - (Reais / Ação),0.0
2015-09-30,T3,3.99.01,Lucro Básico por Ação,0.0
2015-09-30,T3,3.99.01.01,ON,0.08244
2015-09-30,T3,3.99.02,Lucro Diluído por Ação,0.0
2015-09-30,T3,3.99.02.01,ON,0.08143
2016-03-31,T1,3.01,Receita de Venda de Bens e/ou Serviços,329733.0
2016-03-31,T1,3.01.01,Contraprestações Líquidas,343736.0
2016-03-31,T1,3.01.02,Venda de Bens e Serviços,2122.0
2016-03-31,T1,3.01.03,Variação das Provisões Técnicas,0.0
2016-03-31,T1,3.01.04,Tributos Diretos de Operações com Planos de Assistência à Saúde,-14070.0
2016-03-31,T1,3.01.05,Imposto sobre Vendas de Bens e Serviços,-2055.0
2016-03-31,T1,3.02,Custo dos Bens e/ou Serviços Vendidos,-138108.0
2016-03-31,T1,3.02.01,Eventos Indenizáveis Líquidos,-134517.0
