cd_conta,conta,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
2,Passivo Total,641970.0,614792.0,669201.0,693371.0,699619.0,708508.0,777193.0,775576.0,732311.0,778568.0,784273.0,810227.0,816093.0,886346.0,829444.0,846007.0,834851.0,845884.0,875942.0,869536.0,927537.0,923989.0,1000835.0,1103937.0,1110241.0,1062375.0,1122718.0,1192643.0,1203905.0,1293792.0,1308356.0,1346505.0,1312786.0,1300435.0,1269599.0,1279009.0,1291970.0,1306681.0,1308828.0,1384706.0,1267420.0,1328002.0,1459883.0
2.01,Passivo Circulante,173275.0,140207.0,157594.0,149994.0,162464.0,174401.0,172611.0,142959.0,151455.0,170346.0,233445.0,276517.0,248163.0,247938.0,171077.0,170836.0,170362.0,185612.0,209593.0,210519.0,277892.0,267647.0,222946.0,238693.0,242168.0,165242.0,238956.0,245643.0,224148.0,235783.0,252044.0,259425.0,235731.0,303251.0,321636.0,232656.0,239284.0,271738.0,238707.0,291255.0,302062.0,276750.0,260336.0
2.01.01,Obrigações Sociais e Trabalhistas,21353.0,22772.0,27097.0,24333.0,26565.0,22670.0,22873.0,17299.0,19582.0,23713.0,26990.0,22180.0,21200.0,26457.0,30378.0,32890.0,26757.0,28175.0,26097.0,20151.0,22115.0,32161.0,38315.0,39434.0,26168.0,33932.0,44006.0,43652.0,32270.0,40280.0,48023.0,47875.0,35669.0,35961.0,38347.0,30212.0,33502.0,38749.0,48092.0,44420.0,34266.0,43267.0,50543.0
2.01.02,Fornecedores,39547.0,33918.0,50610.0,29450.0,27557.0,42780.0,41878.0,23316.0,24897.0,29479.0,26070.0,27915.0,34234.0,43482.0,24969.0,27100.0,41634.0,40777.0,46793.0,40381.0,41851.0,33013.0,51975.0,55812.0,74222.0,58864.0,86997.0,69941.0,72410.0,89206.0,90294.0,85566.0,65691.0,62133.0,69821.0,74558.0,82003.0,104517.0,104135.0,113048.0,141795.0,143309.0,101117.0
2.01.03,Obrigações Fiscais,4333.0,7385.0,7850.0,8458.0,7855.0,6235.0,5240.0,5109.0,3896.0,3505.0,5085.0,4731.0,3904.0,3655.0,4260.0,5860.0,3616.0,3874.0,2769.0,5080.0,4920.0,4906.0,5784.0,6718.0,6706.0,6636.0,6879.0,20257.0,6073.0,4736.0,11522.0,7993.0,5119.0,88102.0,94566.0,10825.0,8359.0,13941.0,13227.0,15529.0,6725.0,11720.0,27631.0
2.01.04,Empréstimos e Financiamentos,87751.0,64167.0,58247.0,57260.0,66705.0,80789.0,78661.0,73550.0,84597.0,97169.0,151141.0,190233.0,163013.0,164455.0,100247.0,76439.0,70983.0,101071.0,121045.0,118230.0,188797.0,186180.0,102293.0,96553.0,98955.0,52023.0,84882.0,85045.0,86152.0,87799.0,84973.0,88229.0,97551.0,100277.0,101127.0,98852.0,98208.0,96511.0,54331.0,56890.0,53682.0,52077.0,52555.0
2.01.05,Outras Obrigações,20291.0,11965.0,13790.0,30493.0,33782.0,21927.0,23959.0,23685.0,18483.0,16480.0,24159.0,31458.0,25812.0,9889.0,11223.0,28547.0,27372.0,11715.0,12889.0,26677.0,20209.0,11387.0,24579.0,40176.0,36117.0,0.0,16192.0,26748.0,27243.0,13762.0,17232.0,37755.0,31701.0,16778.0,17775.0,18209.0,17212.0,18020.0,18922.0,61368.0,65594.0,26377.0,28490.0
2.01.06,Provisões,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.02,Passivo Não Circulante,130322.0,121089.0,138257.0,163068.0,159944.0,152370.0,216529.0,256322.0,211234.0,225453.0,158490.0,128074.0,158725.0,206343.0,203757.0,219204.0,213533.0,195231.0,188060.0,166536.0,158942.0,140362.0,225904.0,304434.0,296820.0,294825.0,247399.0,305528.0,326611.0,378374.0,330233.0,351111.0,342803.0,332767.0,278396.0,356958.0,349872.0,345459.0,341128.0,337032.0,329780.0,393657.0,487038.0
