data_fim,trimestre,cd_conta,ds_conta,valor_mil
2015-12-31,T4,3.01,Receita de Venda de Bens e/ou Serviços,534045.0
2015-12-31,T4,3.02,Custo dos Bens e/ou Serviços Vendidos,-236684.0
2015-12-31,T4,3.03,Resultado Bruto,297361.0
2015-12-31,T4,3.04,Despesas/Receitas Operacionais,-199459.0
2015-12-31,T4,3.04.01,Despesas com Vendas,-161618.0
2015-12-31,T4,3.04.02,Despesas Gerais e Administrativas,-39882.0
2015-12-31,T4,3.04.03,Perdas pela Não Recuperabilidade de Ativos,0.0
2015-12-31,T4,3.04.04,Outras Receitas Operacionais,2849.0
2015-12-31,T4,3.04.05,Outras Despesas Operacionais,-808.0
2015-12-31,T4,3.04.06,Resultado de Equivalência Patrimonial,0.0
2015-12-31,T4,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,97902.0
2015-12-31,T4,3.06,Resultado Financeiro,-10635.0
2015-12-31,T4,3.06.01,Receitas Financeiras,26872.0
2015-12-31,T4,3.06.02,Despesas Financeiras,-37507.0
2015-12-31,T4,3.07,Resultado Antes dos Tributos sobre o Lucro,87267.0
2015-12-31,T4,3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-18060.0
2015-12-31,T4,3.08.01,Corrente,-25237.0
2015-12-31,T4,3.08.02,Diferido,7177.0
2015-12-31,T4,3.09,Resultado Líquido das Operações Continuadas,69207.0
2015-12-31,T4,3.10,Resultado Líquido de Operações Descontinuadas,0.0
2015-12-31,T4,3.10.01,Lucro/Prejuízo Líquido das Operações Descontinuadas,0.0
2015-12-31,T4,3.10.02,Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas,0.0
2015-12-31,T4,3.11,Lucro/Prejuízo Consolidado do Período,69207.0
2015-12-31,T4,3.11.01,Atribuído a Sócios da Empresa Controladora,69192.0
2015-12-31,T4,3.11.02,Atribuído a Sócios Não Controladores,15.0
2015-12-31,T4,3.99,Lucro por Ação - (Reais / Ação),0.0
2015-12-31,T4,3.99.01,Lucro Básico por Ação,0.0
2015-12-31,T4,3.99.01.01,ON,1.28271
2015-12-31,T4,3.99.02,Lucro Diluído por Ação,0.0
2015-12-31,T4,3.99.02.01,ON,1.28105
2016-12-31,T4,3.01,Receita de Venda de Bens e/ou Serviços,456587.0
2016-12-31,T4,3.02,Custo dos Bens e/ou Serviços Vendidos,-230504.0
2016-12-31,T4,3.03,Resultado Bruto,226083.0
2016-12-31,T4,3.04,Despesas/Receitas Operacionais,-217233.0
2016-12-31,T4,3.04.01,Despesas com Vendas,-171656.0
2016-12-31,T4,3.04.02,Despesas Gerais e Administrativas,-43058.0
2016-12-31,T4,3.04.03,Perdas pela Não Recuperabilidade de Ativos,0.0
2016-12-31,T4,3.04.04,Outras Receitas Operacionais,21.0
2016-12-31,T4,3.04.05,Outras Despesas Operacionais,-2540.0
2016-12-31,T4,3.04.06,Resultado de Equivalência Patrimonial,0.0
2016-12-31,T4,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,8850.0
2016-12-31,T4,3.06,Resultado Financeiro,-22200.0
2016-12-31,T4,3.06.01,Receitas Financeiras,29620.0
2016-12-31,T4,3.06.02,Despesas Financeiras,-51820.0
2016-12-31,T4,3.07,Resultado Antes dos Tributos sobre o Lucro,-13350.0
2016-12-31,T4,3.08,Imposto de Renda e Contribuição Social sobre o Lucro,7999.0
2016-12-31,T4,3.08.01,Corrente,-3604.0
2016-12-31,T4,3.08.02,Diferido,11603.0
2016-12-31,T4,3.09,Resultado Líquido das Operações Continuadas,-5351.0
2016-12-31,T4,3.10,Resultado Líquido de Operações Descontinuadas,0.0
2016-12-31,T4,3.10.01,Lucro/Prejuízo Líquido das Operações Descontinuadas,0.0
2016-12-31,T4,3.10.02,Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas,0.0
2016-12-31,T4,3.11,Lucro/Prejuízo Consolidado do Período,-5351.0
2016-12-31,T4,3.11.01,Atribuído a Sócios da Empresa Controladora,-5206.0
2016-12-31,T4,3.11.02,Atribuído a Sócios Não Controladores,-145.0
2016-12-31,T4,3.99,Lucro por Ação - (Reais / Ação),0.0
2016-12-31,T4,3.99.01,Lucro Básico por Ação,0.0
2016-12-31,T4,3.99.01.01,ON,-0.0965
2016-12-31,T4,3.99.02,Lucro Diluído por Ação,0.0
2016-12-31,T4,3.99.02.01,ON,-0.09644
2017-12-31,T4,3.01,Receita de Venda de Bens e/ou Serviços,505281.0
2017-12-31,T4,3.02,Custo dos Bens e/ou Serviços Vendidos,-238712.0
2017-12-31,T4,3.03,Resultado Bruto,266569.0
2017-12-31,T4,3.04,Despesas/Receitas Operacionais,-200218.0
2017-12-31,T4,3.04.01,Despesas com Vendas,-155634.0
2017-12-31,T4,3.04.02,Despesas Gerais e Administrativas,-39872.0
2017-12-31,T4,3.04.03,Perdas pela Não Recuperabilidade de Ativos,0.0
2017-12-31,T4,3.04.04,Outras Receitas Operacionais,2819.0
2017-12-31,T4,3.04.05,Outras Despesas Operacionais,-7531.0
2017-12-31,T4,3.04.06,Resultado de Equivalência Patrimonial,0.0
2017-12-31,T4,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,66351.0
2017-12-31,T4,3.06,Resultado Financeiro,-16793.0
2017-12-31,T4,3.06.01,Receitas Financeiras,10022.0
2017-12-31,T4,3.06.02,Despesas Financeiras,-26815.0
2017-12-31,T4,3.07,Resultado Antes dos Tributos sobre o Lucro,49558.0
2017-12-31,T4,3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-11657.0
2017-12-31,T4,3.08.01,Corrente,-6973.0
2017-12-31,T4,3.08.02,Diferido,-4684.0
2017-12-31,T4,3.09,Resultado Líquido das Operações Continuadas,37901.0
2017-12-31,T4,3.10,Resultado Líquido de Operações Descontinuadas,0.0
2017-12-31,T4,3.10.01,Lucro/Prejuízo Líquido das Operações Descontinuadas,0.0
2017-12-31,T4,3.10.02,Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas,0.0
2017-12-31,T4,3.11,Lucro/Prejuízo Consolidado do Período,37901.0
2017-12-31,T4,3.11.01,Atribuído a Sócios da Empresa Controladora,38108.0
2017-12-31,T4,3.11.02,Atribuído a Sócios Não Controladores,-207.0
2017-12-31,T4,3.99,Lucro por Ação - (Reais / Ação),0.0
2017-12-31,T4,3.99.01,Lucro Básico por Ação,0.0
2017-12-31,T4,3.99.01.01,ON,0.70637
2017-12-31,T4,3.99.02,Lucro Diluído por Ação,0.0
2017-12-31,T4,3.99.02.01,ON,0.70969
2018-12-31,T4,3.01,Receita de Venda de Bens e/ou Serviços,589215.0
2018-12-31,T4,3.02,Custo dos Bens e/ou Serviços Vendidos,-265085.0
2018-12-31,T4,3.03,Resultado Bruto,324130.0
2018-12-31,T4,3.04,Despesas/Receitas Operacionais,-226156.0
2018-12-31,T4,3.04.01,Despesas com Vendas,-173528.0
2018-12-31,T4,3.04.02,Despesas Gerais e Administrativas,-43259.0
2018-12-31,T4,3.04.03,Perdas pela Não Recuperabilidade de Ativos,0.0
2018-12-31,T4,3.04.04,Outras Receitas Operacionais,1351.0
