data_fim,trimestre,cd_conta,ds_conta,valor_mil
2019-12-31,T4,6.01,Caixa Líquido Atividades Operacionais,45696.0
2019-12-31,T4,6.01.01,Caixa Gerado nas Operações,87341.0
2019-12-31,T4,6.01.01.01,Prejuízo do período,9616.0
2019-12-31,T4,6.01.01.02,Depreciação e amortização,62941.0
2019-12-31,T4,6.01.01.03,Imposto de renda e contribuição social reconhecido no resultado,3118.0
2019-12-31,T4,6.01.01.04,Resultado da equivalência patrimonial,-4685.0
2019-12-31,T4,6.01.01.05,"Despesas e receitas com juros e variações cambiais, líquidas",28050.0
2019-12-31,T4,6.01.01.06,Provisão para riscos,1483.0
2019-12-31,T4,6.01.01.07,Ganho na venda de imobilizado,-4174.0
2019-12-31,T4,6.01.01.09,Outros ajustes ao lucro,-6741.0
2019-12-31,T4,6.01.01.20,Ganho na remensuração de investimento detido anteriormente e na compra vantajosa,-2267.0
2019-12-31,T4,6.01.02,Variações nos Ativos e Passivos,-22789.0
2019-12-31,T4,6.01.02.01,Clientes,-23703.0
2019-12-31,T4,6.01.02.02,Estoque,-568.0
2019-12-31,T4,6.01.02.03,Tributos a recuperar,-4337.0
2019-12-31,T4,6.01.02.04,Depósitos judiciais,-342.0
2019-12-31,T4,6.01.02.05,Outros valores a receber,-2996.0
2019-12-31,T4,6.01.02.06,Obrigações com pessoal,10808.0
2019-12-31,T4,6.01.02.07,Fornecedores,5939.0
2019-12-31,T4,6.01.02.08,Tributos a recolher,-8363.0
2019-12-31,T4,6.01.02.09,Outras obrigações,773.0
2019-12-31,T4,6.01.03,Outros,-18856.0
2019-12-31,T4,6.01.03.01,Juros pagos - empréstimos e financiamentos,-13151.0
2019-12-31,T4,6.01.03.02,Juros pagos - arrendamentos,-3772.0
2019-12-31,T4,6.01.03.03,IRPJ e CSLL pagos,-1933.0
2019-12-31,T4,6.01.03.20,"Pagamentos de riscos trabalhistas, cíveis",0.0
2019-12-31,T4,6.02,Caixa Líquido Atividades de Investimento,-69840.0
2019-12-31,T4,6.02.02,Empréstimos concedidos às partes relacionadas,-131.0
2019-12-31,T4,6.02.03,Empréstimos liquidados pelas partes relacionadas,0.0
2019-12-31,T4,6.02.04,Aplicação/resgate em títulos e valores mobiliários,-1495.0
2019-12-31,T4,6.02.05,Adiantamentos concedidos a terceiros,0.0
2019-12-31,T4,6.02.06,Recebimento de dividendos,549.0
2019-12-31,T4,6.02.07,Aquisição de imobilizado,-80049.0
2019-12-31,T4,6.02.08,Aquisição de intangível,-595.0
2019-12-31,T4,6.02.09,Caixa recebido na venda de imobilizado,4907.0
2019-12-31,T4,6.02.10,"Aquisição de investimentos, líquido do caixa recebido ",6974.0
