cd_conta,conta,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
1,Ativo Total,672395.0,662880.0,675515.0,643375.0,688793.0,693057.0,733945.0,753713.0,796335.0,789225.0,796788.0,780950.0,817562.0,878220.0,908581.0,895309.0,979936.0,937757.0,932693.0,955559.0,1131042.0,1178437.0,1220076.0,1369593.0,1495559.0,1733605.0,1988545.0,1992069.0,2072292.0,2013334.0,2061971.0,1899576.0,1846446.0,1752107.0,1707037.0,1564782.0,1595760.0,1628698.0,1779349.0,1617429.0,1612924.0,1517221.0,1517743.0
1.01,Ativo Circulante,486488.0,477212.0,486490.0,439320.0,479478.0,481383.0,517340.0,536143.0,575759.0,568663.0,573893.0,556924.0,593897.0,655683.0,685644.0,673304.0,757719.0,715357.0,706235.0,707312.0,874265.0,922429.0,965303.0,1112757.0,1238822.0,1473655.0,1727170.0,1722880.0,1797418.0,1723474.0,1740263.0,1575443.0,1517580.0,1361576.0,1308112.0,1163978.0,1189660.0,1213058.0,1359442.0,1204075.0,1189129.0,1093845.0,1095779.0
1.01.01,Caixa e Equivalentes de Caixa,3478.0,4187.0,2546.0,6710.0,5217.0,3944.0,5149.0,10544.0,2793.0,7248.0,6575.0,11137.0,10082.0,31674.0,26530.0,25682.0,24551.0,18641.0,29492.0,22473.0,45594.0,34182.0,40027.0,34850.0,27182.0,46631.0,57456.0,65247.0,70643.0,49881.0,25047.0,13098.0,8522.0,32010.0,13574.0,9445.0,5135.0,12251.0,10695.0,25071.0,12080.0,28111.0,22251.0
1.01.02,Aplicações Financeiras,174221.0,192713.0,207029.0,200063.0,214149.0,217377.0,222920.0,221167.0,219043.0,238682.0,227490.0,202881.0,202503.0,209996.0,199513.0,183333.0,242488.0,216624.0,234111.0,294151.0,263529.0,342512.0,313251.0,395726.0,338380.0,340075.0,327411.0,538983.0,548892.0,555758.0,632093.0,585622.0,620266.0,549542.0,541856.0,424224.0,352501.0,379662.0,533890.0,435216.0,404699.0,365553.0,366330.0
1.01.03,Contas a Receber,144763.0,124380.0,131898.0,93767.0,114777.0,129233.0,132363.0,112748.0,152126.0,137875.0,153691.0,146025.0,182618.0,176670.0,196569.0,160359.0,204343.0,176252.0,178868.0,155071.0,195474.0,186997.0,277433.0,287182.0,334991.0,389491.0,382249.0,317618.0,377432.0,328559.0,339006.0,239946.0,293676.0,280985.0,304633.0,262539.0,300773.0,325759.0,361981.0,282204.0,333775.0,297736.0,304272.0
1.01.04,Estoques,117892.0,111228.0,98854.0,92949.0,97118.0,83971.0,102642.0,127377.0,136563.0,123848.0,124452.0,133895.0,137848.0,134782.0,151498.0,178588.0,169031.0,182792.0,152395.0,151235.0,160281.0,187063.0,167453.0,226861.0,349852.0,500324.0,621648.0,519726.0,497268.0,484744.0,432076.0,411092.0,302701.0,264242.0,241154.0,246719.0,306212.0,298028.0,265813.0,294669.0,300847.0,283349.0,291694.0
1.01.05,Ativos Biológicos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.01.06,Tributos a Recuperar,36925.0,33883.0,31515.0,30248.0,32570.0,31923.0,38703.0,48098.0,48584.0,41377.0,40620.0,41150.0,37836.0,79042.0,84972.0,94876.0,85936.0,88402.0,75119.0,74175.0,201157.0,165633.0,157835.0,159666.0,174101.0,183869.0,312872.0,261791.0,265285.0,295822.0,299657.0,309738.0,271979.0,199698.0,185698.0,179742.0,188234.0,169995.0,163379.0,151050.0,130265.0,112978.0,105694.0
1.01.07,Despesas Antecipadas,635.0,1286.0,988.0,249.0,214.0,368.0,245.0,210.0,184.0,439.0,187.0,263.0,294.0,366.0,406.0,213.0,396.0,260.0,445.0,150.0,189.0,238.0,198.0,149.0,296.0,250.0,186.0,202.0,614.0,512.0,461.0,384.0,349.0,955.0,625.0,415.0,603.0,942.0,498.0,457.0,620.0,786.0,1268.0
1.01.08,Outros Ativos Circulantes,8574.0,9535.0,13660.0,15334.0,15433.0,14567.0,15318.0,15999.0,16466.0,19194.0,20878.0,21573.0,22716.0,23153.0,26156.0,30253.0,30974.0,32386.0,35805.0,10057.0,8041.0,5804.0,9106.0,8323.0,14020.0,13015.0,25348.0,19313.0,37284.0,8198.0,11923.0,15563.0,20087.0,34144.0,20572.0,40894.0,36202.0,26421.0,23186.0,15408.0,6843.0,5332.0,4270.0
1.02,Ativo Não Circulante,185907.0,185668.0,189025.0,204055.0,209315.0,211674.0,216605.0,217570.0,220576.0,220562.0,222895.0,224026.0,223665.0,222537.0,222937.0,222005.0,222217.0,222400.0,226458.0,248247.0,256777.0,256008.0,254773.0,256836.0,256737.0,259950.0,261375.0,269189.0,274874.0,289860.0,321708.0,324133.0,328866.0,390531.0,398925.0,400804.0,406100.0,415640.0,419907.0,413354.0,423795.0,423376.0,421964.0
1.02.01,Ativo Realizável a Longo Prazo,8533.0,8605.0,8165.0,8206.0,8417.0,8773.0,9593.0,9767.0,10009.0,10592.0,11139.0,10950.0,10724.0,9801.0,9543.0,9346.0,9511.0,10215.0,13260.0,13837.0,12587.0,13363.0,13240.0,12425.0,12092.0,11699.0,13171.0,15450.0,18041.0,17381.0,18436.0,15250.0,14984.0,68920.0,68077.0,65764.0,65827.0,66632.0,82408.0,65555.0,67075.0,66556.0,66464.0
1.02.02,Investimentos,86.0,86.0,86.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,15789.0,22515.0,22515.0,22515.0,22515.0,22515.0,22515.0,22515.0,22515.0,22515.0,22515.0,22515.0,22515.0,22515.0,22515.0,22515.0,22507.0,22507.0,22507.0,6752.0,6752.0,6752.0,6752.0,6752.0
1.02.03,Imobilizado,174572.0,174246.0,178057.0,193161.0,197902.0,199898.0,204017.0,204581.0,207352.0,206792.0,208612.0,209869.0,209785.0,209020.0,209606.0,208809.0,208856.0,208362.0,209415.0,214822.0,217918.0,216370.0,215225.0,218006.0,218255.0,221839.0,221729.0,227145.0,230190.0,245712.0,276464.0,281939.0,286865.0,294562.0,303743.0,307820.0,313053.0,321817.0,326080.0,336335.0,345290.0,345381.0,344049.0
1.02.04,Intangível,2716.0,2731.0,2717.0,2662.0,2970.0,2977.0,2969.0,3196.0,3189.0,3152.0,3118.0,3181.0,3130.0,3690.0,3762.0,3824.0,3824.0,3797.0,3757.0,3799.0,3757.0,3760.0,3793.0,3890.0,3875.0,3897.0,3960.0,4079.0,4128.0,4252.0,4293.0,4429.0,4502.0,4534.0,4590.0,4713.0,4713.0,4684.0,4667.0,4712.0,4678.0,4687.0,4699.0
