data_fim,trimestre,cd_conta,ds_conta,valor_mil
2015-03-31,T1,3.01,Receita de Venda de Bens e/ou Serviços,181302.0
2015-03-31,T1,3.02,Custo dos Bens e/ou Serviços Vendidos,-161331.0
2015-03-31,T1,3.03,Resultado Bruto,19971.0
2015-03-31,T1,3.04,Despesas/Receitas Operacionais,-12931.0
2015-03-31,T1,3.04.01,Despesas com Vendas,-7175.0
2015-03-31,T1,3.04.02,Despesas Gerais e Administrativas,-6043.0
2015-03-31,T1,3.04.03,Perdas pela Não Recuperabilidade de Ativos,0.0
2015-03-31,T1,3.04.04,Outras Receitas Operacionais,455.0
2015-03-31,T1,3.04.05,Outras Despesas Operacionais,-168.0
2015-03-31,T1,3.04.06,Resultado de Equivalência Patrimonial,0.0
2015-03-31,T1,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,7040.0
2015-03-31,T1,3.06,Resultado Financeiro,-1375.0
2015-03-31,T1,3.06.01,Receitas Financeiras,7411.0
2015-03-31,T1,3.06.02,Despesas Financeiras,-8786.0
2015-03-31,T1,3.07,Resultado Antes dos Tributos sobre o Lucro,5665.0
2015-03-31,T1,3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-1830.0
2015-03-31,T1,3.08.01,Corrente,-1851.0
2015-03-31,T1,3.08.02,Diferido,21.0
2015-03-31,T1,3.09,Resultado Líquido das Operações Continuadas,3835.0
2015-03-31,T1,3.10,Resultado Líquido de Operações Descontinuadas,0.0
2015-03-31,T1,3.10.01,Lucro/Prejuízo Líquido das Operações Descontinuadas,0.0
2015-03-31,T1,3.10.02,Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas,0.0
2015-03-31,T1,3.11,Lucro/Prejuízo Consolidado do Período,3835.0
2015-03-31,T1,3.11.01,Atribuído a Sócios da Empresa Controladora,3835.0
2015-03-31,T1,3.11.02,Atribuído a Sócios Não Controladores,0.0
2015-03-31,T1,3.99,Lucro por Ação - (Reais / Ação),0.0
2015-03-31,T1,3.99.01,Lucro Básico por Ação,0.0
2015-03-31,T1,3.99.01.01,ON,0.235099
2015-03-31,T1,3.99.01.02,PN,0.235099
2015-03-31,T1,3.99.02,Lucro Diluído por Ação,0.0
2015-06-30,T2,3.01,Receita de Venda de Bens e/ou Serviços,155016.0
2015-06-30,T2,3.02,Custo dos Bens e/ou Serviços Vendidos,-136844.0
2015-06-30,T2,3.03,Resultado Bruto,18172.0
2015-06-30,T2,3.04,Despesas/Receitas Operacionais,-12826.0
2015-06-30,T2,3.04.01,Despesas com Vendas,-7332.0
2015-06-30,T2,3.04.02,Despesas Gerais e Administrativas,-6215.0
2015-06-30,T2,3.04.03,Perdas pela Não Recuperabilidade de Ativos,0.0
2015-06-30,T2,3.04.04,Outras Receitas Operacionais,721.0
2015-06-30,T2,3.04.05,Outras Despesas Operacionais,0.0
2015-06-30,T2,3.04.06,Resultado de Equivalência Patrimonial,0.0
2015-06-30,T2,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,5346.0
2015-06-30,T2,3.06,Resultado Financeiro,-1839.0
2015-06-30,T2,3.06.01,Receitas Financeiras,8519.0
2015-06-30,T2,3.06.02,Despesas Financeiras,-10358.0
2015-06-30,T2,3.07,Resultado Antes dos Tributos sobre o Lucro,3507.0
2015-06-30,T2,3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-1351.0
2015-06-30,T2,3.08.01,Corrente,-1335.0
2015-06-30,T2,3.08.02,Diferido,-16.0
2015-06-30,T2,3.09,Resultado Líquido das Operações Continuadas,2156.0
2015-06-30,T2,3.10,Resultado Líquido de Operações Descontinuadas,0.0
2015-06-30,T2,3.10.01,Lucro/Prejuízo Líquido das Operações Descontinuadas,0.0
2015-06-30,T2,3.10.02,Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas,0.0
2015-06-30,T2,3.11,Lucro/Prejuízo Consolidado do Período,2156.0
2015-06-30,T2,3.11.01,Atribuído a Sócios da Empresa Controladora,2156.0
2015-06-30,T2,3.11.02,Atribuído a Sócios Não Controladores,0.0
2015-06-30,T2,3.99,Lucro por Ação - (Reais / Ação),0.0
2015-06-30,T2,3.99.01,Lucro Básico por Ação,0.0
2015-06-30,T2,3.99.01.01,ON,0.132186
2015-06-30,T2,3.99.01.02,PN,0.132186
2015-06-30,T2,3.99.02,Lucro Diluído por Ação,0.0
