data_fim,trimestre,cd_conta,ds_conta,valor_mil
2010-12-31,T4,1,Ativo Total,29932748.0
2010-12-31,T4,1.01,Ativo Circulante,14716365.0
2010-12-31,T4,1.01.01,Caixa e Equivalentes de Caixa,3817994.0
2010-12-31,T4,1.01.02,Aplicações Financeiras,608002.0
2010-12-31,T4,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo,608002.0
2010-12-31,T4,1.01.02.01.01,Títulos para Negociação,608002.0
2010-12-31,T4,1.01.02.01.02,Títulos Disponíveis para Venda,0.0
2010-12-31,T4,1.01.02.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,0.0
2010-12-31,T4,1.01.02.02.01,Títulos Mantidos até o Vencimento,0.0
2010-12-31,T4,1.01.03,Contas a Receber,4047234.0
2010-12-31,T4,1.01.03.01,Clientes,4047234.0
2010-12-31,T4,1.01.03.02,Outras Contas a Receber,0.0
2010-12-31,T4,1.01.04,Estoques,4823768.0
2010-12-31,T4,1.01.05,Ativos Biológicos,0.0
2010-12-31,T4,1.01.06,Tributos a Recuperar,888355.0
2010-12-31,T4,1.01.06.01,Tributos Correntes a Recuperar,888355.0
2010-12-31,T4,1.01.07,Despesas Antecipadas,436985.0
2010-12-31,T4,1.01.08,Outros Ativos Circulantes,94027.0
2010-12-31,T4,1.01.08.01,Ativos Não-Correntes a Venda,0.0
2010-12-31,T4,1.01.08.02,Ativos de Operações Descontinuadas,0.0
2010-12-31,T4,1.01.08.03,Outros,94027.0
2010-12-31,T4,1.02,Ativo Não Circulante,15216383.0
2010-12-31,T4,1.02.01,Ativo Realizável a Longo Prazo,3398483.0
2010-12-31,T4,1.02.01.01,Aplicações Financeiras Avaliadas a Valor Justo,0.0
2010-12-31,T4,1.02.01.01.01,Títulos para Negociação,0.0
2010-12-31,T4,1.02.01.01.02,Títulos Disponíveis para Venda,0.0
2010-12-31,T4,1.02.01.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,0.0
2010-12-31,T4,1.02.01.02.01,Títulos Mantidos até o Vencimento,0.0
2010-12-31,T4,1.02.01.03,Contas a Receber,611630.0
2010-12-31,T4,1.02.01.03.01,Clientes,611630.0
2010-12-31,T4,1.02.01.03.02,Outras Contas a Receber,0.0
2010-12-31,T4,1.02.01.04,Estoques,0.0
2010-12-31,T4,1.02.01.05,Ativos Biológicos,0.0
2010-12-31,T4,1.02.01.06,Tributos Diferidos,1392509.0
2010-12-31,T4,1.02.01.06.01,Imposto de Renda e Contribuição Social Diferidos,1392509.0
2010-12-31,T4,1.02.01.07,Despesas Antecipadas,54204.0
2010-12-31,T4,1.02.01.08,Créditos com Partes Relacionadas,176241.0
2010-12-31,T4,1.02.01.08.01,Créditos com Coligadas,0.0
2010-12-31,T4,1.02.01.08.03,Créditos com Controladores,0.0
2010-12-31,T4,1.02.01.08.04,Créditos com Outras Partes Relacionadas,176241.0
2010-12-31,T4,1.02.01.09,Outros Ativos Não Circulantes,1163899.0
2010-12-31,T4,1.02.01.09.01,Ativos Não-Correntes a Venda,0.0
2010-12-31,T4,1.02.01.09.02,Ativos de Operações Descontinuadas,0.0
2010-12-31,T4,1.02.01.09.03,Fundo de Inv. em Direitos Creditórios,0.0
2010-12-31,T4,1.02.01.09.04,Impostos a Recuperar,213506.0
2010-12-31,T4,1.02.01.09.05,Depósitos para Recursos Judiciais,534389.0
2010-12-31,T4,1.02.01.09.06,Outros,0.0
2010-12-31,T4,1.02.01.09.07,Valor Justo Opção Bartira,416004.0
2010-12-31,T4,1.02.02,Investimentos,232540.0
2010-12-31,T4,1.02.02.01,Participações Societárias,232540.0
2010-12-31,T4,1.02.02.01.01,Participações em Coligadas,0.0
2010-12-31,T4,1.02.02.01.04,Outras Participações Societárias,232540.0
