cd_conta,conta,2010T4,2011T1,2011T2,2011T3,2011T4,2012T1,2012T2,2012T3,2012T4,2013T1,2013T2,2013T3,2013T4,2014T1,2014T2,2014T3,2014T4,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
1,Ativo Total,29676701.000,30228825.000,30423371.000,30952707.000,33694150.000,32030167.000,33955039.000,34757517.000,34832108.000,34237982.000,33402053.000,33575523.000,38008352.000,35957879.000,35462142.000,39228113.000,45345000.000,42968000.000,41465000.000,42268000.000,47241000.000,43484000.000,42034000.000,41956000.000,45217000.000,41392000.000,41011000.000,41737000.000,47707000.000,45416000.000,46493000.000,47877000.000,60374000.000,57672000.000,32866000.000,42248000.000,58475000.000,59601000.000,63086000.000,63240000.000,53295000.000,50034000.000,47515000.000,48695000.000,49443000.000,44758000.000,46056000.000,43391000.000,43839000.000,43454000.000,44398000.000,22685000.000,22050000.000,20862000.000,20041000.000,19674000.000,19703000.000,19371000.000,18363000.000,18148000.000
1.01,Ativo Circulante,14702328.000,14881928.000,15295036.000,15438110.000,17192538.000,15465684.000,16757631.000,17183976.000,16680302.000,15886152.000,14909748.000,14849309.000,18609735.000,16381858.000,15669379.000,18329165.000,24021000.000,21197000.000,19375000.000,19622000.000,24960000.000,21076000.000,19448000.000,19918000.000,31651000.000,27970000.000,26968000.000,27320000.000,33016000.000,30611000.000,31238000.000,31876000.000,40140000.000,36919000.000,12002000.000,20898000.000,19968000.000,20641000.000,21155000.000,20819000.000,17641000.000,13651000.000,14287000.000,14256000.000,17872000.000,14035000.000,15392000.000,13845000.000,28559000.000,27985000.000,28951000.000,7936000.000,7523000.000,6428000.000,6019000.000,5876000.000,6116000.000,5660000.000,5218000.000,4828000.000
1.01.01,Caixa e Equivalentes de Caixa,3817994.000,3587926.000,3963067.000,3574539.000,4969955.000,3745811.000,5473383.000,5550551.000,7086251.000,6002374.000,5037251.000,4780019.000,8367176.000,5350459.000,5355930.000,6601101.000,11149000.000,6145000.000,6811000.000,5414000.000,11015000.000,4448000.000,3716000.000,3385000.000,5112000.000,1683000.000,2366000.000,1266000.000,3792000.000,1701000.000,3054000.000,2625000.000,4369000.000,2359000.000,4705000.000,12656000.000,7954000.000,6152000.000,7736000.000,7283000.000,8711000.000,3891000.000,4925000.000,4526000.000,8274000.000,3610000.000,3918000.000,3860000.000,3751000.000,3516000.000,3217000.000,3029000.000,2971000.000,2832000.000,2443000.000,2289000.000,2631000.000,2161000.000,1769000.000,1348000.000
1.01.02,Aplicações Financeiras,600613.000,367229.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,23111.000,23270.000,24453.000,23622.000,22990.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,711000.000,777000.000,17000.000,14000.000,15000.000,15000.000,16000.000,16000.000,20000.000
1.01.03,Contas a Receber,4346475.000,4243157.000,4909571.000,5127868.000,5708122.000,5274634.000,5269323.000,5493694.000,2867556.000,3144168.000,2728465.000,2577659.000,2743033.000,2645119.000,2696403.000,3161616.000,3434000.000,4818000.000,2939000.000,4136000.000,3585000.000,5659000.000,4655000.000,4149000.000,669000.000,869000.000,598000.000,1144000.000,885000.000,1181000.000,553000.000,1200000.000,686000.000,1072000.000,665000.000,722000.000,1108000.000,1291000.000,1109000.000,1082000.000,1051000.000,916000.000,857000.000,970000.000,1125000.000,1031000.000,1448000.000,1096000.000,696000.000,588000.000,761000.000,613000.000,573000.000,499000.000,398000.000,374000.000,455000.000,379000.000,477000.000,460000.000
1.01.04,Estoques,4823768.000,4848072.000,4816465.000,5097065.000,5552769.000,5177976.000,4939249.000,5184539.000,5759648.000,5675913.000,5895910.000,6251715.000,6381544.000,7166107.000,6463993.000,7454993.000,8364000.000,8902000.000,8212000.000,8617000.000,8965000.000,9161000.000,8943000.000,7864000.000,4641000.000,4578000.000,4427000.000,4634000.000,4822000.000,4758000.000,5136000.000,5540000.000,5909000.000,5732000.000,5692000.000,6046000.000,8631000.000,9701000.000,9138000.000,9870000.000,6536000.000,6775000.000,6212000.000,6585000.000,5257000.000,4882000.000,5346000.000,5539000.000,2046000.000,2079000.000,1965000.000,1992000.000,1952000.000,1883000.000,1996000.000,2011000.000,2014000.000,2114000.000,1929000.000,1905000.000
1.01.05,Ativos Biológicos,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.01.06,Tributos a Recuperar,888355.000,1100986.000,1347428.000,1411623.000,832847.000,1031675.000,889880.000,802197.000,871021.000,834398.000,957734.000,976042.000,907983.000,760494.000,759836.000,750042.000,807000.000,863000.000,987000.000,1100000.000,1080000.000,1229000.000,1547000.000,1563000.000,674000.000,617000.000,449000.000,395000.000,596000.000,573000.000,532000.000,363000.000,679000.000,648000.000,615000.000,909000.000,1692000.000,1482000.000,1742000.000,1791000.000,983000.000,1538000.000,1738000.000,1676000.000,1743000.000,2084000.000,1999000.000,1817000.000,1114000.000,1058000.000,949000.000,1416000.000,1078000.000,605000.000,688000.000,720000.000,647000.000,510000.000,561000.000,669000.000
1.01.07,Despesas Antecipadas,225123.000,681590.000,211292.000,183965.000,105794.000,214698.000,140940.000,114047.000,66792.000,190224.000,178515.000,155239.000,92279.000,288787.000,226412.000,230951.000,130000.000,257000.000,255000.000,231000.000,157000.000,432000.000,379000.000,244000.000,97000.000,247000.000,196000.000,165000.000,112000.000,231000.000,183000.000,174000.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.01.08,Outros Ativos Circulantes,0.000,52968.000,47213.000,43050.000,23051.000,20890.000,44856.000,38948.000,29034.000,39075.000,88762.000,85365.000,93267.000,147270.000,143815.000,130462.000,137000.000,212000.000,171000.000,124000.000,158000.000,147000.000,208000.000,2713000.000,20458000.000,19976000.000,18932000.000,19716000.000,22809000.000,22167000.000,21780000.000,21974000.000,28497000.000,27108000.000,325000.000,565000.000,583000.000,2015000.000,1430000.000,793000.000,360000.000,531000.000,555000.000,499000.000,1473000.000,2428000.000,2681000.000,1533000.000,20952000.000,20744000.000,22059000.000,175000.000,172000.000,592000.000,480000.000,467000.000,354000.000,480000.000,466000.000,426000.000
