data_fim,trimestre,cd_conta,ds_conta,valor_mil
2010-12-31,T4,2,Passivo Total,29676701.0
2010-12-31,T4,2.01,Passivo Circulante,10815926.0
2010-12-31,T4,2.01.01,Obrigações Sociais e Trabalhistas,589186.0
2010-12-31,T4,2.01.01.01,Obrigações Sociais,120825.0
2010-12-31,T4,2.01.01.02,Obrigações Trabalhistas,468361.0
2010-12-31,T4,2.01.02,Fornecedores,5306349.0
2010-12-31,T4,2.01.02.01,Fornecedores Nacionais,5190645.0
2010-12-31,T4,2.01.02.02,Fornecedores Estrangeiros,115704.0
2010-12-31,T4,2.01.03,Obrigações Fiscais,298853.0
2010-12-31,T4,2.01.03.01,Obrigações Fiscais Federais,292658.0
2010-12-31,T4,2.01.03.01.01,Imposto de Renda e Contribuição Social a Pagar,25463.0
2010-12-31,T4,2.01.03.01.02,"Outros (Pis, COFINS, IOF, INSS, Funrural)",267195.0
2010-12-31,T4,2.01.03.02,Obrigações Fiscais Estaduais,0.0
2010-12-31,T4,2.01.03.03,Obrigações Fiscais Municipais,6195.0
2010-12-31,T4,2.01.04,Empréstimos e Financiamentos,2977505.0
2010-12-31,T4,2.01.04.01,Empréstimos e Financiamentos,2392363.0
2010-12-31,T4,2.01.04.01.01,Em Moeda Nacional,1935028.0
2010-12-31,T4,2.01.04.01.02,Em Moeda Estrangeira,457335.0
2010-12-31,T4,2.01.04.02,Debêntures,520675.0
2010-12-31,T4,2.01.04.03,Financiamento por Arrendamento Financeiro,64467.0
2010-12-31,T4,2.01.05,Outras Obrigações,1520569.0
2010-12-31,T4,2.01.05.01,Passivos com Partes Relacionadas,274291.0
2010-12-31,T4,2.01.05.01.01,Débitos com Coligadas,69254.0
2010-12-31,T4,2.01.05.01.03,Débitos com Controladores,187128.0
2010-12-31,T4,2.01.05.01.04,Débitos com Outras Partes Relacionadas,17909.0
2010-12-31,T4,2.01.05.02,Outros,1246278.0
2010-12-31,T4,2.01.05.02.01,Dividendos e JCP a Pagar,116287.0
2010-12-31,T4,2.01.05.02.02,Dividendo Mínimo Obrigatório a Pagar,0.0
2010-12-31,T4,2.01.05.02.03,Obrigações por Pagamentos Baseados em Ações,0.0
2010-12-31,T4,2.01.05.02.04,Serviços Públicos,5383.0
2010-12-31,T4,2.01.05.02.05,Aluguéis,68226.0
2010-12-31,T4,2.01.05.02.06,Propaganda,33614.0
2010-12-31,T4,2.01.05.02.07,Repasse a Terceiros,201224.0
2010-12-31,T4,2.01.05.02.08,Financiamento por Compra de Ativos,14211.0
2010-12-31,T4,2.01.05.02.09,Demais Contas a Pagar,509849.0
2010-12-31,T4,2.01.05.02.10,Aquisição de Sociedades,297484.0
2010-12-31,T4,2.01.06,Provisões,123464.0
2010-12-31,T4,2.01.06.01,Provisões Fiscais Previdenciárias Trabalhistas e Cíveis,0.0
2010-12-31,T4,2.01.06.01.01,Provisões Fiscais,0.0
2010-12-31,T4,2.01.06.01.02,Provisões Previdenciárias e Trabalhistas,0.0
2010-12-31,T4,2.01.06.01.03,Provisões para Benefícios a Empregados,0.0
2010-12-31,T4,2.01.06.01.04,Provisões Cíveis,0.0
2010-12-31,T4,2.01.06.02,Outras Provisões,123464.0
2010-12-31,T4,2.01.06.02.01,Provisões para Garantias,0.0
2010-12-31,T4,2.01.06.02.02,Provisões para Reestruturação,6372.0
2010-12-31,T4,2.01.06.02.03,Provisões para Passivos Ambientais e de Desativação,0.0
2010-12-31,T4,2.01.06.02.04,Imposto de Renda e Contribuição Social,0.0
2010-12-31,T4,2.01.06.02.05,Impostos Parcelados,54071.0
2010-12-31,T4,2.01.06.02.06,Receitas Antecipadas,63021.0
2010-12-31,T4,2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.0
2010-12-31,T4,2.01.07.01,Passivos sobre Ativos Não-Correntes a Venda,0.0
2010-12-31,T4,2.01.07.02,Passivos sobre Ativos de Operações Descontinuadas,0.0
2010-12-31,T4,2.02,Passivo Não Circulante,9277005.0
2010-12-31,T4,2.02.01,Empréstimos e Financiamentos,5591936.0
2010-12-31,T4,2.02.01.01,Empréstimos e Financiamentos,4423366.0
2010-12-31,T4,2.02.01.01.01,Em Moeda Nacional,3744908.0
2010-12-31,T4,2.02.01.01.02,Em Moeda Estrangeira,678458.0
2010-12-31,T4,2.02.01.02,Debêntures,1067472.0
2010-12-31,T4,2.02.01.03,Financiamento por Arrendamento Financeiro,101098.0
2010-12-31,T4,2.02.02,Outras Obrigações,1730509.0
2010-12-31,T4,2.02.02.01,Passivos com Partes Relacionadas,0.0
2010-12-31,T4,2.02.02.01.01,Débitos com Coligadas,0.0
2010-12-31,T4,2.02.02.01.03,Débitos com Controladores,0.0
2010-12-31,T4,2.02.02.01.04,Débitos com Outras Partes Relacionadas,0.0
2010-12-31,T4,2.02.02.02,Outros,1730509.0
2010-12-31,T4,2.02.02.02.01,Obrigações por Pagamentos Baseados em Ações,0.0
2010-12-31,T4,2.02.02.02.02,Adiantamento para Futuro Aumento de Capital,0.0
2010-12-31,T4,2.02.02.02.03,Impostos Parcelados,1377758.0
2010-12-31,T4,2.02.02.02.04,Demais Contas a Pagar,137691.0
2010-12-31,T4,2.02.02.02.05,Aquisição de Sociedades,215060.0
2010-12-31,T4,2.02.03,Tributos Diferidos,1069288.0
2010-12-31,T4,2.02.03.01,Imposto de Renda e Contribuição Social Diferidos,1069288.0
2010-12-31,T4,2.02.04,Provisões,697806.0
2010-12-31,T4,2.02.04.01,Provisões Fiscais Previdenciárias Trabalhistas e Cíveis,697806.0
2010-12-31,T4,2.02.04.01.01,Provisões Fiscais,333286.0
2010-12-31,T4,2.02.04.01.02,Provisões Previdenciárias e Trabalhistas,29433.0
2010-12-31,T4,2.02.04.01.03,Provisões para Benefícios a Empregados,52857.0
2010-12-31,T4,2.02.04.01.04,Provisões Cíveis,282230.0
2010-12-31,T4,2.02.04.02,Outras Provisões,0.0
2010-12-31,T4,2.02.04.02.01,Provisões para Garantias,0.0
2010-12-31,T4,2.02.04.02.02,Provisões para Reestruturação,0.0
2010-12-31,T4,2.02.04.02.03,Provisões para Passivos Ambientais e de Desativação,0.0
2010-12-31,T4,2.02.05,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.0
2010-12-31,T4,2.02.05.01,Passivos sobre Ativos Não-Correntes a Venda,0.0
2010-12-31,T4,2.02.05.02,Passivos sobre Ativos de Operações Descontinuadas,0.0
2010-12-31,T4,2.02.06,Lucros e Receitas a Apropriar,187466.0
2010-12-31,T4,2.02.06.01,Lucros a Apropriar,0.0
2010-12-31,T4,2.02.06.02,Receitas a Apropriar,187466.0
2010-12-31,T4,2.02.06.03,Subvenções de Investimento a Apropriar,0.0
2010-12-31,T4,2.03,Patrimônio Líquido Consolidado,9583770.0
2010-12-31,T4,2.03.01,Capital Social Realizado,5579259.0
2010-12-31,T4,2.03.02,Reservas de Capital,463148.0
2010-12-31,T4,2.03.02.01,Ágio na Emissão de Ações,0.0
2010-12-31,T4,2.03.02.02,Reserva Especial de Ágio na Incorporação,344605.0
2010-12-31,T4,2.03.02.03,Alienação de Bônus de Subscrição,0.0
2010-12-31,T4,2.03.02.04,Opções Outorgadas,111145.0
2010-12-31,T4,2.03.02.05,Ações em Tesouraria,0.0
2010-12-31,T4,2.03.02.06,Adiantamento para Futuro Aumento de Capital,0.0
2010-12-31,T4,2.03.02.07,Reserva de Capital,7398.0
2010-12-31,T4,2.03.03,Reservas de Reavaliação,0.0
2010-12-31,T4,2.03.04,Reservas de Lucros,841784.0
2010-12-31,T4,2.03.04.01,Reserva Legal,212339.0
2010-12-31,T4,2.03.04.02,Reserva Estatutária,0.0
2010-12-31,T4,2.03.04.03,Reserva para Contingências,0.0
2010-12-31,T4,2.03.04.04,Reserva de Lucros a Realizar,0.0
2010-12-31,T4,2.03.04.05,Reserva de Retenção de Lucros,-213158.0
2010-12-31,T4,2.03.04.06,Reserva Especial para Dividendos Não Distribuídos,0.0
2010-12-31,T4,2.03.04.07,Reserva de Incentivos Fiscais,0.0
2010-12-31,T4,2.03.04.08,Dividendo Adicional Proposto,0.0
2010-12-31,T4,2.03.04.09,Ações em Tesouraria,0.0
2010-12-31,T4,2.03.04.10,Reserva para Expansão,842603.0
2010-12-31,T4,2.03.05,Lucros/Prejuízos Acumulados,0.0
2010-12-31,T4,2.03.06,Ajustes de Avaliação Patrimonial,214398.0
2010-12-31,T4,2.03.07,Ajustes Acumulados de Conversão,0.0
2010-12-31,T4,2.03.08,Outros Resultados Abrangentes,0.0
2010-12-31,T4,2.03.09,Participação dos Acionistas Não Controladores,2485181.0
2011-03-31,T1,2,Passivo Total,30228825.0
2011-03-31,T1,2.01,Passivo Circulante,10057987.0
2011-03-31,T1,2.01.01,Obrigações Sociais e Trabalhistas,530471.0
2011-03-31,T1,2.01.01.01,Obrigações Sociais,100127.0
2011-03-31,T1,2.01.01.02,Obrigações Trabalhistas,430344.0
2011-03-31,T1,2.01.02,Fornecedores,4864379.0
2011-03-31,T1,2.01.02.01,Fornecedores Nacionais,4781558.0
2011-03-31,T1,2.01.02.02,Fornecedores Estrangeiros,82821.0
2011-03-31,T1,2.01.03,Obrigações Fiscais,358375.0
2011-03-31,T1,2.01.03.01,Obrigações Fiscais Federais,358375.0
2011-03-31,T1,2.01.03.01.01,Imposto de Renda e Contribuição Social a Pagar,0.0
2011-03-31,T1,2.01.03.01.02,"Outros (Pis, COFINS, IOF, INSS, Funrural)",358375.0
2011-03-31,T1,2.01.03.02,Obrigações Fiscais Estaduais,0.0
2011-03-31,T1,2.01.03.03,Obrigações Fiscais Municipais,0.0
2011-03-31,T1,2.01.04,Empréstimos e Financiamentos,3432539.0
2011-03-31,T1,2.01.04.01,Empréstimos e Financiamentos,2868608.0
2011-03-31,T1,2.01.04.01.01,Em Moeda Nacional,1933838.0
2011-03-31,T1,2.01.04.01.02,Em Moeda Estrangeira,934770.0
2011-03-31,T1,2.01.04.02,Debêntures,505436.0
2011-03-31,T1,2.01.04.03,Financiamento por Arrendamento Financeiro,58495.0
2011-03-31,T1,2.01.05,Outras Obrigações,872223.0
2011-03-31,T1,2.01.05.01,Passivos com Partes Relacionadas,19909.0
2011-03-31,T1,2.01.05.01.01,Débitos com Coligadas,0.0
2011-03-31,T1,2.01.05.01.03,Débitos com Controladores,0.0
2011-03-31,T1,2.01.05.01.04,Débitos com Outras Partes Relacionadas,19909.0
2011-03-31,T1,2.01.05.02,Outros,852314.0
2011-03-31,T1,2.01.05.02.01,Dividendos e JCP a Pagar,116262.0
2011-03-31,T1,2.01.05.02.02,Dividendo Mínimo Obrigatório a Pagar,0.0
2011-03-31,T1,2.01.05.02.03,Obrigações por Pagamentos Baseados em Ações,0.0
2011-03-31,T1,2.01.05.02.04,Serviços Públicos,6095.0
2011-03-31,T1,2.01.05.02.05,Aluguéis,67969.0
2011-03-31,T1,2.01.05.02.06,Propaganda,38329.0
2011-03-31,T1,2.01.05.02.07,Repasse a Terceiros,139558.0
2011-03-31,T1,2.01.05.02.08,Financiamento por Compra de Ativos,14211.0
2011-03-31,T1,2.01.05.02.09,Demais Contas a Pagar,407040.0
2011-03-31,T1,2.01.05.02.10,Aquisição de Sociedades,62850.0
2011-03-31,T1,2.01.06,Provisões,0.0
2011-03-31,T1,2.01.06.01,Provisões Fiscais Previdenciárias Trabalhistas e Cíveis,0.0
2011-03-31,T1,2.01.06.01.01,Provisões Fiscais,0.0
2011-03-31,T1,2.01.06.01.02,Provisões Previdenciárias e Trabalhistas,0.0
2011-03-31,T1,2.01.06.01.03,Provisões para Benefícios a Empregados,0.0
2011-03-31,T1,2.01.06.01.04,Provisões Cíveis,0.0
2011-03-31,T1,2.01.06.02,Outras Provisões,0.0
2011-03-31,T1,2.01.06.02.01,Provisões para Garantias,0.0
2011-03-31,T1,2.01.06.02.02,Provisões para Reestruturação,0.0
2011-03-31,T1,2.01.06.02.03,Provisões para Passivos Ambientais e de Desativação,0.0
2011-03-31,T1,2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.0
2011-03-31,T1,2.01.07.01,Passivos sobre Ativos Não-Correntes a Venda,0.0
2011-03-31,T1,2.01.07.02,Passivos sobre Ativos de Operações Descontinuadas,0.0
2011-03-31,T1,2.02,Passivo Não Circulante,10463224.0
2011-03-31,T1,2.02.01,Empréstimos e Financiamentos,6123194.0
2011-03-31,T1,2.02.01.01,Empréstimos e Financiamentos,4582515.0
2011-03-31,T1,2.02.01.01.01,Em Moeda Nacional,4130829.0
2011-03-31,T1,2.02.01.01.02,Em Moeda Estrangeira,451686.0
2011-03-31,T1,2.02.01.02,Debêntures,1450999.0
2011-03-31,T1,2.02.01.03,Financiamento por Arrendamento Financeiro,89680.0
2011-03-31,T1,2.02.02,Outras Obrigações,1657854.0
2011-03-31,T1,2.02.02.01,Passivos com Partes Relacionadas,0.0
2011-03-31,T1,2.02.02.01.01,Débitos com Coligadas,0.0
2011-03-31,T1,2.02.02.01.03,Débitos com Controladores,0.0
2011-03-31,T1,2.02.02.01.04,Débitos com Outras Partes Relacionadas,0.0
2011-03-31,T1,2.02.02.02,Outros,1657854.0
2011-03-31,T1,2.02.02.02.01,Obrigações por Pagamentos Baseados em Ações,0.0
2011-03-31,T1,2.02.02.02.02,Adiantamento para Futuro Aumento de Capital,0.0
2011-03-31,T1,2.02.02.02.03,Impostos Parcelados,1401143.0
2011-03-31,T1,2.02.02.02.04,Demais Contas a Pagar,32199.0
2011-03-31,T1,2.02.02.02.05,Aquisição de Sociedades,224512.0
2011-03-31,T1,2.02.03,Tributos Diferidos,1312818.0
2011-03-31,T1,2.02.03.01,Imposto de Renda e Contribuição Social Diferidos,1312818.0
2011-03-31,T1,2.02.04,Provisões,675517.0
2011-03-31,T1,2.02.04.01,Provisões Fiscais Previdenciárias Trabalhistas e Cíveis,675517.0
2011-03-31,T1,2.02.04.01.01,Provisões Fiscais,174001.0
2011-03-31,T1,2.02.04.01.02,Provisões Previdenciárias e Trabalhistas,113162.0
2011-03-31,T1,2.02.04.01.03,Provisões para Benefícios a Empregados,58688.0
2011-03-31,T1,2.02.04.01.04,Provisões Cíveis,329666.0
2011-03-31,T1,2.02.04.02,Outras Provisões,0.0
2011-03-31,T1,2.02.04.02.01,Provisões para Garantias,0.0
2011-03-31,T1,2.02.04.02.02,Provisões para Reestruturação,0.0
2011-03-31,T1,2.02.04.02.03,Provisões para Passivos Ambientais e de Desativação,0.0
2011-03-31,T1,2.02.05,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.0
2011-03-31,T1,2.02.05.01,Passivos sobre Ativos Não-Correntes a Venda,0.0
2011-03-31,T1,2.02.05.02,Passivos sobre Ativos de Operações Descontinuadas,0.0
2011-03-31,T1,2.02.06,Lucros e Receitas a Apropriar,693841.0
2011-03-31,T1,2.02.06.01,Lucros a Apropriar,0.0
2011-03-31,T1,2.02.06.02,Receitas a Apropriar,693841.0
2011-03-31,T1,2.02.06.03,Subvenções de Investimento a Apropriar,0.0
2011-03-31,T1,2.03,Patrimônio Líquido Consolidado,9707614.0
2011-03-31,T1,2.03.01,Capital Social Realizado,6106434.0
2011-03-31,T1,2.03.02,Reservas de Capital,364392.0
2011-03-31,T1,2.03.02.01,Ágio na Emissão de Ações,0.0
2011-03-31,T1,2.03.02.02,Reserva Especial de Ágio na Incorporação,238930.0
2011-03-31,T1,2.03.02.03,Alienação de Bônus de Subscrição,0.0
2011-03-31,T1,2.03.02.04,Opções Outorgadas,118064.0
2011-03-31,T1,2.03.02.05,Ações em Tesouraria,0.0
2011-03-31,T1,2.03.02.06,Adiantamento para Futuro Aumento de Capital,0.0
2011-03-31,T1,2.03.02.07,Reserva de Capital,7398.0
2011-03-31,T1,2.03.03,Reservas de Reavaliação,0.0
2011-03-31,T1,2.03.04,Reservas de Lucros,720197.0
2011-03-31,T1,2.03.04.01,Reserva Legal,212339.0
2011-03-31,T1,2.03.04.02,Reserva Estatutária,0.0
2011-03-31,T1,2.03.04.03,Reserva para Contingências,0.0
2011-03-31,T1,2.03.04.04,Reserva de Lucros a Realizar,0.0
2011-03-31,T1,2.03.04.05,Reserva de Retenção de Lucros,44605.0
2011-03-31,T1,2.03.04.06,Reserva Especial para Dividendos Não Distribuídos,0.0
2011-03-31,T1,2.03.04.07,Reserva de Incentivos Fiscais,0.0
2011-03-31,T1,2.03.04.08,Dividendo Adicional Proposto,0.0
2011-03-31,T1,2.03.04.09,Ações em Tesouraria,0.0
2011-03-31,T1,2.03.04.10,Reserva para Expansão,463253.0
2011-03-31,T1,2.03.05,Lucros/Prejuízos Acumulados,-167513.0
2011-03-31,T1,2.03.06,Ajustes de Avaliação Patrimonial,212037.0
2011-03-31,T1,2.03.07,Ajustes Acumulados de Conversão,0.0
2011-03-31,T1,2.03.08,Outros Resultados Abrangentes,0.0
2011-03-31,T1,2.03.09,Participação dos Acionistas Não Controladores,2472067.0
2011-06-30,T2,2,Passivo Total,30423371.0
2011-06-30,T2,2.01,Passivo Circulante,9961613.0
2011-06-30,T2,2.01.01,Obrigações Sociais e Trabalhistas,645427.0
2011-06-30,T2,2.01.01.01,Obrigações Sociais,57328.0
2011-06-30,T2,2.01.01.02,Obrigações Trabalhistas,588099.0
2011-06-30,T2,2.01.02,Fornecedores,4475085.0
2011-06-30,T2,2.01.02.01,Fornecedores Nacionais,4423266.0
2011-06-30,T2,2.01.02.02,Fornecedores Estrangeiros,51819.0
2011-06-30,T2,2.01.03,Obrigações Fiscais,299925.0
2011-06-30,T2,2.01.03.01,Obrigações Fiscais Federais,294505.0
2011-06-30,T2,2.01.03.01.01,Imposto de Renda e Contribuição Social a Pagar,12355.0
2011-06-30,T2,2.01.03.01.02,"Outros (Pis, COFINS, IOF, INSS, Funrural)",282150.0
2011-06-30,T2,2.01.03.02,Obrigações Fiscais Estaduais,0.0
2011-06-30,T2,2.01.03.03,Obrigações Fiscais Municipais,5420.0
2011-06-30,T2,2.01.04,Empréstimos e Financiamentos,3487192.0
2011-06-30,T2,2.01.04.01,Empréstimos e Financiamentos,3149932.0
2011-06-30,T2,2.01.04.01.01,Em Moeda Nacional,2176134.0
2011-06-30,T2,2.01.04.01.02,Em Moeda Estrangeira,973798.0
2011-06-30,T2,2.01.04.02,Debêntures,277643.0
2011-06-30,T2,2.01.04.03,Financiamento por Arrendamento Financeiro,59617.0
2011-06-30,T2,2.01.05,Outras Obrigações,918177.0
2011-06-30,T2,2.01.05.01,Passivos com Partes Relacionadas,12517.0
2011-06-30,T2,2.01.05.01.01,Débitos com Coligadas,439.0
2011-06-30,T2,2.01.05.01.03,Débitos com Controladores,0.0
2011-06-30,T2,2.01.05.01.04,Débitos com Outras Partes Relacionadas,12078.0
2011-06-30,T2,2.01.05.02,Outros,905660.0
2011-06-30,T2,2.01.05.02.01,Dividendos e JCP a Pagar,2130.0
2011-06-30,T2,2.01.05.02.02,Dividendo Mínimo Obrigatório a Pagar,0.0
2011-06-30,T2,2.01.05.02.03,Obrigações por Pagamentos Baseados em Ações,0.0
2011-06-30,T2,2.01.05.02.04,Serviços Públicos,6054.0
2011-06-30,T2,2.01.05.02.05,Aluguéis,43631.0
2011-06-30,T2,2.01.05.02.06,Propaganda,33926.0
2011-06-30,T2,2.01.05.02.07,Repasse a Terceiros,10368.0
2011-06-30,T2,2.01.05.02.08,Financiamento por Compra de Ativos,14211.0
2011-06-30,T2,2.01.05.02.09,Demais Contas a Pagar,726896.0
2011-06-30,T2,2.01.05.02.10,Aquisição de Sociedades,68444.0
2011-06-30,T2,2.01.06,Provisões,135807.0
2011-06-30,T2,2.01.06.01,Provisões Fiscais Previdenciárias Trabalhistas e Cíveis,0.0
2011-06-30,T2,2.01.06.01.01,Provisões Fiscais,0.0
2011-06-30,T2,2.01.06.01.02,Provisões Previdenciárias e Trabalhistas,0.0
2011-06-30,T2,2.01.06.01.03,Provisões para Benefícios a Empregados,0.0
2011-06-30,T2,2.01.06.01.04,Provisões Cíveis,0.0
2011-06-30,T2,2.01.06.02,Outras Provisões,135807.0
2011-06-30,T2,2.01.06.02.01,Provisões para Garantias,0.0
2011-06-30,T2,2.01.06.02.02,Provisões para Reestruturação,6054.0
2011-06-30,T2,2.01.06.02.03,Provisões para Passivos Ambientais e de Desativação,0.0
2011-06-30,T2,2.01.06.02.04,Imposto de Renda e Contribuição Social,0.0
2011-06-30,T2,2.01.06.02.05,Impostos Parcelados,45092.0
2011-06-30,T2,2.01.06.02.06,Receitas Antecipadas,84661.0
2011-06-30,T2,2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.0
2011-06-30,T2,2.01.07.01,Passivos sobre Ativos Não-Correntes a Venda,0.0
2011-06-30,T2,2.01.07.02,Passivos sobre Ativos de Operações Descontinuadas,0.0
2011-06-30,T2,2.02,Passivo Não Circulante,10685409.0
2011-06-30,T2,2.02.01,Empréstimos e Financiamentos,6685641.0
2011-06-30,T2,2.02.01.01,Empréstimos e Financiamentos,5099497.0
2011-06-30,T2,2.02.01.01.01,Em Moeda Nacional,4326083.0
2011-06-30,T2,2.02.01.01.02,Em Moeda Estrangeira,773414.0
2011-06-30,T2,2.02.01.02,Debêntures,1488213.0
2011-06-30,T2,2.02.01.03,Financiamento por Arrendamento Financeiro,97931.0
2011-06-30,T2,2.02.02,Outras Obrigações,1975533.0
2011-06-30,T2,2.02.02.01,Passivos com Partes Relacionadas,0.0
2011-06-30,T2,2.02.02.01.01,Débitos com Coligadas,0.0
2011-06-30,T2,2.02.02.01.03,Débitos com Controladores,0.0
2011-06-30,T2,2.02.02.01.04,Débitos com Outras Partes Relacionadas,0.0
2011-06-30,T2,2.02.02.02,Outros,1975533.0
