data_fim,trimestre,cd_conta,ds_conta,valor_mil
2015-12-31,T4,6.01,Caixa Líquido Atividades Operacionais,4632000.0
2015-12-31,T4,6.01.01,Caixa Gerado nas Operações,2889000.0
2015-12-31,T4,6.01.01.01,Lucro (Prejuízo) Liquido do período,-276000.0
2015-12-31,T4,6.01.01.02,Imposto de renda diferido (Nota 21),135000.0
2015-12-31,T4,6.01.01.03,Perda (ganho) na alienação do imobilizado e intangível,148000.0
2015-12-31,T4,6.01.01.04,Depreciação / amortização,1102000.0
2015-12-31,T4,6.01.01.05,Juros e variações monetárias,1154000.0
2015-12-31,T4,6.01.01.06,Ajuste a valor presente,-3000.0
2015-12-31,T4,6.01.01.07,Resultado de equivalência patrimonial (Nota 13),-112000.0
2015-12-31,T4,6.01.01.08,Provisão para demandas judiciais (Nota 22),246000.0
2015-12-31,T4,6.01.01.09,Ganho na avaliação a valor justo de investimento,0.0
2015-12-31,T4,6.01.01.10,Pagamento baseado em ações,25000.0
2015-12-31,T4,6.01.01.11,Perda estimada em créditos de liquidação duvidosa (Nota 08),556000.0
2015-12-31,T4,6.01.01.12,Provisão para obsolescências e quebra (Nota 10),57000.0
2015-12-31,T4,6.01.01.13,Receita a apropriar (Nota 24),-161000.0
2015-12-31,T4,6.01.01.14,Outras despesas operacionais,18000.0
2015-12-31,T4,6.01.01.15,Plano de pensão (Nota 31),0.0
2015-12-31,T4,6.01.01.16,Ganho na venda de subsidiárias,0.0
2015-12-31,T4,6.01.02,Variações nos Ativos e Passivos,1743000.0
2015-12-31,T4,6.01.02.01,Contas a receber,-434000.0
2015-12-31,T4,6.01.02.02,Estoques,-261000.0
2015-12-31,T4,6.01.02.03,Tributos a recuperar,-434000.0
2015-12-31,T4,6.01.02.04,Outros ativos,-140000.0
2015-12-31,T4,6.01.02.05,Partes relacionadas,-324000.0
2015-12-31,T4,6.01.02.06,Depósitos judiciais,-82000.0
2015-12-31,T4,6.01.02.07,Fornecedores,2503000.0
2015-12-31,T4,6.01.02.08,Salários e encargos sociais,159000.0
2015-12-31,T4,6.01.02.09,Impostos e contr. sociais a recolher,-192000.0
2015-12-31,T4,6.01.02.10,Demandas judiciais,-351000.0
2015-12-31,T4,6.01.02.11,Receita a apropriar,750000.0
2015-12-31,T4,6.01.02.12,Demais contas a pagar,397000.0
2015-12-31,T4,6.01.02.13,Aplicações financeiras,0.0
2015-12-31,T4,6.01.02.14,Dividendos recebidos,152000.0
2015-12-31,T4,6.01.03,Outros,0.0
2015-12-31,T4,6.02,Caixa Líquido Atividades de Investimento,-1852000.0
2015-12-31,T4,6.02.02,Aquisição de empresas,0.0
2015-12-31,T4,6.02.03,Aquisição de bens do ativo imobilizado,-1581000.0
2015-12-31,T4,6.02.04,Aumento do ativo intangível (Nota 15),-404000.0
2015-12-31,T4,6.02.05,Venda de bens do imobilizado (Nota 14),82000.0
2015-12-31,T4,6.02.06,Venda de bens do imobilizado,0.0
2015-12-31,T4,6.02.07,Caixa líquido de reorganização societária (Nota 13),0.0
2015-12-31,T4,6.02.08,Caixa líquido de aquisição de empresa,0.0
2015-12-31,T4,6.02.09,Caixa recebido na venda de subsidiária,51000.0
2015-12-31,T4,6.02.10,Caixa líquido de incorporações,0.0
2015-12-31,T4,6.02.11,Aquisição de sociedades,0.0
2015-12-31,T4,6.03,Caixa Líquido Atividades de Financiamento,-3006000.0
2015-12-31,T4,6.03.01,Aumento de capital,14000.0
2015-12-31,T4,6.03.02,Captações e refinanciamento,6389000.0
2015-12-31,T4,6.03.03,Pagamentos de empréstimos e financiamentos(Nota 17),-9301000.0
2015-12-31,T4,6.03.04,Pagamento de dividendos,-434000.0
2015-12-31,T4,6.03.06,Aquisição de sociedade (Nota 21),-74000.0
2015-12-31,T4,6.03.07,"Recursos obtidos com oferta de ações, líquidos dos custos",0.0
2015-12-31,T4,6.03.08,Captações de mútuos com partes relacionadas,404000.0
2015-12-31,T4,6.03.09,Transação com não controladores,-4000.0
2015-12-31,T4,6.03.10,Fornecedores convênio,0.0
2015-12-31,T4,6.03.11,Venda de participação societária,0.0
2015-12-31,T4,6.04,Variação Cambial s/ Caixa e Equivalentes,92000.0
2015-12-31,T4,6.05,Aumento (Redução) de Caixa e Equivalentes,-134000.0
2015-12-31,T4,6.05.01,Saldo Inicial de Caixa e Equivalentes,11149000.0
