data_fim,trimestre,cd_conta,ds_conta,valor_mil
2015-03-31,T1,1,Ativo Total,15185301.0
2015-03-31,T1,1.01,Ativo Circulante,7917646.0
2015-03-31,T1,1.01.01,Caixa e Equivalentes de Caixa,833032.0
2015-03-31,T1,1.01.01.01,Caixa e Bancos,303467.0
2015-03-31,T1,1.01.01.02,Aplicações Financeiras,529565.0
2015-03-31,T1,1.01.02,Aplicações Financeiras,47731.0
2015-03-31,T1,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo,47731.0
2015-03-31,T1,1.01.02.01.01,Títulos para Negociação,47731.0
2015-03-31,T1,1.01.02.01.02,Títulos Disponíveis para Venda,0.0
2015-03-31,T1,1.01.02.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,0.0
2015-03-31,T1,1.01.02.02.01,Títulos Mantidos até o Vencimento,0.0
2015-03-31,T1,1.01.03,Contas a Receber,4459429.0
2015-03-31,T1,1.01.03.01,Clientes,4459429.0
2015-03-31,T1,1.01.03.02,Outras Contas a Receber,0.0
2015-03-31,T1,1.01.04,Estoques,2152793.0
2015-03-31,T1,1.01.04.01,Estoque de Imóveis a Comercializar,2152793.0
2015-03-31,T1,1.01.05,Ativos Biológicos,0.0
2015-03-31,T1,1.01.06,Tributos a Recuperar,126605.0
2015-03-31,T1,1.01.06.01,Tributos Correntes a Recuperar,126605.0
2015-03-31,T1,1.01.07,Despesas Antecipadas,15145.0
2015-03-31,T1,1.01.07.01,Despesas a Apropriar,15145.0
2015-03-31,T1,1.01.08,Outros Ativos Circulantes,282911.0
2015-03-31,T1,1.01.08.01,Ativos Não-Correntes a Venda,0.0
2015-03-31,T1,1.01.08.02,Ativos de Operações Descontinuadas,0.0
2015-03-31,T1,1.01.08.03,Outros,282911.0
2015-03-31,T1,1.01.08.03.02,Contas Correntes c/ Parceiros nos Empreendimentos,0.0
2015-03-31,T1,1.01.08.03.06,Contrato de Mútuo,68056.0
2015-03-31,T1,1.01.08.03.07,Outros Créditos,210724.0
2015-03-31,T1,1.01.08.03.08,Impostos Diferidos,4131.0
2015-03-31,T1,1.02,Ativo Não Circulante,7267655.0
2015-03-31,T1,1.02.01,Ativo Realizável a Longo Prazo,5626550.0
2015-03-31,T1,1.02.01.01,Aplicações Financeiras Avaliadas a Valor Justo,0.0
2015-03-31,T1,1.02.01.01.01,Títulos para Negociação,0.0
2015-03-31,T1,1.02.01.01.02,Títulos Disponíveis para Venda,0.0
2015-03-31,T1,1.02.01.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,0.0
2015-03-31,T1,1.02.01.02.01,Títulos Mantidos até o Vencimento,0.0
2015-03-31,T1,1.02.01.03,Contas a Receber,3150935.0
2015-03-31,T1,1.02.01.03.01,Clientes,3150935.0
2015-03-31,T1,1.02.01.03.02,Outras Contas a Receber,0.0
2015-03-31,T1,1.02.01.04,Estoques,2175232.0
2015-03-31,T1,1.02.01.04.01,Estoques de Imóveis a Comercializar,2175232.0
2015-03-31,T1,1.02.01.05,Ativos Biológicos,0.0
2015-03-31,T1,1.02.01.06,Tributos Diferidos,0.0
2015-03-31,T1,1.02.01.06.01,Imposto de Renda e Contribuição Social Diferidos,0.0
2015-03-31,T1,1.02.01.07,Despesas Antecipadas,0.0
2015-03-31,T1,1.02.01.07.01,Despesas a Apropriar,0.0
2015-03-31,T1,1.02.01.08,Créditos com Partes Relacionadas,0.0
2015-03-31,T1,1.02.01.08.01,Créditos com Coligadas,0.0
2015-03-31,T1,1.02.01.08.03,Créditos com Controladores,0.0
2015-03-31,T1,1.02.01.08.04,Créditos com Outras Partes Relacionadas,0.0
2015-03-31,T1,1.02.01.09,Outros Ativos Não Circulantes,300383.0
2015-03-31,T1,1.02.01.09.01,Ativos Não-Correntes a Venda,0.0
2015-03-31,T1,1.02.01.09.02,Ativos de Operações Descontinuadas,0.0
2015-03-31,T1,1.02.01.09.03,Contas Correntes c/ Parceiros nos Empreendimentos,149823.0
2015-03-31,T1,1.02.01.09.04,Adiantamento para Futuro Aumento de Capital,0.0
2015-03-31,T1,1.02.01.09.05,Dividendos a Receber,0.0
2015-03-31,T1,1.02.01.09.06,Contratos de Mútuo,0.0
2015-03-31,T1,1.02.01.09.07,Direitos Creditórios Adquiridos,78850.0
2015-03-31,T1,1.02.01.09.08,Impostos a Recuperar,0.0
2015-03-31,T1,1.02.01.09.09,Debêntures,27802.0
2015-03-31,T1,1.02.01.09.10,Outros Créditos,43908.0
2015-03-31,T1,1.02.02,Investimentos,1040709.0
2015-03-31,T1,1.02.02.01,Participações Societárias,481232.0
2015-03-31,T1,1.02.02.01.01,Participações em Coligadas,481232.0
2015-03-31,T1,1.02.02.01.04,Outras Participações Societárias,0.0
2015-03-31,T1,1.02.02.02,Propriedades para Investimento,559477.0
2015-03-31,T1,1.02.03,Imobilizado,44071.0
2015-03-31,T1,1.02.03.01,Imobilizado em Operação,44071.0
2015-03-31,T1,1.02.03.02,Imobilizado Arrendado,0.0
2015-03-31,T1,1.02.03.03,Imobilizado em Andamento,0.0
2015-03-31,T1,1.02.04,Intangível,556325.0
2015-03-31,T1,1.02.04.01,Intangíveis,556325.0
2015-03-31,T1,1.02.04.01.01,Contrato de Concessão,0.0
2015-03-31,T1,1.02.04.02,Goodwill,0.0
2015-06-30,T2,1,Ativo Total,15023408.0
2015-06-30,T2,1.01,Ativo Circulante,6581081.0
2015-06-30,T2,1.01.01,Caixa e Equivalentes de Caixa,1149796.0
2015-06-30,T2,1.01.01.01,Caixa e Bancos,266890.0
2015-06-30,T2,1.01.01.02,Aplicações Financeiras,882906.0
2015-06-30,T2,1.01.02,Aplicações Financeiras,47781.0
2015-06-30,T2,1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo,47781.0
2015-06-30,T2,1.01.02.01.01,Títulos para Negociação,47781.0
2015-06-30,T2,1.01.02.01.02,Títulos Disponíveis para Venda,0.0
2015-06-30,T2,1.01.02.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,0.0
2015-06-30,T2,1.01.02.02.01,Títulos Mantidos até o Vencimento,0.0
2015-06-30,T2,1.01.03,Contas a Receber,3004855.0
2015-06-30,T2,1.01.03.01,Clientes,3004855.0
2015-06-30,T2,1.01.03.02,Outras Contas a Receber,0.0
2015-06-30,T2,1.01.04,Estoques,1973704.0
2015-06-30,T2,1.01.04.01,Estoque de Imóveis a Comercializar,1973704.0
2015-06-30,T2,1.01.05,Ativos Biológicos,0.0
2015-06-30,T2,1.01.06,Tributos a Recuperar,125897.0
2015-06-30,T2,1.01.06.01,Tributos Correntes a Recuperar,125897.0
2015-06-30,T2,1.01.07,Despesas Antecipadas,11191.0
2015-06-30,T2,1.01.07.01,Despesas a Apropriar,11191.0
2015-06-30,T2,1.01.08,Outros Ativos Circulantes,267857.0
2015-06-30,T2,1.01.08.01,Ativos Não-Correntes a Venda,0.0
2015-06-30,T2,1.01.08.02,Ativos de Operações Descontinuadas,0.0
2015-06-30,T2,1.01.08.03,Outros,267857.0
2015-06-30,T2,1.01.08.03.02,Contas Correntes c/ Parceiros nos Empreendimentos,0.0
2015-06-30,T2,1.01.08.03.06,Contrato de Mútuo,80461.0
2015-06-30,T2,1.01.08.03.07,Outros Créditos,181621.0
2015-06-30,T2,1.01.08.03.08,Impostos Diferidos,5775.0
2015-06-30,T2,1.02,Ativo Não Circulante,8442327.0
2015-06-30,T2,1.02.01,Ativo Realizável a Longo Prazo,6814768.0
2015-06-30,T2,1.02.01.01,Aplicações Financeiras Avaliadas a Valor Justo,0.0
2015-06-30,T2,1.02.01.01.01,Títulos para Negociação,0.0
2015-06-30,T2,1.02.01.01.02,Títulos Disponíveis para Venda,0.0
2015-06-30,T2,1.02.01.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,0.0
2015-06-30,T2,1.02.01.02.01,Títulos Mantidos até o Vencimento,0.0
2015-06-30,T2,1.02.01.03,Contas a Receber,3982993.0
2015-06-30,T2,1.02.01.03.01,Clientes,3982993.0
2015-06-30,T2,1.02.01.03.02,Outras Contas a Receber,0.0
2015-06-30,T2,1.02.01.04,Estoques,2487455.0
2015-06-30,T2,1.02.01.04.01,Estoques de Imóveis a Comercializar,2487455.0
2015-06-30,T2,1.02.01.05,Ativos Biológicos,0.0
2015-06-30,T2,1.02.01.06,Tributos Diferidos,0.0
2015-06-30,T2,1.02.01.06.01,Imposto de Renda e Contribuição Social Diferidos,0.0
2015-06-30,T2,1.02.01.07,Despesas Antecipadas,0.0
2015-06-30,T2,1.02.01.07.01,Despesas a Apropriar,0.0
