data_fim,trimestre,cd_conta,ds_conta,valor_mil
2015-03-31,T1,2,Passivo Total,15185301.0
2015-03-31,T1,2.01,Passivo Circulante,5523095.0
2015-03-31,T1,2.01.01,Obrigações Sociais e Trabalhistas,89379.0
2015-03-31,T1,2.01.01.01,Obrigações Sociais,0.0
2015-03-31,T1,2.01.01.02,Obrigações Trabalhistas,89379.0
2015-03-31,T1,2.01.02,Fornecedores,214162.0
2015-03-31,T1,2.01.02.01,Fornecedores Nacionais,214162.0
2015-03-31,T1,2.01.02.02,Fornecedores Estrangeiros,0.0
2015-03-31,T1,2.01.03,Obrigações Fiscais,439605.0
2015-03-31,T1,2.01.03.01,Obrigações Fiscais Federais,439605.0
2015-03-31,T1,2.01.03.01.01,Imposto de Renda e Contribuição Social a Pagar,77793.0
2015-03-31,T1,2.01.03.01.02,Obrigações Tributárias Diferidas,270344.0
2015-03-31,T1,2.01.03.01.03,Pis e Cofins,0.0
2015-03-31,T1,2.01.03.01.04,Obrigações Fiscais Retidos de terceiros,0.0
2015-03-31,T1,2.01.03.01.05,Tributos Parcelados,0.0
2015-03-31,T1,2.01.03.01.06,Demais obrigações correntes,91468.0
2015-03-31,T1,2.01.03.02,Obrigações Fiscais Estaduais,0.0
2015-03-31,T1,2.01.03.03,Obrigações Fiscais Municipais,0.0
2015-03-31,T1,2.01.04,Empréstimos e Financiamentos,2027080.0
2015-03-31,T1,2.01.04.01,Empréstimos e Financiamentos,1429822.0
2015-03-31,T1,2.01.04.01.01,Em Moeda Nacional,1429822.0
2015-03-31,T1,2.01.04.01.02,Em Moeda Estrangeira,0.0
2015-03-31,T1,2.01.04.02,Debêntures,597258.0
2015-03-31,T1,2.01.04.03,Financiamento por Arrendamento Financeiro,0.0
2015-03-31,T1,2.01.05,Outras Obrigações,2651974.0
2015-03-31,T1,2.01.05.01,Passivos com Partes Relacionadas,0.0
2015-03-31,T1,2.01.05.01.01,Débitos com Coligadas,0.0
2015-03-31,T1,2.01.05.01.03,Débitos com Controladores,0.0
2015-03-31,T1,2.01.05.01.04,Débitos com Outras Partes Relacionadas,0.0
2015-03-31,T1,2.01.05.02,Outros,2651974.0
2015-03-31,T1,2.01.05.02.01,Dividendos e JCP a Pagar,0.0
2015-03-31,T1,2.01.05.02.02,Dividendo Mínimo Obrigatório a Pagar,0.0
2015-03-31,T1,2.01.05.02.03,Obrigações por Pagamentos Baseados em Ações,0.0
2015-03-31,T1,2.01.05.02.04,Obrigações por Aquisição de Imóveis,354055.0
