cd_conta,conta,2010T4,2011T1,2011T2,2011T3,2011T4,2012T1,2012T2,2012T3,2012T4,2013T1,2013T2,2013T3,2013T4,2014T1,2014T2,2014T3,2014T4,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
2,Passivo Total,15386410.000,15812586.000,16482749.000,16646345.000,17253079.000,17327409.000,17948346.000,17750066.000,16661832.000,16827946.000,17195321.000,16805650.000,16798855.000,16588503.000,16221865.000,16108042.000,15924225.000,15185301.000,15023408.000,13380016.000,10958045.000,10139122.000,8906758.000,7245677.000,4651014.000,4447592.000,4103462.000,3917425.000,2968868.000,2827134.000,2577061.000,2467856.000,2475628.000,2330457.000,2199565.000,2135211.000,1934884.000,1861293.000,1819629.000,1803170.000,1730597.000,1656355.000,1551297.000,1402511.000,1275373.000,1221722.000,1222694.000,1211354.000,1174676.000,1131726.000,1100906.000,1050231.000,670201.000,654842.000,623841.000,540648.000,534650.000,529726.000,514542.000,504069.000
2.01,Passivo Circulante,4532190.000,4488616.000,4856189.000,4904899.000,5023540.000,5068699.000,5602152.000,5236132.000,4577886.000,5262653.000,5229578.000,5255059.000,4831428.000,4589130.000,4950483.000,5273758.000,5221883.000,5523095.000,5744323.000,5703159.000,6567223.000,6381746.000,6156629.000,4733974.000,5807432.000,6705532.000,6812752.000,6927980.000,3459827.000,3524119.000,3538668.000,3540007.000,3583261.000,3630492.000,3689241.000,3742468.000,3736982.000,3794423.000,3887718.000,3937995.000,3570893.000,3611641.000,3760464.000,3713618.000,2975730.000,3078584.000,3259836.000,3348921.000,3413650.000,3532422.000,3583086.000,3748911.000,1006639.000,1021012.000,1015046.000,1022290.000,1024150.000,1033843.000,1052685.000,951564.000
2.01.01,Obrigações Sociais e Trabalhistas,146598.000,108841.000,127471.000,146300.000,158810.000,112624.000,133945.000,143721.000,135256.000,133696.000,149743.000,129450.000,169197.000,170584.000,158600.000,216795.000,102847.000,89379.000,87920.000,82096.000,47912.000,42130.000,42953.000,50042.000,44798.000,44960.000,46478.000,38651.000,25832.000,12570.000,15687.000,13672.000,16276.000,15988.000,13926.000,12045.000,8134.000,5539.000,14642.000,18384.000,12017.000,10763.000,11286.000,12809.000,11562.000,9853.000,10021.000,10024.000,9608.000,10659.000,8999.000,10463.000,11566.000,9553.000,10436.000,8466.000,5814.000,4437.000,8403.000,16582.000
2.01.02,Fornecedores,337714.000,361194.000,408918.000,404824.000,317751.000,285377.000,318548.000,266847.000,256210.000,210622.000,231141.000,213977.000,177722.000,192800.000,212790.000,240340.000,225044.000,214162.000,214834.000,212041.000,230490.000,232986.000,234784.000,226471.000,251319.000,294726.000,298910.000,290238.000,294426.000,296523.000,256794.000,207072.000,167561.000,158011.000,152029.000,132917.000,149960.000,131018.000,130716.000,137220.000,162566.000,159482.000,174755.000,245379.000,234004.000,246138.000,243943.000,248482.000,247999.000,253598.000,257097.000,263649.000,244189.000,250141.000,242765.000,253590.000,267093.000,273501.000,275656.000,277949.000
2.01.03,Obrigações Fiscais,372008.000,20817.000,359026.000,358259.000,377723.000,385933.000,449664.000,479477.000,403313.000,407661.000,377822.000,446833.000,426763.000,364728.000,353893.000,374153.000,432279.000,439605.000,437513.000,384950.000,347626.000,320677.000,330586.000,287829.000,283804.000,289140.000,117182.000,77376.000,58607.000,61594.000,51144.000,55036.000,37911.000,44434.000,44339.000,49646.000,43034.000,42862.000,46411.000,49715.000,49158.000,56016.000,55071.000,39695.000,46228.000,43435.000,127646.000,95110.000,37397.000,35029.000,36335.000,35301.000,35909.000,35938.000,37701.000,37552.000,50178.000,44640.000,46928.000,51826.000
2.01.04,Empréstimos e Financiamentos,1626566.000,1883302.000,2186099.000,2099303.000,1872531.000,2012825.000,2067872.000,2115359.000,2218466.000,2595659.000,2339246.000,1973570.000,1683667.000,1631192.000,2197417.000,2314191.000,1742844.000,2027080.000,2161211.000,2608467.000,2693871.000,2692892.000,2593241.000,2314645.000,2559948.000,2971630.000,3158196.000,3258802.000,1542922.000,1601547.000,1612270.000,1641271.000,1607306.000,1617777.000,1659882.000,1675627.000,1659979.000,1694299.000,1728571.000,1721351.000,1264990.000,1285594.000,1307523.000,1166364.000,1122993.000,1144283.000,1179089.000,1225073.000,1278666.000,1333101.000,1381159.000,1444629.000,123567.000,123149.000,122660.000,121993.000,148093.000,82206.000,147206.000,144916.000
2.01.05,Outras Obrigações,2049304.000,2114462.000,1774675.000,1896213.000,2296725.000,2271940.000,2632123.000,2230728.000,1471137.000,1840414.000,1992895.000,2365089.000,2233959.000,2144363.000,1952594.000,2043064.000,2620805.000,2651974.000,2736241.000,2325023.000,3056454.000,2944298.000,2795410.000,1661137.000,2278978.000,2715598.000,2800870.000,2861302.000,1439764.000,1443741.000,1503196.000,1527507.000,1612014.000,1643301.000,1656839.000,1696749.000,1753770.000,1799356.000,1837831.000,1877016.000,1950550.000,1958525.000,2066458.000,2126009.000,1425697.000,1493985.000,1557376.000,1626656.000,1692971.000,1730612.000,1732274.000,1824015.000,391850.000,420785.000,415794.000,410186.000,359506.000,430416.000,373087.000,249931.000
2.01.06,Provisões,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,93504.000,74601.000,138731.000,126140.000,140120.000,85463.000,75189.000,85215.000,98064.000,100895.000,106604.000,90582.000,190870.000,148763.000,159655.000,193850.000,388585.000,389478.000,391116.000,401611.000,98276.000,108144.000,99577.000,95449.000,142193.000,150981.000,162226.000,175484.000,122105.000,121349.000,129547.000,134309.000,131612.000,141261.000,145371.000,123362.000,135246.000,140890.000,141761.000,143576.000,147009.000,169423.000,167222.000,170854.000,199558.000,181446.000,185690.000,190503.000,193466.000,198643.000,201405.000,210360.000
2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.02,Passivo Não Circulante,4889372.000,5102890.000,5153119.000,4994234.000,5792653.000,5723164.000,6283917.000,5660810.000,6607066.000,6131444.000,6675251.000,6342400.000,6637374.000,6701793.000,6071161.000,5802507.000,5640593.000,4692843.000,4093827.000,2989085.000,2006257.000,1818458.000,1693390.000,3350149.000,2258082.000,1411661.000,1475031.000,1475786.000,2737400.000,2795684.000,2801089.000,2805588.000,2891847.000,2948975.000,3013359.000,3015154.000,3121289.000,3166265.000,3220474.000,3318916.000,3544240.000,3651080.000,3385549.000,3247314.000,3511491.000,3309700.000,2778970.000,2794914.000,2651694.000,2690772.000,2739612.000,2751150.000,2984105.000,3025922.000,3067849.000,2835520.000,2843997.000,2933164.000,2965169.000,3033229.000
