cd_conta,conta,2010T4,2011T1,2011T2,2011T3,2011T4,2012T1,2012T2,2012T3,2012T4,2013T1,2013T2,2013T3,2013T4,2014T1,2014T2,2014T3,2014T4,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
1,Ativo Total,519970003.000,544945300.000,554583506.000,582124890.000,599149983.000,615818443.000,628027804.000,646683148.000,683863255.000,695313138.000,749027663.000,758432791.000,752967000.000,802014652.000,800370000.000,815741000.000,793375000.000,831948000.000,859299000.000,931562000.000,900135000.000,859160000.000,818332000.000,803206000.000,804945000.000,788046000.000,808054000.000,803870000.000,831515000.000,824153000.000,850282000.000,866756000.000,860473000.000,949087000.000,965248000.000,924465000.000,926011000.000,971645000.000,1015142000.000,965430000.000,987419000.000,998283000.000,941447000.000,974689000.000,972951000.000,998662000.000,1004754000.000,947574000.000,976709000.000,978577000.000,990459000.000,1025496000.000,1050888000.000,1067292000.000,1058688000.000,1077849000.000,1124797000.000,1147716000.000,1174890000.000,1212038000.000
1.01,Ativo Circulante,106685162.000,120036373.000,119493478.000,120493402.000,118368613.000,126373536.000,116320631.000,125807690.000,118101812.000,116893309.000,144710024.000,137242598.000,123351000.000,159665082.000,144270000.000,142950000.000,135023000.000,137565000.000,160380000.000,176380000.000,169581000.000,146243000.000,132625000.000,144753000.000,145907000.000,134058000.000,142435000.000,143942000.000,155909000.000,145412000.000,144255000.000,150201000.000,143606000.000,130605000.000,181333000.000,147601000.000,112101000.000,163562000.000,201926000.000,151644000.000,142323000.000,153972000.000,151539000.000,166334000.000,168247000.000,199512000.000,224785000.000,159327000.000,163052000.000,157194000.000,136816000.000,147311000.000,157079000.000,165964000.000,159310000.000,167371000.000,135212000.000,124853000.000,135859000.000,149361000.000
1.01.01,Caixa e Equivalentes de Caixa,30323259.000,43344819.000,34672618.000,33659195.000,35747240.000,39904492.000,26318336.000,30187316.000,27628003.000,27235077.000,51249525.000,39349918.000,37172000.000,68466530.000,58140000.000,49624000.000,44239000.000,34450000.000,81166000.000,99870000.000,97845000.000,77778000.000,62940000.000,70060000.000,69108000.000,60874000.000,77970000.000,74431000.000,74494000.000,66362000.000,65536000.000,56803000.000,53854000.000,36476000.000,64052000.000,54882000.000,29714000.000,80382000.000,106598000.000,71635000.000,60856000.000,68155000.000,49126000.000,59394000.000,58410000.000,81601000.000,85311000.000,23650000.000,41723000.000,52277000.000,49882000.000,60642000.000,61613000.000,57689000.000,43829000.000,47367000.000,20254000.000,26960000.000,38177000.000,47675000.000
1.01.02,Aplicações Financeiras,26017297.000,20015772.000,24969264.000,21410792.000,16808467.000,18002805.000,19668450.000,22673562.000,21315726.000,19301607.000,21782051.000,18545838.000,9101000.000,10025962.000,8236000.000,20674000.000,24763000.000,33828000.000,10478000.000,4379000.000,3047000.000,2729000.000,2430000.000,2542000.000,2556000.000,2909000.000,3317000.000,5744000.000,6237000.000,3905000.000,4060000.000,4164000.000,4198000.000,4370000.000,2456000.000,5427000.000,3580000.000,3346000.000,2952000.000,3782000.000,3424000.000,3299000.000,3013000.000,2920000.000,3630000.000,5967000.000,14957000.000,13038000.000,14470000.000,14629000.000,11103000.000,6505000.000,13650000.000,24072000.000,23848000.000,30471000.000,26397000.000,17078000.000,13670000.000,14326000.000
1.01.03,Contas a Receber,17333975.000,17777672.000,18762930.000,20466371.000,21974701.000,21436550.000,22587243.000,23291284.000,22680509.000,22441979.000,22130066.000,21519276.000,22652000.000,24040519.000,23412000.000,21549000.000,21167000.000,20737000.000,20050000.000,21155000.000,22659000.000,18865000.000,17047000.000,16953000.000,15543000.000,14042000.000,14477000.000,16525000.000,16446000.000,15631000.000,19385000.000,25660000.000,22264000.000,19336000.000,15509000.000,17495000.000,15164000.000,15866000.000,14316000.000,12905000.000,24584000.000,13432000.000,22381000.000,25560000.000,35538000.000,26849000.000,26443000.000,22026000.000,26142000.000,23497000.000,21041000.000,25502000.000,29702000.000,25184000.000,24489000.000,23845000.000,22080000.000,17623000.000,18474000.000,21891000.000
1.01.04,Estoques,19815677.000,23868892.000,25751416.000,27397234.000,28446924.000,29396160.000,30159055.000,30355707.000,29735948.000,31801612.000,31097263.000,33570386.000,33324000.000,35259679.000,37408000.000,32437000.000,30457000.000,32031000.000,33771000.000,32585000.000,29057000.000,29098000.000,28508000.000,27627000.000,27622000.000,26172000.000,26621000.000,25851000.000,28081000.000,29361000.000,35534000.000,38865000.000,34822000.000,32962000.000,34238000.000,31583000.000,33009000.000,31236000.000,27594000.000,29790000.000,29500000.000,39730000.000,36038000.000,39577000.000,40486000.000,48351000.000,49822000.000,52825000.000,45804000.000,40483000.000,39241000.000,39510000.000,37184000.000,40849000.000,40796000.000,40544000.000,41550000.000,42779000.000,44927000.000,46272000.000
1.01.05,Ativos Biológicos,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.01.06,Tributos a Recuperar,8934797.000,10178227.000,11322895.000,12568754.000,10050597.000,12179723.000,11884001.000,12614976.000,11386585.000,10736508.000,13482127.000,15246380.000,11646000.000,11609575.000,8344000.000,8603000.000,10123000.000,9674000.000,9927000.000,10172000.000,10732000.000,10612000.000,9285000.000,8709000.000,8153000.000,8167000.000,8361000.000,7899000.000,8062000.000,8334000.000,9006000.000,9441000.000,7883000.000,8299000.000,9026000.000,10788000.000,14287000.000,13150000.000,29788000.000,23852000.000,13483000.000,8552000.000,9675000.000,7997000.000,7511000.000,6175000.000,6676000.000,7763000.000,6819000.000,6102000.000,6353000.000,5965000.000,5703000.000,7701000.000,15564000.000,13283000.000,12175000.000,9330000.000,10055000.000,10244000.000
1.01.07,Despesas Antecipadas,1006419.000,1282752.000,1218744.000,1449748.000,1328418.000,1569535.000,1673936.000,2128645.000,1692488.000,2067556.000,2270287.000,2212821.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.01.08,Outros Ativos Circulantes,3253738.000,3568239.000,2795611.000,3541308.000,4012266.000,3884271.000,4029610.000,4556200.000,3662553.000,3308970.000,2698705.000,6797979.000,9456000.000,10262817.000,8730000.000,10063000.000,4274000.000,6845000.000,4988000.000,8219000.000,6241000.000,7161000.000,12415000.000,18862000.000,22925000.000,21894000.000,11689000.000,13492000.000,22589000.000,21819000.000,10734000.000,15268000.000,20585000.000,29162000.000,56052000.000,27426000.000,16347000.000,19582000.000,20678000.000,9680000.000,10476000.000,20804000.000,31306000.000,30886000.000,22672000.000,30569000.000,41576000.000,40025000.000,28094000.000,20206000.000,9196000.000,9187000.000,9227000.000,10469000.000,10784000.000,11861000.000,12756000.000,11083000.000,10556000.000,8953000.000
1.02,Ativo Não Circulante,413284841.000,424908927.000,435090028.000,461631488.000,480781370.000,489444907.000,511707173.000,520875458.000,565761443.000,578419829.000,604317639.000,621190193.000,629616000.000,642349570.000,656100000.000,672791000.000,658352000.000,694383000.000,698919000.000,755182000.000,730554000.000,712917000.000,685707000.000,658453000.000,659038000.000,653988000.000,665619000.000,659928000.000,675606000.000,678741000.000,706027000.000,716555000.000,716867000.000,818482000.000,783915000.000,776864000.000,813910000.000,808083000.000,813216000.000,813786000.000,845096000.000,844311000.000,789908000.000,808355000.000,804704000.000,799150000.000,779969000.000,788247000.000,813657000.000,821383000.000,853643000.000,878185000.000,893809000.000,901328000.000,899378000.000,910478000.000,989585000.000,1022863000.000,1039031000.000,1062677000.000
1.02.01,Ativo Realizável a Longo Prazo,38469954.000,38680603.000,38248830.000,41251122.000,43982388.000,41317529.000,43614257.000,37763987.000,53362154.000,53752590.000,58360387.000,60923813.000,44000000.000,45838038.000,45138000.000,47875000.000,50104000.000,54911000.000,56231000.000,69189000.000,74879000.000,67617000.000,59874000.000,61226000.000,66551000.000,63457000.000,67520000.000,66247000.000,70955000.000,72314000.000,80530000.000,81576000.000,85478000.000,87135000.000,81959000.000,74636000.000,71306000.000,119774000.000,124449000.000,128209000.000,104974000.000,113969000.000,72124000.000,77639000.000,79992000.000,85532000.000,86511000.000,92717000.000,110722000.000,118949000.000,122754000.000,131247000.000,129735000.000,129858000.000,123216000.000,122624000.000,127626000.000,130308000.000,128585000.000,132619000.000
1.02.02,Investimentos,8879163.000,9222102.000,9237263.000,9095671.000,12248080.000,12324189.000,11864898.000,12150947.000,12476892.000,11755720.000,14610342.000,15104980.000,15615000.000,15619421.000,15669000.000,15537000.000,15282000.000,15856000.000,15587000.000,15987000.000,13772000.000,14216000.000,13088000.000,12955000.000,9948000.000,10699000.000,12307000.000,12660000.000,12554000.000,12674000.000,12287000.000,13396000.000,10690000.000,11266000.000,14584000.000,23579000.000,22166000.000,19973000.000,19007000.000,17119000.000,17010000.000,18044000.000,10296000.000,10247000.000,8427000.000,9601000.000,8993000.000,9041000.000,8172000.000,8314000.000,7921000.000,6879000.000,6574000.000,6168000.000,5480000.000,5305000.000,4081000.000,4178000.000,4243000.000,4225000.000
1.02.03,Imobilizado,282837532.000,294164753.000,304924502.000,327771632.000,342266918.000,353667274.000,373934600.000,388646509.000,418715641.000,431874155.000,451353350.000,464647621.000,533880000.000,544913640.000,559335000.000,591606000.000,580990000.000,611378000.000,615096000.000,657873000.000,629831000.000,619224000.000,601166000.000,573386000.000,571876000.000,569235000.000,575242000.000,570783000.000,584357000.000,585947000.000,605484000.000,610728000.000,609829000.000,709227000.000,677472000.000,668742000.000,641949000.000,589814000.000,591299000.000,590854000.000,645434000.000,634712000.000,629849000.000,703868000.000,699406000.000,687051000.000,667423000.000,671067000.000,679182000.000,678621000.000,706647000.000,725456000.000,742774000.000,750483000.000,755739000.000,768615000.000,843917000.000,875273000.000,892931000.000,912442000.000
1.02.04,Intangível,83098192.000,82841469.000,82679433.000,83513063.000,82283984.000,82135915.000,82293418.000,82314015.000,81206756.000,81037364.000,79993560.000,80513779.000,36121000.000,35978471.000,35958000.000,17773000.000,11976000.000,12238000.000,12005000.000,12133000.000,12072000.000,11860000.000,11579000.000,10886000.000,10663000.000,10597000.000,10550000.000,10238000.000,7740000.000,7806000.000,7726000.000,10855000.000,10870000.000,10854000.000,9900000.000,9907000.000,78489000.000,78522000.000,78461000.000,77604000.000,77678000.000,77586000.000,77639000.000,16601000.000,16879000.000,16966000.000,17042000.000,15422000.000,15581000.000,15499000.000,16321000.000,14603000.000,14726000.000,14819000.000,14943000.000,13934000.000,13961000.000,13104000.000,13272000.000,13391000.000
