# Padrão Fiscal: Ano fiscal padrão (jan-dez) - trimestres disponíveis: ['T1', 'T2', 'T3']
# Trimestres encontrados: ['T1', 'T2', 'T3']
# Data geração: 2026-01-04 20:04:44
ano,codigo,soma_trimestral,valor_anual,diferenca,diff_%,status
2015,3.01,321638000.0,321638000.0,0.0,0.0,OK
2015,3.02,-223062000.0,-223062000.0,0.0,0.0,OK
2015,3.03,98576000.0,98576000.0,0.0,0.0,OK
2015,3.04,-111764000.0,-111764000.0,0.0,0.0,OK
2015,3.04.02,-11031000.0,-11031000.0,0.0,0.0,OK
2015,3.04.05,-84043000.0,-84043000.0,0.0,0.0,OK
2015,3.04.05.02,-2024000.0,-2024000.0,0.0,0.0,OK
2015,3.04.06,-797000.0,-797000.0,0.0,0.0,OK
2015,3.05,-13188000.0,-13188000.0,0.0,0.0,OK
2015,3.06,-28041000.0,-28041000.0,0.0,0.0,OK
2015,3.06.01,4867000.0,4867000.0,0.0,0.0,OK
2015,3.06.02,-32908000.0,-32908000.0,0.0,0.0,OK
2015,3.07,-41229000.0,-41229000.0,0.0,0.0,OK
2015,3.08,6058000.0,6058000.0,0.0,0.0,OK
2015,3.09,-35171000.0,-35171000.0,0.0,0.0,OK
2015,3.10,0.0,0.0,0.0,0.0,OK
2015,3.11,-35171000.0,-35171000.0,0.0,0.0,OK
2015,3.11.01,-34836000.0,-34836000.0,0.0,0.0,OK
2015,3.11.02,-335000.0,-335000.0,0.0,0.0,OK
2016,3.01,282589000.0,282589000.0,0.0,0.0,OK
2016,3.02,-192611000.0,-192611000.0,0.0,0.0,OK
2016,3.03,89978000.0,89978000.0,0.0,0.0,OK
2016,3.04,-73496000.0,-73496000.0,0.0,0.0,OK
2016,3.04.02,-11482000.0,-11482000.0,0.0,0.0,OK
2016,3.04.05,-47560000.0,-47560000.0,0.0,0.0,OK
2016,3.04.05.02,-1826000.0,-1826000.0,0.0,0.0,OK
2016,3.04.06,-629000.0,-629000.0,0.0,0.0,OK
2016,3.05,16482000.0,16482000.0,0.0,0.0,OK
2016,3.06,-27185000.0,-27185000.0,0.0,0.0,OK
2016,3.06.01,3638000.0,3638000.0,0.0,0.0,OK
2016,3.06.02,-30823000.0,-30823000.0,0.0,0.0,OK
2016,3.07,-10703000.0,-10703000.0,0.0,0.0,OK
