cd_conta,ds_conta,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
3.01,Receita de Venda de Bens e/ou Serviços,545355.000,545355.000,545355.000,545355.000,545355.000,1552170.000,632309.000,674302.000,739902.000,788020.000,766881.000,791648.000,794123.000,820589.000,777574.000,817539.000,848791.000,878704.000,839167.000,887332.000,908540.000
3.02,Custo dos Bens e/ou Serviços Vendidos,-285555.000,-285555.000,-285555.000,-285555.000,-285555.000,-799104.000,-328951.000,-346958.000,-384188.000,-423864.000,-403398.000,-416685.000,-432846.000,-438524.000,-413678.000,-434565.000,-453613.000,-461454.000,-447169.000,-469399.000,-478701.000
3.03,Resultado Bruto,259800.000,259800.000,259800.000,259800.000,259800.000,753066.000,303358.000,327344.000,355714.000,364156.000,363483.000,374963.000,361277.000,382065.000,363896.000,382974.000,395178.000,417250.000,391998.000,417933.000,429839.000
3.04,Despesas/Receitas Operacionais,-211369.000,-211369.000,-211369.000,-211369.000,-211369.000,-639293.000,-278714.000,-288971.000,-318243.000,-328974.000,-334149.000,-334945.000,-325877.000,-358730.000,-339602.000,-361580.000,-362665.000,-432462.000,-374660.000,-354153.000,-374690.000
3.04.02,Despesas Gerais e Administrativas,-47245.000,-47245.000,-47245.000,-47245.000,-47245.000,-138594.000,-73151.000,-68898.000,-76990.000,-82622.000,-88692.000,-88276.000,-81224.000,-78835.000,-83657.000,-88357.000,-86179.000,-87772.000,-91142.000,-88736.000,-90576.000
3.04.05,Outras Despesas Operacionais,0.000,0.000,0.000,0.000,0.000,0.000,-14845.000,0.000,-21092.000,35937.000,-13198.000,-7959.000,-8839.000,-20211.000,-11207.000,-13856.000,-19556.000,-17191.000,-12339.000,0.000,-4277.000
3.04.06,Resultado de Equivalência Patrimonial,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3.05,Resultado Antes do Resultado Financeiro e dos Tributos,48431.000,48431.000,48431.000,48431.000,48431.000,113773.000,24644.000,38373.000,37471.000,35182.000,29334.000,40018.000,35400.000,23335.000,24294.000,21394.000,32513.000,-15212.000,17338.000,63780.000,55149.000
3.06,Resultado Financeiro,-18758.000,-18758.000,-18758.000,-18758.000,-18758.000,-48585.000,-13783.000,-15190.000,-22521.000,-9737.000,-25818.000,-22546.000,-31778.000,-21436.000,-32765.000,-39739.000,-22242.000,-51957.000,-20037.000,-30973.000,-27475.000
3.06.01,Receitas Financeiras,3198.000,3198.000,3198.000,3198.000,3198.000,13676.000,14913.000,13833.000,11303.000,24285.000,11488.000,27637.000,19466.000,24589.000,14040.000,23040.000,27476.000,20328.000,32279.000,24333.000,34412.000
3.06.02,Despesas Financeiras,-21956.000,-21956.000,-21956.000,-21956.000,-21956.000,-62261.000,-28696.000,-29023.000,-33824.000,-34022.000,-37306.000,-50183.000,-51244.000,-46025.000,-46805.000,-62779.000,-49718.000,-72285.000,-52316.000,-55306.000,-61887.000
3.07,Resultado Antes dos Tributos sobre o Lucro,29673.000,29673.000,29673.000,29673.000,29673.000,65188.000,10861.000,23183.000,14950.000,25445.000,3516.000,17472.000,3622.000,1899.000,-8471.000,-18345.000,10271.000,-67169.000,-2699.000,32807.000,27674.000
3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-7304.000,-7304.000,-7304.000,-7304.000,-7304.000,-12521.000,-8312.000,-2716.000,-4374.000,-8447.000,-1344.000,-6081.000,-2145.000,-590.000,3998.000,15086.000,1539.000,20335.000,262.000,-11517.000,3952.000
3.09,Resultado Líquido das Operações Continuadas,22369.000,22369.000,22369.000,22369.000,22369.000,52667.000,2549.000,20467.000,10576.000,16998.000,2172.000,11391.000,1477.000,1309.000,-4473.000,-3259.000,11810.000,-46834.000,-2437.000,21290.000,31626.000
3.10,Resultado Líquido de Operações Descontinuadas,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3.11,Lucro/Prejuízo Consolidado do Período,22369.000,22369.000,22369.000,22369.000,22369.000,52667.000,2549.000,20467.000,10576.000,16998.000,2172.000,11391.000,1477.000,1309.000,-4473.000,-3259.000,11810.000,-46834.000,-2437.000,21290.000,31626.000
3.11.01,Atribuído a Sócios da Empresa Controladora,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3.11.02,Atribuído a Sócios Não Controladores,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3.99,Lucro por Ação (Reais/Ação),0.057,0.057,0.057,0.057,0.057,0.133,0.006,0.044,0.023,0.037,0.005,0.025,0.003,0.003,0.000,0.000,0.026,-0.118,-0.005,0.046,0.068
