data_fim,trimestre,cd_conta,ds_conta,valor_mil
2015-12-31,T4,3.01,Receita de Venda de Bens e/ou Serviços,3465143.0
2015-12-31,T4,3.02,Custo dos Bens e/ou Serviços Vendidos,-3028174.0
2015-12-31,T4,3.02.01,Deduções da Receita Bruta,0.0
2015-12-31,T4,3.02.02,Custo de Bens e/ou Serviços Vendidos,-3028174.0
2015-12-31,T4,3.03,Resultado Bruto,436969.0
2015-12-31,T4,3.04,Despesas/Receitas Operacionais,-378593.0
2015-12-31,T4,3.04.01,Despesas com Vendas,0.0
2015-12-31,T4,3.04.02,Despesas Gerais e Administrativas,-357571.0
2015-12-31,T4,3.04.02.01,Gerais e Administrativas,-95155.0
2015-12-31,T4,3.04.02.02,Comerciais e Marketing,-148206.0
2015-12-31,T4,3.04.02.03,Logística e Distribuição,-114210.0
2015-12-31,T4,3.04.03,Perdas pela Não Recuperabilidade de Ativos,0.0
2015-12-31,T4,3.04.04,Outras Receitas Operacionais,10329.0
2015-12-31,T4,3.04.04.01,Receita de Serviços a Fornecedores,0.0
2015-12-31,T4,3.04.04.02,Outras Receitas Operacionais,10329.0
2015-12-31,T4,3.04.05,Outras Despesas Operacionais,-38257.0
2015-12-31,T4,3.04.05.01,Depreciação e Amortização,-16275.0
2015-12-31,T4,3.04.05.02,Despesas com colocação de Ações,0.0
2015-12-31,T4,3.04.05.03,Outras despesas Operacionais,-21982.0
2015-12-31,T4,3.04.06,Resultado de Equivalência Patrimonial,6906.0
2015-12-31,T4,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,58376.0
2015-12-31,T4,3.06,Resultado Financeiro,-78199.0
2015-12-31,T4,3.06.01,Receitas Financeiras,27457.0
2015-12-31,T4,3.06.02,Despesas Financeiras,-105656.0
2015-12-31,T4,3.07,Resultado Antes dos Tributos sobre o Lucro,-19823.0
2015-12-31,T4,3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-1359.0
2015-12-31,T4,3.08.01,Corrente,-817.0
2015-12-31,T4,3.08.02,Diferido,-542.0
2015-12-31,T4,3.09,Resultado Líquido das Operações Continuadas,-21182.0
2015-12-31,T4,3.10,Resultado Líquido de Operações Descontinuadas,0.0
2015-12-31,T4,3.10.01,Lucro/Prejuízo Líquido das Operações Descontinuadas,0.0
2015-12-31,T4,3.10.02,Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas,0.0
2015-12-31,T4,3.11,Lucro/Prejuízo Consolidado do Período,-21182.0
2015-12-31,T4,3.11.01,Atribuído a Sócios da Empresa Controladora,-21182.0
2015-12-31,T4,3.11.02,Atribuído a Sócios Não Controladores,0.0
2015-12-31,T4,3.99,Lucro por Ação - (Reais / Ação),0.0
2015-12-31,T4,3.99.01,Lucro Básico por Ação,0.0
2015-12-31,T4,3.99.01.01,ON,-0.506
2015-12-31,T4,3.99.02,Lucro Diluído por Ação,0.0
2015-12-31,T4,3.99.02.01,ON,-0.506
2016-12-31,T4,3.01,Receita de Venda de Bens e/ou Serviços,4084669.0
2016-12-31,T4,3.02,Custo dos Bens e/ou Serviços Vendidos,-3459416.0
2016-12-31,T4,3.02.01,Deduções da Receita Bruta,0.0
2016-12-31,T4,3.02.02,Custo de Bens e/ou Serviços Vendidos,-3459416.0
2016-12-31,T4,3.03,Resultado Bruto,625253.0
2016-12-31,T4,3.04,Despesas/Receitas Operacionais,-549089.0
2016-12-31,T4,3.04.01,Despesas com Vendas,0.0
2016-12-31,T4,3.04.02,Despesas Gerais e Administrativas,-504799.0
2016-12-31,T4,3.04.02.01,Gerais e Administrativas,-126725.0
2016-12-31,T4,3.04.02.02,Comerciais e Marketing,-255173.0
2016-12-31,T4,3.04.02.03,Logística e Distribuição,-122901.0
2016-12-31,T4,3.04.03,Perdas pela Não Recuperabilidade de Ativos,0.0
2016-12-31,T4,3.04.04,Outras Receitas Operacionais,0.0
2016-12-31,T4,3.04.04.01,Receita de Serviços a Fornecedores,0.0
2016-12-31,T4,3.04.04.02,Outras Receitas Operacionais,0.0
2016-12-31,T4,3.04.05,Outras Despesas Operacionais,-38720.0
2016-12-31,T4,3.04.05.01,Depreciação e Amortização,-19502.0
2016-12-31,T4,3.04.05.02,Despesas com colocação de Ações,0.0
2016-12-31,T4,3.04.05.03,Outras despesas Operacionais,-19218.0
2016-12-31,T4,3.04.06,Resultado de Equivalência Patrimonial,-5570.0
2016-12-31,T4,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,76164.0
2016-12-31,T4,3.06,Resultado Financeiro,-128582.0
2016-12-31,T4,3.06.01,Receitas Financeiras,29450.0
2016-12-31,T4,3.06.02,Despesas Financeiras,-158032.0
2016-12-31,T4,3.07,Resultado Antes dos Tributos sobre o Lucro,-52418.0
2016-12-31,T4,3.08,Imposto de Renda e Contribuição Social sobre o Lucro,3455.0
2016-12-31,T4,3.08.01,Corrente,-2476.0
2016-12-31,T4,3.08.02,Diferido,5931.0
2016-12-31,T4,3.09,Resultado Líquido das Operações Continuadas,-48963.0
2016-12-31,T4,3.10,Resultado Líquido de Operações Descontinuadas,0.0
2016-12-31,T4,3.10.01,Lucro/Prejuízo Líquido das Operações Descontinuadas,0.0
2016-12-31,T4,3.10.02,Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas,0.0
2016-12-31,T4,3.11,Lucro/Prejuízo Consolidado do Período,-48963.0
2016-12-31,T4,3.11.01,Atribuído a Sócios da Empresa Controladora,-48963.0
2016-12-31,T4,3.11.02,Atribuído a Sócios Não Controladores,0.0
2016-12-31,T4,3.99,Lucro por Ação - (Reais / Ação),0.0
2016-12-31,T4,3.99.01,Lucro Básico por Ação,0.0
2016-12-31,T4,3.99.01.01,ON,-0.822
2016-12-31,T4,3.99.02,Lucro Diluído por Ação,0.0
2016-12-31,T4,3.99.02.01,ON,-0.822
2017-12-31,T4,3.01,Receita de Venda de Bens e/ou Serviços,4100711.0
2017-12-31,T4,3.02,Custo dos Bens e/ou Serviços Vendidos,-3399743.0
2017-12-31,T4,3.02.01,Deduções da Receita Bruta,0.0
2017-12-31,T4,3.02.02,Custo de Bens e/ou Serviços Vendidos,-3399743.0
2017-12-31,T4,3.03,Resultado Bruto,700968.0
2017-12-31,T4,3.04,Despesas/Receitas Operacionais,-712233.0
2017-12-31,T4,3.04.01,Despesas com Vendas,0.0
2017-12-31,T4,3.04.02,Despesas Gerais e Administrativas,-652850.0
2017-12-31,T4,3.04.02.01,Gerais e Administrativas,-139495.0
2017-12-31,T4,3.04.02.02,Comerciais e Marketing,-381328.0
2017-12-31,T4,3.04.02.03,Logística e Distribuição,-132027.0
2017-12-31,T4,3.04.03,Perdas pela Não Recuperabilidade de Ativos,0.0
2017-12-31,T4,3.04.04,Outras Receitas Operacionais,0.0
2017-12-31,T4,3.04.04.01,Receita de Serviços a Fornecedores,0.0
2017-12-31,T4,3.04.04.02,Outras Receitas Operacionais,0.0
2017-12-31,T4,3.04.05,Outras Despesas Operacionais,-56248.0
2017-12-31,T4,3.04.05.01,Depreciação e Amortização,-31470.0
2017-12-31,T4,3.04.05.02,Despesas com colocação de Ações,0.0
2017-12-31,T4,3.04.05.03,Outras despesas Operacionais,-24778.0
2017-12-31,T4,3.04.06,Resultado de Equivalência Patrimonial,-3135.0
2017-12-31,T4,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,-11265.0
2017-12-31,T4,3.06,Resultado Financeiro,-142349.0
2017-12-31,T4,3.06.01,Receitas Financeiras,20982.0
2017-12-31,T4,3.06.02,Despesas Financeiras,-163331.0
2017-12-31,T4,3.07,Resultado Antes dos Tributos sobre o Lucro,-153614.0
2017-12-31,T4,3.08,Imposto de Renda e Contribuição Social sobre o Lucro,40894.0
2017-12-31,T4,3.08.01,Corrente,-971.0
2017-12-31,T4,3.08.02,Diferido,41865.0
2017-12-31,T4,3.09,Resultado Líquido das Operações Continuadas,-112720.0
2017-12-31,T4,3.10,Resultado Líquido de Operações Descontinuadas,0.0
2017-12-31,T4,3.10.01,Lucro/Prejuízo Líquido das Operações Descontinuadas,0.0
2017-12-31,T4,3.10.02,Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas,0.0
2017-12-31,T4,3.11,Lucro/Prejuízo Consolidado do Período,-112720.0
2017-12-31,T4,3.11.01,Atribuído a Sócios da Empresa Controladora,-112720.0
2017-12-31,T4,3.11.02,Atribuído a Sócios Não Controladores,0.0
2017-12-31,T4,3.99,Lucro por Ação - (Reais / Ação),0.0
2017-12-31,T4,3.99.01,Lucro Básico por Ação,0.0
2017-12-31,T4,3.99.01.01,ON,-1.56
2017-12-31,T4,3.99.02,Lucro Diluído por Ação,0.0
2017-12-31,T4,3.99.02.01,ON,-1.56
2018-12-31,T4,3.01,Receita de Venda de Bens e/ou Serviços,4271127.0
2018-12-31,T4,3.02,Custo dos Bens e/ou Serviços Vendidos,-3590217.0
2018-12-31,T4,3.02.01,Deduções da Receita Bruta,0.0
2018-12-31,T4,3.02.02,Custo de Bens e/ou Serviços Vendidos,-3590217.0
2018-12-31,T4,3.03,Resultado Bruto,680910.0
2018-12-31,T4,3.04,Despesas/Receitas Operacionais,-625997.0
2018-12-31,T4,3.04.01,Despesas com Vendas,0.0
2018-12-31,T4,3.04.02,Despesas Gerais e Administrativas,-605579.0
2018-12-31,T4,3.04.02.01,Gerais e Administrativas,-131761.0
2018-12-31,T4,3.04.02.02,Comerciais e Marketing,-347251.0
2018-12-31,T4,3.04.02.03,Logística e Distribuição,-126567.0
2018-12-31,T4,3.04.03,Perdas pela Não Recuperabilidade de Ativos,0.0
2018-12-31,T4,3.04.04,Outras Receitas Operacionais,11227.0
2018-12-31,T4,3.04.04.01,Receita de Serviços a Fornecedores,0.0
2018-12-31,T4,3.04.04.02,Outras Receitas Operacionais,11227.0
2018-12-31,T4,3.04.05,Outras Despesas Operacionais,-33733.0
2018-12-31,T4,3.04.05.01,Depreciação e Amortização,-33733.0
2018-12-31,T4,3.04.05.02,Despesas com colocação de Ações,0.0
2018-12-31,T4,3.04.05.03,Outras despesas Operacionais,0.0
2018-12-31,T4,3.04.06,Resultado de Equivalência Patrimonial,2088.0
2018-12-31,T4,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,54913.0
2018-12-31,T4,3.06,Resultado Financeiro,-85045.0
2018-12-31,T4,3.06.01,Receitas Financeiras,13594.0
2018-12-31,T4,3.06.02,Despesas Financeiras,-98639.0
2018-12-31,T4,3.07,Resultado Antes dos Tributos sobre o Lucro,-30132.0
2018-12-31,T4,3.08,Imposto de Renda e Contribuição Social sobre o Lucro,20398.0
2018-12-31,T4,3.08.01,Corrente,-609.0
2018-12-31,T4,3.08.02,Diferido,21007.0
2018-12-31,T4,3.09,Resultado Líquido das Operações Continuadas,-9734.0
2018-12-31,T4,3.10,Resultado Líquido de Operações Descontinuadas,0.0
2018-12-31,T4,3.10.01,Lucro/Prejuízo Líquido das Operações Descontinuadas,0.0
2018-12-31,T4,3.10.02,Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas,0.0
2018-12-31,T4,3.11,Lucro/Prejuízo Consolidado do Período,-9734.0
2018-12-31,T4,3.11.01,Atribuído a Sócios da Empresa Controladora,-9734.0
2018-12-31,T4,3.11.02,Atribuído a Sócios Não Controladores,0.0
2018-12-31,T4,3.99,Lucro por Ação - (Reais / Ação),0.0
2018-12-31,T4,3.99.01,Lucro Básico por Ação,0.0
2018-12-31,T4,3.99.01.01,ON,-0.083
2018-12-31,T4,3.99.02,Lucro Diluído por Ação,0.0
2018-12-31,T4,3.99.02.01,ON,-0.083
2019-12-31,T4,3.01,Receita de Venda de Bens e/ou Serviços,4801292.0
2019-12-31,T4,3.02,Custo dos Bens e/ou Serviços Vendidos,-4063455.0
2019-12-31,T4,3.02.02,Custo de bens e/ou serviços vendidos,-4063455.0
2019-12-31,T4,3.03,Resultado Bruto,737837.0
2019-12-31,T4,3.04,Despesas/Receitas Operacionais,-676888.0
2019-12-31,T4,3.04.01,Despesas com Vendas,0.0
2019-12-31,T4,3.04.02,Despesas Gerais e Administrativas,-555974.0
2019-12-31,T4,3.04.02.01,Gerias e administrativas,-127059.0
2019-12-31,T4,3.04.02.02,Comerciais e Marketing,-293428.0
2019-12-31,T4,3.04.02.03,Logistica e distribuição,-135487.0
2019-12-31,T4,3.04.03,Perdas pela Não Recuperabilidade de Ativos,0.0
2019-12-31,T4,3.04.04,Outras Receitas Operacionais,5844.0
2019-12-31,T4,3.04.04.02,Outras receitas operacionais,5844.0
2019-12-31,T4,3.04.05,Outras Despesas Operacionais,-129349.0
2019-12-31,T4,3.04.05.01,Depreciação e amortização,-129349.0
2019-12-31,T4,3.04.05.02,Provisao para perda credito esperado,0.0
2019-12-31,T4,3.04.05.03,Outras despesas operacionais,0.0
2019-12-31,T4,3.04.06,Resultado de Equivalência Patrimonial,2591.0
2019-12-31,T4,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,60949.0
2019-12-31,T4,3.06,Resultado Financeiro,-39392.0
2019-12-31,T4,3.06.01,Receitas Financeiras,62954.0
2019-12-31,T4,3.06.02,Despesas Financeiras,-102346.0
2019-12-31,T4,3.07,Resultado Antes dos Tributos sobre o Lucro,21557.0
2019-12-31,T4,3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-9579.0
2019-12-31,T4,3.08.01,Corrente,-530.0
2019-12-31,T4,3.08.02,Diferido,-9049.0
2019-12-31,T4,3.09,Resultado Líquido das Operações Continuadas,11978.0
2019-12-31,T4,3.10,Resultado Líquido de Operações Descontinuadas,0.0
2019-12-31,T4,3.10.01,Lucro/Prejuízo Líquido das Operações Descontinuadas,0.0
2019-12-31,T4,3.10.02,Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas,0.0
