cd_conta,conta,2021T4,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
2,Passivo Total,6573254.000,8051337.000,8597426.000,8439133.000,8465632.000,8703188.000,8988598.000,8767730.000,8583604.000,8642359.000,8983695.000,8668631.000,9115564.000,9267606.000
2.01,Passivo Circulante,2191432.000,2753469.000,2935820.000,2798045.000,2834116.000,2988533.000,3242528.000,3088507.000,2811240.000,3125267.000,3381427.000,3129900.000,3145956.000,3277315.000
2.01.01,Obrigações Sociais e Trabalhistas,103425.000,227070.000,158468.000,171021.000,207339.000,226295.000,163581.000,194592.000,224289.000,249078.000,188213.000,225071.000,248799.000,296980.000
2.01.02,Fornecedores,1306492.000,1649976.000,1590364.000,1590853.000,1616408.000,1659238.000,1936165.000,1749331.000,1775297.000,2037953.000,2340346.000,2037716.000,2150082.000,2195742.000
2.01.03,Obrigações Fiscais,94095.000,103265.000,167248.000,172664.000,102564.000,116322.000,111180.000,118181.000,52756.000,55602.000,126733.000,115995.000,138267.000,99366.000
2.01.04,Empréstimos e Financiamentos,435702.000,231273.000,472810.000,330996.000,322153.000,427052.000,430286.000,415936.000,138731.000,383320.000,369751.000,391173.000,253127.000,319608.000
2.01.05,Outras Obrigações,251718.000,541885.000,546930.000,532511.000,585652.000,559626.000,601316.000,610467.000,620167.000,399314.000,356384.000,359945.000,355681.000,365619.000
2.01.06,Provisões,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.02,Passivo Não Circulante,2291625.000,3037178.000,3318613.000,3354657.000,3379154.000,3150284.000,3085564.000,3069854.000,3127475.000,2846374.000,2879859.000,2808124.000,3183471.000,3130494.000
2.02.01,Empréstimos e Financiamentos,753909.000,1041948.000,1100597.000,1174907.000,1370056.000,1313395.000,1205139.000,1178371.000,1330661.000,1081633.000,1046625.000,1019848.000,1447512.000,1428642.000
2.02.02,Outras Obrigações,1515151.000,1966094.000,2127104.000,2089853.000,1924263.000,1756239.000,1801336.000,1813731.000,1731090.000,1702481.000,1763821.000,1718715.000,1691931.000,1671020.000
2.02.03,Tributos Diferidos,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.02.04,Provisões,22565.000,29136.000,90912.000,89897.000,84835.000,80650.000,79089.000,77752.000,65724.000,62260.000,69413.000,69561.000,44028.000,30832.000
2.02.05,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.02.06,Lucros e Receitas a Apropriar,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.03,Patrimônio Líquido Consolidado,2090197.000,2260690.000,2342993.000,2286431.000,2252362.000,2564371.000,2660506.000,2609369.000,2644889.000,2670718.000,2722409.000,2730607.000,2786137.000,2859797.000
2.03.01,Capital Social Realizado,1199219.000,1199219.000,1199219.000,1199219.000,1273000.000,1605068.000,1604848.000,1721858.000,1721858.000,1721858.000,1721858.000,1845958.000,1845958.000,1834758.000
2.03.02,Reservas de Capital,369696.000,370839.000,370885.000,438760.000,369353.000,373093.000,366612.000,379620.000,383127.000,367994.000,374967.000,378943.000,384265.000,393215.000
2.03.03,Reservas de Reavaliação,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.03.04,Reservas de Lucros,521282.000,521280.000,764448.000,702947.000,702947.000,702947.000,681529.000,537347.000,536829.000,536821.000,618018.000,493045.000,492910.000,492839.000
2.03.05,Lucros/Prejuízos Acumulados,0.000,161746.000,0.000,-62842.000,-99945.000,-123604.000,0.000,-36876.000,-4262.000,36636.000,0.000,4969.000,55202.000,131032.000
2.03.06,Ajustes de Avaliação Patrimonial,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.03.07,Ajustes Acumulados de Conversão,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.03.08,Outros Resultados Abrangentes,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.03.09,Participação dos Acionistas Não Controladores,0.000,7606.000,8441.000,8347.000,7007.000,6867.000,7517.000,7420.000,7337.000,7409.000,7566.000,7692.000,7802.000,7953.000
