data_fim,trimestre,cd_conta,ds_conta,valor_mil
2011-03-31,T1,1,Ativo Total,9306240.0
2011-03-31,T1,1.01,Caixa e Equivalentes de Caixa,132272.0
2011-03-31,T1,1.02,Aplicações Financeiras,4123539.0
2011-03-31,T1,1.02.01,Aplicações Financeiras Avaliadas a Valor Justo,4123539.0
2011-03-31,T1,1.02.01.01,Títulos para Negociação,3599427.0
2011-03-31,T1,1.02.01.02,Títulos Disponíveis para Venda,524112.0
2011-03-31,T1,1.02.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,0.0
2011-03-31,T1,1.02.02.01,Títulos Mantidos até o Vencimento,0.0
2011-03-31,T1,1.03,Empréstimos e Recebíveis,4763681.0
2011-03-31,T1,1.04,Tributos Diferidos,141018.0
2011-03-31,T1,1.04.01,Imposto de Renda e Contribuição Social Diferidos,141018.0
2011-03-31,T1,1.05,Outros Ativos,134257.0
2011-03-31,T1,1.05.01,Ativos Não Correntes a Venda,35724.0
2011-03-31,T1,1.05.02,Ativos de Operações Descontinuadas,0.0
2011-03-31,T1,1.05.03,Outros,98533.0
2011-03-31,T1,1.06,Investimentos,0.0
2011-03-31,T1,1.06.01,Participações em Coligadas,0.0
2011-03-31,T1,1.06.02,Outros,0.0
2011-03-31,T1,1.07,Imobilizado,8500.0
2011-03-31,T1,1.07.01,Imobilizado de Uso,8500.0
2011-03-31,T1,1.07.02,Imobilizado de Arrendamento,0.0
2011-03-31,T1,1.08,Intangível,2973.0
2011-03-31,T1,1.08.01,Intangíveis,2973.0
2011-03-31,T1,1.08.02,Goodwill,0.0
2011-06-30,T2,1,Ativo Total,9929594.0
2011-06-30,T2,1.01,Caixa e Equivalentes de Caixa,274915.0
2011-06-30,T2,1.02,Aplicações Financeiras,4446119.0
2011-06-30,T2,1.02.01,Aplicações Financeiras Avaliadas a Valor Justo,4446119.0
2011-06-30,T2,1.02.01.01,Títulos para Negociação,3853021.0
2011-06-30,T2,1.02.01.02,Títulos Disponíveis para Venda,593098.0
2011-06-30,T2,1.02.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,0.0
2011-06-30,T2,1.02.02.01,Títulos Mantidos até o Vencimento,0.0
2011-06-30,T2,1.03,Empréstimos e Recebíveis,4914357.0
2011-06-30,T2,1.04,Tributos Diferidos,112183.0
2011-06-30,T2,1.04.01,Imposto de Renda e Contribuição Social Diferidos,112183.0
2011-06-30,T2,1.05,Outros Ativos,171246.0
2011-06-30,T2,1.05.01,Ativos Não Correntes a Venda,22734.0
2011-06-30,T2,1.05.02,Ativos de Operações Descontinuadas,0.0
2011-06-30,T2,1.05.03,Outros,148512.0
2011-06-30,T2,1.06,Investimentos,0.0
2011-06-30,T2,1.06.01,Participações em Coligadas,0.0
2011-06-30,T2,1.06.02,Outros,0.0
2011-06-30,T2,1.07,Imobilizado,8070.0
2011-06-30,T2,1.07.01,Imobilizado de Uso,8070.0
2011-06-30,T2,1.07.02,Imobilizado de Arrendamento,0.0
2011-06-30,T2,1.08,Intangível,2704.0
2011-06-30,T2,1.08.01,Intangíveis,2704.0
2011-06-30,T2,1.08.02,Goodwill,0.0
2011-09-30,T3,1,Ativo Total,9965524.0
2011-09-30,T3,1.01,Caixa e Equivalentes de Caixa,270667.0
2011-09-30,T3,1.02,Aplicações Financeiras,4407729.0
2011-09-30,T3,1.02.01,Aplicações Financeiras Avaliadas a Valor Justo,4407729.0
2011-09-30,T3,1.02.01.01,Títulos para Negociação,3958115.0
