data_fim,trimestre,cd_conta,ds_conta,valor_mil
2022-03-31,T1,2,Passivo Total,14925450.0
2022-03-31,T1,2.01,Passivos Financeiros ao Valor Justo através do Resultado,1916857.0
2022-03-31,T1,2.02,Outros Passivos Financeiros Designados ao Valor Justo através do Resultado,0.0
2022-03-31,T1,2.03,Passivos Financeiros ao Custo Amortizado,12097274.0
2022-03-31,T1,2.04,Provisões,16890.0
2022-03-31,T1,2.05,Passivos Fiscais,2472.0
2022-03-31,T1,2.06,Outros Passivos,35436.0
2022-03-31,T1,2.07,Passivos sobre Ativos Não Correntes a Venda e Descontinuados,0.0
2022-03-31,T1,2.07.01,Passivos sobre Ativos Não Correntes a Venda,0.0
2022-03-31,T1,2.07.02,Passivos sobre Ativos de Operações Descontinuadas,0.0
2022-03-31,T1,2.08,Patrimônio Líquido Consolidado,856521.0
2022-03-31,T1,2.08.01,Capital Social Realizado,1252031.0
2022-03-31,T1,2.08.02,Reservas de Capital,0.0
2022-03-31,T1,2.08.02.01,Ágio na Emissão de Ações,0.0
2022-03-31,T1,2.08.02.02,Reserva Especial de Ágio na Incorporação,0.0
2022-03-31,T1,2.08.02.03,Alienação de Bônus de Subscrição,0.0
2022-03-31,T1,2.08.02.04,Opções Outorgadas,0.0
2022-03-31,T1,2.08.02.05,Ações em Tesouraria,0.0
2022-03-31,T1,2.08.03,Reservas de Reavaliação,0.0
2022-03-31,T1,2.08.04,Reservas de Lucros,0.0
2022-03-31,T1,2.08.04.01,Reserva Legal,0.0
2022-03-31,T1,2.08.04.02,Reserva Estatutária,0.0
2022-03-31,T1,2.08.04.03,Reserva para Contingências,0.0
2022-03-31,T1,2.08.04.04,Reserva de Lucros a Realizar,0.0
2022-03-31,T1,2.08.04.05,Reserva de Retenção de Lucros,0.0
2022-03-31,T1,2.08.04.06,Reserva Especial para Dividendos Não Distribuídos,0.0
2022-03-31,T1,2.08.04.07,Reserva de Incentivos Fiscais,0.0
2022-03-31,T1,2.08.04.08,Dividendo Adicional Proposto,0.0
2022-03-31,T1,2.08.04.09,Ações em Tesouraria,0.0
2022-03-31,T1,2.08.05,Lucros/Prejuízos Acumulados,-390574.0
2022-03-31,T1,2.08.06,Ajustes de Avaliação Patrimonial,-4936.0
2022-03-31,T1,2.08.07,Ajustes Acumulados de Conversão,0.0
2022-03-31,T1,2.08.08,Outros Resultados Abrangentes,0.0
2022-03-31,T1,2.08.09,Participação dos Acionistas Não Controladores,0.0
2022-06-30,T2,2,Passivo Total,14383483.0
2022-06-30,T2,2.01,Passivos Financeiros ao Valor Justo através do Resultado,1816027.0
2022-06-30,T2,2.02,Outros Passivos Financeiros Designados ao Valor Justo através do Resultado,0.0
2022-06-30,T2,2.03,Passivos Financeiros ao Custo Amortizado,11649060.0
2022-06-30,T2,2.04,Provisões,18342.0
2022-06-30,T2,2.05,Passivos Fiscais,2987.0
2022-06-30,T2,2.06,Outros Passivos,21282.0
2022-06-30,T2,2.07,Passivos sobre Ativos Não Correntes a Venda e Descontinuados,0.0
2022-06-30,T2,2.07.01,Passivos sobre Ativos Não Correntes a Venda,0.0
2022-06-30,T2,2.07.02,Passivos sobre Ativos de Operações Descontinuadas,0.0
2022-06-30,T2,2.08,Patrimônio Líquido Consolidado,875785.0
2022-06-30,T2,2.08.01,Capital Social Realizado,1263647.0
