data_fim,trimestre,cd_conta,ds_conta,valor_mil
2015-12-31,T4,6.01,Caixa Líquido Atividades Operacionais,430716.0
2015-12-31,T4,6.01.01,Caixa Gerado nas Operações,-238184.0
2015-12-31,T4,6.01.01.01,Lucro líquido do período,40757.0
2015-12-31,T4,6.01.01.02,Depreciação e Amortização do intangível,2678.0
2015-12-31,T4,6.01.01.03,Impostos diferidos,-389897.0
2015-12-31,T4,6.01.01.04,Impairment,136942.0
2015-12-31,T4,6.01.01.05,Provisões/Reversões para contingências (líquidas),-185.0
2015-12-31,T4,6.01.01.06,"Ganhos líquidos na alienação do ativo tangível, bens não de uso e investimentos",-1197.0
2015-12-31,T4,6.01.01.07,Ajuste ao valor de mercado de propriedade para investimento,0.0
2015-12-31,T4,6.01.01.08,Efeito das Mudanças das Taxas de Câmbio em Caixa e Equivalentes de Caixa,-27282.0
2015-12-31,T4,6.01.02,Variações nos Ativos e Passivos,668900.0
2015-12-31,T4,6.01.02.01,(Aumento) Redução Empréstimos e adiantamentos a instituições de crédito,15692.0
2015-12-31,T4,6.01.02.02,(Aumento) Redução instrumento de dívida,558851.0
2015-12-31,T4,6.01.02.03,(Aumento) Redução Instrumento de Patrimônio,-25945.0
2015-12-31,T4,6.01.02.04,(Aumento) Redução Derivativos (líquidos),-690532.0
2015-12-31,T4,6.01.02.05,(Aumento) Redução Empréstimos e adiantamentos a clientes,2096247.0
2015-12-31,T4,6.01.02.06,(Aumento) Redução Imposto de renda e contribuição social diferidos,168432.0
2015-12-31,T4,6.01.02.07,(Aumento) Redução Ativos não correntes para venda,-133532.0
2015-12-31,T4,6.01.02.08,(Aumento) Redução Imposto de renda a compensar,-16906.0
2015-12-31,T4,6.01.02.09,(Aumento) Redução em Devedores por Depósitos em Garantia,-4334.0
2015-12-31,T4,6.01.02.10,(Aumento) Redução Outros Ativos,68649.0
2015-12-31,T4,6.01.02.11,Aumento (Redução) Obrigações por titulos e valores mobiliarios,59948.0
2015-12-31,T4,6.01.02.12,Aumento (Redução) Obrigação por emprestimos de ações,0.0
2015-12-31,T4,6.01.02.13,Aumento (Redução) Depósitos de instituições de crédito e de clientes,-393020.0
2015-12-31,T4,6.01.02.14,Aumento (Redução) Captações no mercado aberto,331245.0
2015-12-31,T4,6.01.02.15,Aumento (Redução) Obrigações por empréstimos e repasses,-1211946.0
2015-12-31,T4,6.01.02.16,Aumento (Redução) Relações com correspondentes,0.0
2015-12-31,T4,6.01.02.17,Aumento (Redução) Obrigação por operações de venda ou de transferência de ativos financeiros,0.0
2015-12-31,T4,6.01.02.18,Aumento (Redução) Outros Passivos Financeiros,-7010.0
2015-12-31,T4,6.01.02.19,Aumento (Redução) Provisões e Passivos Fiscais,-1699.0
2015-12-31,T4,6.01.02.20,Aumento (Redução) Outras Obrigações,-145240.0
2015-12-31,T4,6.01.03,Outros,0.0
2015-12-31,T4,6.02,Caixa Líquido Atividades de Investimento,-101970.0
2015-12-31,T4,6.02.02,(Aquisição) de Imobilizado de uso,6158.0
2015-12-31,T4,6.02.03,(Aquisição) do Intangivel,-153.0
2015-12-31,T4,6.02.04,(Aquisição) / Alienação de propriedade para investimento,0.0
2015-12-31,T4,6.02.05,Aumento/Redução de capital em controladas,0.0
2015-12-31,T4,6.02.06,Aquisição/Alienação de investimentos em coligadas e controladas,-107975.0
2015-12-31,T4,6.03,Caixa Líquido Atividades de Financiamento,-165985.0
2015-12-31,T4,6.03.01,Dividendos / Juros Acionistas,-43456.0
2015-12-31,T4,6.03.02,Aquisições líquida de ações em tesouraria,-20083.0
2015-12-31,T4,6.03.03,Aumento (Redução) Dívidas subordinadas,-103815.0
2015-12-31,T4,6.03.04,Aumento de Capital,0.0
2015-12-31,T4,6.03.05,Agio por Subscrição de Ações,0.0
2015-12-31,T4,6.03.06,Cancelamento de ações em tesouraria,1369.0
2015-12-31,T4,6.04,Variação Cambial s/ Caixa e Equivalentes,27282.0
2015-12-31,T4,6.05,Aumento (Redução) de Caixa e Equivalentes,190043.0
2015-12-31,T4,6.05.01,Saldo Inicial de Caixa e Equivalentes,402583.0
2015-12-31,T4,6.05.02,Saldo Final de Caixa e Equivalentes,592626.0
2016-12-31,T4,6.01,Caixa Líquido Atividades Operacionais,202069.0
2016-12-31,T4,6.01.01,Caixa Gerado nas Operações,80471.0
2016-12-31,T4,6.01.01.01,Lucro líquido do período,-28514.0
2016-12-31,T4,6.01.01.02,Depreciação e Amortização do intangível,2037.0
2016-12-31,T4,6.01.01.03,Impostos diferidos,-20353.0
2016-12-31,T4,6.01.01.04,Impairment,92668.0
2016-12-31,T4,6.01.01.05,Provisões/Reversões para contingências (líquidas),248.0
2016-12-31,T4,6.01.01.06,"Ganhos líquidos na alienação do ativo tangível, bens não de uso e investimentos",342.0
2016-12-31,T4,6.01.01.07,Ajuste ao valor de mercado de propriedade para investimento,0.0
2016-12-31,T4,6.01.01.08,Efeito das Mudanças das Taxas de Câmbio em Caixa e Equivalentes de Caixa,34043.0
2016-12-31,T4,6.01.02,Variações nos Ativos e Passivos,121598.0
2016-12-31,T4,6.01.02.01,(Aumento) Redução Empréstimos e adiantamentos a instituições de crédito,4492.0
2016-12-31,T4,6.01.02.02,(Aumento) Redução instrumento de dívida,194019.0
2016-12-31,T4,6.01.02.03,(Aumento) Redução Instrumento de Patrimônio,35148.0
2016-12-31,T4,6.01.02.04,(Aumento) Redução Derivativos (líquidos),802867.0
2016-12-31,T4,6.01.02.05,(Aumento) Redução Empréstimos e adiantamentos a clientes,106978.0
2016-12-31,T4,6.01.02.06,(Aumento) Redução Imposto de renda e contribuição social diferidos,-70881.0
2016-12-31,T4,6.01.02.07,(Aumento) Redução Ativos não correntes para venda,10907.0
2016-12-31,T4,6.01.02.08,(Aumento) Redução Imposto de renda a compensar,20086.0
2016-12-31,T4,6.01.02.09,(Aumento) Redução em Devedores por Depósitos em Garantia,-3649.0
2016-12-31,T4,6.01.02.10,(Aumento) Redução Outros Ativos,47000.0
2016-12-31,T4,6.01.02.11,Aumento (Redução) Obrigações por titulos e valores mobiliarios,-503272.0
2016-12-31,T4,6.01.02.12,Aumento (Redução) Obrigação por emprestimos de ações,0.0
2016-12-31,T4,6.01.02.13,Aumento (Redução) Depósitos de instituições de crédito e de clientes,797257.0
2016-12-31,T4,6.01.02.14,Aumento (Redução) Captações no mercado aberto,-15869.0
2016-12-31,T4,6.01.02.15,Aumento (Redução) Obrigações por empréstimos e repasses,-1386961.0
2016-12-31,T4,6.01.02.16,Aumento (Redução) Relações com correspondentes,0.0
2016-12-31,T4,6.01.02.17,Aumento (Redução) Obrigação por operações de venda ou de transferência de ativos financeiros,0.0
2016-12-31,T4,6.01.02.18,Aumento (Redução) Outros Passivos Financeiros,6180.0
2016-12-31,T4,6.01.02.19,Aumento (Redução) Provisões e Passivos Fiscais,90587.0
2016-12-31,T4,6.01.02.20,Aumento (Redução) Outras Obrigações,-13291.0
2016-12-31,T4,6.01.03,Outros,0.0
2016-12-31,T4,6.02,Caixa Líquido Atividades de Investimento,-333.0
2016-12-31,T4,6.02.02,(Aquisição) de Imobilizado de uso,-398.0
2016-12-31,T4,6.02.03,(Aquisição) do Intangivel,65.0
2016-12-31,T4,6.02.04,(Aquisição) / Alienação de propriedade para investimento,0.0
2016-12-31,T4,6.02.05,Aumento/Redução de capital em controladas,0.0
2016-12-31,T4,6.02.06,Aquisição/Alienação de investimentos em coligadas e controladas,0.0
2016-12-31,T4,6.03,Caixa Líquido Atividades de Financiamento,-96338.0
2016-12-31,T4,6.03.01,Dividendos / Juros Acionistas,-41887.0
2016-12-31,T4,6.03.02,Aquisições líquida de ações em tesouraria,4216.0
2016-12-31,T4,6.03.03,Aumento (Redução) Dívidas subordinadas,-58667.0
2016-12-31,T4,6.03.04,Aumento de Capital,0.0
2016-12-31,T4,6.03.05,Agio por Subscrição de Ações,0.0
2016-12-31,T4,6.04,Variação Cambial s/ Caixa e Equivalentes,-34043.0
2016-12-31,T4,6.05,Aumento (Redução) de Caixa e Equivalentes,71355.0
2016-12-31,T4,6.05.01,Saldo Inicial de Caixa e Equivalentes,592626.0
2016-12-31,T4,6.05.02,Saldo Final de Caixa e Equivalentes,663981.0
2017-12-31,T4,6.01,Caixa Líquido Atividades Operacionais,605949.0
2017-12-31,T4,6.01.01,Caixa Gerado nas Operações,186690.0
2017-12-31,T4,6.01.01.01,Lucro líquido do período,-228383.0
2017-12-31,T4,6.01.01.02,Depreciação e Amortização do intangível,1592.0
2017-12-31,T4,6.01.01.03,Impostos diferidos,13326.0
2017-12-31,T4,6.01.01.04,Impairment,396340.0
2017-12-31,T4,6.01.01.05,Provisões/Reversões para contingências (líquidas),6080.0
2017-12-31,T4,6.01.01.06,"Ganhos líquidos na alienação do ativo tangível, bens não de uso e investimentos",-749.0
2017-12-31,T4,6.01.01.07,Ajuste ao valor de mercado de propriedade para investimento,0.0
2017-12-31,T4,6.01.01.08,Efeito das Mudanças das Taxas de Câmbio em Caixa e Equivalentes de Caixa,-1516.0
2017-12-31,T4,6.01.02,Variações nos Ativos e Passivos,419259.0
2017-12-31,T4,6.01.02.01,(Aumento) Redução Empréstimos e adiantamentos a instituições de crédito,0.0
2017-12-31,T4,6.01.02.02,(Aumento) Redução instrumento de dívida,394486.0
2017-12-31,T4,6.01.02.03,(Aumento) Redução Instrumento de Patrimônio,-168491.0
2017-12-31,T4,6.01.02.04,(Aumento) Redução Derivativos (líquidos),172079.0
2017-12-31,T4,6.01.02.05,(Aumento) Redução Empréstimos e adiantamentos a clientes,-385481.0
2017-12-31,T4,6.01.02.06,(Aumento) Redução Imposto de renda e contribuição social diferidos,-183353.0
2017-12-31,T4,6.01.02.07,(Aumento) Redução Ativos não correntes para venda,12476.0
2017-12-31,T4,6.01.02.08,(Aumento) Redução Imposto de renda a compensar,4554.0
2017-12-31,T4,6.01.02.09,(Aumento) Redução em Devedores por Depósitos em Garantia,-2806.0
2017-12-31,T4,6.01.02.10,(Aumento) Redução Outros Ativos,34616.0
2017-12-31,T4,6.01.02.11,Aumento (Redução) Obrigações por titulos e valores mobiliarios,-194740.0
2017-12-31,T4,6.01.02.12,Aumento (Redução) Obrigação por emprestimos de ações,0.0
2017-12-31,T4,6.01.02.13,Aumento (Redução) Depósitos de instituições de crédito e de clientes,1166282.0
2017-12-31,T4,6.01.02.14,Aumento (Redução) Captações no mercado aberto,-85914.0
2017-12-31,T4,6.01.02.15,Aumento (Redução) Obrigações por empréstimos e repasses,-392813.0
2017-12-31,T4,6.01.02.16,Aumento (Redução) Relações com correspondentes,0.0
2017-12-31,T4,6.01.02.17,Aumento (Redução) Obrigação por operações de venda ou de transferência de ativos financeiros,0.0
2017-12-31,T4,6.01.02.18,Aumento (Redução) Outros Passivos Financeiros,5880.0
2017-12-31,T4,6.01.02.19,Aumento (Redução) Provisões e Passivos Fiscais,43876.0
2017-12-31,T4,6.01.02.20,Aumento (Redução) Outras Obrigações,-1392.0
2017-12-31,T4,6.01.03,Outros,0.0
2017-12-31,T4,6.02,Caixa Líquido Atividades de Investimento,6711.0
2017-12-31,T4,6.02.02,(Aquisição) de Imobilizado de uso,6716.0
2017-12-31,T4,6.02.03,(Aquisição) do Intangivel,-5.0
2017-12-31,T4,6.02.04,(Aquisição) / Alienação de propriedade para investimento,0.0
2017-12-31,T4,6.02.05,Aumento/Redução de capital em controladas,0.0
2017-12-31,T4,6.02.06,Aquisição/Alienação de investimentos em coligadas e controladas,0.0
2017-12-31,T4,6.03,Caixa Líquido Atividades de Financiamento,-120168.0
2017-12-31,T4,6.03.01,Dividendos / Juros Acionistas,0.0
2017-12-31,T4,6.03.02,Aquisições líquida de ações em tesouraria,7436.0
2017-12-31,T4,6.03.03,Aumento (Redução) Dívidas subordinadas,-127604.0
2017-12-31,T4,6.03.04,Aumento de Capital,0.0
2017-12-31,T4,6.03.05,Agio por Subscrição de Ações,0.0
2017-12-31,T4,6.03.06,Cancelamento de ações em tesouraria,0.0
2017-12-31,T4,6.04,Variação Cambial s/ Caixa e Equivalentes,1516.0
2017-12-31,T4,6.05,Aumento (Redução) de Caixa e Equivalentes,494008.0
2017-12-31,T4,6.05.01,Saldo Inicial de Caixa e Equivalentes,663981.0
2017-12-31,T4,6.05.02,Saldo Final de Caixa e Equivalentes,1157989.0
2018-12-31,T4,6.01,Caixa Líquido Atividades Operacionais,-98929.0
2018-12-31,T4,6.01.01,Caixa Gerado nas Operações,-142111.0
2018-12-31,T4,6.01.01.01,Lucro líquido do período,-43094.0
2018-12-31,T4,6.01.01.02,Depreciação e Amortização do intangível,698.0
2018-12-31,T4,6.01.01.03,Impostos diferidos,-18882.0
2018-12-31,T4,6.01.01.04,Impairment,-53568.0
2018-12-31,T4,6.01.01.05,Provisões/Reversões para contingências (líquidas),-5638.0
2018-12-31,T4,6.01.01.06,"Ganhos líquidos na alienação do ativo tangível, bens não de uso e investimentos",-26.0
2018-12-31,T4,6.01.01.07,Ajuste ao valor de mercado de propriedade para investimento,0.0
2018-12-31,T4,6.01.01.08,Efeito das Mudanças das Taxas de Câmbio em Caixa e Equivalentes de Caixa,-21601.0
2018-12-31,T4,6.01.02,Variações nos Ativos e Passivos,43182.0
