cd_conta_padrao,ds_conta_padrao,2015-T4,2016-T4,2017-T4,2018-T4,2019-T4,2020-T4,2021-T4,2022-T1,2022-T2,2022-T3,2022-T4,2023-T1,2023-T2,2023-T3,2023-T4,2024-T1,2024-T2,2024-T3,2024-T4,2025-T1,2025-T2,2025-T3
1,Ativo Total,8780467.0,8285466.0,8799671.0,9273730.0,10000738.0,13449080.0,15045370.0,14925450.0,14383483.0,14764712.0,16014008.0,17701368.0,17625782.0,19463408.0,20548981.0,23178238.0,24750.777,25041.861,26994482.0,27333641.0,28656693.0,29292312.0
1.01,Ativo Circulante,592626.0,663981.0,1157989.0,1453338.0,85569.0,230437.0,222710.0,120930.0,163356.0,62200.0,105740.0,91350.0,451014.0,129903.0,205863.0,295093.0,1126.868,1010.354,2327961.0,336536.0,869197.0,239188.0
1.01.01,Caixa e Equivalentes de Caixa,,,,,,,,,,,,,,,,,,,,336536.0,869197.0,239188.0
1.01.02,Aplicações Financeiras,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
1.01.03,Contas a Receber,,,,,,,,,,,,,,,,,,,,,,
1.01.04,Estoques,,,,,,,,,,,,,,,,,,,,,,
1.01.05,Ativos Biológicos,,,,,,,,,,,,,,,,,,,,,,
1.01.06,Tributos a Recuperar,,,,,,,,,,,,,,,,,,,,,,
1.01.07,Despesas Antecipadas,,,,,,,,,,,,,,,,,,,,,,
1.01.08,Outros Ativos Circulantes,,,,,,,,,,,,,,,,,,,,,,
1.02,Ativo Não Circulante,3166285.0,2987717.0,2839088.0,6429296.0,7859169.0,11263491.0,12898108.0,12848411.0,12237899.0,12729621.0,13863272.0,15590828.0,15104676.0,17110401.0,18481653.0,20962633.0,21516.229,21949.594,22310000.0,22073131.0,23361347.0,24887688.0
1.02.01,Ativo Realizável a Longo Prazo,3166285.0,2987717.0,2839088.0,2970766.0,2424485.0,2542298.0,1933514.0,1863276.0,1409273.0,1643016.0,1489075.0,1754041.0,1828794.0,3028982.0,6237273.0,6537134.0,5258.4890000000005,5582.003,6324833.0,0.0,0.0,0.0
1.02.02,Investimentos,0.0,0.0,0.0,728243.0,2262113.0,2444767.0,836201.0,957097.0,1082752.0,689584.0,1002856.0,1625391.0,1564280.0,1763016.0,990283.0,1683858.0,1971.446,2408.474,2307772.0,6025674.0,7086522.0,7030166.0
1.02.03,Imobilizado,,,,2730287.0,3172571.0,6276426.0,10128393.0,10028038.0,9745874.0,10397021.0,11371341.0,12211396.0,11711602.0,12318403.0,11254097.0,12741641.0,14286.294,13959.117,13677395.0,1945926.0,1975556.0,2257480.0
1.02.04,Intangível,,,,,,,,,,,,,,,,,,,,14101531.0,14299269.0,15600042.0
