cd_conta,conta,2010T4,2011T1,2011T2,2011T3,2011T4,2012T1,2012T2,2012T3,2012T4,2013T1,2013T2,2013T3,2013T4,2014T1,2014T2,2014T3,2014T4,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
1,Ativo Total,876346.000,934732.000,977469.000,991365.000,969278.000,973306.000,984766.000,996492.000,996635.000,1039773.000,1039626.000,1014212.000,975255.000,883202.000,871001.000,863189.000,818263.000,802251.000,776626.000,755157.000,638763.000,620702.000,602334.000,605189.000,581418.000,577381.000,555930.000,559226.000,533380.000,518958.000,505760.000,500682.000,433256.000,531572.000,499632.000,496178.000,631482.000,610397.000,579020.000,581099.000,605117.000,621823.000,632095.000,596139.000,618665.000,709604.000,703301.000,724793.000,725491.000,706332.000,658811.000,666917.000,679089.000,705175.000,686298.000,674198.000,662858.000,635494.000,622657.000,631440.000
1.01,Ativo Circulante,322121.000,327039.000,356701.000,427872.000,358139.000,336926.000,324137.000,332219.000,315801.000,324805.000,310224.000,280635.000,238273.000,205282.000,210266.000,210875.000,173318.000,165714.000,151683.000,142880.000,101985.000,94464.000,85996.000,98978.000,84692.000,89892.000,77274.000,89875.000,73729.000,68305.000,63822.000,66555.000,54839.000,68696.000,94018.000,104367.000,142117.000,131141.000,103449.000,119162.000,168283.000,195359.000,202049.000,178243.000,199935.000,197871.000,212484.000,236184.000,238038.000,219839.000,179431.000,192458.000,214298.000,250079.000,235722.000,237047.000,236174.000,206834.000,192008.000,207452.000
1.01.01,Caixa e Equivalentes de Caixa,2143.000,2579.000,3949.000,2602.000,2831.000,894.000,2720.000,3486.000,2063.000,2404.000,2190.000,1688.000,1640.000,1828.000,1554.000,1004.000,844.000,173.000,115.000,176.000,315.000,57.000,507.000,249.000,459.000,480.000,327.000,1580.000,1128.000,974.000,196.000,840.000,303.000,5501.000,14549.000,12847.000,17383.000,28635.000,20789.000,18878.000,33681.000,34415.000,21330.000,13965.000,12487.000,7595.000,11728.000,18294.000,24815.000,10491.000,7093.000,12076.000,16841.000,29584.000,27039.000,29951.000,35510.000,21265.000,15581.000,10819.000
1.01.02,Aplicações Financeiras,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.01.03,Contas a Receber,155161.000,155766.000,176016.000,238071.000,163465.000,183316.000,164292.000,169281.000,155967.000,165164.000,157430.000,132560.000,103255.000,110039.000,112618.000,115458.000,94055.000,88500.000,77697.000,72922.000,41071.000,35223.000,27313.000,42845.000,30280.000,28389.000,24310.000,36677.000,32919.000,25801.000,23054.000,28554.000,19232.000,28248.000,39797.000,43456.000,28451.000,23411.000,18175.000,36692.000,61188.000,78117.000,70743.000,40462.000,34345.000,54156.000,49651.000,63460.000,63217.000,85254.000,66301.000,74696.000,93077.000,115084.000,106002.000,105156.000,111338.000,107836.000,94223.000,112649.000
1.01.04,Estoques,138966.000,143723.000,157696.000,164550.000,169365.000,135724.000,140274.000,143234.000,137266.000,140707.000,133946.000,129128.000,115896.000,83512.000,86367.000,84447.000,68761.000,67481.000,63919.000,59544.000,56388.000,55065.000,55349.000,53700.000,52094.000,59490.000,51325.000,50704.000,38826.000,40615.000,39577.000,36129.000,34497.000,34168.000,38813.000,45078.000,44439.000,50902.000,48560.000,47054.000,43008.000,56753.000,83507.000,100192.000,118357.000,108621.000,109155.000,116207.000,120288.000,106014.000,99967.000,99679.000,99014.000,99727.000,96864.000,96135.000,85360.000,73698.000,78034.000,80246.000
1.01.05,Ativos Biológicos,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.01.06,Tributos a Recuperar,25851.000,24971.000,19040.000,21743.000,22478.000,16992.000,16851.000,16218.000,20505.000,16530.000,16658.000,17259.000,17482.000,9903.000,9727.000,9966.000,9658.000,9560.000,9952.000,10238.000,4211.000,4119.000,2827.000,2184.000,1859.000,1533.000,1312.000,914.000,856.000,915.000,995.000,1032.000,807.000,779.000,859.000,2986.000,51844.000,28193.000,15925.000,16538.000,30406.000,26074.000,26469.000,23624.000,34746.000,27499.000,41950.000,38223.000,29718.000,18080.000,6070.000,6007.000,5366.000,5684.000,5817.000,5805.000,3966.000,4035.000,4170.000,3738.000
1.01.07,Despesas Antecipadas,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.01.08,Outros Ativos Circulantes,0.000,0.000,0.000,906.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
