codigo,nome,categoria,unidade,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,LTM
P_L,P/L,Valuation,x,-0.0521,-0.0844,-0.4002,-0.4053,-13.5633,-0.5989,-1.0948,-1.2154,-127.2126,-0.6439,-0.3457,-0.3457
P_VPA,P/VPA,Valuation,x,0.1547,-0.1148,-0.112,-0.2027,-1.2821,-0.3704,-0.4297,-0.2889,-0.2219,-0.1364,-0.0904,-0.0904
EV_EBITDA,EV/EBITDA,Valuation,x,7.9022,-4.9745,554.4673,-6.4323,4.0481,-9.8166,3.3446,7.05,2.405,4.7521,3.9808,3.9808
EV_EBIT,EV/EBIT,Valuation,x,-6.5126,-3.1249,-9.568,-4.3664,42.4741,-2.6323,-7.7311,111.0085,7.3525,20.6151,-13.6787,-13.6787
EV_RECEITA,EV/Receita,Valuation,x,0.6933,1.0094,1.0244,1.5817,0.6648,0.5964,0.5155,0.4692,0.3897,0.3125,0.2889,0.2889
DY,Dividend Yield,Valuation,%,,,,,,,,,,,,
PAYOUT,Payout,Valuation,%,,,,,,,,,,,,
ROE,ROE,Rentabilidade,%,-297.1952,425.5558,32.5446,66.7032,2.3251,89.5214,48.8274,26.9776,0.1746,23.6916,30.0761,30.0761
ROA,ROA,Rentabilidade,%,-31.0859,-41.3237,-12.9216,-53.285,-1.282,-18.925,-19.9758,-14.4509,-0.1017,-16.3933,-26.9756,-26.9756
ROIC,ROIC,Rentabilidade,%,-8.6659,-50.5742,-24.4417,117.3132,3.9655,141.1655,20.8375,-1.8393,-25.2922,-4.7899,4.1117,4.1117
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,8.7731,-20.292,0.1847,-24.5896,16.4225,-6.0755,15.414,6.6552,16.2041,6.5762,7.2574,7.2574
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,-41.3011,-71.7481,-18.5071,-74.2562,-1.6746,-31.6947,-19.9499,-11.4504,-0.0754,-9.7186,-15.0559,-15.0559
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,7.6571,-4.6762,514.3741,-5.2084,2.6651,-6.6923,1.9276,4.9589,1.8132,3.8005,3.2636,3.2636
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,4.8339,-1.7994,-1.4372,-0.8627,-2.4704,-0.7933,-0.5845,-0.6851,-0.6799,-0.5447,-0.4113,-0.4113
ICJ,ICJ,Endividamento,x,-0.6091,-0.8655,-0.3973,-0.9804,0.5533,-2.5609,-0.5026,0.036,0.4581,0.1134,-0.1407,-0.1407
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,100.0,100.0,100.0,100.0,27.002,23.4176,27.2852,38.3538,52.5668,50.3245,61.1318,61.1318
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,0.1941,0.1183,0.1168,0.0717,0.4427,0.6141,0.4371,0.3938,0.4466,0.4764,0.3216,0.3216
LIQ_SECA,Liquidez Seca,Liquidez,x,0.0868,0.0455,0.0553,0.0266,0.3042,0.4571,0.1783,0.1948,0.2403,0.3042,0.1972,0.1972
LIQ_GERAL,Liquidez Geral,Liquidez,x,0.2154,0.1365,0.1185,0.0792,0.3979,0.3766,0.3133,0.2784,0.2636,0.2434,0.195,0.195
GIRO_ATIVO,Giro do Ativo,Eficiência,x,0.7527,0.6044,0.7296,0.8005,0.6454,0.6101,0.9903,1.1691,1.3947,1.7075,1.8524,1.8524
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,36.1928,43.4987,18.4659,31.501,46.3021,65.56,49.1177,43.2444,34.8711,35.0798,22.9956,22.9956
PME,PME,Eficiência,dias,45.4504,48.4741,38.0708,36.9679,42.52,41.4114,75.2286,59.4666,42.8758,31.8879,28.0402,28.0402
NCG_RECEITA,NCG/Receita,Eficiência,%,-20.9204,-84.7441,-48.205,-76.4942,-35.2018,-26.1122,-35.4029,-32.3476,-13.4309,-11.9151,-23.2923,-23.2923
