cd_conta,conta,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
2,Passivo Total,693536.000,754687.000,895998.000,958915.000,961345.000,1170289.000,1143934.000,1179964.000,1268517.000,1377375.000,1394926.000,1467752.000,1621634.000,1680786.000,1891634.000,1983031.000,2039019.000,2029517.000,2064050.000,2469585.000,2581180.000,2501662.000,3049801.000,3827834.000
2.01,Passivo Circulante,130593.000,149097.000,153165.000,147295.000,153063.000,200128.000,156433.000,169779.000,239360.000,250171.000,268233.000,285905.000,423466.000,493483.000,499049.000,573428.000,657486.000,622918.000,551192.000,484435.000,593420.000,680215.000,684815.000,893730.000
2.01.01,Obrigações Sociais e Trabalhistas,9852.000,7996.000,9726.000,11144.000,15541.000,12816.000,17989.000,21777.000,19151.000,20546.000,20124.000,23889.000,25029.000,23059.000,23375.000,28415.000,29071.000,31469.000,31495.000,40626.000,44360.000,47151.000,44771.000,56665.000
2.01.02,Fornecedores,19153.000,25425.000,27803.000,24770.000,51336.000,79583.000,69371.000,68534.000,70986.000,77839.000,84003.000,97416.000,190265.000,211085.000,234273.000,240202.000,246713.000,249534.000,208263.000,235239.000,232585.000,441270.000,329265.000,345826.000
2.01.03,Obrigações Fiscais,9201.000,12938.000,11024.000,9793.000,12215.000,15397.000,16086.000,15485.000,15301.000,16339.000,14875.000,18829.000,20908.000,24517.000,28437.000,32539.000,36202.000,24198.000,29038.000,33440.000,41765.000,45531.000,46185.000,54729.000
2.01.04,Empréstimos e Financiamentos,31736.000,30376.000,30035.000,30200.000,119.000,143.000,1597.000,17421.000,59793.000,51592.000,106702.000,105598.000,118476.000,109440.000,113149.000,151261.000,134708.000,125444.000,103365.000,1442.000,30189.000,31492.000,135037.000,181927.000
2.01.05,Outras Obrigações,55431.000,68259.000,70048.000,65433.000,68402.000,85063.000,42009.000,39794.000,67084.000,77254.000,35247.000,32899.000,59724.000,105899.000,74514.000,106089.000,178826.000,152887.000,139565.000,135334.000,200585.000,74244.000,96802.000,212299.000
2.01.06,Provisões,5220.000,4103.000,4529.000,5955.000,5450.000,7126.000,9381.000,6768.000,7045.000,6601.000,7282.000,7274.000,9064.000,19483.000,25301.000,14922.000,31966.000,39386.000,39466.000,38354.000,43936.000,40527.000,32755.000,42284.000
2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.02,Passivo Não Circulante,467019.000,489268.000,597591.000,597214.000,578138.000,690024.000,698370.000,682160.000,711934.000,795127.000,778081.000,798179.000,789186.000,734505.000,867452.000,770635.000,735419.000,753780.000,757297.000,1075599.000,1072114.000,956334.000,1376603.000,1851909.000
2.02.01,Empréstimos e Financiamentos,208647.000,251554.000,322397.000,344357.000,290570.000,372568.000,343106.000,305681.000,346177.000,360962.000,357004.000,359638.000,414330.000,382024.000,439946.000,313779.000,252827.000,244401.000,274282.000,584479.000,558601.000,566823.000,602766.000,868113.000
2.02.02,Outras Obrigações,248584.000,225894.000,263967.000,240162.000,7468.000,7962.000,8393.000,8383.000,8967.000,9469.000,10001.000,10726.000,37437.000,12193.000,13187.000,17639.000,19231.000,16939.000,17239.000,14258.000,72977.000,68536.000,60099.000,126893.000
2.02.03,Tributos Diferidos,852.000,1376.000,590.000,825.000,645.000,771.000,1482.000,2139.000,2711.000,2552.000,3954.000,5687.000,5171.000,4901.000,5916.000,7436.000,7817.000,16027.000,16027.000,15248.000,12217.000,12539.000,16688.000,17917.000
2.02.04,Provisões,8936.000,10444.000,10637.000,11870.000,279455.000,308723.000,345389.000,365957.000,354079.000,422144.000,407122.000,422128.000,332248.000,335387.000,408403.000,431781.000,455544.000,476413.000,449749.000,461614.000,408402.000,308436.000,697050.000,819980.000
2.02.05,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.02.06,Lucros e Receitas a Apropriar,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,19917.000,0.000,0.000,19006.000
2.03,Patrimônio Líquido Consolidado,95924.000,116322.000,145242.000,214406.000,230144.000,280137.000,289131.000,328025.000,317223.000,332077.000,348612.000,383668.000,408982.000,452798.000,525133.000,638968.000,646114.000,652819.000,755561.000,909551.000,915646.000,865113.000,988383.000,1082195.000
2.03.01,Capital Social Realizado,10.000,10.000,10.000,95557.000,93231.000,93231.000,93231.000,93231.000,93231.000,168231.000,168231.000,168231.000,175227.000,168231.000,168231.000,175228.000,175228.000,175228.000,175228.000,175228.000,175228.000,175228.000,175228.000,175228.000
2.03.02,Reservas de Capital,-14980.000,-14980.000,-14980.000,-14550.000,-14547.000,-14547.000,-14547.000,-15715.000,-21855.000,-29026.000,-31824.000,-31303.000,-26180.000,-30226.000,-29700.000,-26181.000,-26181.000,-26181.000,-26181.000,-24050.000,-23292.000,-21807.000,-10166.000,-10166.000
2.03.03,Reservas de Reavaliação,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.03.04,Reservas de Lucros,110867.000,131262.000,160212.000,133399.000,151460.000,201466.000,210461.000,250523.000,245862.000,192888.000,212221.000,246756.000,261189.000,313558.000,382532.000,448274.000,468100.000,474104.000,570236.000,690230.000,695299.000,648160.000,746096.000,824518.000
2.03.05,Lucros/Prejuízos Acumulados,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.03.06,Ajustes de Avaliação Patrimonial,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.03.07,Ajustes Acumulados de Conversão,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.03.08,Outros Resultados Abrangentes,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.03.09,Participação dos Acionistas Não Controladores,27.000,30.000,0.000,0.000,0.000,-13.000,-14.000,-14.000,-15.000,-16.000,-16.000,-16.000,-1254.000,1235.000,4070.000,41647.000,28967.000,29668.000,36278.000,68143.000,68411.000,63532.000,77225.000,92615.000
