data_fim,trimestre,cd_conta,ds_conta,valor_mil
2020-12-31,T4,6.01,Caixa Líquido Atividades Operacionais,739.0
2020-12-31,T4,6.01.01,Caixa Gerado nas Operações,174478.0
2020-12-31,T4,6.01.01.01,Resultado antes da contribuição social e impostos de renda,152187.0
2020-12-31,T4,6.01.01.02,Depreciação e amortização,280.0
2020-12-31,T4,6.01.01.03,Amortização de stand de vendas,14500.0
2020-12-31,T4,6.01.01.04,Amortização de arrendamentos,1174.0
2020-12-31,T4,6.01.01.05,Resultado de equivalência patrimonial,0.0
2020-12-31,T4,6.01.01.06,Encargos financeiros sobre empréstimos e financiamentos,829.0
2020-12-31,T4,6.01.01.07,Encargos financeiros sobre arrendamentos,416.0
2020-12-31,T4,6.01.01.08,Tributos diferidos sobre as receitas,1092.0
2020-12-31,T4,6.01.01.09,Reversão (Provisão) para Distrato,4831.0
2020-12-31,T4,6.01.01.10,Receita de indenização por distrato,65.0
2020-12-31,T4,6.01.01.11,Ajuste a valor presente em clientes,-1760.0
2020-12-31,T4,6.01.01.12,Provisão para distratos em custos,-2592.0
2020-12-31,T4,6.01.01.13,Provisão para perda esperada para risco de crédito,-18.0
2020-12-31,T4,6.01.01.14,Provisão para garantia,2944.0
2020-12-31,T4,6.01.01.15,Provisão para contingências,530.0
2020-12-31,T4,6.01.02,Variações nos Ativos e Passivos,-173739.0
2020-12-31,T4,6.01.02.01,Contas a receber,-69834.0
2020-12-31,T4,6.01.02.02,Imóveis a comercializar,30666.0
2020-12-31,T4,6.01.02.03,Tributos a recuperar,330.0
2020-12-31,T4,6.01.02.04,Outros créditos,-16665.0
2020-12-31,T4,6.01.02.05,Fornecedores,3263.0
2020-12-31,T4,6.01.02.06,Credores a pagar por aquisição de imóveis,-99237.0
2020-12-31,T4,6.01.02.07,Obrigações sociais e tributárias,6245.0
2020-12-31,T4,6.01.02.08,Adiantamentos de clientes,-9038.0
2020-12-31,T4,6.01.02.09,Outros débitos com terceiros - SCP's,196.0
2020-12-31,T4,6.01.02.10,Pagamentos de contingências,-841.0
2020-12-31,T4,6.01.02.11,Pagamentos dos tributos de IRPJ e CSLL,-18824.0
2020-12-31,T4,6.01.03,Outros,0.0
2020-12-31,T4,6.02,Caixa Líquido Atividades de Investimento,-11739.0
2020-12-31,T4,6.02.01,Aquisições e aportes em investidas,0.0
2020-12-31,T4,6.02.02,Movimentação em não controladores,0.0
2020-12-31,T4,6.02.03,Acréscimo/baixa do Imobilizado,-11739.0
2020-12-31,T4,6.03,Caixa Líquido Atividades de Financiamento,56295.0
2020-12-31,T4,6.03.01,Dividendos pagos,0.0
2020-12-31,T4,6.03.02,Partes relacionadas,-2562.0
2020-12-31,T4,6.03.03,Integralização de capital,40006.0
2020-12-31,T4,6.03.04,Custos de transação captalizados,-6997.0
2020-12-31,T4,6.03.05,Pagamentos de emprestimos e financiamentos,-412877.0
2020-12-31,T4,6.03.06,Pagamento de arrendamentos,-1692.0
2020-12-31,T4,6.03.07,Empréstimos e financiamentos captados,440417.0
2020-12-31,T4,6.04,Variação Cambial s/ Caixa e Equivalentes,0.0
2020-12-31,T4,6.05,Aumento (Redução) de Caixa e Equivalentes,45295.0
2020-12-31,T4,6.05.01,Saldo Inicial de Caixa e Equivalentes,158928.0
2020-12-31,T4,6.05.02,Saldo Final de Caixa e Equivalentes,204223.0
2021-12-31,T4,6.01,Caixa Líquido Atividades Operacionais,73711.0
2021-12-31,T4,6.01.01,Caixa Gerado nas Operações,192133.0
2021-12-31,T4,6.01.01.01,Resultado antes da contribuição social e impostos de renda,161897.0
2021-12-31,T4,6.01.01.02,Depreciação e amortização,696.0
2021-12-31,T4,6.01.01.03,Amortização de stand de vendas,18608.0
2021-12-31,T4,6.01.01.04,Amortização de arrendamentos,1651.0
2021-12-31,T4,6.01.01.05,Resultado de equivalência patrimonial,2.0
2021-12-31,T4,6.01.01.06,Encargos financeiros sobre empréstimos e financiamentos,0.0
2021-12-31,T4,6.01.01.07,Encargos financeiros sobre arrendamentos,243.0
2021-12-31,T4,6.01.01.08,Tributos diferidos sobre as receitas,1926.0
2021-12-31,T4,6.01.01.09,Reversão (Provisão) para Distrato,-1409.0
2021-12-31,T4,6.01.01.10,Receita de indenização por distrato,-137.0
2021-12-31,T4,6.01.01.11,Ajuste a valor presente em clientes,3652.0
2021-12-31,T4,6.01.01.12,Provisão para distratos em custos,45.0
2021-12-31,T4,6.01.01.13,Provisão para perda esperada para risco de crédito,1797.0
2021-12-31,T4,6.01.01.14,Provisão para garantia,1628.0
2021-12-31,T4,6.01.01.15,Provisão para contingências,-289.0
2021-12-31,T4,6.01.01.16,Encargos financeiros sobre debêntures,1823.0
2021-12-31,T4,6.01.02,Variações nos Ativos e Passivos,-118422.0
2021-12-31,T4,6.01.02.01,Contas a receber,-54241.0
2021-12-31,T4,6.01.02.02,Imóveis a comercializar,61433.0
2021-12-31,T4,6.01.02.03,Tributos a recuperar,-905.0
2021-12-31,T4,6.01.02.04,Outros créditos,-5656.0
2021-12-31,T4,6.01.02.05,Fornecedores,15327.0
2021-12-31,T4,6.01.02.06,Credores a pagar por aquisição de imóveis,-115084.0
2021-12-31,T4,6.01.02.07,Obrigações sociais e tributárias,4648.0
2021-12-31,T4,6.01.02.08,Adiantamentos de clientes,-517.0
2021-12-31,T4,6.01.02.09,Outros débitos com terceiros - SCP's,1731.0
2021-12-31,T4,6.01.02.10,Pagamentos de contingências,-533.0
2021-12-31,T4,6.01.02.11,Pagamentos dos tributos de IRPJ e CSLL,-24625.0
2021-12-31,T4,6.01.03,Outros,0.0
2021-12-31,T4,6.02,Caixa Líquido Atividades de Investimento,-117887.0
2021-12-31,T4,6.02.01,Aquisições e aportes em investidas,-2000.0
2021-12-31,T4,6.02.02,Movimentação em não controladores,-13.0
2021-12-31,T4,6.02.03,Acréscimo/baixa do Imobilizado,-24841.0
2021-12-31,T4,6.02.04,Aumento/redução em aplicações financeiras com restrições,-91033.0
2021-12-31,T4,6.03,Caixa Líquido Atividades de Financiamento,40291.0
2021-12-31,T4,6.03.01,Dividendos pagos,-40000.0
2021-12-31,T4,6.03.02,Partes relacionadas,-1871.0
2021-12-31,T4,6.03.03,Integralização de capital,0.0
2021-12-31,T4,6.03.04,Custos de transação captalizados,0.0
2021-12-31,T4,6.03.05,Pagamentos de emprestimos e financiamentos,-454593.0
2021-12-31,T4,6.03.06,Pagamento de arrendamentos,-1987.0
2021-12-31,T4,6.03.07,Empréstimos e financiamentos captados,487340.0
2021-12-31,T4,6.03.08,Aquisição de ações próprias para manutenção em tesouraria,-8175.0
2021-12-31,T4,6.03.09,Reconhecimento de plano de ações,867.0
2021-12-31,T4,6.03.10,Pagamento de debêntures,-1290.0
2021-12-31,T4,6.03.11,Debêntures captadas,60000.0
2021-12-31,T4,6.04,Variação Cambial s/ Caixa e Equivalentes,0.0
