cd_conta,conta,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2
1,Ativo Total,5121397.0,5209975.0,5724574.0,5306234.0,4861570.0,4014414.0,3720337.0,3544412.0,3316191.0,3433602.0,3988277.0,4211491.0,3910335.0,4124803.0,4407301.0,4623494.0,4206840.0,4127322.0,4604868.0,3870086.0,4071094.0,3831730.0,4141258.0,4031714.0,3673938.0,3437372.0,3348777.0,3066448.0,2876025.0,2912807.0,2531810.0,1988597.0,2161259.0,2102787.0,1897517.0,1784257.0,1755490.0,1716093.0,1705206.0,1627102.0,1584101.0,1559819.0
1.01,Ativo Circulante,3235438.0,3251451.0,3847263.0,3453792.0,2968516.0,2223369.0,1931010.0,1813036.0,1610489.0,1686121.0,2280699.0,2493482.0,2168978.0,2230118.0,2548231.0,2787160.0,2362541.0,2196044.0,2232180.0,1580500.0,1773437.0,1572466.0,1946577.0,1853217.0,1521297.0,1346814.0,1306448.0,1088529.0,900869.0,1015147.0,645229.0,569963.0,771625.0,733494.0,589949.0,388298.0,387698.0,372190.0,416825.0,397927.0,368087.0,342941.0
1.01.01,Caixa e Equivalentes de Caixa,146086.0,438508.0,687814.0,253713.0,663031.0,234793.0,161438.0,142824.0,282536.0,103627.0,258705.0,345551.0,257581.0,166883.0,344201.0,216668.0,143548.0,147993.0,254480.0,118036.0,111470.0,237421.0,222939.0,138761.0,136579.0,112552.0,129732.0,40115.0,29068.0,11583.0,25507.0,2500.0,586.0,3521.0,419.0,85.0,1251.0,3109.0,3693.0,8524.0,1408.0,1451.0
1.01.02,Aplicações Financeiras,859488.0,612328.0,609309.0,377065.0,306944.0,319914.0,217326.0,87936.0,32264.0,92752.0,40103.0,38453.0,42781.0,55211.0,54153.0,28791.0,9915.0,7248.0,11597.0,11717.0,7462.0,21607.0,29423.0,29433.0,33644.0,11874.0,6715.0,16332.0,10264.0,7132.0,23320.0,21309.0,20238.0,23349.0,23724.0,24367.0,23609.0,25917.0,33077.0,33920.0,34886.0,35788.0
1.01.03,Contas a Receber,554706.0,479281.0,655795.0,604770.0,506588.0,481643.0,455197.0,452593.0,374306.0,292936.0,437309.0,371384.0,268662.0,309010.0,501380.0,665589.0,375404.0,401051.0,254028.0,203616.0,297776.0,270668.0,315329.0,341622.0,132227.0,125319.0,93390.0,108995.0,97012.0,74980.0,25101.0,40547.0,110187.0,49709.0,22011.0,1746.0,2620.0,1084.0,5331.0,1736.0,5623.0,7597.0
1.01.04,Estoques,1403431.0,1433048.0,1464696.0,1495760.0,1077757.0,967154.0,833149.0,937369.0,778435.0,1050525.0,1378742.0,1546971.0,1439336.0,1560997.0,1364089.0,1626575.0,1658030.0,1422615.0,1481343.0,1014982.0,902562.0,754413.0,1133265.0,1096926.0,1046569.0,897049.0,877948.0,716479.0,580546.0,661429.0,327892.0,291814.0,456090.0,453338.0,300194.0,298085.0,298424.0,292612.0,309762.0,271750.0,255527.0,242652.0
1.01.05,Ativos Biológicos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.01.06,Tributos a Recuperar,137903.0,150942.0,142769.0,194087.0,140907.0,131672.0,123546.0,72742.0,65428.0,78031.0,84098.0,88629.0,61340.0,70425.0,101731.0,101742.0,88819.0,108124.0,99996.0,157006.0,157043.0,164735.0,131187.0,87379.0,53760.0,128540.0,150614.0,168118.0,158648.0,151414.0,127674.0,110980.0,108063.0,105419.0,131863.0,41399.0,28037.0,15354.0,36365.0,59264.0,41287.0,27584.0
1.01.07,Despesas Antecipadas,12545.0,10965.0,11696.0,7013.0,12136.0,17596.0,17744.0,12829.0,19941.0,16649.0,14100.0,10053.0,17837.0,18754.0,15044.0,10789.0,15230.0,17531.0,14422.0,10473.0,17794.0,17297.0,14578.0,13864.0,18063.0,17694.0,15223.0,10765.0,18318.0,14855.0,11727.0,8822.0,15480.0,19036.0,18631.0,13451.0,22895.0,21667.0,17535.0,10308.0,17377.0,18996.0
1.01.08,Outros Ativos Circulantes,121279.0,126379.0,275184.0,521384.0,261153.0,70597.0,122610.0,106743.0,57579.0,51601.0,67642.0,92441.0,81441.0,48838.0,167633.0,137006.0,71595.0,91482.0,116314.0,64670.0,279330.0,106325.0,99856.0,145232.0,100455.0,53786.0,32826.0,27725.0,7013.0,93754.0,104008.0,93991.0,60981.0,79122.0,93107.0,9165.0,10862.0,12447.0,11062.0,12425.0,11979.0,8873.0
1.02,Ativo Não Circulante,1885959.0,1958524.0,1877311.0,1852442.0,1893054.0,1791045.0,1789327.0,1731376.0,1705702.0,1747481.0,1707578.0,1718009.0,1741357.0,1894685.0,1859070.0,1836334.0,1844299.0,1931278.0,2372688.0,2289586.0,2297657.0,2259264.0,2194681.0,2178497.0,2152641.0,2090558.0,2042329.0,1977919.0,1975156.0,1897660.0,1886581.0,1418634.0,1389634.0,1369293.0,1307568.0,1395959.0,1367792.0,1343903.0,1288381.0,1229175.0,1216014.0,1216878.0
1.02.01,Ativo Realizável a Longo Prazo,568040.0,703521.0,607189.0,496382.0,555683.0,467342.0,450515.0,424152.0,421232.0,479757.0,449901.0,434724.0,447610.0,553103.0,558441.0,556332.0,587578.0,687599.0,1092237.0,967173.0,1005611.0,999273.0,970163.0,963628.0,962915.0,926052.0,899178.0,833406.0,839303.0,767796.0,753652.0,300508.0,299547.0,299873.0,262687.0,373062.0,369494.0,366729.0,333895.0,268409.0,274545.0,295807.0
1.02.02,Investimentos,10548.0,10548.0,646.0,646.0,647.0,612.0,598.0,2250.0,2250.0,2250.0,2250.0,2250.0,2250.0,2250.0,2327.0,2327.0,2418.0,2418.0,2418.0,2418.0,2513.0,2513.0,2513.0,2513.0,2513.0,2513.0,2513.0,2513.0,2513.0,2563.0,2563.0,2608.0,2815.0,2815.0,2815.0,2815.0,3065.0,3065.0,3065.0,25701.0,25701.0,25463.0
1.02.03,Imobilizado,1298885.0,1235467.0,1260597.0,1346599.0,1326487.0,1313211.0,1328834.0,1295633.0,1273582.0,1257619.0,1248290.0,1274584.0,1284293.0,1331825.0,1291497.0,1267510.0,1243706.0,1231621.0,1269220.0,1309932.0,1280199.0,1248793.0,1213904.0,1204783.0,1180119.0,1155190.0,1134105.0,1135881.0,1127389.0,1121708.0,1124746.0,1109627.0,1081780.0,1061311.0,1037144.0,1015517.0,991005.0,970207.0,947814.0,931674.0,912554.0,892571.0
1.02.04,Intangível,8486.0,8988.0,8879.0,8815.0,10237.0,9880.0,9380.0,9341.0,8638.0,7855.0,7137.0,6451.0,7204.0,7507.0,6805.0,10165.0,10597.0,9640.0,8813.0,10063.0,9334.0,8685.0,8101.0,7573.0,7094.0,6803.0,6533.0,6119.0,5951.0,5593.0,5620.0,5891.0,5492.0,5294.0,4922.0,4565.0,4228.0,3902.0,3607.0,3391.0,3214.0,3037.0
