data_fim,trimestre,cd_conta,ds_conta,valor_mil
2015-12-31,T4,6.01,Caixa Líquido Atividades Operacionais,-449881.0
2015-12-31,T4,6.01.01,Caixa Gerado nas Operações,-203717.0
2015-12-31,T4,6.01.01.01,Lucro (prejuizo) antes do IR e CS,171467.0
2015-12-31,T4,6.01.01.02,Valor Residual de Ativo Permanente Baixado,9637.0
2015-12-31,T4,6.01.01.03,"Depreciação, Amortização e Exaustão",122332.0
2015-12-31,T4,6.01.01.04,Equivalência Patrimonial,0.0
2015-12-31,T4,6.01.01.05,Provisão para Demandas Judiciais,28535.0
2015-12-31,T4,6.01.01.06,Imposto de Renda e Contribuição Social Diferidos,0.0
2015-12-31,T4,6.01.01.07,Provisão para Perdas,-8616.0
2015-12-31,T4,6.01.01.08,Encargos Financeiros de LP,-542176.0
2015-12-31,T4,6.01.01.09,Ajuste a Valor Presente - Clientes e Fornecedores,1189.0
2015-12-31,T4,6.01.01.10,Provisão Para Passivo Descoberto,0.0
2015-12-31,T4,6.01.01.11,Ajuste de Avaliação Patrimonial,0.0
2015-12-31,T4,6.01.01.12,Reversão( Prov. Perda Estimada Valor Recuperável),13915.0
2015-12-31,T4,6.01.02,Variações nos Ativos e Passivos,-246164.0
2015-12-31,T4,6.01.02.01,Aplicações Financeiras,0.0
2015-12-31,T4,6.01.02.02,Contas a Receber de Clientes,-157843.0
2015-12-31,T4,6.01.02.03,Contas a Receber de Coligadas,0.0
2015-12-31,T4,6.01.02.04,Estoques,-125385.0
2015-12-31,T4,6.01.02.05,Impostos e Contribuições a Recuperar,45754.0
2015-12-31,T4,6.01.02.06,Despesas Antecipadas,-2520.0
2015-12-31,T4,6.01.02.07,Depósitos para Demandas Judiciais,1015.0
2015-12-31,T4,6.01.02.08,Instrumentos Financeiros Derivativos Ativos,-544306.0
2015-12-31,T4,6.01.02.09,Bens Destinados a Venda,-243.0
2015-12-31,T4,6.01.02.10,Outros Ativos Circulantes e Não Circulantes,-35074.0
