cd_conta,ds_conta,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T2,2021T3,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2
3.01,Receita de Venda de Bens e/ou Serviços,1211386.0,1167872.0,1537875.0,1457135.0,1321711.0,1288331.0,1060304.0,916109.0,774824.0,643897.0,955599.0,1134140.0,1019965.0,951755.0,1478936.0,1315121.0,1336389.0,1401022.0,1329187.0,1161043.0,909750.0,1088394.0,838250.0,1457080.0,1161902.0,1206733.0,812732.0,552018.0,474510.0,166726.0,441917.0,263546.0,193673.0,73684.0,76985.0,119363.0,133498.0,130080.0,134124.0,142677.0
3.02,Custo dos Bens e/ou Serviços Vendidos,-1086371.0,-1162660.0,-1354821.0,-1359201.0,-1231962.0,-1181609.0,-978685.0,-844331.0,-687515.0,-594071.0,-898045.0,-1084264.0,-996378.0,-945885.0,-1346454.0,-1206455.0,-1267002.0,-1339848.0,-1355940.0,-1201639.0,-892068.0,-1124129.0,-762316.0,-1386474.0,-1149923.0,-1219295.0,-813120.0,-632318.0,-484042.0,-574671.0,-502243.0,-300997.0,-297649.0,-229816.0,-117177.0,-149681.0,-155247.0,-201423.0,-172895.0,-177677.0
3.03,Resultado Bruto,125015.0,5212.0,183054.0,97934.0,89749.0,106722.0,81619.0,71778.0,87309.0,49826.0,57554.0,49876.0,23587.0,5870.0,132482.0,108666.0,69387.0,61174.0,26753.0,-94102.0,17682.0,35735.0,75934.0,-864.0,11979.0,12562.0,388.0,80300.0,9532.0,407945.0,60326.0,37451.0,103976.0,156132.0,40192.0,30318.0,21749.0,71343.0,38771.0,35000.0
3.04,Despesas/Receitas Operacionais,-72662.0,-41872.0,-81377.0,-71911.0,-74199.0,-78932.0,-105488.0,-124745.0,-124566.0,-107917.0,-291472.0,-61888.0,-104795.0,-92935.0,-70405.0,-67959.0,-92966.0,-12739.0,-162006.0,-208569.0,-83644.0,-104789.0,-113776.0,-56117.0,-49668.0,-95255.0,-105185.0,-136240.0,-123824.0,-550271.0,-44064.0,-355461.0,-33249.0,-33377.0,-49136.0,-88441.0,-94110.0,-44070.0,-29538.0,-70055.0
3.04.02,Despesas Gerais e Administrativas,-27428.0,-27697.0,-34136.0,-25625.0,-24755.0,-26784.0,-26716.0,-20997.0,-28051.0,-26383.0,-45907.0,-1253.0,-26268.0,-29371.0,-31791.0,-28211.0,-20769.0,-27018.0,-31445.0,-23519.0,-23845.0,-21472.0,-25167.0,-17004.0,-19326.0,-23824.0,-20285.0,-18088.0,-18508.0,-14495.0,-19210.0,-21217.0,-19221.0,-22542.0,-18183.0,-18517.0,-17444.0,-18365.0,-19204.0,-22680.0
3.04.05,Outras Despesas Operacionais,-47727.0,-16846.0,-44813.0,-40970.0,-45643.0,-62147.0,-91638.0,-107780.0,-95170.0,-79329.0,-243940.0,-71316.0,-77479.0,-66936.0,-58513.0,-44800.0,-78864.0,-40644.0,-58763.0,-91331.0,-67259.0,-82106.0,-102140.0,-38770.0,-74056.0,-75578.0,-88383.0,-120982.0,-107758.0,-539028.0,-24991.0,-333865.0,-12661.0,-57353.0,-29514.0,-70579.0,-78327.0,-25286.0,-8790.0,-49219.0
3.04.05.02,Depreciação e amortização,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.04.06,Resultado de Equivalência Patrimonial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.05,Resultado Antes do Resultado Financeiro e dos Tributos,52353.0,-36660.0,101677.0,26023.0,15550.0,27790.0,-23869.0,-52967.0,-37257.0,-58091.0,-233918.0,-12012.0,-81208.0,-87065.0,62077.0,40707.0,-23579.0,73913.0,135253.0,-63233.0,-65962.0,-140524.0,-37842.0,14489.0,-37689.0,-107817.0,-105573.0,-216540.0,-133356.0,-958216.0,-104390.0,-392912.0,-137225.0,-122755.0,-89328.0,-118759.0,-115859.0,-115413.0,-68309.0,-105055.0
3.06,Resultado Financeiro,25824.0,-96928.0,151270.0,-52092.0,-17244.0,-63338.0,-33560.0,18334.0,-2337.0,-31283.0,-41344.0,-112846.0,21965.0,-305329.0,-93368.0,-1743.0,-28392.0,47325.0,-2018.0,47225.0,-504523.0,-136118.0,-129329.0,146913.0,259374.0,-312257.0,274815.0,-360678.0,-184061.0,-1044216.0,-74865.0,-200628.0,-251262.0,-93279.0,-234545.0,-564831.0,-219746.0,-694743.0,-64065.0,-152860.0
3.06.01,Receitas Financeiras,450982.0,120087.0,840273.0,621556.0,475083.0,637089.0,145113.0,233183.0,177578.0,77642.0,171562.0,72996.0,205697.0,290517.0,227674.0,98762.0,303497.0,49666.0,340329.0,77393.0,462266.0,564922.0,55566.0,588644.0,137982.0,122662.0,546694.0,78661.0,706.0,55736.0,115758.0,158726.0,75737.0,35053.0,30761.0,9164.0,7441.0,11582.0,237630.0,146008.0
