cd_conta,conta,2010T4,2011T1,2011T2,2011T3,2011T4,2012T1,2012T2,2012T3,2012T4,2013T1,2013T2,2013T3,2013T4,2014T1,2014T2,2014T3,2014T4,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
2,Passivo Total,377105.000,360463.000,378554.000,393614.000,442155.000,434869.000,437263.000,457018.000,500816.000,512711.000,527245.000,579734.000,599894.000,574097.000,636431.000,669903.000,719271.000,677438.000,704124.000,709386.000,759967.000,741417.000,779003.000,756970.000,820973.000,775896.000,820240.000,829558.000,950172.000,885296.000,921353.000,954818.000,1000375.000,1206297.000,1285724.000,1352517.000,1460285.000,1588261.000,1537852.000,2176369.000,2194373.000,2253459.000,2141926.000,2253832.000,2381060.000,2482438.000,2504634.000,2569515.000,2733126.000,2816567.000,2783735.000,2945705.000,3077470.000,3204298.000,3146677.000,3232719.000,3377453.000,3174997.000,3326445.000,3583121.000
2.01,Passivo Circulante,179009.000,154194.000,166041.000,173923.000,214172.000,197372.000,183063.000,192332.000,228717.000,221328.000,213458.000,236190.000,250946.000,217386.000,265318.000,296774.000,288565.000,246995.000,267229.000,269560.000,315609.000,292684.000,325485.000,313829.000,370484.000,322348.000,357843.000,369590.000,403768.000,328738.000,383504.000,406217.000,470228.000,495334.000,436204.000,471614.000,501244.000,608726.000,543426.000,677796.000,677724.000,741930.000,596315.000,686724.000,814974.000,869055.000,763016.000,809521.000,1008234.000,1066097.000,1100572.000,1012058.000,1134412.000,1190938.000,1193271.000,1204259.000,1184660.000,940753.000,1091063.000,1124751.000
2.01.01,Obrigações Sociais e Trabalhistas,11854.000,12008.000,15239.000,17363.000,13978.000,14502.000,16884.000,19909.000,16634.000,17746.000,18432.000,22310.000,20621.000,21717.000,24308.000,27664.000,22124.000,22785.000,26052.000,30391.000,24703.000,26563.000,28966.000,34469.000,28552.000,29992.000,33500.000,38112.000,31146.000,33338.000,37494.000,42897.000,34536.000,37514.000,42604.000,48691.000,39650.000,41062.000,54512.000,56835.000,39481.000,45709.000,57544.000,66148.000,51167.000,55325.000,71584.000,80496.000,60105.000,66529.000,76992.000,86021.000,67443.000,78529.000,118189.000,108482.000,84852.000,85590.000,98215.000,108443.000
2.01.02,Fornecedores,129123.000,105846.000,107697.000,107200.000,151758.000,139732.000,112863.000,111826.000,151475.000,146809.000,134296.000,136844.000,160036.000,116091.000,125684.000,150382.000,184292.000,132734.000,152414.000,145504.000,209763.000,183593.000,190720.000,174200.000,250242.000,189435.000,198386.000,204715.000,262539.000,207416.000,223947.000,228232.000,279772.000,246210.000,243984.000,255117.000,303155.000,321928.000,187828.000,300155.000,371763.000,412075.000,260747.000,335031.000,464714.000,503177.000,348952.000,373646.000,555452.000,456113.000,466801.000,512595.000,679763.000,690036.000,559433.000,624872.000,630823.000,456778.000,600220.000,625486.000
2.01.03,Obrigações Fiscais,13807.000,17753.000,25212.000,29234.000,16635.000,21188.000,26604.000,31248.000,16092.000,22428.000,27174.000,36050.000,17579.000,22485.000,25405.000,25272.000,19076.000,21480.000,26395.000,32167.000,21084.000,23066.000,30027.000,32327.000,17806.000,25726.000,34577.000,34428.000,18707.000,21262.000,27387.000,36105.000,20384.000,25726.000,18795.000,28202.000,25226.000,25808.000,29016.000,26717.000,29900.000,57414.000,32980.000,35638.000,30801.000,21469.000,42755.000,39637.000,30583.000,28216.000,32477.000,35312.000,32299.000,29062.000,44827.000,48804.000,51779.000,41874.000,37182.000,48962.000
2.01.04,Empréstimos e Financiamentos,3252.000,3490.000,3566.000,3635.000,3702.000,3390.000,3768.000,4220.000,4901.000,5016.000,5225.000,5504.000,5390.000,19884.000,55257.000,59306.000,21235.000,30971.000,32380.000,29201.000,20938.000,29005.000,40831.000,37116.000,29495.000,41727.000,56645.000,55576.000,46145.000,32540.000,59932.000,62289.000,79581.000,145003.000,89143.000,94600.000,78251.000,183812.000,226375.000,238848.000,161402.000,164892.000,173856.000,181979.000,189137.000,200497.000,234479.000,246320.000,270488.000,459713.000,452269.000,289869.000,266896.000,311815.000,350294.000,325882.000,292728.000,261423.000,248499.000,241296.000
2.01.05,Outras Obrigações,19281.000,12695.000,11775.000,13939.000,28099.000,18560.000,22944.000,25129.000,39615.000,29329.000,28331.000,35482.000,47320.000,37209.000,34664.000,34150.000,41838.000,39025.000,29988.000,32297.000,39121.000,30457.000,34941.000,35717.000,44389.000,35468.000,34735.000,36413.000,44003.000,33279.000,33370.000,34949.000,55917.000,39023.000,40878.000,42898.000,52618.000,34959.000,43191.000,52926.000,72916.000,57113.000,69075.000,66275.000,77431.000,86464.000,62942.000,66272.000,88862.000,52683.000,69773.000,85399.000,84206.000,68226.000,108052.000,84867.000,113010.000,85616.000,98103.000,92122.000
2.01.06,Provisões,1692.000,2402.000,2552.000,2552.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,346.000,1228.000,903.000,1374.000,1745.000,38.000,1858.000,800.000,2106.000,2344.000,1157.000,2504.000,2315.000,2262.000,4727.000,2113.000,1653.000,1724.000,2123.000,2304.000,3150.000,2744.000,2843.000,2260.000,2862.000,3805.000,13270.000,12476.000,11352.000,11468.000,9472.000,8844.000,8442.000
2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.02,Passivo Não Circulante,25062.000,25154.000,24146.000,24125.000,28740.000,28469.000,34758.000,35984.000,38459.000,48841.000,57976.000,73821.000,72051.000,72767.000,72010.000,68431.000,119404.000,113602.000,108591.000,104834.000,100216.000,94373.000,89774.000,71099.000,68839.000,58144.000,56194.000,45853.000,119657.000,118671.000,96227.000,95851.000,66235.000,233672.000,367699.000,382325.000,434865.000,445243.000,464791.000,494945.000,506009.000,495365.000,520866.000,537762.000,519891.000,546414.000,662040.000,668996.000,616730.000,623644.000,557317.000,794590.000,769642.000,816536.000,781826.000,832894.000,958079.000,988419.000,1001280.000,1194200.000
2.02.01,Empréstimos e Financiamentos,17611.000,18081.000,17790.000,18150.000,18025.000,17405.000,24037.000,25319.000,28186.000,38874.000,47100.000,63306.000,59879.000,60616.000,54399.000,51858.000,105141.000,99764.000,95359.000,92378.000,88512.000,82474.000,78699.000,61434.000,59334.000,49276.000,47933.000,38448.000,112226.000,112242.000,89810.000,89548.000,61268.000,228049.000,360645.000,375475.000,427152.000,436748.000,453901.000,482248.000,491590.000,474588.000,495973.000,508061.000,501790.000,522883.000,637746.000,652696.000,601052.000,609147.000,546911.000,784796.000,755791.000,799748.000,766587.000,817960.000,943077.000,961197.000,973112.000,1163494.000
2.02.02,Outras Obrigações,1145.000,935.000,716.000,488.000,5026.000,5026.000,5026.000,5026.000,5026.000,5026.000,5026.000,5026.000,5026.000,5026.000,6026.000,6608.000,6379.000,5994.000,5560.000,5121.000,4671.000,4211.000,3740.000,3274.000,2797.000,2310.000,1880.000,1580.000,1280.000,980.000,680.000,54.000,54.000,54.000,54.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1356.000,7709.000,0.000,6579.000,6793.000,6793.000,6665.000,6820.000,6944.000,7087.000,7220.000,7343.000,7459.000,7559.000,7634.000,19205.000,20243.000,23097.000
2.02.03,Tributos Diferidos,322.000,315.000,304.000,288.000,264.000,243.000,222.000,201.000,162.000,162.000,365.000,313.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
