data_fim,trimestre,cd_conta,ds_conta,valor_mil
2015-12-31,T4,6.01,Caixa Líquido Atividades Operacionais,491248.0
2015-12-31,T4,6.01.01,Caixa Gerado nas Operações,301645.0
2015-12-31,T4,6.01.01.01,Resultado do exercício,89083.0
2015-12-31,T4,6.01.01.02,Depreciações e amortizações,46437.0
2015-12-31,T4,6.01.01.03,Custo na venda de imobilizado e intangível,2901.0
2015-12-31,T4,6.01.01.04,Equivalência patrimonial,-32996.0
2015-12-31,T4,6.01.01.05,Provisão para créditos de liquidação duvidosa,-4643.0
2015-12-31,T4,6.01.01.06,Imposto de renda e contribuição social diferidos,38634.0
2015-12-31,T4,6.01.01.07,Juros e variação apropriados,160095.0
2015-12-31,T4,6.01.01.08,Participação dos não controladores,2134.0
2015-12-31,T4,6.01.01.09,Apropriação de títulos mantidos até o vencimento,0.0
2015-12-31,T4,6.01.02,Variações nos Ativos e Passivos,189603.0
2015-12-31,T4,6.01.02.01,(Aumento) redução contas a receber de clientes,168653.0
2015-12-31,T4,6.01.02.02,(Aumento) redução títulos e valores mobiliários,39012.0
2015-12-31,T4,6.01.02.03,(Aumento) redução nos estoques,64251.0
2015-12-31,T4,6.01.02.04,(Aumento) redução em outras contas a receber,-29562.0
2015-12-31,T4,6.01.02.05,Aumento (redução) de fornecedores,-56318.0
2015-12-31,T4,6.01.02.06,Aumento (redução) passivos atuariais,0.0
2015-12-31,T4,6.01.02.07,Aumento (redução) outras contas a pagar e provisões,47835.0
2015-12-31,T4,6.01.02.08,Impostos sobre o lucro pagos,-44268.0
2015-12-31,T4,6.01.03,Outros,0.0
2015-12-31,T4,6.02,Caixa Líquido Atividades de Investimento,-127584.0
2015-12-31,T4,6.02.01,Investimentos,-128.0
2015-12-31,T4,6.02.02,Dividendos controladas em conjunto e coligadas,28621.0
2015-12-31,T4,6.02.03,Adições de imobilizado,-158265.0
2015-12-31,T4,6.02.04,Adições de intangível,-1734.0
2015-12-31,T4,6.02.05,Recebimento na venda de ativo imobilizado,3922.0
2015-12-31,T4,6.03,Caixa Líquido Atividades de Financiamento,93340.0
2015-12-31,T4,6.03.01,Empréstimos de partes relacionadas,0.0
2015-12-31,T4,6.03.02,Ações em tesouraria,2788.0
2015-12-31,T4,6.03.03,Empréstimos tomados de terceiros,767717.0
2015-12-31,T4,6.03.04,Pagamento de empréstimos - principal,-525072.0
2015-12-31,T4,6.03.05,Pagamento de empréstimos - juros,-65158.0
2015-12-31,T4,6.03.06,Pagamento dos juros s/capital próprio e dividendos,-86935.0
2015-12-31,T4,6.04,Variação Cambial s/ Caixa e Equivalentes,31543.0
2015-12-31,T4,6.05,Aumento (Redução) de Caixa e Equivalentes,488547.0
2015-12-31,T4,6.05.01,Saldo Inicial de Caixa e Equivalentes,642615.0
2015-12-31,T4,6.05.02,Saldo Final de Caixa e Equivalentes,1131162.0
2016-12-31,T4,6.01,Caixa Líquido Atividades Operacionais,170987.0
2016-12-31,T4,6.01.01,Caixa Gerado nas Operações,112851.0
2016-12-31,T4,6.01.01.01,Resultado do exercício,222546.0
2016-12-31,T4,6.01.01.02,Depreciações e amortizações,49691.0
2016-12-31,T4,6.01.01.03,"Custo na venda de inves., imobilizado e intangível",-198659.0
2016-12-31,T4,6.01.01.04,Equivalência patrimonial,-94011.0
2016-12-31,T4,6.01.01.05,Provisão para créditos de liquidação duvidosa,22629.0
2016-12-31,T4,6.01.01.06,Imposto de renda e contribuição social diferidos,147691.0
2016-12-31,T4,6.01.01.07,Juros e variação apropriados,-40194.0
2016-12-31,T4,6.01.01.08,Participação dos não controladores,3158.0
2016-12-31,T4,6.01.01.09,Apropriação de títulos mantidos até o vencimento,0.0
2016-12-31,T4,6.01.02,Variações nos Ativos e Passivos,58136.0
2016-12-31,T4,6.01.02.01,(Aumento) redução contas a receber de clientes,252309.0
2016-12-31,T4,6.01.02.02,(Aumento) redução títulos e valores mobiliários,-13859.0
2016-12-31,T4,6.01.02.03,(Aumento) redução nos estoques,1399.0
2016-12-31,T4,6.01.02.04,(Aumento) redução em outras contas a receber,-13551.0
2016-12-31,T4,6.01.02.05,Aumento (redução) de fornecedores,-29480.0
2016-12-31,T4,6.01.02.06,Aumento (redução) passivos atuariais,0.0
2016-12-31,T4,6.01.02.07,Aumento (redução) outras contas a pagar e provisões,3687.0
2016-12-31,T4,6.01.02.08,Impostos sobre o lucro pagos,-142369.0
2016-12-31,T4,6.01.03,Outros,0.0
2016-12-31,T4,6.02,Caixa Líquido Atividades de Investimento,356092.0
2016-12-31,T4,6.02.01,Investimentos,4127.0
2016-12-31,T4,6.02.02,Dividendos controladas em conjunto e coligadas,19559.0
2016-12-31,T4,6.02.03,Adições de imobilizado,-72274.0
2016-12-31,T4,6.02.04,Adições de intangível,-1270.0
2016-12-31,T4,6.02.05,"Recebimento na venda de invest., imob. e intangível",405950.0
2016-12-31,T4,6.03,Caixa Líquido Atividades de Financiamento,-431521.0
2016-12-31,T4,6.03.01,Empréstimos de partes relacionadas,0.0
2016-12-31,T4,6.03.02,Ações em tesouraria,1802.0
2016-12-31,T4,6.03.03,Empréstimos tomados de terceiros,641263.0
