data_fim,trimestre,cd_conta,ds_conta,valor_mil
2015-03-31,T1,6.01,Caixa Líquido Atividades Operacionais,45090.0
2015-03-31,T1,6.01.01,Caixa Gerado nas Operações,22957.0
2015-03-31,T1,6.01.01.01,Lucro do Período,11511.0
2015-03-31,T1,6.01.01.02,Depreciação e Amortzação,12497.0
2015-03-31,T1,6.01.01.03,Equivalência Patrimonial,-2053.0
2015-03-31,T1,6.01.01.04,Ganho no Valor Justo dos Instrumentos Financeiros,-32290.0
2015-03-31,T1,6.01.01.05,"Provisão para Riscos Tributários, Trabalhistas e Cíveis",794.0
2015-03-31,T1,6.01.01.06,Provisão para Crédito de Liquidação Duvidosa,1342.0
2015-03-31,T1,6.01.01.07,"Provisão (Reversão) para Estoque, Líquida",3217.0
2015-03-31,T1,6.01.01.08,Stock Options,217.0
2015-03-31,T1,6.01.01.09,Encargos sobre Empréstimos,15403.0
2015-03-31,T1,6.01.01.10,Variação Cambial,12180.0
2015-03-31,T1,6.01.01.11,Imposto de Renda e Contribuição Social,139.0
2015-03-31,T1,6.01.02,Variações nos Ativos e Passivos,22133.0
2015-03-31,T1,6.01.02.01,Contas a Receber,86500.0
2015-03-31,T1,6.01.02.02,Estoques,-43383.0
2015-03-31,T1,6.01.02.03,Impostos a Recuperar,-19494.0
2015-03-31,T1,6.01.02.04,Adiantamentos Diversos,-2122.0
2015-03-31,T1,6.01.02.05,Outros Créditos,-5220.0
2015-03-31,T1,6.01.02.06,Fornecedores,25708.0
2015-03-31,T1,6.01.02.07,Contas a Pagar e Provisões,-1385.0
2015-03-31,T1,6.01.02.08,Obrigações Tributárias,-4928.0
2015-03-31,T1,6.01.02.09,Outras Contas a Pagar,6417.0
2015-03-31,T1,6.01.02.10,Pagamento de Juros sobre Empréstimos,-19960.0
2015-03-31,T1,6.01.03,Outros,0.0
2015-03-31,T1,6.02,Caixa Líquido Atividades de Investimento,-7193.0
2015-03-31,T1,6.02.01,Aquisição do Imobilizado,-1607.0
2015-03-31,T1,6.02.02,Aumento do Intangível,-5586.0
2015-03-31,T1,6.03,Caixa Líquido Atividades de Financiamento,41819.0
2015-03-31,T1,6.03.01,Pagamento de Dividendos,0.0
