cd_conta,ds_conta,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
3.01,Receita de Venda de Bens e/ou Serviços,452005.0,452067.0,442714.0,496405.0,375600.0,564509.0,413788.0,392118.0,453508.0,435487.0,437165.0,587448.0,429659.0,485111.0,490001.0,546566.0,360079.0,565185.0,461130.0,528914.0,378566.0,440519.0,521747.0,851341.0,676470.0,785892.0,828794.0,1074331.0,1031303.0,1630811.0,1064496.0,1266625.0,702908.0,754507.0,849022.0,1620194.0,994667.0,813076.0,819569.0,1061014.0,715411.0,842246.0,805637.0
3.02,Custo dos Bens e/ou Serviços Vendidos,-358206.0,-363783.0,-364181.0,-409864.0,-293707.0,-405789.0,-280688.0,-259425.0,-319600.0,-309590.0,-324288.0,-466781.0,-317518.0,-370421.0,-360213.0,-388797.0,-259522.0,-410920.0,-339843.0,-424915.0,-304300.0,-357212.0,-401959.0,-679956.0,-519709.0,-582187.0,-630994.0,-863991.0,-826510.0,-1304696.0,-839816.0,-825456.0,-530730.0,-524172.0,-619794.0,-1189406.0,-756453.0,-610785.0,-621519.0,-775532.0,-544132.0,-637870.0,-590262.0
3.03,Resultado Bruto,93799.0,88284.0,78533.0,86541.0,81893.0,158720.0,133100.0,132693.0,133908.0,125897.0,112877.0,120667.0,112141.0,114690.0,129788.0,157769.0,100557.0,154265.0,121287.0,103999.0,74266.0,83307.0,119788.0,171385.0,156761.0,203705.0,197800.0,210340.0,204793.0,326115.0,224680.0,441169.0,172178.0,230335.0,229228.0,430788.0,238214.0,202291.0,198050.0,285482.0,171279.0,204376.0,215375.0
3.04,Despesas/Receitas Operacionais,-104033.0,-94189.0,-85436.0,-125451.0,-54467.0,-117713.0,-107687.0,-105264.0,-111055.0,-101935.0,-94566.0,-146716.0,-102705.0,-118619.0,-110829.0,-107221.0,-93675.0,-116263.0,-99939.0,-71376.0,-87223.0,-84461.0,-68691.0,-69305.0,-117192.0,-101236.0,-119439.0,-127590.0,-92232.0,-151782.0,-113144.0,-214504.0,-99819.0,-146540.0,-120901.0,-186692.0,-135746.0,-131283.0,-144545.0,-202953.0,-137431.0,-149228.0,-166060.0
3.04.02,Despesas Gerais e Administrativas,-28661.0,-22277.0,-23531.0,-32807.0,-23732.0,-25612.0,-25006.0,-27459.0,-25571.0,-23192.0,-25453.0,-24704.0,-24169.0,-28293.0,-27470.0,-25216.0,-23547.0,-24674.0,-29723.0,-34151.0,-27844.0,-26638.0,-28792.0,-583.0,-24470.0,-27290.0,-29877.0,-81800.0,-42035.0,-46115.0,-50162.0,-59013.0,-46487.0,-44927.0,-47114.0,-77644.0,-50236.0,-45629.0,-52128.0,-72824.0,-48666.0,-54243.0,-57906.0
3.04.05,Outras Despesas Operacionais,0.0,-508.0,0.0,-3543.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17087.0,0.0,0.0,-664.0,-664.0,0.0,0.0,-1615.0,-1615.0,0.0,-1545.0,0.0,-1545.0,-1367.0,0.0,0.0,-1367.0,-46835.0,0.0,0.0,-46835.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.04.05.02,Depreciação e amortização,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.04.06,Resultado de Equivalência Patrimonial,2053.0,835.0,9611.0,-4857.0,28679.0,676.0,-4845.0,-1028.0,-2918.0,272.0,2147.0,-5626.0,-3437.0,1872.0,935.0,-2297.0,-1377.0,1948.0,-5923.0,3304.0,-1681.0,4752.0,-3836.0,1889.0,-873.0,-859.0,6399.0,-509.0,836.0,-3860.0,-4594.0,-652.0,25.0,-892.0,683.0,-6373.0,-1019.0,-2131.0,-513.0,-4002.0,139.0,-2312.0,-1962.0
3.05,Resultado Antes do Resultado Financeiro e dos Tributos,-10234.0,-5905.0,-6903.0,-38910.0,27426.0,41007.0,25413.0,27429.0,22853.0,23962.0,18311.0,-26049.0,9436.0,-3929.0,18959.0,50548.0,6882.0,38002.0,21348.0,32623.0,-12957.0,-1154.0,51097.0,240690.0,39569.0,102469.0,78361.0,82750.0,112561.0,174333.0,111536.0,226665.0,72359.0,83795.0,108327.0,244096.0,102468.0,71008.0,53505.0,82529.0,33848.0,55148.0,49315.0
3.06,Resultado Financeiro,21884.0,-33701.0,8138.0,-14111.0,-37835.0,-28369.0,-19944.0,-25461.0,-31201.0,-21726.0,-13640.0,-16497.0,-7474.0,-7681.0,-7128.0,-42498.0,-11477.0,-23955.0,-10297.0,-24846.0,19939.0,-8522.0,7589.0,-24293.0,17003.0,-49497.0,-23420.0,-38998.0,-84335.0,-82985.0,-60927.0,-89864.0,-63339.0,-61373.0,-79307.0,-50407.0,-38002.0,-64954.0,-49720.0,-54698.0,-44659.0,-52664.0,-46737.0
3.06.01,Receitas Financeiras,45964.0,12944.0,41886.0,4060.0,22764.0,25196.0,20390.0,22617.0,18401.0,16096.0,17191.0,13447.0,14507.0,19590.0,19923.0,5890.0,14878.0,8767.0,16387.0,2626.0,45912.0,13296.0,30831.0,5250.0,47897.0,20855.0,16938.0,21834.0,13201.0,17818.0,42550.0,34060.0,20753.0,25047.0,26644.0,31876.0,36989.0,34146.0,20150.0,22885.0,23253.0,29571.0,45279.0
3.06.02,Despesas Financeiras,-24080.0,-46645.0,-33748.0,-18171.0,-60599.0,-53565.0,-40334.0,-48078.0,-49602.0,-37822.0,-30831.0,-29944.0,-21981.0,-27271.0,-27051.0,-36608.0,-26355.0,-32722.0,-26684.0,-22220.0,-25973.0,-21818.0,-23242.0,-29543.0,-30894.0,-70352.0,-40358.0,-17164.0,-97536.0,-100803.0,-103477.0,-55804.0,-84092.0,-86420.0,-105951.0,-82283.0,-74991.0,-99100.0,-69870.0,-77583.0,-67912.0,-82235.0,-92016.0
3.07,Resultado Antes dos Tributos sobre o Lucro,11650.0,-39606.0,1235.0,-53021.0,-10409.0,12638.0,5469.0,1968.0,-8348.0,2236.0,4671.0,-42546.0,1962.0,-11610.0,11831.0,8050.0,-4595.0,14047.0,11051.0,7777.0,6982.0,-9676.0,58686.0,216397.0,56572.0,52972.0,54941.0,43752.0,28226.0,91348.0,50609.0,136801.0,9020.0,22422.0,29020.0,193689.0,64466.0,6054.0,3785.0,27831.0,-10811.0,2484.0,2578.0
3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-139.0,0.0,0.0,0.0,0.0,0.0,-2.0,-826.0,0.0,-292.0,-48.0,-3224.0,0.0,0.0,0.0,-10694.0,0.0,-2979.0,-1992.0,-2461.0,-2609.0,-1076.0,-8377.0,-64485.0,-815.0,-1429.0,-1199.0,-1898.0,-220.0,-859.0,-104.0,-556.0,-498.0,-1090.0,-165.0,-1516.0,-117.0,-1196.0,-2057.0,-13728.0,-1797.0,-233.0,-1480.0
3.09,Resultado Líquido das Operações Continuadas,11511.0,39606.0,1235.0,27529.0,10409.0,12638.0,5467.0,-19676.0,8348.0,1944.0,4623.0,32636.0,1962.0,11610.0,11831.0,-24942.0,4595.0,11068.0,9059.0,-3874.0,4373.0,8600.0,50309.0,132560.0,55757.0,51543.0,53742.0,41854.0,28446.0,90489.0,50505.0,136917.0,8522.0,21332.0,28855.0,192173.0,64349.0,4858.0,1728.0,14103.0,12608.0,2251.0,1098.0
3.10,Resultado Líquido de Operações Descontinuadas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.11,Lucro/Prejuízo Consolidado do Período,11511.0,39606.0,1235.0,27529.0,10409.0,12638.0,5467.0,-19676.0,8348.0,1944.0,4623.0,32636.0,1962.0,11610.0,11831.0,-24942.0,4595.0,11068.0,9059.0,-3874.0,4373.0,8600.0,50309.0,132560.0,55757.0,51543.0,53742.0,41854.0,28446.0,90489.0,50505.0,136917.0,8522.0,21332.0,28855.0,192173.0,64349.0,4858.0,1728.0,14103.0,12608.0,2251.0,1098.0
3.11.01,Atribuído a Sócios da Empresa Controladora,11511.0,-39606.0,1235.0,-53021.0,-10409.0,12638.0,5467.0,1142.0,-8348.0,1944.0,4623.0,-45770.0,1962.0,-11610.0,11831.0,-2644.0,-4894.0,9833.0,7542.0,3978.0,3408.0,-8986.0,49219.0,147330.0,54882.0,51220.0,53592.0,40564.0,27990.0,90030.0,48771.0,136326.0,7543.0,20249.0,27029.0,191939.0,63956.0,3646.0,560.0,12216.0,-13498.0,-57.0,943.0
3.11.02,Atribuído a Sócios Não Controladores,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299.0,1235.0,1517.0,1338.0,965.0,386.0,1090.0,2430.0,875.0,323.0,150.0,1290.0,456.0,460.0,1734.0,590.0,979.0,1083.0,1826.0,234.0,393.0,1212.0,1168.0,1887.0,890.0,2308.0,155.0
3.99,Lucro por Ação (Reais/Ação),0.13110478,0.45109339,0.01406606,0.31354214,0.11855353,0.14394077,0.06226651,-0.22410023,0.09507973,0.02214123,0.05265376,0.37170843,0.02234624,0.13223235,0.13474943,-0.28407745,0.05233485,0.12605923,0.10317768,-0.04412301,0.0276,-0.0639,0.3506,1.0881,0.4483,0.3642,0.3826,0.2336,0.2002,0.644,0.3488,0.9743,0.0538,1444.0,0.1929,-1.442485,0.4563,0.026,0.004,0.0882,0.08891396,0.01587447,0.0077433
